"Coronavirus disease 2019 (COVID-19)
Situation Report – 85",,,,,,,,,,
"Data as received by WHO from national authorities by 10:00 CET, 14 April 2020",,,,,,,,,,
HIGHLIGHTS,,,,,,,,,,SITUATION IN NUMBERS
,,,,,,,,,,total (new cases in last 24 hours)
•,No new country/territory/area reported cases of COVID-19 in the past 24,,,,,,,,,
,hours.,,,,,,,,,Globally
,,,,,,,,,,1 844 863 confirmed (71 779)
•,The number,of,confirmed,cases,reported,by,countries,reflects,national,117 021 deaths (5369)
,"laboratory testing capacity and strategy, thus the interpretation of the number",,,,,,,,,European Region
,of cases reported should take this into account.,,,,,,,,,943 272 confirmed (29 923)
,,,,,,,,,,80 712 deaths (3293)
•,WHO has published interim guidance on oxygen sources and distribution,,,,,,,,,Region of the Americas
,strategies for COVID-19 treatment. The document describes how to quantify,,,,,,,,,644 986 confirmed (34 244)
,"oxygen demand, identify oxygen",,,,"sources that are available, and select",,,,,25 551 deaths (1792)
,"appropriate surge sources to best respond to COVID-19 patients’ needs,",,,,,,,,,Western Pacific Region
,"especially in low-and-middle income countries. For more details, please see",,,,,,,,,122 805 confirmed (1379)
,here.,,,,,,,,,4161 deaths (36)
,,,,,,,,,,Eastern Mediterranean Region
•,The Director-General thanked the United Kingdom for its generous,,,,,,,,,103 638 confirmed (3925)
,"contribution of £200 million to the global response to COVID-19, an act which",,,,,,,,,5255 deaths (148)
,he described as a ‘demonstration of global solidarity’. His opening remarks at,,,,,,,,,
,yesterday’s press conference are available here.,,,,,,,,,"South-East Asia Region
18 663 confirmed (1780)"
,,,,,,,,,,829 deaths (63)
•,"A group of scientists, physicians, funders and manufacturers from around the",,,,,,,,,African Region
,"world have pledged to collaborate, in coordination with WHO, to help speed",,,,,,,,,10 787 confirmed (528)
,up the availability of a vaccine against COVID-19. Their statement can be,,,,,,,,,501 deaths (37)
,"found, against here.",,,,,,,,,
,,,,,,,,,,WHO RISK ASSESSMENT
,,,,,,,,,,Global Level Very High
,"Figure 1. Countries, territories or areas with reported confirmed cases of COVID-19, 14 April 2020",,,,,,,,,

"SUBJECT IN FOCUS: WHO strengthening supply networks, forecasting required supplies,",
and sending critical shipments,
COVID-19 Supply Chain Task Force,
"The COVID-19 pandemic continues to create an acute shortage of essential supplies, including personal protective",
"equipment, diagnostics and medical equipment. On 8 April 2020, WHO Director-General Dr. Tedros announced a",
Supply Chain Task Force that will establish a COVID-19 Supply Chain System (CSCS) to provide countries with essential,
supplies for their COVID-19 response.,
The COVID-19 Supply Chain Task Force will:,
a.,"Establish and implement a global strategy to ensure access to critical and life-saving supplies, as identified by"
,WHO;
b.,Bring together the collective capabilities of public and private actors to meet these needs;
c.,Ensure the flow of vital supplies and essential cargo.
Pandemic Supply Chain Network,
"WHO Operations Support and Logistics, in partnership with the Pandemic Supply Chain Network (PSCN), continues to",
"engage private companies in efforts to meet the unprecedented global demand for life-saving medical equipment,",
laboratory testing supplies and personal protective equipment.,
Initial talks with manufacturers of oxygen production concentrators and ancillary equipment indicate there is,
potential to secure PSA oxygen plants for installment in the coming weeks. A number of oxygen producers have,
expressed interest in supporting WHO efforts to secure vital equipment for its stockpile and to meet intermediate to,
long-term procurement requests.,
WHO continues to deliver laboratory testing supplies to countries in need and is ramping up efforts to consolidate,
demand and work with PSCN stakeholders to ensure access and proper allocation of diagnostics equipment to,
increase testing capacity in those countries most in need.,
COVID-19 Essential Supplies Forecasting Tool,
"Through collaboration with the Clinton Health Access Initiative (CHAI) and UNICEF, OSL’s COVID-19 Essential Supplies",
"Forecasting Tool (COVID-19 ESFT) is now available online. Demonstrations have been conducted in WHO EURO,",
EMRO and AFRO regions.,
"The forecasting tool is designed to help governments, partners and other stakeholders to estimate potential",
requirements for essential supplies to respond to COVID-19 pandemic. The tool enables the projecting of essential,
"supply needs, including the estimation of personal protective equipment, diagnostic equipment, biomedical",
"equipment for case management, essential drugs for supportive care, and consumable medical supplies.",
OSL Operations Update,
"OSL has organized shipments of critical supplies from Dubai to Addis Ababa, a WFP hub, for onwards dispatch to 34",
"African countries. A plan to distribute 340 million surgical masks to 120 countries has been developed, and",
discussions are underway with WFP to prepare the distribution strategy.,
OSL is continuing efforts to establish a global supply chain coordination platform to receive country requests for,
critical supplies.,

SURVEILLANCE,,,,,,
"Table 1. Countries, territories or areas with reported laboratory-confirmed COVID-19 cases and deaths. Data as of",,,,,,
*,,,,,,
14 April 2020,,,,,,
Reporting Country/,Total,Total,Total,Total,Transmission,Days since last
Territory/Area †,"confirmed
‡",confirmed,deaths,new,classification §,reported case
,cases,new cases,,deaths,,
Western Pacific Region,,,,,,
China,83696,99,3351,0,Clusters of cases,0
Republic of Korea,10564,27,222,5,Clusters of cases,0
Japan,7645,390,109,7,Clusters of cases,0
Australia,6366,44,61,0,Clusters of cases,0
Philippines,4932,284,315,18,Clusters of cases,0
Malaysia,4817,134,77,1,Clusters of cases,0
Singapore,2918,386,9,1,Clusters of cases,0
New Zealand,1072,8,9,4,Sporadic cases,0
Viet Nam,265,3,0,0,Clusters of cases,0
Brunei Darussalam,136,0,1,0,Sporadic cases,3
Cambodia,122,0,0,0,Sporadic cases,2
"Lao People's
Democratic Republic",19,0,0,0,Sporadic cases,1
Mongolia,17,1,0,0,Sporadic cases,0
Fiji,16,0,0,0,Sporadic cases,3
Papua New Guinea,2,0,0,0,Sporadic cases,5
Territories **,,,,,,
Guam,134,1,5,0,Clusters of cases,0
French Polynesia,55,2,0,0,Sporadic cases,0
New Caledonia,18,0,0,0,Sporadic cases,11
"Northern Mariana
Islands
(Commonwealth of
the)",11,0,2,0,Pending,5
European Region,,,,,,
Spain,169496,3477,17489,517,Pending,0
Italy,159516,3153,20465,564,Pending,0
Germany,125098,2082,2969,170,Pending,0
France,97050,2668,14946,572,Pending,0
The United Kingdom,88625,4342,11329,717,Pending,0
Turkey,61049,4093,1296,98,"Community
transmission",0
Belgium,30589,942,3903,303,Pending,0
Netherlands,26551,964,2823,86,Pending,0
Switzerland,25499,279,885,27,"Community
transmission",0
Russian Federation,21102,2774,170,22,Clusters of cases,0
Portugal,16934,349,535,31,Pending,0
Austria,14043,106,368,18,Pending,0
Israel,11235,357,110,7,Pending,0
Sweden,10948,465,919,20,Pending,0

Ireland,10647,992,365,31,Pending,0
Poland,6934,260,245,13,Pending,0
Romania,6633,333,318,12,Pending,0
Norway,6488,73,114,11,Pending,0
Denmark,6318,144,285,12,Pending,0
Czechia,6059,68,143,5,Pending,0
Serbia,4054,424,85,5,Pending,0
Ukraine,3372,270,98,5,Clusters of cases,0
Luxembourg,3292,11,69,3,Pending,0
Finland,3064,90,59,3,Pending,0
Belarus,2919,341,29,3,Clusters of cases,0
Greece,2145,31,99,1,Pending,0
Republic of Moldova,1712,50,36,3,Pending,0
Iceland,1711,10,8,0,Pending,0
Croatia,1650,50,25,2,Pending,0
Hungary,1512,54,122,13,Pending,0
Estonia,1332,23,28,3,Pending,0
Slovenia,1212,7,55,2,Pending,0
Azerbaijan,1148,50,12,1,Clusters of cases,0
Kazakhstan,1091,112,12,0,Pending,0
Lithuania,1070,8,24,0,Pending,0
Uzbekistan,1054,158,4,0,Clusters of cases,0
Armenia,1039,0,14,0,Clusters of cases,1
"Bosnia and
Herzegovina",1034,27,38,0,"Community
transmission",0
North Macedonia,854,26,38,4,Clusters of cases,0
Slovakia,769,27,2,0,Pending,0
Bulgaria,685,10,32,3,Pending,0
Cyprus,662,29,17,1,Pending,0
Latvia,655,4,5,0,Pending,0
Andorra,651,12,29,0,"Community
transmission",0
Albania,475,29,23,0,Clusters of cases,0
Kyrgyzstan,430,11,5,0,Pending,0
Malta,384,6,3,0,Pending,0
San Marino,371,15,36,1,"Community
transmission",0
Georgia,296,30,3,0,Clusters of cases,0
Montenegro,274,7,4,2,Clusters of cases,0
Monaco,93,39,0,0,Sporadic cases,0
Liechtenstein,80,0,1,0,Pending,3
Holy See,8,0,0,0,Sporadic cases,5
Territories **,,,,,,
Kosovo [1],377,15,8,1,"Community
transmission",0
Isle of Man,228,2,2,1,Pending,0
Guernsey,218,9,6,0,Pending,0
Jersey,213,15,4,0,Pending,0
Faroe Islands,184,0,0,0,Pending,6
Gibraltar,129,0,0,0,Pending,1

Greenland,11,0,0,0,Pending,8
South-East Asia Region,,,,,,
India,10363,1211,339,31,Clusters of cases,0
Indonesia,4557,316,399,26,"Community
transmission",0
Thailand,2613,34,41,1,Pending,0
Bangladesh,803,182,39,5,Pending,0
Sri Lanka,218,8,7,0,Clusters of cases,0
Myanmar,62,21,4,0,Clusters of cases,0
Maldives,20,0,0,0,Sporadic cases,1
Nepal,16,4,0,0,Sporadic cases,0
Timor-Leste,6,4,0,0,Sporadic cases,0
Bhutan,5,0,0,0,Sporadic cases,11
