"Coronavirus disease 2019 (COVID-19)
Situation Report – 88",,
"Data as received by WHO from national authorities by 10:00 CEST, 17 April 2020",,
HIGHLIGHTS,,SITUATION IN NUMBERS
,,total (new cases in last 24 hours)
•,No new country/territory/area reported cases of COVID-19 in the past 24 hours.,
,,Globally
•,"Globally, the number of reported confirmed cases exceeded 2 million.",2 074 529 confirmed (82 967)
,,139 378 deaths (8493)
•,WHO has released public health guidance for social and religious practices and,
,gatherings during Ramadan. The guidance also offers advice to strengthen,European Region
,mental and physical wellbeing as the COVID-19 pandemic continues. The,1 050 871 confirmed (37 778)93 480 deaths (4163)
,guidance is available here.,
,,Region of the Americas
•,WHO has released guidance on considerations in adjusting public health and,743 607 confirmed (36 486)
,social measures in the context of COVID-19. This document is intended for,33 028 deaths (2783)
,national authorities and decision makers in countries that have introduced large,
,scale public health and social measures. It offers guidance for adjusting public,Western Pacific Region127 595 confirmed (2024)
,"health and social measures, while managing the risk of a resurgence of",5558 deaths (1319)
,cases. The guidance is available here.,
,,Eastern Mediterranean Region
•,The Chinese authorities have informed WHO that as cases have declined in,115 824 confirmed (4392)
,"China and the strain on the healthcare system has eased, a multisectoral team",5662 deaths (130)
,was established in late March 2020 to perform a comprehensive review of,South-East Asia Region
,"COVID-19 data in Wuhan, Hubei Province. Information from a variety of sources",23 560 confirmed (1770)
,"was reviewed, leading to duplicate cases being removed and missed cases",1051 deaths (61)
,"added. Following this review, the total number of cases in Wuhan increased by",
,325 and the total number of deaths increased by 1290.,African Region
,,12 360 confirmed (517)
,,586 deaths (36)
•,"As of 11 April 2020, 167 countries, territories and areas have implemented",
,additional health measures that significantly interfere with international traffic.,WHO RISK ASSESSMENT
,An updated summary is outlined in the ‘Subject in Focus’ below.,Global Level Very High
"Figure 1. Countries, territories or areas with reported confirmed cases of COVID-19, 17 April 2020",,

SUBJECT IN FOCUS: Additional health measures significantly interfere with international,,,,,,,
traffic,,,,,,,
"As of 11 April 2020, 167 countries, territories and areas have implemented additional health measures that",,,,,,,
significantly interfere with international traffic as defined under Article 43 of the International Health Regulations,,,,,,,
(2005) (Table 1).,,,,,,,
Table 1. Number of States Parties officially reporting additional health measures that significantly interfere with,,,,,,,
"international traffic (i.e. more than 24-hour delay), under Article 43 of the IHR (2005), by WHO region",,,,,,,
WHO Region,AFR,AMR/ PAH,EMR,EUR,SEAR,WPR,Total
6 February,-,10,-,2,1,9,22
12 February,1,2,1,1,-,3,8
21 February,-,-,-,2,-,2,4
28 February,-,-,"1*
1* update","5 (3*)
1* update",-,"1*
6* updates",7
5 March,-,"1*
5* updates",1*,2*,-,"-
8* updates",4
12 March,-,1,-,"5
3 updates",-,3 updates,6
19 March,-,"11
12 updates","1
1 update","18
19 updates",6,"2
4 updates",38
26 March,"22
1 update","6
17 updates",1,"6
20 updates","4
8 updates","8
12 updates",47
3 April,"6
2 updates",2,"9
2 updates","5
15 updates","-
5 updates","-
2 updates",22
9 April,-,-,"3
3 updates","4
17 updates","-
3 updates","2
2 updates",9
Total,29,33,17,50,11,27,167
Numbers in parenthesis illustrate the number of reports – new or updates - received since previous announcement.,,,,,,,
"(*) designates that the State Party reports on measures directed to other countries in addition to China. Since 17 March, all",,,,,,,
countries report measures towards more than one country.,,,,,,,
"Since 6 February 2020, WHO has shared information regarding additional health measures in relation to the COVID-",,,,,,,
"19 outbreak with Member States every week through the Event Information Site, a secure platform accessible by",,,,,,,
national IHR focal points and United Nations agencies. The majority of measures taken by Member States relate to,,,,,,,
"the denial of entry of passengers from countries experiencing outbreaks, followed by flight suspensions, visa",,,,,,,
"restrictions, border closures, and quarantine measures. The public health rationale provided by States relates to",,,,,,,
"these measures being part of a comprehensive set of interventions aiming at reducing the spread of the disease, the",,,,,,,
"unknowns about the new virus and the disease, perceived vulnerabilities and concerns about overburdening the",,,,,,,
"public health response capacities, limited capacities to quarantine returning travelers, specificities of small islands",,,,,,,
"states, and the absence of treatment or vaccine.",,,,,,,
WHO has held weekly technical coordination meetings with the aviation and tourism sectors. WHO also produces,,,,,,,
regularly updated guidance and online courses on points of entry and mass gatherings which is available here. The,,,,,,,
UN International Civil Aviation Organization (ICAO) published an analysis of the economic impact of COVID-19 on civil,,,,,,,
"aviation yesterday, which is available here. Airport Council International has also published a survey of good",,,,,,,
"practices at major airports on operations during COVID-19, available here. The International Air Transport",,,,,,,
"Association (IATA) has recently published a Quick Reference Guide for Ground Handling during COVID-19, which can",,,,,,,
be found here.,,,,,,,

SURVEILLANCE,,,,,,
"Table 2. Countries, territories or areas with reported laboratory-confirmed COVID-19 cases and deaths. Data as of",,,,,,
*,,,,,,
17 April 2020,,,,,,
Reporting Country/,Total,Total,Total,Total,Transmission,Days since last
Territory/Area †,"confirmed
‡",confirmed,deaths,new,classification §,reported case
,cases,new cases,,deaths,,
Western Pacific Region,,,,,,
China,84149,352,4642,1290,Clusters of cases,0
Republic of Korea,10635,22,230,1,Clusters of cases,0
Japan,9167,585,148,12,Clusters of cases,0
Australia,6468,10,63,0,Clusters of cases,0
Philippines,5660,207,362,13,Clusters of cases,0
Malaysia,5182,110,84,1,Clusters of cases,0
Singapore,4427,728,10,0,Clusters of cases,0
New Zealand,1086,2,11,2,Clusters of cases,0
Viet Nam,268,1,0,0,Clusters of cases,0
Brunei Darussalam,136,0,1,0,Sporadic cases,6
Cambodia,122,0,0,0,Sporadic cases,5
Mongolia,31,1,0,0,Sporadic cases,0
"Lao People's
Democratic Republic",19,0,0,0,Sporadic cases,4
Fiji,17,1,0,0,Sporadic cases,0
Papua New Guinea,7,5,0,0,Sporadic cases,0
Territories **,,,,,,
Guam,135,0,5,0,Clusters of cases,2
French Polynesia,55,0,0,0,Sporadic cases,3
New Caledonia,18,0,0,0,Sporadic cases,14
"Northern Mariana
Islands
(Commonwealth of
the)",13,0,2,0,Pending,2
European Region,,,,,,
Spain,182816,5183,19130,551,Pending,0
Italy,168941,3786,22172,525,Pending,0
Germany,133830,3380,3868,299,Pending,0
France,107778,2623,17899,753,Pending,0
