Coronavirus disease (COVID-19),,
Situation Report – 102,,
"Data as received by WHO from national authorities by 10:00 CEST, 1 May 2020",,
This report has been reformatted to improve accessibility for persons with visual impairment.,,
Highlights,,
Two new Member States (Comoros and Tajikistan) reported cases of COVID-19 in the past 24 hours.,,
The third meeting of the Emergency Committee was convened by the WHO Director-General under the,,
International Health Regulations (2005) (IHR) regarding COVID-19.,,
"The WHO Regional Director for Europe, Dr. Hans Henri P. Kluge mentioned that “we will defeat COVID-",,
"19 by disseminating knowledge in all transparency, by personalized support in the field and by",,
"unfailing solidarity”. In another statement, he emphasized that “we cannot allow the impact of COVID-",,
19 to be amplified by neglecting other vital health protection measures”.,,
The WHO Regional Office for the Americas urged health authorities to take specific steps to protect,,
health care workers and communities during essential immunization activities throughout the COVID-,,
19 pandemic.,,
WHO virtually convened vaccine manufacturers and national regulatory authorities from its South-,,
East Asia Region to discuss COVID-19 vaccines.,,
"In the Subject in Focus below, we describe WHO’s work to ensure that shipping and seafarers can",,
"continue to deliver vital goods, including medical supplies and food during the COVID-19 pandemic",,
Situation in numbers (by WHO Region),,
Total (new cases in last 24 hours),,
Globally,3 175 207 cases (84 771),224 172 deaths (6403)
Africa,26 663 cases (1950),973 deaths (35)
Americas,1 291 917 cases (45 727),69 087 deaths (3859)
Eastern Mediterranean,188 585 cases (6168),7598 deaths (151)
Europe,1 461 404 cases (26764),138 200 deaths (2239)
South-East Asia,57 088 cases (3067),2174 deaths (86)
Western Pacific,148 838 cases (1095),6127 deaths (33)

Subject in focus
"Partnership coordination to facilitate ship movements during COVID-19, including the issuance of Ship"
Sanitation Certificates
"On April 22, 2020 the Directors-General of the World Health Organization (WHO) and the"
International Labour Organization (ILO) and the Secretary-General of the International Maritime
"Organization (IMO) issued a joint statement on medical certificates of seafarers, ship sanitation"
"certificates and medical care of seafarers in the context of the COVID-19 pandemic. WHO, IMO"
"and the ILO, in cooperation with international seafarers’ and ship-owners’ organizations, are"
"working together to ensure the ability of shipping and seafarers to continue to deliver vital goods,"
including medical supplies and food.
"In the statement, the three organizations strongly encourage governments to facilitate ship"
"movements, including docking, crew changes, ship inspection and the issuance of Ship Sanitation"
Certificates (SSCs) during the COVID-19 pandemic.
"Under the framework of the International Health Regulations (IHR) (2005), State Parties are"
"required to authorize ports to conduct ship inspections and issue Ship Sanitation Certificates, as"
"well as to provide the services referred to in Annex 1 of the IHR, which expands on an important set"
of core capacities for points of entry. The scope of the application of SSCs is delineated in the WHO
Handbook for inspection of ships and issuance of ship sanitation certificates. A ship without a valid
SSC (e.g. carrying an expired SSC) is considered an ‘affected’ ship and is subject to health
"measures, as deemed necessary by the health authorities, to prevent the spread of diseases."
The SSCs are valid for a maximum period of six months and this period may be extended by one
month if the inspection or control measures required cannot be accomplished at the port.
"However, in the current situation, renewals of SSCs may not be possible at ports due to port"
closures and other restriction measures put in place by countries. This in turn could impede the
movement of ships as ships without SSCs are considered ‘affected’. To facilitate the renewal of
"ship sanitation certificates and prevent unnecessary interference to international maritime traffic,"
extraordinary temporary measures have been introduced. These are referred to in the joint
"statement with regard to the renewal of SSCs, as well as ship inspections, and protective"
measures against COVID-19.

Surveillance
"Figure 1. Number of confirmed COVID-19 cases reported in the last seven days by country, territory or area, 25 April to 1 May*"
"*See Annex 1 for data, table and figure notes."

"Figure 2. Number of confirmed COVID-19 cases, by date of report and WHO region, 30 December 2019 through 1 May 2020*"
"*See Annex 1 for data, table and figure notes."

"Table 1. Countries, territories or areas with reported laboratory-confirmed COVID-19 cases and deaths, by WHO region. Data as of 10 AM CEST, 1 May 2020*",,,,,,
Reporting Country/,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
Territory/Area,cases,new cases,,,classificationi,reported case
Africa,,,,,,
South Africa,5647,297,103,0,Community transmission,0
Algeria,4006,158,450,6,Community transmission,0
Ghana,2074,403,17,1,Clusters of cases,0
Nigeria,1932,400,58,14,Community transmission,0
Cameroon,1832,26,61,2,Clusters of cases,0
Guinea,1495,144,7,0,Community transmission,0
Côte d’Ivoire,1275,37,14,0,Clusters of cases,0
Senegal,933,51,9,0,Clusters of cases,0
Niger,719,6,32,0,Clusters of cases,0
Burkina Faso,645,7,43,1,Community transmission,0
"Democratic Republic of the
Congo",572,72,31,0,Clusters of cases,0
Mali,490,8,26,1,Clusters of cases,0
United Republic of Tanzania,480,0,17,1,Clusters of cases,1
Kenya,396,12,17,2,Clusters of cases,0
Mauritius,332,0,10,0,Community transmission,4
Equatorial Guinea,315,0,2,1,Clusters of cases,2
Gabon,276,0,3,0,Clusters of cases,1
Rwanda,243,18,0,0,Clusters of cases,0
Congo,220,0,9,0,Clusters of cases,1
Guinea-Bissau,201,124,1,0,Sporadic cases,0
Liberia,141,0,16,0,Clusters of cases,2

Reporting Country/,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
Territory/Area,cases,new cases,,,classificationi,reported case
Madagascar,132,4,0,0,Clusters of cases,0
Ethiopia,131,1,3,0,Clusters of cases,0
Sierra Leone,124,8,7,2,Clusters of cases,0
Cabo Verde,121,8,1,0,Sporadic cases,0
Togo,116,7,9,2,Clusters of cases,0
Zambia,106,9,3,0,Sporadic cases,0
Eswatini,100,9,1,0,Sporadic cases,0
Benin,84,15,2,0,Sporadic cases,0
Uganda,81,2,0,0,Sporadic cases,0
Mozambique,76,0,0,0,Sporadic cases,4
Chad,73,21,3,1,Sporadic cases,0
Central African Republic,64,14,0,0,Sporadic cases,0
Eritrea,39,0,0,0,Sporadic cases,12
Malawi,37,1,3,0,Sporadic cases,0
South Sudan,35,1,0,0,Sporadic cases,0
Zimbabwe,32,0,4,0,Sporadic cases,2
Angola,27,0,2,0,Sporadic cases,3
Botswana,23,0,1,0,Sporadic cases,2
Namibia,16,0,0,0,Sporadic cases,25
São Tomé and Príncipe,16,5,1,1,Sporadic cases,0
Burundi,15,0,1,0,Sporadic cases,4
Gambia,12,1,1,0,Sporadic cases,0
Seychelles,11,0,0,0,Sporadic cases,24

Reporting Country/,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
Territory/Area,cases,new cases,,,classificationi,reported case
Mauritania,8,1,1,0,Sporadic cases,0
Comoros,1,1,0,0,Pending,0
Territoriesii,,,,,,
Mayotte,539,79,4,0,Clusters of cases,0
Réunion,420,0,0,0,Clusters of cases,1
Americas,,,,,,
United States of America,1035353,31379,55337,2909,Community transmission,0
Brazil,78162,6276,5466,449,Community transmission,0
Canada,52056,1693,3082,178,Community transmission,0
Peru,33931,2741,943,89,Community transmission,0
Ecuador,24934,259,900,17,Community transmission,0
Mexico,17799,1047,1732,163,Community transmission,0
Chile,16023,1138,227,11,Community transmission,0
Dominican Republic,6972,320,301,8,Community transmission,0
Panama,6378,178,178,2,Community transmission,0
Colombia,6211,262,278,9,Community transmission,0
Argentina,4304,103,215,8,Community transmission,0
Cuba,1501,34,61,3,Clusters of cases,0
Bolivia (Plurinational State of),1110,57,59,4,Clusters of cases,0
Honduras,771,33,71,5,Clusters of cases,0
Costa Rica,713,8,6,0,Clusters of cases,0
Uruguay,630,5,15,0,Clusters of cases,0
Guatemala,585,28,16,0,Clusters of cases,0
Jamaica,396,15,7,0,Clusters of cases,0

Reporting Country/,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
Territory/Area,cases,new cases,,,classificationi,reported case
