Coronavirus disease (COVID-19),,
Situation Report – 103,,
"Data as received by WHO from national authorities by 10:00 CEST, 2 May 2020",,
This report has been reformatted to improve accessibility for persons with visual impairment.,,
Highlights,,
No new country/territory/area reported cases of COVID-19 in the past 24 hours.,,
WHO and the European Investment Bank yesterday signed a collaboration agreement to accelerate,,
investment in health preparedness and primary healthcare in countries most vulnerable to the COVID-19,,
pandemic. The first phase will strengthen primary healthcare in ten African countries. The Director-,,
"General Dr. Tedros, in his regular media briefing yesterday said that, with the signing of the agreement,",,
“We are deepening our relationship with the European Union”. He also reminded all that the European,,
Commission will host a pledging conference on 4 May to raise funds for investment in vaccine research.,,
Situation in numbers (by WHO Region),,
Total (new cases in last 24 hours),,
Globally,3 267 184 cases (91 977),229 971 deaths (5799)
Africa,27 973 cases (1310),1013 deaths (40)
Americas,1 340 591 cases (48 674),72 196 deaths (3109)
Eastern Mediterranean,194 991 cases (6406),7741 deaths (143)
Europe,1 492 024 cases (30 620),140 586 deaths (2386)
South-East Asia,60 490 cases (3402),2256 deaths (82)
Western Pacific,150 403 cases (1565),6166 deaths (39)

Surveillance
"Figure 1. Number of confirmed COVID-19 cases reported in the last seven days by country, territory or area, 26 April to 2 May**"
"**See Annex 1 for data, table and figure notes."

"Figure 2. Number of confirmed COVID-19 cases, by date of report and WHO region, 30 December 2019 through 2 May 2020**"
"**See Annex 1 for data, table and figure notes."

"Table 1. Countries, territories or areas with reported laboratory-confirmed COVID-19 cases and deaths, by WHO region. Data as of 10 AM CEST, 2 May 2020**",,,,,,
Reporting Country/,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
Territory/Area,cases,new cases,,,classificationi,reported case
Africa,,,,,,
South Africa,5951,304,116,13,Community transmission,0
Algeria,4154,148,453,3,Community transmission,0
Nigeria,2170,238,68,10,Community transmission,0
Ghana,2074,0,17,0,Clusters of cases,1
Cameroon,2069,237,61,0,Clusters of cases,0
Guinea,1537,42,7,0,Community transmission,0
Côte d’Ivoire,1275,0,14,0,Clusters of cases,1
Senegal,1024,91,9,0,Clusters of cases,0
Niger,728,9,33,1,Clusters of cases,0
Burkina Faso,649,4,44,1,Community transmission,0
"Democratic Republic of the
Congo",604,32,32,1,Clusters of cases,0
Mali,508,18,26,0,Clusters of cases,0
United Republic of Tanzania,480,0,17,0,Clusters of cases,2
Kenya,411,15,21,4,Clusters of cases,0
Mauritius,332,0,10,0,Community transmission,5
Equatorial Guinea,315,0,2,0,Clusters of cases,3
Gabon,308,32,4,1,Clusters of cases,0
Guinea-Bissau,257,56,1,0,Sporadic cases,0
Rwanda,249,6,0,0,Clusters of cases,0
Congo,229,9,10,1,Clusters of cases,0
Liberia,152,11,18,2,Clusters of cases,0

Reporting Country/,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
Territory/Area,cases,new cases,,,classificationi,reported case
Sierra Leone,136,12,8,1,Clusters of cases,0
Madagascar,135,3,0,0,Clusters of cases,0
Ethiopia,133,2,3,0,Clusters of cases,0
Togo,123,7,9,0,Clusters of cases,0
Cabo Verde,121,0,1,0,Sporadic cases,1
Zambia,109,3,3,0,Sporadic cases,0
Eswatini,106,6,1,0,Sporadic cases,0
Benin,90,6,2,0,Sporadic cases,0
