Coronavirus disease (COVID-19),,
Situation Report – 104,,
"Data as received by WHO from national authorities by 10:00 CEST, 3 May 2020",,
This report has been reformatted to improve accessibility for persons with visual impairment.,,
Highlights,,
WHO has recently updated the document on Country Preparedness and Response Status for COVID-,,
19.The document highlighted that all countries are at risk and need to prepare for and respond to,,
COVID-19. Each country is encouraged to plan its preparedness and response actions in line with the,,
global Strategic Preparedness and Response Plan.,,
"As Yemen confirms its first cases of COVID-19, WHO’s Regional Office for the Eastern Mediterranean",,
"issued a statement, stressing that collective action and commitment is the only way to mitigate the",,
"pandemic. “As long as even one case is unidentified and not properly treated, isolated and contacts",,
"traced, COVID-19 will continue to pose a significant threat to the Yemeni people and the country’s",,
struggling health system”.,,
WHO has recently published FAQs for COVID-19 Supply Portal. The COVID-19 Supply Portal is a purpose-,,
built tool to facilitate national authorities and all implementing partners supporting COVID-19 National,,
Action Plans to request critical supplies.,,
"Since 15 April, WHO is providing weekly update on COVID-19, with the latest update published on 1",,
"May. The report complements the daily situation reports, in addition to providing details on WHO",,
funding mechanism.,,
Situation in numbers (by WHO Region),,
Total (new cases in last 24 hours),,
Globally,3 349 786 cases (82 763),238 628 deaths (8657)
Africa,29 438 cases (1465),1064 deaths (51)
Americas,1 384 641 cases (44 050),78 409 deaths (6213)
Eastern Mediterranean,200 609 cases (5618),7871 deaths (130)
Europe,1 518 895 cases (27 032),142 667 deaths (2081)
South-East Asia,64 047 cases (3557),2375 deaths (119)
Western Pacific,151 444 cases (1041),6229 deaths (63)

Surveillance
"Figure 1. Number of confirmed COVID-19 cases reported in the last seven days by country, territory or area, 27 April to 3 May**"
"**See Annex 1 for data, table and figure notes."

"Figure 2. Number of confirmed COVID-19 cases, by date of report and WHO region, 30 December 2019 through 3 May 2020**"
"**See Annex 1 for data, table and figure notes."

"Table 1. Countries, territories or areas with reported laboratory-confirmed COVID-19 cases and deaths, by WHO region. Data as of 10 AM CEST, 3 May 2020**",,,,,,
Reporting Country/,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
Territory/Area,cases,new cases,,,classificationi,reported case
Africa,,,,,,
South Africa,6336,385,123,7,Community transmission,0
Algeria,4295,141,459,6,Community transmission,0
Nigeria,2388,218,85,17,Community transmission,0
Ghana,2169,95,18,1,Clusters of cases,0
Cameroon,2077,8,64,3,Clusters of cases,0
Guinea,1586,49,7,0,Community transmission,0
Côte d’Ivoire,1362,87,15,1,Clusters of cases,0
Senegal,1115,91,9,0,Clusters of cases,0
Niger,736,8,35,2,Clusters of cases,0
"Democratic Republic of the
Congo",674,70,33,1,Clusters of cases,0
Burkina Faso,652,3,44,0,Community transmission,0
Mali,544,36,26,0,Clusters of cases,0
United Republic of Tanzania,480,0,18,1,Clusters of cases,3
Kenya,435,24,22,1,Clusters of cases,0
Gabon,335,27,5,1,Clusters of cases,0
Mauritius,332,0,10,0,Community transmission,6
Equatorial Guinea,315,0,2,0,Clusters of cases,4
Guinea-Bissau,260,3,1,0,Sporadic cases,0
Rwanda,255,6,0,0,Clusters of cases,0
Congo,229,0,10,0,Clusters of cases,1
Sierra Leone,155,19,8,0,Clusters of cases,0

Reporting Country/,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
Territory/Area,cases,new cases,,,classificationi,reported case
Liberia,154,2,18,0,Clusters of cases,0
Cabo Verde,152,31,2,1,Sporadic cases,0
Madagascar,149,14,0,0,Clusters of cases,0
Ethiopia,133,0,3,0,Clusters of cases,1
Togo,123,0,9,0,Clusters of cases,1
Zambia,119,10,3,0,Sporadic cases,0
Chad,117,44,10,5,Sporadic cases,0
Eswatini,108,2,1,0,Sporadic cases,0
Benin,90,0,2,0,Sporadic cases,1
Uganda,85,2,0,0,Sporadic cases,0
Mozambique,79,0,0,0,Sporadic cases,1
Central African Republic,72,8,0,0,Sporadic cases,0
South Sudan,45,0,0,0,Sporadic cases,1
Eritrea,39,0,0,0,Sporadic cases,14
Malawi,38,1,3,0,Sporadic cases,0
Angola,35,6,2,0,Sporadic cases,0
Zimbabwe,34,0,4,0,Sporadic cases,1
