Coronavirus disease (COVID-19),,
Situation Report – 105,,
"Data as received by WHO from national authorities by 10:00 CEST, 4 May 2020",,
This report has been reformatted to improve accessibility for persons with visual impairment.,,
Highlights,,
"WHO has delivered additional medicines to the Islamic Republic of Iran as part of the Solidarity Trial, a",,
global effort to find an effective treatment for COVID-19. Find more on this here.,,
Polio disease surveillance teams are reaching into the most far-flung places of the globe to address,,
the COVID-19 pandemic. An article on polio teams working in Somalia is available here.,,
An update of WHO partner coordination is today’s ‘Subject in Focus’ below.,,
Situation in numbers (by WHO Region),,
Total (new cases in last 24 hours),,
Globally,3 435 894 cases (86 108),239 604 deaths (976)
Africa,30 536 cases (1098),1085 deaths (21)
Americas,1 433 756cases (49 115),77 827 deaths (-582)
Eastern Mediterranean,206 299 cases (5690),7971 deaths (100)
Europe,1 544 145 cases (25 250),143 987 deaths (1320)
South-East Asia,67 673 cases (3626),2463 deaths (88)
Western Pacific,152 773 cases (1329),6258 deaths (29)

Subject in Focus: Update on Partner Coordination,
"Many partners have been working closely with WHO from the beginning of the response, both at",
"WHO headquarters and in the field. UNICEF, IFRC, US CDC, and OCHA are major partners embedded in",
"the global COVID-19 incident management team in Geneva, and are supporting all pillars of response.",
127 Emergency Medical Teams (EMTs) are registered in the Global Classification,
(https://extranet.who.int/emt/) of which 29 are already classified and 98 under the classification,
"process. To date, a total of 19 EMTs have been deployed internationally and another 36 EMTs are",
"supporting national operations in the response to COVID-19, providing support to 15 countries.",
"As of 27 April 2020, EMT operations have significantly increased in Africa - the region with the most",
"international operations, followed by the European Region. In particular, large EMTs have been",
"deployed to Italy, Cambodia, Mongolia and Kyrgystan. 58 training sessions have been conducted with",
more than 3100 front line responders trained.,
Global Outbreak Alert and Response Network (GOARN) partners are: supporting risk assessment and,
"strategic and operational planning; and providing technical advice across all health operation pillars,",
"particularly clinical management, IPC, laboratory and risk communication and community engagement",
(RCCE).,
"As of 4 May, 2020, 400 offers of support have been received from GOARN partners. This includes a",
"large express of interest from “One Health” partners, particularly from the South-East Asia and the",
"Western Pacific Regions. Current support includes missions to Ethiopia, São Tomé and Príncipe,",
"Tajikistan, and Timor-Leste.",
"Esri, the global leader in geographic information system (GIS) software, is providing a free and",
comprehensive ArcGIS package to all GOARN partners and ministries of health to support the COVID-,
19 response. WHO and GOARN partners are working to facilitate online ArcGIS training to build and,
improve the operational capacity of partners. WHO is assessing GIS training needs and capacity among,
GOARN partners.,
"Asia and Africa RCCE regional coordination groups are triangulating operational social science data,",
"including community feedback data, sentiments and perception analysis and online data mining. This",
will better inform decision-making and community engagement strategies. The goal is to progressively,
connect partners collecting data into a more comprehensive and coordinated reporting and,
monitoring system available to all. At regional and global level RCCE teams are exploring the,
development of interagency dashboards for visualizing data to better inform operational response,
planning.,
"IFRC, UNICEF and WHO, in close coordination with GOARN and support from the Bill and Melinda",
"Gates Foundation, are working towards the establishment of a RCCE Global Collective Service to assist",
the public health and humanitarian response. This will build on the existing coordination efforts,
"towards providing global, regional and country support across to the health and humanitarian",
architecture.,
"In RCCE, the focus area this week includes:",
•,"Post lockdown engagement of communities including on reopening of schools, handwashing"
,campaign and engagement with faith based organizations on religious festivals including
,Ramadan.

•,Compilation of tips on community of engagement in low resource settings developed and,
,"disseminated among partners, offering good practice examples and innovative outreach",
,solutions.,
•,Community engagement data is being triangulated in the group to better utilize and inform,
,IMST decision making:,
,o,Exploring regional interagency dashboards for CE data to better inform operational
,,response planning.
,o,Rumour monitoring ongoing among partners like Internews. The goal is to better
,,connect partners collecting data into a more comprehensive reporting and monitoring
,,system available to all.
•,Proactive WHO and UNICEF engagement with faith-based organizations is being undertaken to,
,ensure that religious events and customs are aligned with the infection prevention and control,
,principles of this outbreak response.,
"On the occasion of World Hand Hygiene Day on 5 May, UNICEF is mobilizing global RCCE partners to",,
scale up handwashing outreach for COVID-19 prevention and Operationalization of the interim,,
recommendations on obligatory hand hygiene against transmission of COVID-19.,,

Surveillance
"Figure 1. Number of confirmed COVID-19 cases reported in the last seven days by country, territory or area, 28 April to 4 May**"
"**See Annex 1 for data, table and figure notes."

"Figure 2. Number of confirmed COVID-19 cases, by date of report and WHO region, 30 December 2019 through 4 May 2020**"
"**See Annex 1 for data, table and figure notes."

"Table 1. Countries, territories or areas with reported laboratory-confirmed COVID-19 cases and deaths, by WHO region. Data as of 10 AM CEST, 4 May 2020**",,,,,,
Reporting Country/,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
Territory/Area,cases,new cases,,,classificationi,reported case
Africa,,,,,,
South Africa,6783,447,131,8,Community transmission,0
Algeria,4474,179,463,4,Community transmission,0
Nigeria,2388,0,85,0,Community transmission,1
Ghana,2169,0,18,0,Clusters of cases,1
Cameroon,2077,0,64,0,Clusters of cases,1
Guinea,1650,64,7,0,Community transmission,0
Côte d’Ivoire,1398,36,17,2,Clusters of cases,0
Senegal,1273,158,9,0,Clusters of cases,0
Niger,750,14,36,1,Clusters of cases,0
"Democratic Republic of the
Congo",682,8,34,1,Clusters of cases,0
Burkina Faso,662,10,45,1,Community transmission,0
Mali,563,19,27,1,Clusters of cases,0
United Republic of Tanzania,480,0,18,0,Clusters of cases,4
Kenya,466,31,24,2,Clusters of cases,0
Gabon,335,0,5,0,Clusters of cases,1
Mauritius,332,0,10,0,Community transmission,7
Equatorial Guinea,315,0,2,0,Clusters of cases,5
Guinea-Bissau,292,32,2,1,Sporadic cases,0
Rwanda,259,4,0,0,Clusters of cases,0
Congo,229,0,10,0,Clusters of cases,2
Cabo Verde,165,13,2,0,Sporadic cases,0

Reporting Country/,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
Territory/Area,cases,new cases,,,classificationi,reported case
Liberia,158,4,18,0,Clusters of cases,0
Sierra Leone,157,2,8,0,Clusters of cases,0
Madagascar,151,2,0,0,Clusters of cases,0
Ethiopia,135,2,3,0,Clusters of cases,0
Togo,124,1,9,0,Clusters of cases,0
Zambia,124,5,3,0,Sporadic cases,0
Chad,117,0,10,0,Sporadic cases,1
Eswatini,112,4,1,0,Sporadic cases,0
Benin,90,0,2,0,Sporadic cases,2
Uganda,88,3,0,0,Sporadic cases,0
Mozambique,80,1,0,0,Sporadic cases,0
Central African Republic,72,0,0,0,Sporadic cases,1
South Sudan,46,1,0,0,Sporadic cases,0
Eritrea,39,0,0,0,Sporadic cases,15
Malawi,39,1,3,0,Sporadic cases,0
Angola,35,0,2,0,Sporadic cases,1
Zimbabwe,34,0,4,0,Sporadic cases,2
Botswana,23,0,1,0,Sporadic cases,5
São Tomé and Príncipe,23,0,3,0,Sporadic cases,1
Burundi,19,0,1,0,Sporadic cases,1
Gambia,17,0,1,0,Sporadic cases,1
Namibia,16,0,0,0,Sporadic cases,28
Seychelles,11,0,0,0,Sporadic cases,27

Reporting Country/,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
Territory/Area,cases,new cases,,,classificationi,reported case
Mauritania,8,0,1,0,Sporadic cases,3
Comoros,3,0,0,0,Pending,1
Territoriesii,,,,,,
Mayotte,650,54,6,0,Clusters of cases,0
Réunion,423,3,0,0,Clusters of cases,0
Americas,,,,,,
United States of America,1125719,31839,60710,-1696,Community transmission,0
Brazil,96559,4970,6750,421,Community transmission,0
Canada,59365,3793,3681,235,Community transmission,0
Peru,42534,2075,1200,76,Community transmission,0
Ecuador,29538,2074,1564,193,Community transmission,0
Mexico,22088,1349,2061,89,Community transmission,0
Chile,19663,1228,260,13,Community transmission,0
Dominican Republic,7954,376,333,7,Community transmission,0
Colombia,7285,279,324,10,Community transmission,0
Panama,7090,370,197,5,Community transmission,0
Argentina,4681,149,241,12,Community transmission,0
Cuba,1649,38,67,1,Clusters of cases,0
Bolivia (Plurinational State of),1470,241,71,5,Clusters of cases,0
Honduras,1010,111,76,1,Clusters of cases,0
Costa Rica,733,8,6,0,Clusters of cases,0
Guatemala,688,44,19,1,Clusters of cases,0
Uruguay,652,4,17,0,Clusters of cases,0
El Salvador,490,44,11,1,Clusters of cases,0

Reporting Country/,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
Territory/Area,cases,new cases,,,classificationi,reported case
Jamaica,463,31,8,0,Clusters of cases,0
Paraguay,370,37,10,0,Community transmission,0
"Venezuela (Bolivarian Republic
of)",345,0,10,0,Clusters of cases,1
Trinidad and Tobago,116,0,8,0,Sporadic cases,6
Haiti,85,0,8,0,Clusters of cases,1
Bahamas,82,0,11,0,Clusters of cases,1
Guyana,82,0,9,0,Clusters of cases,2
Barbados,81,0,7,0,Clusters of cases,2
Antigua and Barbuda,25,1,3,0,Clusters of cases,0
Grenada,21,1,0,0,Clusters of cases,0
Belize,18,0,2,0,Sporadic cases,19
Saint Lucia,17,0,0,0,Sporadic cases,4
Dominica,16,0,0,0,Clusters of cases,23
"Saint Vincent and the
Grenadines",16,0,0,0,Sporadic cases,4
