"Novel Coronavirus(2019-nCoV)
Situation Report – 21",,,
Data as reported by 10 February 2020*,,,
HIGHLIGHTS,,SITUATION IN NUMBERS,
,,total and new cases in last 24,
•,No new countries reported cases of 2019-nCoV in the past 24 hours.,hours,
•,The WHO R&D Blueprint is a global strategy and preparedness plan that,Globally,
,allows the rapid activation of R&D activities during epidemics. On 11-12,40 554 confirmed (3085 new),
,"February, WHO is convening a global research and innovation forum to",,
,mobilize international action and enable identification of key knowledge gaps,China,
,and research priorities to contribute to the control of 2019-nCoV. The forum,40 235 confirmed (3073 new),
,"will include members of the scientific community, researchers from Member",,
,"States’ public health agencies, regulatory experts, bioethicists with expertise",6484 severe (296 new),
,"in research in emergencies, and major funder of research related to 2019-",909 deaths (97 new),
,nCoV.,,
,,Outside of China,
,,319 confirmed (12 new),
,,24 countries,
,,1 death,
,,WHO RISK ASSESSMENT,
,,China,Very High
,,Regional Level,High
,,Global Level,High
"Figure 1. Countries, territories or areas with reported confirmed cases of 2019-nCoV, 10 February 2020",,,
*The situation report includes information provided by national authorities as of 10 AM Central European Time,,,

SURVEILLANCE,
"Table 1. Confirmed cases of 2019-nCoV acute respiratory disease reported by provinces, regions and cities in",
"China, 10 February 2020",
Province/Region/City,Confirmed Cases
Hubei,29631
Guangdong,1151
Zhejiang,1104
Henan,1073
Hunan,879
Anhui,830
Jiangxi,771
Jiangsu,492
Chongqing,468
Shandong,459
Sichuan,405
Beijing,337
Heilongjiang,331
Shanghai,295
Fujian,261
Hebei,218
Shaanxi,213
Guangxi,210
Yunnan,141
Hainan,136
Shanxi,119
Guizhou,109
Liaoning,107
Tianjin,91
Gansu,85
Jilin,80
Inner Mongolia,58
Ningxia,49
Xinjiang,49
Hong Kong SAR,36
Qinghai,18
Taipei and environs,18
Macao SAR,10
Xizang,1
Total,40 235

"Table 2. Countries, territories or areas with reported confirmed 2019-nCoV cases and deaths. Data as of 10",,,,,,
February 2020,,,,,,
,,,"Total
cases with","Total cases with Total cases with
possible or site of",,
,,Confirmed*,travel,confirmed,transmission,Total deaths
WHO Region,Country/Territory/Area,,,,,
,,cases (new),history to,transmission,under,(new)
