"Coronavirus disease 2019 (COVID-19)
Situation Report – 99",,
"Data as received by WHO from national authorities by 10:00 CEST, 28 April 2020",,
,HIGHLIGHTS,
,,SITUATION IN NUMBERS
,,total (new cases in last 24 hours)
•,"WHO has published the ‘R&D Blueprint: COVID-19 Experimental Treatments’,",Globally
,which lists drug and non-drug experimental treatments for COVID-19. This can be,2 954 222 confirmed (76 026)
,found here.,202 597 deaths (3932)
,,European Region
•,WHO has called on countries to ensure that usual immunization is maintained,1 386 693 confirmed (27 313)
,wherever possible and surveillance for vaccine-preventable diseases is not,126 429 deaths (1904)
,disrupted during the ongoing pandemic. The WHO Regional Office for Europe,Region of the Americas
,explores this in an article available here.,1 179 607 confirmed (39 087)
,,60 211 deaths (1722)
•,"WHO Director-General Dr. Tedros, in his regular media briefing yesterday,",Eastern Mediterranean Region
,"highlighted “As lockdowns in Europe ease with declining numbers of new cases, we",171 238 confirmed (5305)
,"continue to urge countries to find, isolate, test and treat all cases of COVID-19 and",7148 deaths (157)
,"trace every contact, to ensure these declining trends continue”. More information",
,,Western Pacific Region
,is available here.,145 385 confirmed (1264)
,,5998 deaths (40)
•,WHO continues to source millions of dollars of medical equipment and supplies to,
,,South-East Asia Region
,"help Member States access global markets, which are overwhelmed by",48 348 confirmed (2288)
,unprecedented demand. WHO is also supporting design and installation of COVID-,1917 deaths (93)
,"19 treatment centres in a number of countries. For more, see ‘Subject in Focus’",
,,African Region
,below.,22 239 confirmed (769)
,,881 deaths (16)
,,WHO RISK ASSESSMENT
,,Global Level Very High
"Figure 1. Countries, territories or areas with reported confirmed cases of COVID-19, 28 April 2020",,

SUBJECT IN FOCUS: Operations Support and Logistics (OSL) update
Sourcing Supplies – Progress Update
WHO and partners continue to work with suppliers to secure commitments for supplies needed for the COVID-19
"response in countries with limited means to access markets for personal protective equipment, diagnostic testing"
supplies and clinical care equipment.
"A diagnostic purchasing consortium, established by WHO to negotiate with manufacturers to address market"
"shortages of diagnostic tests and supplies, has secured commitment for five million tests to be procured over the"
next four weeks. WHO continues to look for suppliers who can provide sample collection kits to increase overall
procurement stocks.
Collective UN efforts to source extremely limited supplies of clinical equipment are ongoing. WHO and consortium
"partners have conducted market mapping activities to identify supply sources for oxygen concentrators, ventilators,"
"and other essential equipment for COVID-19 treatment centers. To date, approximately US$400 million in clinical"
"care equipment has been identified from oxygen production, biomedical equipment and accessories manufacturers."
Discussions with private sector partners indicate manufacturers are generally in favour of the COVID-19 Supply Chain
approach to sourcing and allocating supplies. This should bring clarity and transparency to requests for critical
supplies that manufacturers are receiving from around the world.
Sourcing activities for personal protective equipment are ongoing. The first batch of purchases are expected to be
"placed for 75 million masks, 50 million respirators, 28 million gloves and 10 million face shields."
Discussions are ongoing with the Jack Ma Foundation for an additional provision of 100 million surgical masks and
one million respirators.
Technical support for COVID-19 treatment centres
"WHO is supporting Italy’s Bologna and Puglia provinces, helping to design and install COVID-19 treatment centres in"
these provinces’ hospitals.
"In Nigeria, WHO has provided technical guidance for a proposed self-quarantine facility in an internally displaced"
persons (IDP) camp run by the International Organization for Migration (IOM).
"WHO has also provided support for the installation of COVID-19 treatment facilities in Burkina Faso, Côte d’Ivoire,"
"Senegal, São Tomé and Príncipe and Australia."

SURVEILLANCE,,,,,,
"Table 1. Countries, territories or areas with reported laboratory-confirmed COVID-19 cases and deaths, by WHO",,,,,,
region. * Data as of 28 April 2020,,,,,,
Reporting Country/,Total,New,Total,New,Transmission,Days since last
Territory/Area †,confirmed‡,confirmed,deaths,deaths,classification §,reported case
,cases,cases,,,,
Western Pacific Region,,,,,,
China,84347,6,4643,0,Clusters of cases,0
Singapore,14423,799,14,2,Clusters of cases,0
Japan,13576,191,376,25,Clusters of cases,0
Republic of Korea,10752,14,244,1,Clusters of cases,0
Philippines,7777,198,511,10,Clusters of cases,0
Australia,6725,12,84,1,Clusters of cases,0
Malaysia,5820,40,99,1,Clusters of cases,0
New Zealand,1124,2,19,0,Clusters of cases,0
Viet Nam,270,0,0,0,Clusters of cases,1
Brunei Darussalam,138,0,1,0,Sporadic cases,8
Cambodia,122,0,0,0,Sporadic cases,16
Mongolia,38,0,0,0,Sporadic cases,1
"Lao People's
Democratic Republic",19,0,0,0,Sporadic cases,15
Fiji,18,0,0,0,Sporadic cases,7
Papua New Guinea,8,0,0,0,Sporadic cases,5
Territories **,,,,,,
Guam,138,1,5,0,Clusters of cases,0
French Polynesia,58,1,0,0,Sporadic cases,0
New Caledonia,18,0,0,0,Sporadic cases,25
"Northern Mariana
Islands
(Commonwealth of
the)",14,0,2,0,Pending,10
European Region,,,,,,
Spain,209465,1831,23190,0,Pending,0
Italy,199414,1739,26977,333,"Community
transmission",0
The United Kingdom,157153,4309,21092,360,"Community
transmission",0
Germany,156337,1144,5913,163,"Community
transmission",0
France,127008,3729,23261,440,"Community
transmission",0
Turkey,112261,2131,2900,95,"Community
transmission",0
Russian Federation,93558,6411,867,73,Clusters of cases,0
Belgium,46687,553,7207,113,"Community
transmission",0
Netherlands,38245,400,4518,43,"Community
transmission",0

Switzerland,29081,103,1352,16,"Community
transmission",0
Portugal,24027,163,928,25,Pending,0
Ireland,19648,386,1102,15,"Community
transmission",0
Sweden,18926,286,2274,80,"Community
transmission",0
Israel,15466,68,202,3,Pending,0
Austria,15256,67,549,7,"Community
transmission",0
Belarus,12208,1745,79,7,Clusters of cases,0
Poland,11902,285,562,27,"Community
transmission",0
Romania,11339,303,631,23,"Community
transmission",0
Ukraine,9410,401,239,19,"Community
transmission",0
Denmark,8698,123,427,5,Pending,0
Serbia,8275,233,162,6,Pending,0
Norway,7533,28,193,0,Pending,0
Czechia,7449,45,223,2,"Community
transmission",0
Finland,4695,119,193,3,Pending,0
Luxembourg,3729,6,88,0,Pending,0
Republic of Moldova,3481,73,103,7,Pending,0
Kazakhstan,2982,191,25,0,Pending,0
Hungary,2649,66,291,11,Clusters of cases,0
Greece,2534,28,136,6,"Community
transmission",0
Croatia,2039,9,59,4,"Community
transmission",0
Uzbekistan,1924,37,8,0,Clusters of cases,0
Armenia,1867,59,30,1,Clusters of cases,0
Iceland,1792,0,10,0,"Community
transmission",1
Azerbaijan,1678,33,22,1,Clusters of cases,0
Estonia,1647,4,50,1,Pending,0
"Bosnia and
Herzegovina",1564,48,60,2,"Community
transmission",0
Lithuania,1449,0,41,0,"Community
transmission",1
Slovenia,1407,0,83,1,"Community
transmission",1
North Macedonia,1399,13,65,4,Clusters of cases,0
Slovakia,1381,2,18,0,Clusters of cases,0
Bulgaria,1363,63,58,2,Pending,0
Cyprus,822,5,20,3,Clusters of cases,0
Latvia,818,6,13,1,"Community
transmission",0
Andorra,748,8,40,0,"Community
transmission",0
Albania,736,10,28,0,Clusters of cases,0

