Coronavirus disease (COVID-19),,
Situation Report – 106,,
"Data as received by WHO from national authorities by 10:00 CEST, 5 May 2020",,
This report has been reformatted to improve accessibility for persons with visual impairment.,,
Highlights,,
Every year on May 5 we celebrate Hand Hygiene Day to mobilize people around the world to increase,,
"adherence to hand hygiene practices in healthcare facilities. In his media briefing, the Director-General",,
"reminded us that ‘around the world, fewer than two-thirds of healthcare facilities are equipped with",,
"hand hygiene stations, and 3 billion people lack soap and water at home’. Dr Poonam Khetrapal Singh,",,
"WHO Regional Director for South-East Asia, said that ‘Effective infection prevention and control",,
"measures, including hand hygiene, are crucial to ensuring health facilities do not become hubs of",,
COVID-19 transmission’.,,
A WHO COVID-19 mission has arrived in Tajikistan to support the country’s response to the pandemic.,,
Today also marks the International Day of the Midwife. Midwives provide life-saving services to,,
"pregnant women, ensuring healthy outcomes for women and their babies. As the Director-General said",,
"in his media briefing, ‘They’re risking their lives to give life to others.’ WHO Regional Office for Europe",,
has released a news article of the experiences of a midwife in Italy.,,
Yesterday leaders from 40 countries around the world came together to support the Access to COVID-,,
"19 Tools (ACT) Accelerator, a WHO initiative to support the development, production and equitable",,
"distribution of vaccines, diagnostics and therapeutics against COVID-19. Some €7.4 billion were pledged,",,
in what the Director-General described as a ‘powerful and inspiring demonstration of global,,
solidarity’.,,
Situation in numbers (by WHO Region),,
Total (new cases in last 24 hours),,
Globally,3 517 345 cases (81 454),243 401 deaths (3797)
Africa,32 570 cases (2036),1112 deaths (27)
Americas,1 477 447 cases (43 691),79 590 deaths (1763)
Eastern Mediterranean,213 376 cases (7077),8115 deaths (144)
Europe,1 566 684 cases (22 539),145 602 deaths (1615)
South-East Asia,72 688 cases (5015),2682 deaths (219)
Western Pacific,153 868 cases (1096),6287 deaths (29)

Subject in Focus: Operations Support and Logistics update
UN-led purchasing consortium procures diagnostic tests for delivery to 135 countries
"Unprecedented global demand for Personal Protective Equipment (PPE), ventilators and other critical items for"
the COVID-19 response has resulted in acute supply shortages. WHO is working across several different sectors
to enable countries with the most limited means to access markets for vital medical supplies to tackle the
COVID-19 pandemic.
"WHO – together with other UN agencies, NGOs and donor partners – are negotiating collectively with"
"manufacturers through a pooled procurement process, to address global market shortages in the three"
categories of vital supplies essential for the COVID-19 response: PPE; diagnostics; and biomedical equipment.
"With support from the Solidarity Response Fund, the diagnostics consortium has secured 4 million manual"
"Polymerase Chain Reaction (PCR) tests for $49 million, and initiated purchase orders for allocation and"
distribution to 135 countries for the month of May. These initial purchases will serve as a catalyst for securing
"supplies for additional procurement, as payments from countries receiving these deliveries will provide"
additional funding for procuring more supplies and equipment for allocation and delivery in the coming months.
WHO is engaged in discussions with suppliers to explore further channels of cooperation for sourcing pooled
"procurement of PPE, testing supplies and biomedical equipment. Through a purchasing consortium for PPE,"
"contracts have been secured from Chinese and Malaysian manufacturers for substantial volumes of masks,"
gloves and other critical supplies to protect frontline healthcare workers. WHO is currently in the process of
"placing purchase orders for these supplies, while the consortium continues efforts to secure additional"
quantities of PPE.
WHO continues to strongly advocate for the urgent need to increase production of these life-saving supplies to
strengthen response capacity of Member States confronting the COVID-19 pandemic.
COVID-19 Supply Portal Launch
WHO has launched a new COVID-19 Supply Portal.
The COVID-19 Supply Portal is a purpose-built tool to facilitate and consolidate submission of supply requests
from national authorities and all implementing partners supporting COVID-19 National Action Plans. Those
requests will then be matched against purchasing agencies of the Consortia that can execute the order and
"process it, utilizing their existing ordering systems. A catalogue of items that can be requested is available online"
"and is broadly divided into three categories: personal protective equipment, diagnostics, and clinical"
"management. The Portal is accessed via the COVID-19 Partners Platform, which is accessed here, and provides"
further information including a video and guide to requesting and receiving supplies and frequently asked
questions.
"Guidance on its roll-out and use has been provided to the UN Development Coordination Office, WHO Regional"
"Directors, UN agencies and other key actors. WHO is preparing a circular to introduce the Portal to Member"
States and national authorities.
https://www.who.int/emergencies/diseases/novel-coronavirus-2019/strategies-plans-and-operations/

Surveillance
"Figure 1. Number of confirmed COVID-19 cases reported in the last seven days by country, territory or area, 29 April to 5 May**"
"**See Annex 1 for data, table and figure notes."

"Figure 2. Number of confirmed COVID-19 cases, by date of report and WHO region, 30 December 2019 through 5 May 2020**"
"**See Annex 1 for data, table and figure notes."

"Table 1. Countries, territories or areas with reported laboratory-confirmed COVID-19 cases and deaths, by WHO region. Data as of 10 AM CEST, 5 May 2020**",,,,,,
Reporting Country/,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
Territory/Area,cases,new cases,,,classificationi,reported case
Africa,,,,,,
South Africa,7220,437,138,7,Community transmission,0
Algeria,4648,174,465,2,Community transmission,0
Nigeria,2802,414,93,8,Community transmission,0
Ghana,2719,550,18,0,Clusters of cases,0
Cameroon,2077,0,64,0,Clusters of cases,2
Guinea,1710,60,9,2,Community transmission,0
Côte d’Ivoire,1432,34,17,0,Clusters of cases,0
Senegal,1271,0,10,1,Clusters of cases,1
Niger,755,5,37,1,Clusters of cases,0
"Democratic Republic of the
Congo",682,0,34,0,Clusters of cases,1
Burkina Faso,672,10,46,1,Community transmission,0
Mali,580,17,29,2,Clusters of cases,0
Kenya,490,24,24,0,Clusters of cases,0
United Republic of Tanzania,480,0,18,0,Clusters of cases,5
Gabon,367,32,6,1,Clusters of cases,0
Mauritius,332,0,10,0,Community transmission,8
Equatorial Guinea,315,0,2,0,Clusters of cases,6
Guinea-Bissau,292,0,2,0,Sporadic cases,1
Rwanda,261,2,0,0,Clusters of cases,0
Congo,236,7,10,0,Clusters of cases,0
Sierra Leone,178,21,9,1,Clusters of cases,0

Reporting Country/,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
Territory/Area,cases,new cases,,,classificationi,reported case
Liberia,166,8,18,0,Clusters of cases,0
Cabo Verde,165,0,2,0,Sporadic cases,1
São Tomé and Príncipe,161,138,3,0,Sporadic cases,0
Madagascar,158,7,0,0,Clusters of cases,0
Ethiopia,140,5,3,0,Clusters of cases,0
Zambia,137,13,3,0,Sporadic cases,0
Togo,126,2,9,0,Clusters of cases,0
Chad,117,0,10,0,Sporadic cases,2
Eswatini,116,4,1,0,Sporadic cases,0
Benin,96,6,2,0,Sporadic cases,0
Central African Republic,94,22,0,0,Sporadic cases,0
Uganda,89,1,0,0,Sporadic cases,0
Mozambique,80,0,0,0,Sporadic cases,1
South Sudan,49,3,0,0,Sporadic cases,0
Malawi,41,2,3,0,Sporadic cases,0
Eritrea,39,0,0,0,Sporadic cases,16
Angola,35,0,2,0,Sporadic cases,2
Zimbabwe,34,0,4,0,Sporadic cases,3
Botswana,23,0,1,0,Sporadic cases,6
Burundi,19,0,1,0,Sporadic cases,2
Gambia,17,0,1,0,Sporadic cases,2
Namibia,16,0,0,0,Sporadic cases,29
Seychelles,11,0,0,0,Sporadic cases,28

Reporting Country/,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
Territory/Area,cases,new cases,,,classificationi,reported case
Mauritania,8,0,1,0,Sporadic cases,4
Comoros,4,1,1,1,Pending,0
Territoriesii,,,,,,
Mayotte,686,36,6,0,Clusters of cases,0
Réunion,424,1,0,0,Clusters of cases,0
Americas,,,,,,
United States of America,1154985,29266,61906,1196,Community transmission,0
Brazil,101147,4588,7025,275,Community transmission,0
Canada,59844,479,3766,85,Community transmission,0
Peru,45928,3394,1286,86,Community transmission,0
Ecuador,31881,2343,1569,5,Community transmission,0
Mexico,23471,1383,2154,93,Community transmission,0
Chile,20643,980,270,10,Community transmission,0
Dominican Republic,8235,281,346,13,Community transmission,0
Colombia,7668,383,340,16,Community transmission,0
Panama,7197,107,200,3,Community transmission,0
Argentina,4799,118,250,9,Community transmission,0
Cuba,1668,19,69,2,Clusters of cases,0
Bolivia (Plurinational State of),1594,124,76,5,Clusters of cases,0
Honduras,1055,45,82,6,Clusters of cases,0
Costa Rica,739,6,6,0,Clusters of cases,0
Guatemala,703,15,17,-2,Clusters of cases,0
Uruguay,655,3,17,0,Clusters of cases,0
El Salvador,555,65,12,1,Clusters of cases,0

Reporting Country/,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
Territory/Area,cases,new cases,,,classificationi,reported case
Jamaica,469,6,9,1,Clusters of cases,0
Paraguay,396,26,10,0,Community transmission,0
"Venezuela (Bolivarian Republic
of)",357,12,10,0,Clusters of cases,0
Trinidad and Tobago,116,0,8,0,Sporadic cases,7
Haiti,88,3,9,1,Clusters of cases,0
Bahamas,83,1,11,0,Clusters of cases,0
Barbados,82,1,7,0,Clusters of cases,0
Guyana,82,0,9,0,Clusters of cases,3
Antigua and Barbuda,25,0,3,0,Clusters of cases,1
Grenada,21,0,0,0,Clusters of cases,1
Belize,18,0,2,0,Sporadic cases,20
Saint Lucia,18,1,0,0,Sporadic cases,0
"Saint Vincent and the
Grenadines",17,1,0,0,Sporadic cases,0
Dominica,16,0,0,0,Clusters of cases,24
Nicaragua,15,1,5,1,Pending,0
