Coronavirus disease (COVID-19),,
Situation Report – 107,,
"Data as received by WHO from national authorities by 10:00 CEST, 6 May 2020",,
This report has been reformatted to improve accessibility for persons with visual impairment.,,
Highlights,,
It has been 20 years since the inception of the Global Outbreak Alert and Response Network,,
"(GOARN), a close WHO partner which has responded to emergencies in 85 different countries, including",,
the COVID-19 pandemic.,,
"The WHO Regional Director for the Americas, Dr. Carissa F. Etienne, warned that reducing social",,
distancing measures “too soon could accelerate the spread of the virus and open the door for a,,
dramatic upsurge or for spread to adjacent areas”.,,
"In the ‘Subject in Focus’, we provide details on a webinar that WHO hosted yesterday to find out more",,
about how young people are contributing to the COVID-19 response and how they see their future in a,,
post-pandemic world.,,
Situation in numbers (by WHO Region),,
Total (new cases in last 24 hours),,
Globally,3 588 773 cases (71 463),247 503 deaths (4102)
Africa,33 973 cases (1403),1202 deaths (90)
Americas,1 507 148 cases (29 701),81 070 deaths (1480)
Eastern Mediterranean,221 230 cases (7854),8290 deaths (175)
Europe,1 593 828 cases (27 179),147 780 deaths (2178)
South-East Asia,76 998 cases (4310),2821 deaths (139)
Western Pacific,154 884 cases (1016),6327 deaths (40)

Subject in Focus: COVID-19 – Learning from the youth of today
"As the COVID-19 pandemic has left communities around the world reeling, young people have"
mobilized their networks and placed themselves firmly in the forefront of the COVID-19 response.
"WHO hosted a webinar on 5 May, with 808 participants from around the world, to find out more"
about how young people are contributing to the COVID-19 response and how they see their future in a
post-pandemic world.
The panellists included representatives from the Global Health Workforce Network Youth Hub (GHWF
"Youth Hub), the International Federation of Medical Students’ Association (IFMSA) representing 1.3"
million students; the Global Shapers representing over 9000 youths; and the
#MOREVIRALTHANTHEVIRUS global movement with hubs in over 100 countries.
The representative from GHWF Youth Hub highlighted the fact that all over the world young people
have stepped up to respond to COVID-19. She spoke about the many healthcare students who have
"been drawn into delivering care, assisting in contact tracing and working for COVID-19 hotlines and call"
centres. The representative from IFMSA shared inspiring stories of how young people have helped
their own communities by developing technology-driven solutions such as apps to support the delivery
"of supplies to vulnerable, isolated people; and the creation of an online dashboard to monitor"
university and school closures around the world while linking online training and alternative learning
resources to areas of need. The representative from the #MOREVIRALTHANTHEVIRUS movement
described how they started as a group of medical students but soon realized that all students
"everywhere were affected, and all had something to share and give."
Young people have an unparalleled potential as networkers and amplifiers of information. At the
beginning of the pandemic there was a lack of youth-focused communication; this prompted young
"people around the world to share information. With extensive global networks, digital know-how and"
"creativity, youth organizations and movements can rapidly detect rumours, identify common"
information needs and disseminate accurate information. WHO’s European region (EURO) has a
successful ongoing collaboration with the Global Shapers in Denmark to do just this and IFMSA is
collaborating with the Infodemic Management Team of the WHO Information Network for Epidemics
(EPI-WIN) to crowdsource fact-checking and myth-busting worldwide.
There was a collective sense at the close of the webinar that young people living through the COVID-
19 pandemic will emerge an empowered generation: a generation that values solidarity and
"collaboration. The representative from the Global Shapers stated: ""It was fantastic to see youth"
organizations and movements all around the world taking the initiative and solving different problems
"that have arisen due to COVID-19. Thanks to this session, I have personally reached out to some of"
"them to see how we can collaborate and amplify our efforts together as one."""

Surveillance
"Figure 1. Number of confirmed COVID-19 cases reported in the last seven days by country, territory or area, 30 April to 6 May**"
"**See Annex 1 for data, table and figure notes."

"Figure 2. Number of confirmed COVID-19 cases, by date of report and WHO region, 30 December 2019 through 6 May 2020**"
"**See Annex 1 for data, table and figure notes."

"Table 1. Countries, territories or areas with reported laboratory-confirmed COVID-19 cases and deaths, by WHO region. Data as of 10 AM CEST, 6 May 2020**",,,,,,
Reporting Country/,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
Territory/Area,cases,new cases,,,classificationi,reported case
Africa,,,,,,
South Africa,7439,219,148,10,Community transmission,0
Algeria,4838,190,470,5,Community transmission,0
Nigeria,2950,148,98,5,Community transmission,0
Ghana,2719,0,18,0,Clusters of cases,1
Cameroon,2265,188,108,44,Clusters of cases,0
Guinea,1811,101,10,1,Community transmission,0
Côte d’Ivoire,1464,32,18,1,Clusters of cases,0
Senegal,1329,58,11,1,Clusters of cases,0
Niger,763,8,38,1,Clusters of cases,0
"Democratic Republic of the
Congo",705,23,34,0,Clusters of cases,0
Burkina Faso,689,17,48,2,Community transmission,0
Mali,612,32,32,3,Clusters of cases,0
Kenya,535,45,23,-1,Clusters of cases,0
United Republic of Tanzania,480,0,18,0,Clusters of cases,6
Equatorial Guinea,439,124,4,2,Clusters of cases,0
Gabon,397,30,6,0,Clusters of cases,0
Mauritius,332,0,10,0,Community transmission,9
Guinea-Bissau,292,0,2,0,Sporadic cases,2
Rwanda,261,0,0,0,Clusters of cases,1
Congo,236,0,10,0,Clusters of cases,1
Sierra Leone,199,21,11,2,Clusters of cases,0

Reporting Country/,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
Territory/Area,cases,new cases,,,classificationi,reported case
Cabo Verde,186,21,2,0,Sporadic cases,0
São Tomé and Príncipe,171,10,3,0,Sporadic cases,0
Chad,170,53,17,7,Sporadic cases,0
Liberia,170,4,20,2,Clusters of cases,0
Madagascar,158,0,0,0,Clusters of cases,1
Ethiopia,145,5,4,1,Clusters of cases,0
Zambia,137,0,4,1,Sporadic cases,1
Togo,128,2,9,0,Clusters of cases,0
Eswatini,119,3,1,0,Sporadic cases,0
Benin,102,6,2,0,Sporadic cases,0
Uganda,97,8,0,0,Sporadic cases,0
Central African Republic,94,0,0,0,Sporadic cases,1
Mozambique,80,0,0,0,Sporadic cases,2
South Sudan,49,0,0,0,Sporadic cases,1
Malawi,41,0,3,0,Sporadic cases,1
Eritrea,39,0,0,0,Sporadic cases,17
Angola,36,1,2,0,Sporadic cases,0
Zimbabwe,34,0,4,0,Sporadic cases,4
Botswana,23,0,1,0,Sporadic cases,7
Burundi,19,0,1,0,Sporadic cases,3
Gambia,17,0,1,0,Sporadic cases,3
Namibia,16,0,0,0,Sporadic cases,30
Seychelles,11,0,0,0,Sporadic cases,29

Reporting Country/,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
Territory/Area,cases,new cases,,,classificationi,reported case
Mauritania,8,0,1,0,Sporadic cases,5
Comoros,4,0,1,0,Pending,1
Territoriesii,,,,,,
Mayotte,739,53,9,3,Clusters of cases,0
Réunion,425,1,0,0,Clusters of cases,0
Americas,,,,,,
United States of America,1 171 185,16 200,62 698,792,Community transmission,0
Brazil,107 780,6633,7321,296,Community transmission,0
Canada,61 159,1315,3915,149,Community transmission,0
Peru,47 372,1444,1344,58,Community transmission,0
Ecuador,31 881,0,1569,0,Community transmission,1
Mexico,24 905,1434,2271,117,Community transmission,0
Chile,22 016,1373,275,5,Community transmission,0
Dominican Republic,8480,245,354,8,Community transmission,0
Colombia,7973,305,358,18,Community transmission,0
Panama,7387,190,203,3,Community transmission,0
Argentina,4922,123,262,12,Community transmission,0
Cuba,1685,17,69,0,Clusters of cases,0
Bolivia (Plurinational State of),1681,87,82,6,Clusters of cases,0
Honduras,1178,123,89,7,Clusters of cases,0
Costa Rica,742,3,6,0,Clusters of cases,0
Guatemala,730,27,19,2,Clusters of cases,0
Uruguay,657,2,17,0,Clusters of cases,0
El Salvador,587,32,13,1,Clusters of cases,0

