Coronavirus disease (COVID-19),,
Situation Report – 108,,
"Data as received by WHO from national authorities by 10:00 CEST, 7 May 2020",,
This report has been reformatted to improve accessibility for persons with visual impairment.,,
Highlights,,
"More than 3.5 million cases of COVID-19 and 250,000 deaths have now been reported to WHO.",,
"At yesterday’s media briefing, WHO Director-General Dr Tedros Adhanom Ghebreyesus, referring to the",,
"fact that crises can exacerbate existing inequalities, reiterated that ‘We cannot end the pandemic until",,
we address the inequalities that are fueling it.’ He also highlighted six criteria that WHO recommends,,
countries should take into account when considering the easing of lockdown restrictions.,,
"WHO, UNICEF and the International Federation of the Red Cross have published guidance for countries",,
on how to maintain community-based healthcare in the context of COVID-19 . it complements the,,
United Nations framework for the socio-economic response to COVID-19.,,
WHO and the Delegation of the European Union (EU) have announced a new collaboration in Somalia,,
to strengthen operational response activities for COVID-19.,,
COVID-19 messages are reaching new audiences in Turkey as Goodwill Ambassadors from United,,
Nations agencies in the country share information from WHO with their followers.,,
"In the ‘Subject in Focus’ below, WHO lists eight key criteria for the ethical acceptability of COVID-19",,
human challenge studies.,,
Situation in numbers (by WHO Region),,
Total (new cases in last 24 hours),,
Globally,3 672 238 cases (83 465),254 045 deaths (6539)
Africa,35 470 cases (1497),1228 deaths (23)
Americas,1 542 829 cases (35 681),84 804 deaths (3734)
Eastern Mediterranean,229 198 cases (7968),8465 deaths (175)
Europe,1 626 037 cases (32 209),150 238 deaths (2458)
South-East Asia,81 808 cases (4810),2936 deaths (115)
Western Pacific,156 184 cases (1300),6361 deaths (34)

Subject in Focus: Key criteria for the ethical acceptability of COVID-19,,
human challenge studies,,
"The widespread use of safe and efficacious vaccines for COVID-19 could save many lives, prevent disease, and",,
permit the safe relaxation of other public health measures. There is thus an urgent ethical imperative for well-,,
designed and carefully conducted research aimed at developing such vaccines and increasing relevant scientific,,
"knowledge regarding SARS-CoV-2. Controlled human infection studies, also known as human challenge studies,",,
have been proposed as one means of testing the many vaccine candidates for SARS-CoV-2. In response to the,,
need for ethical guidance to inform policy and decisions regarding the potential development of such research,,
"programmes, WHO has developed key criteria that COVID-19 challenge study programmes would need to meet",,
to ensure that such research is conducted to the highest ethical standards.,,
The full report can be found here: https://www.who.int/ethics/publications/key-criteria-ethical-acceptability-of-,,
covid-19-human-challenge/en/,,
Table 1. Eight criteria for SARS-CoV-2 challenge studies,,
Scientific and ethical assessments,,
Criterion 1,Scientific justification,"SARS-CoV-2 challenge studies must have strong
scientific justification"
,,It must be reasonable to expect that the potential
Criterion 2,Assessment of risks and,benefits of SARS-CoV-2 challenge studies
,potential benefits,
,,outweigh risks
Consultation and coordination,,
Criterion 3,Consultation and engagement,"SARS-CoV-2 challenge research programmes
should be informed by consultation and
engagement with the public as well as relevant
experts and policy-makers"
,,SARS-CoV-2 challenge study research
,,programmes should involve close coordination
Criterion 4,Coordination,"between researchers, funders, policy-makers and"
,,regulators
Selection criteria,,
Criterion 5,Site selection,"SARS-CoV-2 challenge studies should be situated
where the research can be conducted according
to the highest scientific, clinical and ethical
standards"
Criterion 6,Participant selection,"SARS-CoV-2 challenge study researchers
should ensure that participant selection criteria
limit and minimize risk"
Review and consent,,
Criterion 7,Expert review,"SARS-CoV-2 challenge studies should be reviewed
by a specialized independent committee"
Criterion 8,Informed consent,"SARS-CoV-2 challenge studies must involve
rigorous informed consent"

Surveillance
"Figure 1. Number of confirmed COVID-19 cases reported in the last seven days by country, territory or area, 1 May to 7 May**"
"**See Annex 1 for data, table and figure notes."

"Figure 2. Number of confirmed COVID-19 cases, by date of report and WHO region, 30 December 2019 through 7 May 2020**"
"**See Annex 1 for data, table and figure notes."

"Table 2. Countries, territories or areas with reported laboratory-confirmed COVID-19 cases and deaths, by WHO region. Data as of 10 AM CEST, 7 May 2020**",,,,,,
Reporting Country/,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
Territory/Area,cases,new cases,,,classificationi,reported case
Africa,,,,,,
South Africa,7808,369,153,5,Community transmission,0
Algeria,4997,159,476,6,Community transmission,0
Nigeria,3145,195,103,5,Community transmission,0
Ghana,2719,0,18,0,Clusters of cases,2
Cameroon,2265,0,108,0,Clusters of cases,1
Guinea,1856,45,11,1,Community transmission,0
Côte d’Ivoire,1516,52,18,0,Clusters of cases,0
Senegal,1433,104,12,1,Clusters of cases,0
"Democratic Republic of the
Congo",797,92,35,1,Clusters of cases,0
Niger,770,7,38,0,Clusters of cases,0
Burkina Faso,729,40,48,0,Community transmission,0
Mali,631,19,32,0,Clusters of cases,0
Kenya,582,47,26,0,Clusters of cases,0
Guinea-Bissau,508,216,2,0,Sporadic cases,0
United Republic of Tanzania,480,0,18,0,Clusters of cases,7
Equatorial Guinea,439,0,4,0,Clusters of cases,1
Gabon,397,0,6,0,Clusters of cases,1
Mauritius,332,0,10,0,Community transmission,10
Rwanda,268,7,0,0,Clusters of cases,0
Congo,264,28,10,0,Clusters of cases,0
Madagascar,193,35,0,0,Clusters of cases,0

Reporting Country/,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
Territory/Area,cases,new cases,,,classificationi,reported case
Sierra Leone,225,26,14,3,Clusters of cases,0
Cabo Verde,191,5,2,0,Sporadic cases,0
Liberia,178,8,20,0,Clusters of cases,0
São Tomé and Príncipe,174,3,3,0,Sporadic cases,0
Chad,170,0,17,0,Sporadic cases,1
Ethiopia,162,17,4,0,Clusters of cases,0
Zambia,139,2,4,0,Sporadic cases,0
Togo,128,0,9,0,Clusters of cases,1
Eswatini,123,4,2,1,Sporadic cases,0
Benin,102,0,2,0,Sporadic cases,1
Uganda,98,1,0,0,Sporadic cases,0
Central African Republic,94,0,0,0,Sporadic cases,2
Mozambique,81,1,0,0,Sporadic cases,0
South Sudan,58,9,0,0,Sporadic cases,0
Malawi,43,2,3,0,Sporadic cases,0
Eritrea,39,0,0,0,Sporadic cases,18
Angola,36,0,2,0,Sporadic cases,1
Zimbabwe,34,0,4,0,Sporadic cases,5
Botswana,23,0,1,0,Sporadic cases,8
Burundi,19,0,1,0,Sporadic cases,4
Gambia,17,0,1,0,Sporadic cases,4
Namibia,16,0,0,0,Sporadic cases,31
Seychelles,11,0,0,0,Sporadic cases,30

Reporting Country/,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
Territory/Area,cases,new cases,,,classificationi,reported case
Comoros,8,4,1,0,Pending,0
Mauritania,8,0,1,0,Sporadic cases,6
Territoriesii,,,,,,
Mayotte,739,0,9,0,Clusters of cases,1
Réunion,425,0,0,0,Clusters of cases,1
Americas,,,,,,
United States of America,1 193 452,22 267,65 197,2499,Community transmission,0
Brazil,114 715,6935,7921,600,Community transmission,0
