Coronavirus disease (COVID-19),,
Situation Report – 109,,
"Data as received by WHO from national authorities by 10:00 CEST, 8 May 2020",,
This report has been reformatted to improve accessibility for persons with visual impairment.,,
Highlights,,
WHO launched a checklist to support prison administrators and policy-makers for rapid and effective,,
response to COVID-19.,,
WHO is supporting several African countries to coordinate and reinforce the work of emergency,,
medical teams (EMTs) deployed to support the efforts to contain the spread of COVID-19 pandemic.,,
"The WHO Regional Director for Europe, Dr. Hans Henri P. Kluge stated his concern about the increase in",,
"interpersonal violence during COVID-19, and emphasized that “violence is preventable, not inevitable”.",,
At the third meeting of the International Health Regulations (IHR) (2005) Emergency Committee for,,
"COVID-19, the WHO Director-General reaffirmed that the outbreak of COVID-19 continues to constitute",,
a public health emergency of international concern and issued the Committee’s advice to States Parties,,
as Temporary Recommendations under the IHR. See ‘Subject in Focus’ below.,,
Today we celebrate the 40th anniversary of the Declaration of Smallpox Eradication by the 33rd World,,
"Health Assembly. In the ‘Subject in Focus’ below, we look at how the global community came together",,
to eradicate one of the most feared diseases of all time and how we can learn from this experience to,,
fight COVID-19 today.,,
Situation in numbers (by WHO Region),,
Total (new cases in last 24 hours),,
Globally,3 759 967 cases (87 729),259 474 deaths (5429)
Africa,37 717 cases (2247),1275 deaths (47)
Americas,1 586 129 cases (43 300),87 930 deaths (3126)
Eastern Mediterranean,237 323 cases (8125),8608 deaths (143)
Europe,1 654 345 cases (28 308),152 179 deaths (1941)
South-East Asia,86 294 cases (4486),3075 deaths (139)
Western Pacific,157 447 cases (1263),6394 deaths (33)

Subject in Focus: Third meeting of the International Health Regulations
(IHR) (2005) Emergency Committee for COVID-19
The third meeting of the International Health Regulations (IHR) (2005) Emergency Committee for COVID-19 was
convened by the WHO Director-General on 30 April 2020.
The composition of the Committee was expanded to reflect the nature of the pandemic and the need to include
additional areas of expertise. The Director-General commended the Committee members and advisers for their
commitment to enhancing global public health and provided an overview of the major achievements in the
"COVID-19 response since the second meeting on 30 January 2020. The WHO Regional Emergency Directors, and"
"WHO Health Emergencies Programme Executive Director Dr. Mike Ryan, provided an overview of the regional"
and global situation.
"Following the advice of the Emergency Committee, the Director-General declared that the COVID-19 pandemic"
continues to constitute a public health emergency of international concern. He accepted the advice of the
Committee to WHO and issued the Committee’s advice to States Parties as Temporary Recommendations under
the IHR.
"The Emergency Committee will be reconvened within three months or earlier, at the discretion of the Director-"
General.
The Statement on the third meeting provides further details on proceedings and advice provided by the
Committee.
Subject in Focus: Smallpox eradication and key lessons for tackling COVID-
19
"“When it comes to epidemic disease, we have a shared responsibility and a shared destiny,”"
"WHO Director-General, Tedros Adhanom Ghebreyesus"
8 May 2020 marks the 40th anniversary of the Declaration of Smallpox Eradication by the World Health
Assembly. Smallpox claimed more than 300 million lives in the first three -quarters of the 20th century alone and
on average around 4 million deaths each year. It had existed for at least 3000 years and was one of the world’s
"most feared diseases until it was eradicated by a global effort, led by WHO. It is now the only human disease to"
have been eradicated worldwide. How the global community came together at the time to eradicate smallpox
offers important and valuable lessons today in the fight against COVID-19.
"COVID-19 is not the same as smallpox. Smallpox was caused by the variola virus, an orthopoxvirus, transmissible"
"from one person to another by respiratory droplets or direct contact, and a vaccine had been available for over"
"150 years. COVID-19 also passes from person to person and via contact with contaminated surfaces, but there"
"are currently no licenced vaccines available. Regardless, measures and approaches employed to eradicate"
"smallpox, which centred around strong political will, basic field epidemiology and life-saving public health"
"interventions, are equally pertinent today as the world battles the COVID-19 pandemic."
The key public health strategies and the effort at the national level that were critical to succeed at the time
remain at the core of everything we must do to combat COVID-19. These include but are not limited to:
"surveillance, case-finding, contact-tracing, isolation and quarantine where appropriate, building a sense of"
"community ownership, and concerted and accelerated global research and development into vaccines,"
"diagnostics, therapeutics and diagnostics to supplement public health and social measures, and life-saving"
clinical practices.

"Just as it was for smallpox, effective communication to enable people to protect themselves and others, and to"
"find new cases, remains central to outbreak response today. Getting the right information to the right people in"
"the right way at the right time remains absolutely critical – from posters for polio in the 1950s, picture cards for"
"smallpox in the 1970s, large-scale social mobilization for major public health programmes over the last forty"
"years, to clear risk communication and ‘managing the infodemic’ in 2020 to fight misinformation. Rumours have"
"always abounded, even if the way we address them must change in today’s world."
"Nonetheless, these time-tested strategies alone could not have saved humanity from the scourge of smallpox"
were it not for global cooperation and mutual support. This gives us hope that we can achieve the same result in
"a new era. Despite the geopolitical tensions today, just as there were during the Cold War when smallpox was"
"finally eradicated during the 1970s, scientists and public health workers from around the world are working"
together to contain a virulent infection that threatens our health.
The 40th anniversary of the eradication of smallpox is also significant for immunization. The eradication of
"smallpox laid the foundation for immunization programmes worldwide, underpinning the establishment of"
"primary healthcare in many countries. Today, vaccine hesitancy is on the rise and may yet derail the global"
"response to COVID-19 if communication countermeasures are not in place. Vaccines work, and vaccination"
"continues to save up to 3 million lives every year from polio, measles and other infectious and chronic diseases,"
beyond the millions of deaths averted thanks to the discovery and adoption of the smallpox vaccine.
"On 8 May 2020, WHO launched a commemorative smallpox postal stamp to mark this historic achievement in"
public health history. The stamp designed for WHO by the United Nations Postal Administration was unveiled to
"honour our collective legacy, the people who made it possible, and the global solidarity we need today to fight a"
new common threat.

Surveillance
"Figure 1. Number of confirmed COVID-19 cases reported in the last seven days by country, territory or area, 2 May to 8 May**"
"**See Annex 1 for data, table and figure notes."

"Figure 2. Number of confirmed COVID-19 cases, by date of report and WHO region, 30 December 2019 through 8 May 2020**"
"**See Annex 1 for data, table and figure notes."

"Table 1. Countries, territories or areas with reported laboratory-confirmed COVID-19 cases and deaths, by WHO region. Data as of 10 AM CEST, 8 May 2020**",,,,,,
Reporting Country/,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
Territory/Area,cases,new cases,,,classificationi,reported case
Africa,,,,,,
South Africa,8232,424,161,8,Community transmission,0
Algeria,5182,185,483,7,Community transmission,0
Nigeria,3526,381,107,4,Community transmission,0
Ghana,3091,372,18,0,Clusters of cases,0
Cameroon,2265,0,108,0,Clusters of cases,2
Guinea,1927,71,11,0,Community transmission,0
Côte d’Ivoire,1571,55,20,2,Clusters of cases,0
Senegal,1492,59,13,1,Clusters of cases,0
"Democratic Republic of the
Congo",897,100,36,1,Clusters of cases,0
Niger,781,11,42,4,Clusters of cases,0
Burkina Faso,736,7,48,0,Community transmission,0
Mali,650,19,32,0,Clusters of cases,0
Kenya,607,25,29,3,Clusters of cases,0
United Republic of Tanzania,509,29,21,3,Clusters of cases,0
Guinea-Bissau,508,0,2,0,Sporadic cases,1
Gabon,504,107,8,2,Clusters of cases,0
Equatorial Guinea,439,0,4,0,Clusters of cases,2
Mauritius,332,0,10,0,Community transmission,11
Congo,274,10,10,0,Clusters of cases,0
Rwanda,271,3,0,0,Clusters of cases,0
Chad,253,83,27,10,Sporadic cases,0

Reporting Country/,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
Territory/Area,cases,new cases,,,classificationi,reported case
Sierra Leone,231,6,14,0,Clusters of cases,0
Cabo Verde,218,27,2,0,Sporadic cases,0
Madagascar,193,0,0,0,Clusters of cases,1
Ethiopia,191,29,4,0,Clusters of cases,0
Liberia,189,11,20,0,Clusters of cases,0
São Tomé and Príncipe,165,-9,4,1,Sporadic cases,0
Eswatini,153,30,2,0,Sporadic cases,0
Zambia,153,14,4,0,Sporadic cases,0
Benin,140,38,2,0,Sporadic cases,0
Togo,135,7,9,0,Clusters of cases,0
Uganda,101,3,0,0,Sporadic cases,0
Central African Republic,94,0,0,0,Sporadic cases,3
South Sudan,90,32,0,0,Sporadic cases,0
Mozambique,81,0,0,0,Sporadic cases,1
Malawi,43,0,3,0,Sporadic cases,1
Eritrea,39,0,0,0,Sporadic cases,19
Angola,36,0,2,0,Sporadic cases,2
Zimbabwe,34,0,4,0,Sporadic cases,6
Botswana,23,0,1,0,Sporadic cases,9
Burundi,19,0,1,0,Sporadic cases,5
Gambia,18,1,1,0,Sporadic cases,0
Namibia,16,0,0,0,Sporadic cases,32
Seychelles,11,0,0,0,Sporadic cases,31

Reporting Country/,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
Territory/Area,cases,new cases,,,classificationi,reported case
Comoros,8,0,1,0,Pending,1
Mauritania,8,0,1,0,Sporadic cases,7
Territoriesii,,,,,,
Mayotte,854,115,10,1,Clusters of cases,0
Réunion,427,2,0,0,Clusters of cases,0
Americas,,,,,,
United States of America,1 215 571,22 119,67 146,1949,Community transmission,0
Brazil,125 218,10 503,8536,615,Community transmission,0
Canada,63 895,1437,4280,169,Community transmission,0
Peru,54 817,3628,1533,89,Community transmission,0
Ecuador,30 298,878,1654,36,Community transmission,0
Mexico,27 634,1609,2704,197,Community transmission,0
Chile,24 581,1533,285,4,Community transmission,0
Dominican Republic,9095,288,373,11,Community transmission,0
Colombia,8959,346,397,19,Community transmission,0
Panama,7731,208,218,8,Community transmission,0
Argentina,5305,229,275,11,Community transmission,0
Bolivia (Plurinational State of),1886,84,91,5,Clusters of cases,0
Cuba,1729,26,73,4,Clusters of cases,0
Honduras,1461,191,99,6,Community transmission,0
Guatemala,798,35,21,2,Clusters of cases,0
Costa Rica,761,6,6,0,Clusters of cases,0
El Salvador,695,62,15,1,Clusters of cases,0
Uruguay,673,3,17,0,Clusters of cases,0

Reporting Country/,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
Territory/Area,cases,new cases,,,classificationi,reported case
Jamaica,478,5,9,0,Clusters of cases,0
Paraguay,462,22,10,0,Community transmission,0
"Venezuela (Bolivarian Republic
of)",379,12,10,0,Clusters of cases,0
Trinidad and Tobago,116,0,8,0,Sporadic cases,10
Haiti,108,7,12,0,Clusters of cases,0
Guyana,93,0,10,0,Clusters of cases,1
Bahamas,92,3,11,0,Clusters of cases,0
Barbados,82,0,7,0,Clusters of cases,3
Antigua and Barbuda,25,0,3,0,Clusters of cases,4
Grenada,21,0,0,0,Clusters of cases,4
Belize,18,0,2,0,Sporadic cases,23
Saint Lucia,18,0,0,0,Sporadic cases,3
"Saint Vincent and the
Grenadines",17,0,0,0,Sporadic cases,3
Dominica,16,0,0,0,Clusters of cases,27
Nicaragua,16,0,5,0,Pending,1
Saint Kitts and Nevis,15,0,0,0,Sporadic cases,17
Suriname,10,0,1,0,Sporadic cases,34
Territoriesii,,,,,,
Puerto Rico,2031,63,56,0,Clusters of cases,0
Martinique,182,0,14,0,Clusters of cases,1
Guadeloupe,153,0,13,0,Clusters of cases,1
French Guiana,138,0,1,0,Clusters of cases,1

Reporting Country/,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
Territory/Area,cases,new cases,,,classificationi,reported case
Bermuda,118,3,7,0,Clusters of cases,0
Aruba,101,0,2,0,Clusters of cases,2
Cayman Islands,78,0,1,0,Clusters of cases,1
Sint Maarten,76,0,14,0,Clusters of cases,7
United States Virgin Islands,66,0,4,0,Clusters of cases,7
Saint Martin,38,0,3,0,Sporadic cases,15
Curaçao,16,0,1,0,Sporadic cases,10
Falkland Islands (Malvinas),13,0,0,0,Clusters of cases,12
Turks and Caicos Islands,12,0,1,0,Sporadic cases,10
Montserrat,11,0,1,0,Sporadic cases,24
British Virgin Islands,7,0,1,0,Sporadic cases,2
"Bonaire, Sint Eustatius and
Saba",6,0,0,0,Sporadic cases,10
Saint Barthélemy,6,0,0,0,Sporadic cases,38
