Coronavirus disease (COVID-19),,
Situation Report – 110,,
"Data as received by WHO from national authorities by 10:00 CEST, 9 May 2020",,
This report has been reformatted to improve accessibility for persons with visual impairment.,,
Highlights,,
The Emergency Relief Coordinator/UN Under-Secretary-General for Humanitarian Affairs Mark Lowcock,,
launched an update to the Global Humanitarian Response Plan for COVID-19 (GHRP). He was joined by,,
"the Executive Director of WHO’s Health Emergencies Programme, Dr Mike Ryan; the President and CEO",,
"of Oxfam America, Abby Maxman; the UN High Commissioner for Refugees, Filippo Grandi; and the",,
"Executive Director of the World Food Programme, David Beasley. The GHRP has a funding requirement",,
of U$6.7 billion to protect millions of people already facing humanitarian crises in several countries. For,,
"more information, a UN News Story and YouTube recording is available.",,
New interim guidance has been released by the Inter-Agency Standing Committee on how to adapt,,
COVID-19 prevention and response measures for use in low capacity and humanitarian settings.,,
WHO has released a video summarising key moments in the response so far.,,
Situation in numbers (by WHO Region),,
Total (new cases in last 24 hours),,
Globally,3 855 788 cases (95 845),265 862 deaths (6388)
Africa,40 544 cases (2851),1322 deaths (47)
Americas,1 636 841 cases (50 712),91 893 deaths (3963)
Eastern Mediterranean,246 022 cases (8699),8748 deaths (140)
Europe,1 682 338 cases (27 993),154 233 deaths (2054)
South-East Asia,90 808 cases (4514),3204 deaths (129)
Western Pacific,1 585 23 cases (1076),6449 deaths (55)

Surveillance
"Figure 1. Number of confirmed COVID-19 cases reported in the last seven days by country, territory or area, 3 May to 9 May**"
"**See Annex 1 for data, table and figure notes."

"Figure 2. Number of confirmed COVID-19 cases, by date of report and WHO region, 30 December 2019 through 9 May 2020**"
"**See Annex 1 for data, table and figure notes."

"Table 1. Countries, territories or areas with reported laboratory-confirmed COVID-19 cases and deaths, by WHO region. Data as of 10 AM CEST, 9 May 2020**",,,,,,
Reporting Country/,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
Territory/Area,cases,new cases,,,classificationi,reported case
Africa,,,,,,
South Africa,8895,663,178,17,Community transmission,0
Algeria,5369,187,488,5,Community transmission,0
Ghana,4012,921,18,0,Clusters of cases,0
Nigeria,3912,386,117,10,Community transmission,0
Cameroon,2265,0,108,0,Clusters of cases,3
Guinea,2009,82,11,0,Community transmission,0
Côte d’Ivoire,1602,31,20,0,Clusters of cases,0
Senegal,1551,59,13,0,Clusters of cases,0
"Democratic Republic of the
Congo",937,40,39,3,Clusters of cases,0
Niger,795,14,44,2,Clusters of cases,0
Burkina Faso,736,0,48,0,Community transmission,1
Mali,668,18,35,3,Clusters of cases,0
Kenya,621,14,29,0,Clusters of cases,0
Gabon,620,116,8,0,Clusters of cases,0
United Republic of Tanzania,509,0,21,0,Clusters of cases,1
Guinea-Bissau,508,0,2,0,Sporadic cases,2
Equatorial Guinea,439,0,4,0,Clusters of cases,3
Mauritius,332,0,10,0,Community transmission,12
Congo,287,13,10,0,Clusters of cases,0
Rwanda,273,2,0,0,Clusters of cases,0
Chad,260,7,28,1,Sporadic cases,0

Reporting Country/,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
Territory/Area,cases,new cases,,,classificationi,reported case
Sierra Leone,257,26,17,3,Clusters of cases,0
Benin,242,102,2,0,Sporadic cases,0
Cabo Verde,230,12,2,0,Sporadic cases,0
São Tomé and Príncipe,208,43,5,1,Sporadic cases,0
Liberia,199,10,20,0,Clusters of cases,0
Ethiopia,194,3,4,0,Clusters of cases,0
Madagascar,169,0,0,0,Clusters of cases,2
Zambia,167,14,4,0,Sporadic cases,0
Eswatini,159,6,2,0,Sporadic cases,0
Togo,145,10,10,1,Clusters of cases,0
South Sudan,120,30,0,0,Sporadic cases,0
Uganda,101,0,0,0,Sporadic cases,1
Central African Republic,94,0,0,0,Sporadic cases,4
