Coronavirus disease (COVID-19),,
Situation Report – 111,,
"Data as received by WHO from national authorities by 10:00 CEST, 10 May 2020",,
This report has been reformatted to improve accessibility for persons with visual impairment.,,
Highlights,,
A newly-released WHO scientific brief summarizes the current evidence on the impact of angiotensin-,,
converting enzyme (ACE) inhibitors and receptor blockers on severe acute respiratory illness due to,,
COVID-19.,,
Pan American Health Organization and the United Nations Office for Project Services have published,,
"new guidelines on covid-19 prevention measures on construction projects, for workers to take",,
measures to protect themselves from infection. The guidelines are only available in Spanish at this time.,,
"Due to a change in reporting system to align with figures published by the US CDC, counts for the United",,
States of America were adjusted to 1 245 775 cases (-99 new cases) and 75 364 deaths (5475 new,,
deaths).,,
Situation in numbers (by WHO Region),,
Total (new cases in last 24 hours),,
Globally,3 917 366 cases (61 578),274 361 deaths (8499)
Africa,42 626 cases (2082),1369 deaths (47)
Americas,1 655 378 cases (18 537),98 723 deaths (6830)
Eastern Mediterranean,255 728 cases (9706),8878 deaths (130)
Europe,1 707 946 cases (25 608),155 552 deaths (1319)
South-East Asia,95 314 cases (4506),3356 deaths (152)
Western Pacific,159 662 cases (1139),6470 deaths (21)

Surveillance
"Figure 1. Number of confirmed COVID-19 cases reported in the last seven days by country, territory or area, 4 May to 10 May**"
"**See Annex 1 for data, table and figure notes."

"Figure 2. Number of confirmed COVID-19 cases, by date of report and WHO region, 30 December 2019 through 10 May 2020**"
"**See Annex 1 for data, table and figure notes."

"Table 1. Countries, territories or areas with reported laboratory-confirmed COVID-19 cases and deaths, by WHO region. Data as of 10 AM CEST, 10 May 2020**",,,,,,
Reporting Country/,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
Territory/Area,cases,new cases,,,classificationi,reported case
Africa,,,,,,
South Africa,9420,525,186,8,Community transmission,0
Algeria,5558,189,494,6,Community transmission,0
Ghana,4263,251,22,4,Clusters of cases,0
Nigeria,4151,239,128,11,Community transmission,0
Cameroon,2335,70,110,2,Clusters of cases,0
Guinea,2042,33,11,0,Community transmission,0
Côte d’Ivoire,1667,65,21,1,Clusters of cases,0
Senegal,1634,83,17,4,Clusters of cases,0
"Democratic Republic of the
Congo",991,54,41,2,Clusters of cases,0
Niger,815,20,45,1,Clusters of cases,0
Burkina Faso,748,12,48,0,Community transmission,0
Mali,692,24,37,2,Clusters of cases,0
Gabon,661,41,8,0,Clusters of cases,0
Kenya,649,28,30,1,Clusters of cases,0
Guinea-Bissau,642,134,3,1,Sporadic cases,0
United Republic of Tanzania,509,0,21,0,Clusters of cases,2
Equatorial Guinea,439,0,4,0,Clusters of cases,4
Mauritius,332,0,10,0,Community transmission,13
Chad,322,62,31,3,Sporadic cases,0
Sierra Leone,291,34,18,1,Clusters of cases,0
Congo,287,0,10,0,Clusters of cases,1

Reporting Country/,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
Territory/Area,cases,new cases,,,classificationi,reported case
Benin,284,42,2,0,Sporadic cases,0
Rwanda,280,7,0,0,Clusters of cases,0
Zambia,252,85,4,0,Sporadic cases,0
Cabo Verde,236,6,2,0,Sporadic cases,0
Ethiopia,210,16,5,1,Clusters of cases,0
Liberia,199,0,20,0,Clusters of cases,1
Madagascar,169,0,0,0,Clusters of cases,1
São Tomé and Príncipe,165,-43,4,-1,Sporadic cases,0
Eswatini,163,4,2,0,Sporadic cases,0
