Coronavirus disease (COVID-19),,
Situation Report – 112,,
"Data as received by WHO from national authorities by 10:00 CEST, 11 May 2020",,
Highlights,,
WHO has published new guidance on Surveillance strategies for COVID-19 human infection. The,,
document provides an overview of surveillance strategies that Member States should consider as part of,,
comprehensive national surveillance for COVID-19. It also emphasise the need to adapt and reinforce,,
existing national systems where appropriate and to scale-up surveillance capacities as needed.,,
WHO has published new guidance on Contact tracing in the context of COVID-19. When systematically,,
"applied, the guidance will help break the chains of transmission of COVID-19 and other infectious disease",,
and is thus an essential public health tool for controlling infectious disease outbreaks.,,
"In today’s ‘Subject in Focus’, WHO provides an update on the work of the Emergency Medical Teams,",,
"the Global Outbreak Alert and Response Network, and Risk Communication and Community",,
Engagement.,,
Situation in numbers (by WHO Region),,
Total (new cases in last 24 hours),,
Globally,4 006 257 cases (88 891),278 892 deaths (4531)
Africa,44 533 cases (1907),1415 deaths (46)
Americas,1 702 451 cases (47 073),101 874 deaths (3151)
Eastern Mediterranean,265 164 cases (9436),9013 deaths (135)
Europe,1 731 606 cases (23 660),156 603 deaths (1051)
South-East Asia,100 881 cases (5567),3481 deaths (125)
Western Pacific,160 910 cases (1248),6493 deaths (23)

Subject in Focus: Partner Coordination update
"UNICEF, IFRC, US CDC, and OCHA are major partners embedded in the global COVID-19 incident"
"management team in Geneva, and are supporting all pillars of response."
Emergency Medical Teams (EMTs)
One hundred and twenty-seven Emergency Medical Teams (EMTs) are ready or getting ready for
deployment.
"To date, a total of 20 EMTs have been internationally deployed to provide support to 16 countries and"
another 37 EMTs are supporting national operations in the response to COVID-19. More than 3600 beds
"have been managed by EMTs and have contributed to increasing national capacity, while 340 different"
training events have been conducted benefitting almost 11 000 front line responders.
"As of 10 May 2020, international operations have significantly increased in the African Region, in Ghana,"
"South Africa, Zambia, Senegal, Burkina Faso, Ethiopia, Cameroon, Algeria, Democratic Republic of the"
"Congo, Congo and Zimbabwe. EMTs have also deployed in the European Region notably in Italy where"
"four international EMTs, in addition to two Italian EMTs have contributed to national operations. In"
"addition, EMTs have provided support to Cambodia, Mongolia, Kyrgyzstan and Bangladesh."
The Global Outbreak Alert and Response Network (GOARN)
"GOARN partners and networks are providing technical advice across all health operation pillars,"
"particularly clinical management, infection prevention and control, laboratory and risk communication"
and community engagement (RCCE).
"As of 11 May 2020, 518 offers of support have been received from GOARN partners; and 72 individuals"
have deployed to the field. Operational factors that have a major impact on the deployment of
international support are the heavy restrictions and quarantine requirements related to international air
"transport travel. WHO is working with the United Nations World Food Program (WFP), partners and"
"stakeholders to maximise the potential of existing commercial traffic, and special capacity available for"
COVID-19 operations.
"WHO, GOARN partners, and stakeholders continue to collaborate on the roll-out and implementation of"
Go.Data. Go.Data is a field platform for collecting and analyzing key data for case investigations; for
contact tracing and follow-up; and for generating chains of transmission.
"The Go.Data team has involved staff and consultants in France, Germany, Malta, Switzerland, the US,"
"and Viet Nam. The team has responded to 279 requests from 140 countries and territories, and is"
supporting 53 projects worldwide to implement Go.data. Seventy-two partners have been part of
"briefings, webinars, and trainings, including WHO major offices, ministries of health, hospitals,"
"universities and research centres, technical partners, and networks, NGOs, stakeholders, donors, and the"
private sector.

Risk Communications and Community Engagement (RCCE)
The Risk Communications and Community Engagement (RCCE) partners have published ‘Tips for
"engaging communities during COVID-19 in Low Resource settings’, which is available from the Red Cross"
"Community Engagement Hub, hosted by the British Red Cross."
"UNESCO, UNICEF, the World Bank and WFP have published a Framework for Reopening Schools ,"
"addressing the impact of school-closure on children, specifically the marginalized. It highlights the"
"importance of education and of wellbeing considerations for safe school return, providing advice on"
"core pillars including safe operations, learning, including the most marginalized, wellbeing and"
protection.
Additional information is available on the GOARN knowledge platform for COVID-19 to share
resources from partners and other stakeholders.

Surveillance
"Figure 1. Number of confirmed COVID-19 cases reported in the last seven days by country, territory or area, 5 May to 11 May**"
"**See Annex 1 for data, table and figure notes."

"Figure 2. Number of confirmed COVID-19 cases, by date of report and WHO region, 30 December 2019 through 11 May 2020**"
"**See Annex 1 for data, table and figure notes."

"Table 1. Countries, territories or areas with reported laboratory-confirmed COVID-19 cases and deaths, by WHO region. Data as of 10 AM CEST, 11 May 2020**",,,,,,
Reporting Country/,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
Territory/Area,cases,new cases,,,classificationi,reported case
Africa,,,,,,
South Africa,10 015,595,194,8,Community transmission,0
Algeria,5723,165,502,8,Community transmission,0
Nigeria,4399,248,143,15,Community transmission,0
Ghana,4263,0,22,0,Community transmission,1
Cameroon,2579,244,114,4,Clusters of cases,0
Guinea,2146,104,11,0,Community transmission,0
Senegal,1709,75,19,2,Clusters of cases,0
Côte d’Ivoire,1700,33,21,0,Clusters of cases,0
"Democratic Republic of the
Congo",1024,33,41,0,Clusters of cases,0
Niger,821,6,46,1,Clusters of cases,0
Burkina Faso,751,3,49,1,Community transmission,0
Mali,704,12,38,1,Clusters of cases,0
Kenya,672,23,32,2,Clusters of cases,0
Gabon,661,0,8,0,Clusters of cases,1
Guinea-Bissau,642,0,3,0,Sporadic cases,1
United Republic of Tanzania,509,0,21,0,Clusters of cases,3
Equatorial Guinea,439,0,4,0,Clusters of cases,5
Mauritius,332,0,10,0,Community transmission,14
Chad,322,0,31,0,Sporadic cases,1
Benin,319,35,2,0,Sporadic cases,0
Sierra Leone,307,16,18,0,Clusters of cases,0

Reporting Country/,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
Territory/Area,cases,new cases,,,classificationi,reported case
Congo,287,0,10,0,Clusters of cases,2
Rwanda,284,4,0,0,Clusters of cases,0
Zambia,267,15,7,3,Sporadic cases,0
Cabo Verde,246,10,2,0,Sporadic cases,0
Ethiopia,239,29,5,0,Clusters of cases,0
Liberia,204,5,20,0,Clusters of cases,0
Central African Republic,179,36,0,0,Sporadic cases,0
Togo,173,20,11,1,Clusters of cases,0
Eswatini,172,9,2,0,Sporadic cases,0
Madagascar,169,0,0,0,Clusters of cases,2
São Tomé and Príncipe,165,0,4,0,Sporadic cases,1
South Sudan,156,36,0,0,Sporadic cases,0
Uganda,121,5,0,0,Sporadic cases,0
Mozambique,91,4,0,0,Sporadic cases,0
Malawi,56,0,3,0,Sporadic cases,1
Angola,45,2,2,0,Sporadic cases,0
Eritrea,39,0,0,0,Sporadic cases,22
Zimbabwe,36,1,4,0,Sporadic cases,0
Botswana,23,0,1,0,Sporadic cases,12
Gambia,20,0,1,0,Sporadic cases,2
Burundi,19,0,1,0,Sporadic cases,8
Namibia,16,0,0,0,Sporadic cases,35
Comoros,11,0,1,0,Pending,1

Reporting Country/,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
Territory/Area,cases,new cases,,,classificationi,reported case
Seychelles,11,0,0,0,Sporadic cases,34
Mauritania,8,0,1,0,Sporadic cases,10
Territoriesii,,,,,,
Mayotte,1023,133,11,0,Clusters of cases,0
Réunion,436,6,0,0,Clusters of cases,0
Americas,,,,,,
United States of America,1 271 645,25 870,76 916,1552,Community transmission,0
Brazil,155 939,10 611,10 627,730,Community transmission,0
Canada,67 996,1216,4728,100,Community transmission,0
Peru,65 015,3168,1814,100,Community transmission,0
Mexico,33 460,1938,3353,193,Community transmission,0
Ecuador,29 559,741,2127,423,Community transmission,0
Chile,28 866,1647,312,8,Community transmission,0
Colombia,10 495,444,445,17,Community transmission,0
Dominican Republic,10 347,465,388,3,Community transmission,0
Panama,8282,212,237,6,Community transmission,0
Argentina,5924,244,300,3,Community transmission,0
Bolivia (Plurinational State of),2437,171,114,8,Clusters of cases,0
Honduras,1830,59,108,1,Community transmission,0
Cuba,1766,12,77,3,Clusters of cases,0
Guatemala,967,67,24,0,Clusters of cases,0
El Salvador,889,105,17,1,Clusters of cases,0
Costa Rica,780,7,6,0,Clusters of cases,0
Paraguay,713,24,10,0,Community transmission,0

Reporting Country/,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
Territory/Area,cases,new cases,,,classificationi,reported case
Uruguay,702,8,17,0,Clusters of cases,0
Jamaica,498,8,9,0,Clusters of cases,0
"Venezuela (Bolivarian Republic
of)",402,14,10,0,Clusters of cases,0
Haiti,151,5,12,0,Clusters of cases,0
Trinidad and Tobago,116,0,8,0,Sporadic cases,13
Guyana,97,4,10,0,Clusters of cases,0
Bahamas,92,0,11,0,Clusters of cases,3
Barbados,84,2,7,0,Clusters of cases,0
Antigua and Barbuda,25,0,3,0,Clusters of cases,7
Grenada,21,0,0,0,Clusters of cases,7
