Coronavirus disease (COVID-19),,
Situation Report – 113,,
"Data as received by WHO from national authorities by 10:00 CEST, 12 May 2020",,
Highlights,,
WHO has published a new guidance on Considerations for school-related public health measures in the,,
context of COVID-19 as an annex to earlier guidance on adjusting public health and social measures,,
published on 15 April 2020.,,
WHO has issued a Statement on Tobacco use and COVID-19. Tobacco smoking is a known risk factor for,,
many respiratory infections and increases the severity of respiratory diseases. A review of studies by,,
public health experts convened by WHO found that smokers are more likely to develop severe disease,,
"with COVID-19, compared to non-smokers. WHO urges researchers, scientists and the media to be",,
cautious about amplifying unproven claims that tobacco or nicotine could reduce the risk of COVID-19.,,
"The Director-General Dr. Tedros in his media briefing yesterday, urged a slow, steady, lifting of public",,
"health and social measures (so called lockdowns), which is key to stimulating economies, while also",,
keeping a vigilant eye on the virus so that control measures can be quickly implemented if an upswing in,,
cases is identified.,,
"In the ‘Subject in Focus’ below, WHO Operations and Support Logistics (OSL), in collaboration with a",,
"technical network of universities, architects, biomedical engineers and other health experts, is working",,
"to support the establishment of COVID-19 treatment centres, self-quarantine and community facilities at",,
the request of countries seeking technical guidance in setting up such facilities.,,
Situation in numbers (by WHO Region),,
Total (new cases in last 24 hours),,
Globally,4 088 848 cases (82 591),283 153 deaths (4 261)
Africa,46 829 cases (2 296),1 449 deaths (34)
Americas,1 743 717 cases (41 266),104 549 deaths (2 675)
Eastern Mediterranean,274 027 cases (8 863),9 138 deaths (125)
Europe,1 755 790 cases (24 184),157 880 deaths (1 277)
South-East Asia,105 901 cases (5 020),3 597 deaths (116)
Western Pacific,161 872 cases (962),6 527 deaths (34)

Subject in Focus: Technical support for COVID-19 treatment centres
"WHO Operations Support and Logistics (OSL), in collaboration with a technical network of universities,"
"architects, biomedical engineers and other health experts, is working to support the establishment of COVID-"
"19 treatment centres, self-quarantine and community facilities at the request of countries seeking technical"
guidance in setting up such facilities.
"Since the start of the COVID-19 outbreak, WHO OSL has provided technical recommendations and"
"operational guidance for the construction of treatment centres, or repurposing of existing buildings, to"
provide medical care to COVID-19 patients.
"To support this initiative, OSL is working to establish a global Technical Network that so far has brought"
"together the expertise of 200 architects, academics, civil engineers, biomedical engineers and other technical"
health experts from 27 institutions across 22 countries. The initiative aims to strengthen national COVID-19
"preparedness and rapid response capacities through a multi-disciplinary collaboration, 24-hour remote"
"support and, whenever required and possible, deployment of international experts to support the COVID-19"
response in countries in need of technical assistance.
"Since March, OSL’s HealthTech Unit, with the voluntary support of architects and engineers from the"
"Technical Network, has helped set up COVID-19 treatment centres in the following countries: Senegal,"
"Tanzania, Burkina Faso, Sao Tome and Principe, Nigeria, Republic of Congo, Ivory Coast, Mauritius, Australia"
and Italy.
"In Tanzania, OSL recently completed the design and layout plan to convert a commercial site in Dar Es Salaam"
into a 500-bed capacity COVID-19 treatment centre. Working in collaboration with the Ministry of Health and
"colleagues in the WHO Country Office, OSL architects and health experts have provided blueprints and"
technical operational guidance for the facility.
"In Burkina Faso, OSL worked in partnership with the Ministry of Health to set up a 42-bed COVID-19"
treatment centre in Bobo-Dioulasso. The centre is currently functioning and run by Médecins Sans Frontières.
"In Nigeria, OSL has helped set up a COVID-19 Self-Quarantine Facility in a camp for internally displaced"
"persons (IDPs) run by the International Organization for Migration (IOM). The facility, located next to the"
"camp, aims to provide early recognition and source control, including isolating patients with suspected"
"COVID-19, as a strategy for preventing or limiting transmission in camps and camp-like settings. The facility"
"was designed to allow a safe, controlled, dignified and comfortable self-quarantine for new arrivals in order to"
"(a) limit human-to-human transmission, including reducing secondary infections among close contacts and"
"healthcare workers, preventing transmission amplification events, strengthening health facilities; (b) identify"
and provide optimised care for infected patients early; and (c) communicate critical risk and information to all
communities and counter misinformation.
"In Italy, OSL is providing technical assistance, working with hospitals in Bologna and in the southern Puglia"
region to advise hospitals on adapting existing care facilities into dedicated treatment facilities for COVID-19
patients.
"To coordinate technical assistance, OSL has established a COVID-19 Help Desk, a 24-hour global resource to"
provide technical information and support to the COVID-19 treatment and healthcare facilities.
Recommendations and solutions provided by the Help Desk are based on WHO guidelines and are adapted to
"the social, economic and health context of each country. The Help Desk works in collaboration with other"
"WHO outbreak response pillars, including the COVID-19 Supply Portal, HealthOPS clinical care, case"
management and other WHO support mechanisms to assist Member States in strengthening response
capacity for managing the COVID-19 outbreak.
Development of a standardized assessment tool for COVID-19 treatment centres is currently ongoing. SARI
"Treatment Centre guidelines are now available in English, French, Portuguese and Italian; translations into"
other UN languages are forthcoming.
Requests for information or support from the COVID-19 Help Desk can be submitted to:
oslhealthtech@who.int

Surveillance
"Figure 1. Number of confirmed COVID-19 cases reported in the last seven days by country, territory or area, 6 May to 12 May**"
"**See Annex 1 for data, table and figure notes."

"Figure 2. Number of confirmed COVID-19 cases, by date of report and WHO region, 30 December 2019 through 12 May 2020**"
"**See Annex 1 for data, table and figure notes."

"Table 1. Countries, territories or areas with reported laboratory-confirmed COVID-19 cases and deaths, by WHO region. Data as of 10 AM CEST, 12 May 2020**",,,,,,
Reporting Country/,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
Territory/Area,cases,new cases,,,classificationi,reported case
Africa,,,,,,
South Africa,10 652,637,206,12,Community transmission,0
Algeria,5 891,168,507,5,Community transmission,0
Ghana,4 700,437,22,0,Community transmission,0
Nigeria,4 641,242,150,7,Community transmission,0
Cameroon,2 579,0,114,0,Clusters of cases,1
Guinea,2 146,0,11,0,Community transmission,1
Senegal,1 886,177,19,0,Clusters of cases,0
Côte d’Ivoire,1 730,30,21,0,Clusters of cases,0
"Democratic Republic of the
Congo",1 102,78,44,3,Clusters of cases,0
Niger,832,11,46,0,Clusters of cases,0
Gabon,802,141,9,1,Clusters of cases,0
Guinea-Bissau,761,119,3,0,Sporadic cases,0
Burkina Faso,760,9,50,1,Community transmission,0
Mali,712,8,39,1,Clusters of cases,0
Kenya,700,28,33,1,Clusters of cases,0
United Republic of Tanzania,509,0,21,0,Clusters of cases,4
Equatorial Guinea,439,0,4,0,Clusters of cases,6
Sierra Leone,338,31,19,1,Clusters of cases,0
Congo,333,46,11,1,Clusters of cases,0
Mauritius,332,0,10,0,Community transmission,15
Chad,322,0,31,0,Sporadic cases,2

Reporting Country/,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
Territory/Area,cases,new cases,,,classificationi,reported case
Benin,319,0,2,0,Sporadic cases,1
Rwanda,285,1,0,0,Clusters of cases,0
Zambia,267,0,7,0,Sporadic cases,1
Cabo Verde,260,14,2,0,Sporadic cases,0
Ethiopia,250,11,5,0,Clusters of cases,0
Liberia,211,7,20,0,Clusters of cases,0
Madagascar,186,17,0,0,Clusters of cases,0
Togo,181,8,11,0,Clusters of cases,0
Central African Republic,179,0,0,0,Sporadic cases,1
Eswatini,175,3,2,0,Sporadic cases,0
South Sudan,174,18,0,0,Sporadic cases,0
São Tomé and Príncipe,165,0,4,0,Sporadic cases,2
Uganda,122,1,0,0,Sporadic cases,0
Mozambique,103,12,0,0,Sporadic cases,0
Malawi,57,1,3,0,Sporadic cases,0
Angola,45,0,2,0,Sporadic cases,1
Eritrea,39,0,0,0,Sporadic cases,23
Zimbabwe,36,0,4,0,Sporadic cases,1
Botswana,24,1,1,0,Sporadic cases,0
Gambia,22,2,1,0,Sporadic cases,0
Burundi,19,0,1,0,Sporadic cases,9
Namibia,16,0,0,0,Sporadic cases,36
Comoros,11,0,1,0,Pending,2

Reporting Country/,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
Territory/Area,cases,new cases,,,classificationi,reported case
Seychelles,11,0,0,0,Sporadic cases,35
Mauritania,8,0,1,0,Sporadic cases,11
Territoriesii,,,,,,
Mayotte,1 061,38,12,1,Clusters of cases,0
Réunion,436,0,0,0,Clusters of cases,1
Americas,,,,,,
United States of America,1 298 287,26 642,78 652,1 736,Community transmission,0
Brazil,162 699,6 760,11 123,496,Community transmission,0
Canada,69 156,1 160,4 906,178,Community transmission,0
Peru,67 307,2 292,1 889,75,Community transmission,0
Mexico,35 022,1 562,3 465,112,Community transmission,0
Chile,30 063,1 197,323,11,Community transmission,0
Ecuador,29 509,- 50,2 145,18,Community transmission,0
Colombia,11 063,568,463,18,Community transmission,0
Dominican Republic,10 634,287,393,5,Community transmission,0
Panama,8 448,166,244,7,Community transmission,0
Argentina,6 034,110,305,5,Community transmission,0
Bolivia (Plurinational State of),2 556,119,118,4,Clusters of cases,0
Honduras,1 972,142,108,0,Community transmission,0
Cuba,1 783,17,77,0,Clusters of cases,0
Guatemala,1 052,85,26,2,Clusters of cases,0
El Salvador,958,69,17,0,Clusters of cases,0
Costa Rica,792,12,6,0,Clusters of cases,0
Paraguay,724,11,10,0,Community transmission,0

Reporting Country/,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
Territory/Area,cases,new cases,,,classificationi,reported case
Uruguay,707,5,19,2,Clusters of cases,0
Jamaica,502,4,9,0,Clusters of cases,0
"Venezuela (Bolivarian Republic
of)",414,12,10,0,Clusters of cases,0
Haiti,182,31,15,3,Clusters of cases,0
Trinidad and Tobago,116,0,8,0,Sporadic cases,14
Guyana,104,7,10,0,Clusters of cases,0
Bahamas,92,0,11,0,Clusters of cases,4
Barbados,84,0,7,0,Clusters of cases,1
Antigua and Barbuda,25,0,3,0,Clusters of cases,8
Grenada,21,0,0,0,Clusters of cases,8
Belize,18,0,2,0,Sporadic cases,27
Saint Lucia,18,0,0,0,Sporadic cases,7
"Saint Vincent and the
Grenadines",17,0,0,0,Sporadic cases,7
Dominica,16,0,0,0,Clusters of cases,31
Nicaragua,16,0,5,0,Pending,5
Saint Kitts and Nevis,15,0,0,0,Sporadic cases,21
Suriname,10,0,1,0,Sporadic cases,38
Territoriesii,,,,,,
Puerto Rico,2 256,58,113,2,Clusters of cases,0
Martinique,187,0,14,0,Clusters of cases,1
Guadeloupe,154,0,13,0,Clusters of cases,3
French Guiana,144,0,1,0,Clusters of cases,1

Reporting Country/,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
Territory/Area,cases,new cases,,,classificationi,reported case
Bermuda,118,0,7,0,Clusters of cases,4
