Coronavirus disease (COVID-19),,
Situation Report – 114,,
"Data as received by WHO from national authorities by 10:00 CEST, 13 May 2020",,
Highlights,,
WHO has published an annex to the guidance on considerations on adjusting public health and social,,
measures (PHSM). The new annex provides a pragmatic decision process to help countries through,,
adapting PHSM based on epidemiological and public health criteria.,,
"According to the 2020 World Health Statistics published by WHO today, the COVID-19 pandemic is",,
"causing significant loss of life, disrupting livelihoods, and threatening the recent advances in health and",,
progress towards global sustainable development goals.,,
WHO has joined forces with the United Kingdom to run an awareness campaign named “Stop The,,
Spread” about the risks of inaccurate and false information regarding the COVID-19 pandemic.,,
"The Regional Director for the WHO Regional Office for the Americas, Dr. Carissa F. Etienne called on",,
countries to “support their economies while building strong social protection networks and embracing,,
evidence-based public health measures that are essential to saving lives”.,,
"In the ‘Subject in Focus’ below, we discuss newly released WHO guidelines for school-related public",,
health measures.,,
Situation in numbers (by WHO Region),,
Total (new cases in last 24 hours),,
Globally,4 170 424 cases (81 577),287 399 deaths (4 245)
Africa,49 429 cases (2 600),1 500 deaths (51)
Americas,1 781 564 cases (37 847),106 504 deaths (1 955)
Eastern Mediterranean,284 270 cases (10 243),9 259 deaths (121)
Europe,1 780 316 cases (24 527),159 799 deaths (1 918)
South-East Asia,110 932 cases (5 031),3 746 deaths (149)
Western Pacific,163 201 cases (1 329),6 578 deaths (51)

Subject in Focus: Considerations for school-related public health measures
in the context of COVID-19
"Across the globe, countries have implemented a number of control measures to respond to COVID-19,"
"with the objective of slowing down transmission and reducing mortality. Based on local epidemiology,"
"some countries are in the process of scaling up public health and social measures, while others are"
considering or currently scaling down these interventions.
"Based on local risk assessments, countries have implemented several public health and social"
"measures, such as local movement restrictions, adapting schools to distance-learning and businesses"
"to teleworking, and international travel measures. WHO has issued considerations for school-related"
public health measures to guide decision-makers and educators on how or when to reopen or close
"schools in the context of COVID-19. These decisions have important implications for children, parents"
"or caregivers, teachers and other staff, communities, and society at large."
"WHO school-related considerations to decide to close, partially close or reopen schools is guided by a"
"risk-based approach to maximize the educational and health benefit for students, teachers, staff, and"
"the wider community, and help prevent a new outbreak of COVID-19 in the community. A series of"
"factors should be considered when deciding on whether to open or to close schools, such as the"
"epidemiology of COVID-19 nationally and in the local area, health system and public health capacity to"
respond to outbreaks as well as the school settings and ability to maintain COVID-19 prevention and
"control measures that protect children. Thus, additional important factors to include in the assessment"
"are risk of non-return to school, risk of widening disparity in educational attainment, access to meals"
"for children who need them, the possibility of domestic violence aggravated by economic"
"uncertainties, and the need to maintain schools at least partially open for children whose caregivers"
are ‘key workers’ for the country.
"These school-related considerations also provide recommended measures on hygiene, daily practices,"
physical distancing and tele-schooling to guide school reopening. These recommendations are
provided through questions and answers and can be used as a checklist under topics such as: school
resources and infrastructure; policy for educators and school staff; safety and security of the children;
"hygiene and practices at schools; and communication with parents and students. Finally, it is crucial to"
monitor the protective measures implemented to ensure their effectiveness and impact not only on
"educational objectives but also on health and well-being of the children, parents, family and school"
staff.
This risk-based approach needs to be implemented through inclusive and early collaboration between
"the school and the community. During this unique and challenging period, it is important for decision-"
"makers, educational institutions and caregivers to maintain flexibility and modify approaches to"
"ensure learning and sharing of good practices in order to do what is best for the children, students,"
"school staff, and community."
The WHO Information Network for Epidemics (EPI-WIN) co-hosted a webinar with UNICEF on public
"health and social measures in schools on 13 May, with more than 890 registrants. Key questions such"
"as managing physical distancing, physical activities and wearing of masks still remain as countries"
implement measures over the coming weeks and months. The comments provided by the participants
were very positive and there were requests for a follow up seminar on examples from countries.

Surveillance
"Figure 1. Number of confirmed COVID-19 cases reported in the last seven days by country, territory or area, 7 May to 13 May**"
"**See Annex 1 for data, table and figure notes."

"Figure 2. Number of confirmed COVID-19 cases, by date of report and WHO region, 30 December 2019 through 13 May 2020**"
"**See Annex 1 for data, table and figure notes."

"Table 1. Countries, territories or areas with reported laboratory-confirmed COVID-19 cases and deaths, by WHO region. Data as of 10 AM CEST, 13 May 2020**",,,,,,
Reporting Country/ Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
,cases,new cases,,,classificationi,reported case
Africa,,,,,,
South Africa,11 350,698,206,0,Community transmission,0
Algeria,6 067,176,515,8,Community transmission,0
Ghana,5 127,427,22,0,Community transmission,0
Nigeria,4 787,146,158,8,Community transmission,0
Cameroon,2 689,110,125,11,Community transmission,0
Guinea,2 298,152,11,0,Community transmission,0
Senegal,1 995,109,19,0,Community transmission,0
Côte d’Ivoire,1 857,127,21,0,Community transmission,0
Democratic Republic of the Congo,1 169,67,50,6,Community transmission,0
Gabon,863,61,9,0,Community transmission,0
Niger,854,22,47,1,Community transmission,0
Guinea-Bissau,820,59,3,0,Community transmission,0
Burkina Faso,766,6,51,1,Community transmission,0
Mali,730,18,40,1,Community transmission,0
Kenya,715,15,36,3,Community transmission,0
Equatorial Guinea,522,83,6,2,Community transmission,0
United Republic of Tanzania,509,0,21,0,Community transmission,5
Zambia,441,174,7,0,Community transmission,0
Chad,357,35,40,9,Community transmission,0
Sierra Leone,338,0,20,1,Clusters of cases,1
Congo,333,0,11,0,Community transmission,1

Reporting Country/ Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
,cases,new cases,,,classificationi,reported case
Mauritius,332,0,10,0,Clusters of cases,16
Benin,327,8,2,0,Community transmission,0
Rwanda,286,1,0,0,Sporadic cases,0
Cabo Verde,270,10,2,0,Clusters of cases,0
Ethiopia,261,11,5,0,Clusters of cases,0
Liberia,212,1,20,0,Community transmission,0
Togo,199,18,11,0,Community transmission,0
Madagascar,192,6,0,0,Clusters of cases,0
Eswatini,184,9,2,0,Clusters of cases,0
Central African Republic,179,0,0,0,Sporadic cases,2
South Sudan,174,0,0,0,Clusters of cases,1
São Tomé and Príncipe,165,0,4,0,Clusters of cases,3
Uganda,126,4,0,0,Sporadic cases,0
Mozambique,104,1,0,0,Clusters of cases,0
Malawi,58,1,3,0,Clusters of cases,0
Angola,45,0,2,0,Clusters of cases,2
Eritrea,39,0,0,0,Sporadic cases,24
Zimbabwe,37,1,4,0,Sporadic cases,0
Burundi,27,8,1,0,Clusters of cases,0
Botswana,24,0,1,0,Clusters of cases,1
Gambia,23,1,1,0,Sporadic cases,0
Namibia,16,0,0,0,Sporadic cases,37
Comoros,11,0,1,0,Community transmission,3

Reporting Country/ Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
,cases,new cases,,,classificationi,reported case
Seychelles,11,0,0,0,Clusters of cases,36
Mauritania,8,0,1,0,Sporadic cases,12
Territoriesii,,,,,,
Mayotte,1 095,34,12,0,Clusters of cases,0
Réunion,437,1,0,0,Clusters of cases,0
Americas,,,,,,
United States of America,1 322 054,23 767,79 634,982,Community transmission,0
Brazil,168 331,5 632,11 519,396,Community transmission,0
Canada,70 342,1 186,5 049,143,Community transmission,0
Peru,68 822,1 515,1 961,72,Community transmission,0
Mexico,36 327,1 305,3 573,108,Community transmission,0
Chile,31 721,1 658,335,12,Community transmission,0
Ecuador,30 419,910,2 327,182,Community transmission,0
Colombia,11 613,550,479,16,Community transmission,0
Dominican Republic,10 900,266,402,9,Community transmission,0
Panama,8 616,168,249,5,Community transmission,0
Argentina,6 278,244,317,12,Community transmission,0
Bolivia (Plurinational State of),2 831,275,122,4,Clusters of cases,0
Honduras,2 100,128,116,8,Community transmission,0
Cuba,1 804,21,78,1,Clusters of cases,0
Guatemala,1 114,62,26,0,Clusters of cases,0
El Salvador,998,40,18,1,Clusters of cases,0
Costa Rica,801,9,7,1,Clusters of cases,0
Paraguay,737,13,10,0,Community transmission,0

Reporting Country/ Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
,cases,new cases,,,classificationi,reported case
Uruguay,711,4,19,0,Clusters of cases,0
Jamaica,505,3,9,0,Clusters of cases,0
Venezuela (Bolivarian Republic of),422,8,10,0,Clusters of cases,0
Haiti,209,27,16,1,Clusters of cases,0
Trinidad and Tobago,116,0,8,0,Sporadic cases,15
Guyana,109,5,10,0,Clusters of cases,0
Bahamas,93,1,11,0,Clusters of cases,0
