Coronavirus disease (COVID-19),,
Situation Report – 116,,
"Data as received by WHO from national authorities by 10:00 CEST, 15 May 2020",,
Highlights,,
"WHO Regional Director for South-East Asia, Dr Poonam Khetrapal Singh, urged countries in the region to",,
lift public health and social measures (so called lockdowns) in a graded manner and that Local,,
epidemiology should guide focused action in ‘new normal’ COVID-19 world.,,
"WHO Regional Director for Europe, Dr Hans Henri P. Kluge, emphasized that ""our behaviour today, will",,
"set the course for the pandemic"", and highlighted how behavioural insights are valuable to inform the",,
planning of appropriate pandemic response measures.,,
A UN policy brief on COVID-19 and mental health warns that substantial investment is needed to avert a,,
mental health crisis. Reports already indicate an increase in symptoms of depression and anxiety in,,
several countries.,,
"In the ‘Subject in Focus’ below, we highlight WHO’s continued collaboration with the aviation and",,
tourism sectors.,,
Situation in numbers (by WHO Region),,
Total (new cases in last 24 hours),,
Globally,4 338 658 cases (90 269),297 119 deaths (5 073)
Africa,54 190 cases (2 438),1 623 deaths (56)
Americas,1 864 468 cases (44 915),111 934 deaths (2 813)
Eastern Mediterranean,305 189 cases (11 384),9 558 deaths (169)
Europe,1 826 295 cases (24 627),163 277 deaths (1 864)
South-East Asia,122 254 cases (5 637),4 050 deaths (129)
Western Pacific,165 550 cases (1 268),6 664 deaths (42)

Subject in Focus: Travel and trade,
Collaboration with aviation and tourism sectors,
"Since the beginning of the outbreak, WHO has been collaborating closely with the travel and tourism",
"sectors, including sharing information on a regular basis, participating in technical networks, and",
developing technical guidance and travel advice. WHO has also issued joint statements with the,
"International Civil Aviation Organization (ICAO), the International Maritime Organization (IMO), the",
"World Tourism Organization (UNWTO), amongst others, to reinforce the collaboration and encourage",
countries to follow the guidance.,
"WHO is a member of the COVID-19 Aviation Recovery Task Force (CART), an initiative launched by",
ICAO to identify and recommend strategic priorities and policies to States and industry operators for a,
safe return to normal operations in the aviation sector. The taskforce comprises representatives from,
"the 36 countries on the Governing Council of ICAO, as well as high-level aviation industry",
"representatives, including the Directors-General of all major air transport industry associations, UN",
"entities such as WHO and UNWTO, and heads of several national and regional aviation",
administrations.,
As part of this Taskforce and within the ICAO Collaborative Arrangement for the Prevention and,
"Management of Public Health Events in Civil Aviation (CAPSCA), WHO has supported the development",
of ICAO Temporary Guidance on Implementing a Public Health Corridor (PHC) to protect flight crew,
undertaking cargo operations during the COVID-19 pandemic. The PHC concept has been developed,
"using a risk-based approach and safety management principles for safe operations related to crew,",
"aircraft, airport facilities and passengers. It provides a framework for harmonizing procedures",
implemented by States in order to facilitate cross-border cargo operations. Further similar guidance is,
"under development through CAPSCA for humanitarian, repatriation and scheduled passenger flights.",
These guidance documents will allow States to implement processes consistently and in accordance,
with the International Health Regulations (IHR 2005) and ICAO Standards and Recommended Practices,
"(SARPs) relating to airports, on-board procedures, facilitation, aircraft operations, air traffic",
management and navigation.,
WHO is also supporting UNWTO in their efforts to help the tourism industry to recover from the,
"COVID-19 pandemic, by regularly sharing information and guidance and by providing support to",
specific industry initiatives:,
•,"The Global Tourism Crisis Committee, with high-level representatives from across the tourism"
,"sector as well as the wider United Nations system, including WHO. The Crisis Committee"
,launched “A Call for Action to Mitigate the Socio-Economic Impact of COVID-19 and Accelerate
,"Recovery - Supporting jobs and economies through travel & tourism”, which provides"
,recommendations in three areas: managing the crisis and mitigating the impact; providing
,stimulus and accelerating recovery; and preparing for the future.
•,"The UNWTO “Healing Solutions for Tourism” challenge, a global call for start-ups,"
,entrepreneurs and innovators to provide ready-to-implement solutions to mitigate COVID-19’s
,impact on tourism. WHO is a member of the committee that reviewed the submissions for
,selection of finalists for awards. The challenge selected 12 semi-finalist solutions in the three
,"areas of healing: for people, for prosperity, and for destination."

Surveillance
"Figure 1. Number of confirmed COVID-19 cases reported in the last seven days by country, territory or area, 9 May to 15 May**"
"**See Annex 1 for data, table and figure notes."

"Figure 2. Number of confirmed COVID-19 cases, by date of report and WHO region, 30 December 2019 through 15 May 2020**"
"**See Annex 1 for data, table and figure notes."

"Table 1. Countries, territories or areas with reported laboratory-confirmed COVID-19 cases and deaths, by WHO region. Data as of 10 AM CEST, 15 May 2020**",,,,,,
Reporting Country/ Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
,cases,new cases,,,classificationi,reported case
Africa,,,,,,
South Africa,12 739,665,238,19,Community transmission,0
Algeria,6 442,189,529,7,Community transmission,0
Ghana,5 530,122,24,0,Community transmission,0
Nigeria,5 162,191,167,3,Community transmission,0
Cameroon,2 954,154,139,3,Community transmission,0
Guinea,2 473,101,14,0,Community transmission,0
Senegal,2 189,84,23,1,Community transmission,0
Côte d’Ivoire,1 971,59,24,0,Community transmission,0
Democratic Republic of the Congo,1 298,56,50,0,Community transmission,0
Gabon,1 104,100,10,1,Community transmission,0
Guinea-Bissau,913,77,3,0,Community transmission,0
Niger,876,16,50,1,Community transmission,0
Mali,779,21,46,2,Community transmission,0
Burkina Faso,773,0,51,0,Community transmission,1
Kenya,758,21,42,2,Community transmission,0
Zambia,654,208,7,0,Community transmission,0
Equatorial Guinea,594,11,7,0,Community transmission,0
United Republic of Tanzania,509,0,21,0,Community transmission,7
Sierra Leone,408,21,26,5,Clusters of cases,0
Chad,399,27,46,4,Community transmission,0
Congo,391,50,15,4,Community transmission,0

Reporting Country/ Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
,cases,new cases,,,classificationi,reported case
Benin,339,12,2,0,Community transmission,0
Mauritius,332,0,10,0,Clusters of cases,18
Cabo Verde,315,26,2,0,Clusters of cases,0
Rwanda,287,0,0,0,Sporadic cases,1
Ethiopia,272,9,5,0,Clusters of cases,0
Togo,238,19,11,0,Community transmission,0
South Sudan,231,37,1,1,Clusters of cases,0
Madagascar,230,18,0,0,Clusters of cases,0
Central African Republic,221,34,0,0,Sporadic cases,0
Liberia,215,2,20,0,Community transmission,0
Eswatini,187,0,2,0,Clusters of cases,1
São Tomé and Príncipe,166,1,7,0,Clusters of cases,0
Uganda,160,21,0,0,Sporadic cases,0
Mozambique,115,8,0,0,Clusters of cases,0
Malawi,63,0,3,0,Clusters of cases,1
Angola,48,3,2,0,Clusters of cases,0
Eritrea,39,0,0,0,Sporadic cases,26
Zimbabwe,37,0,4,0,Sporadic cases,2
Burundi,27,0,1,0,Clusters of cases,2
Botswana,24,0,1,0,Clusters of cases,3
Gambia,23,0,1,0,Sporadic cases,2
Mauritania,16,7,2,1,Sporadic cases,0
Namibia,16,0,0,0,Sporadic cases,39

Reporting Country/ Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
,cases,new cases,,,classificationi,reported case
Comoros 11 0 1 0 Community transmission 5,,,,,,
Seychelles 11 0 0 0 Clusters of cases 38,,,,,,
Lesotho,1,0,0,0,Pending,1
Territoriesii,,,,,,
Mayotte,1 210,67,16,2,Clusters of cases,0
Réunion,440,1,0,0,Clusters of cases,0
Americas,,,,,,
United States of America,1 361 522,21 424,82 119,1 424,Community transmission,0
Brazil,188 974,11 385,13 149,749,Community transmission,0
Peru,76 306,4 247,2 169,112,Community transmission,0
Canada,72 536,1 050,5 337,128,Community transmission,0
Mexico,40 186,1 862,4 220,294,Community transmission,0
Chile,37 040,2 659,368,22,Community transmission,0
Ecuador,30 502,16,2 338,4,Community transmission,0
Colombia,12 930,658,509,16,Community transmission,0
Dominican Republic,11 320,124,422,13,Community transmission,0
Panama,8 944,328,256,7,Community transmission,0
Argentina,6 973,410,345,24,Community transmission,0
Bolivia (Plurinational State of),3 148,184,142,14,Clusters of cases,0
Honduras,2 255,175,123,2,Community transmission,0
Cuba,1 830,20,79,0,Clusters of cases,0
Guatemala,1 342,143,29,2,Clusters of cases,0
El Salvador,1 112,75,20,0,Clusters of cases,0
Costa Rica,815,11,7,0,Clusters of cases,0

Reporting Country/ Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
,cases,new cases,,,classificationi,reported case
Paraguay,754,14,11,0,Community transmission,0
Uruguay,719,2,19,0,Clusters of cases,0
Jamaica,509,2,9,0,Clusters of cases,0
Venezuela (Bolivarian Republic of),440,0,10,0,Clusters of cases,1
Haiti,234,15,18,0,Clusters of cases,0
Trinidad and Tobago,116,0,8,0,Sporadic cases,17
Guyana,113,0,10,0,Clusters of cases,1
Bahamas,94,1,11,0,Clusters of cases,0
Barbados,85,0,7,0,Clusters of cases,1
