Coronavirus disease,,
(COVID-19),,
Situation Report – 117,,
"Data as received by WHO from national authorities by 10:00 CEST, 16 May 2020",,
Highlights,,
WHO has published a new scientific brief on “Multisystem inflammatory syndrome in children,,
"and adolescents with COVID-19”, given the reported clusters of children and adolescents who",,
require admission to intensive care units with a multisystem inflammatory condition. There is an,,
"urgent need for collecting standardized data describing epidemiology, clinical presentations,",,
"severity, and outcomes.",,
"WHO Director-General Dr Tedros, in his media briefing yesterday, highlighted the need to",,
"“unleash the full power of science, to deliver innovations that are scalable, usable, and benefit",,
"everyone, everywhere, at the same time”.",,
WHO has published new guidance on “Cleaning and disinfection of environmental surfaces in,,
"the context of COVID-19”, intended for healthcare professionals, public health professionals and",,
health authorities that are developing and implementing cleaning and disinfection policies and,,
standard operating procedures.,,
WHO and UNICEF have published a document on frequently asked questions (FAQs) about,,
immunization in the context of the COVID-19 pandemic. These FAQs accompany WHO’s,,
Guiding principles for immunization activities during the COVID-19 pandemic.,,
Situation in numbers (by WHO Region),,
Total (new cases in last 24 hours),,
Globally,4 425 485 cases (86 827),302 059 deaths (4 940)
Africa,54 461 cases (2 271),1 667 deaths (44)
Americas,1 909 483 cases (45 015),115 057 deaths (3 123)
Eastern Mediterranean,315 668 cases (10 479),9 701 deaths (143)
Europe,1 848 445 cases (22 150),164 723 deaths (1 446)
South-East Asia,127 995 cases (5 741),4 201 deaths (151)
Western Pacific,166 721 cases (1 171),6 697 deaths (33)

Surveillance
"Figure 1. Number of confirmed COVID-19 cases reported in the last seven days by country, territory or area, 10 May to 16 May**"
"**See Annex 1 for data, table and figure notes."

"Figure 2. Number of confirmed COVID-19 cases, by date of report and WHO region, 30 December 2019 through 16 May 2020**"
"**See Annex 1 for data, table and figure notes."

"Table 1. Countries, territories or areas with reported laboratory-confirmed COVID-19 cases and deaths, by WHO region. Data as of 10 AM",,,,,,
"CEST, 16 May 2020**",,,,,,
Reporting Country/ Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
,cases,new cases,,,classificationi,reported case
Africa,,,,,,
South Africa,13 524,785,247,9,Community transmission,0
Algeria,6 630,188,536,7,Community transmission,0
Ghana,5 638,108,28,4,Community transmission,0
Nigeria,5 450,288,171,4,Community transmission,0
Cameroon,3 047,93,139,0,Community transmission,0
Guinea,2 531,58,15,1,Community transmission,0
Senegal,2 310,121,23,0,Community transmission,0
Côte d’Ivoire,2 017,46,24,0,Community transmission,0
Democratic Republic of the Congo,1 369,71,60,10,Community transmission,0
Gabon,1 209,105,10,0,Community transmission,0
Guinea-Bissau,913,0,3,0,Community transmission,1
Niger,885,9,51,1,Community transmission,0
Mali,806,27,46,0,Community transmission,0
Kenya,781,23,46,4,Community transmission,0
Burkina Faso,780,7,51,0,Community transmission,0
Zambia,668,14,7,0,Community transmission,0
Equatorial Guinea,594,0,7,0,Community transmission,1
United Republic of Tanzania,509,0,21,0,Community transmission,8
Sierra Leone,447,39,27,1,Clusters of cases,0
Chad,428,29,48,2,Community transmission,0
Congo,391,0,15,0,Community transmission,1

Reporting Country/ Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
,cases,new cases,,,classificationi,reported case
Benin,339,0,2,0,Community transmission,1
Mauritius,332,0,10,0,Clusters of cases,19
Cabo Verde,326,11,2,0,Clusters of cases,0
Central African Republic,301,80,0,0,Sporadic cases,0
Ethiopia,287,15,5,0,Clusters of cases,0
Rwanda,287,0,0,0,Sporadic cases,2
Togo,263,25,11,0,Community transmission,0
Madagascar,238,8,0,0,Clusters of cases,0
South Sudan,231,0,1,0,Clusters of cases,1
Liberia,219,4,20,0,Community transmission,0
Uganda,203,43,0,0,Sporadic cases,0
Eswatini,190,3,2,0,Clusters of cases,0
São Tomé and Príncipe,166,0,7,0,Clusters of cases,1
Mozambique,119,4,0,0,Clusters of cases,0
Malawi,63,0,3,0,Clusters of cases,2
Angola,48,0,2,0,Clusters of cases,1
Zimbabwe,42,5,4,0,Sporadic cases,0
