Coronavirus disease,,
(COVID-19),,
Situation Report – 118,,
"Data as received by WHO from national authorities by 10:00 CEST, 17 May 2020",,
Highlights,,
Presidents Carlos Alvarado Quesada of Costa Rica and Sebastián Piñera of Chile joined the,,
WHO Director-General Dr Tedros on 15 May to announce progress on a technology platform,,
"that aims to lift access barriers to effective vaccines, medicines and other health products",,
"against COVID-19. The platform, which will officially launch on 29 May, will pool data,",,
knowledge and intellectual property for existing or new COVID-19 health products to,,
deliver ‘global public goods’ for all people and all countries.,,
Japan has agreed to contribute over US$2.7 million to help nine countries in the Americas,,
"strengthen their capacities to detect cases, monitor, and control outbreaks of COVID-19, as well",,
as ensure that reliable public health information on the COVID-19 pandemic is available to,,
people involved in the response and the general public.,,
A community of youth influencers named the Global Shapers Community is working with the,,
"WHO Regional Office for Europe to ensure that tailored health advice reaches communities,",,
families and individuals in countries across the European Region. This collaboration allows,,
"young community members to flag rumours, report on the tone of discussions on their channels",,
"and ask questions, as well as share information and project ideas to WHO. The information is",,
then used by WHO to better tailor risk communication and address misinformation.,,
Situation in numbers (by WHO Region),,
Total (new cases in last 24 hours),,
Globally,4 525 497 cases (100 012),307 395 deaths (5 336)
Africa,58 663 cases (2 202),1 710 deaths (43)
Americas,1 966 932 cases (57 449),118 799 deaths (3 742)
Eastern Mediterranean,326 568 cases (10 900),9 841 deaths (140)
Europe,1 870 545 cases (22 100),165 951 deaths (1 228)
South-East Asia,134 531 cases (6 536),4 351 deaths (150)
Western Pacific,167 546 cases (825),6 730 deaths (33)

Surveillance
"Figure 1. Number of confirmed COVID-19 cases reported in the last seven days by country, territory or area, 11 May to 17 May**"
"**See Annex 1 for data, table and figure notes."

"Figure 2. Number of confirmed COVID-19 cases, by date of report and WHO region, 30 December 2019 through 17 May 2020**"
"**See Annex 1 for data, table and figure notes."

"Table 1. Countries, territories or areas with reported laboratory-confirmed COVID-19 cases and deaths, by WHO region. Data as of 10 AM",,,,,,
"CEST, 17 May 2020**",,,,,,
Reporting Country/ Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
,cases,new cases,,,classificationi,reported case
Africa,,,,,,
South Africa,14 355,831,261,14,Community transmission,0
Algeria,6 821,191,542,6,Community transmission,0
Ghana,5 735,97,29,1,Community transmission,0
Nigeria,5 621,171,176,5,Community transmission,0
Cameroon,3 047,0,139,0,Community transmission,1
Guinea,2 658,127,16,1,Community transmission,0
Senegal,2 429,119,25,2,Community transmission,0
Côte d’Ivoire,2 061,44,25,1,Community transmission,0
Democratic Republic of the Congo,1 454,85,60,0,Community transmission,0
Gabon,1 320,111,11,1,Community transmission,0
Guinea-Bissau,913,0,3,0,Community transmission,2
Niger,889,4,51,0,Community transmission,0
Mali,835,29,48,2,Community transmission,0
Kenya,830,49,50,4,Community transmission,0
Burkina Faso,782,2,51,0,Community transmission,0
Equatorial Guinea,690,96,7,0,Community transmission,0
Zambia,679,11,7,0,Community transmission,0
United Republic of Tanzania,509,0,21,0,Community transmission,9
Chad,474,46,50,2,Community transmission,0
Sierra Leone,462,15,29,2,Clusters of cases,0
Congo,391,0,15,0,Community transmission,2

Reporting Country/ Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
,cases,new cases,,,classificationi,reported case
Benin,339,0,2,0,Community transmission,2
Mauritius,332,0,10,0,Clusters of cases,20
Cabo Verde,328,2,3,1,Clusters of cases,0
Ethiopia,306,19,5,0,Clusters of cases,0
Central African Republic,301,0,0,0,Sporadic cases,1
Togo,298,35,11,0,Community transmission,0
Rwanda,289,2,0,0,Sporadic cases,0
Madagascar,283,45,0,0,Clusters of cases,0
South Sudan,231,0,1,0,Clusters of cases,2
Uganda,227,24,0,0,Sporadic cases,0
Liberia,223,4,20,0,Community transmission,0
Eswatini,202,12,2,0,Clusters of cases,0
São Tomé and Príncipe,169,3,7,0,Clusters of cases,0
Mozambique,129,10,0,0,Clusters of cases,0
Malawi,65,2,3,0,Clusters of cases,0
Angola,48,0,2,0,Clusters of cases,2
Zimbabwe,44,2,4,0,Sporadic cases,0
Mauritania,40,11,4,1,Sporadic cases,0
Eritrea,39,0,0,0,Sporadic cases,28
