Coronavirus disease,,
(COVID-19),,
Situation Report – 121,,
"Data as received by WHO from national authorities by 10:00 CEST, 20 May 2020",,
Highlights,,
WHO Regional Director for the Americas Dr Carissa F. Etienne highlighted that addressing,,
"COVID-19 will require protecting vulnerable groups including women, underprivileged",,
"populations, indigenous populations and migrants, by addressing health, social and economic",,
inequalities.,,
WHO has published a new Case Report Form for “Suspected cases of multisystem,,
inflammatory syndrome (MIS) in children and adolescents temporally related to COVID-19”,,
intended for use by public health professionals for collecting standardized data on clinical,,
"presentations, severity and outcomes.",,
Uganda commissioned the first Port Health COVID-19 laboratory at the main Uganda-,,
Tanzania border in light of potential COVID-19 importation by truck drivers. Two GeneXpert,,
"machines will be used to test all truck drivers arriving at the Mutukula point of entry, where",,
results will become available within 45 minutes.,,
"A doctor from Cairo, Egypt describes how he became infected with and recovered from COVID-",,
"19 and highlights the need for health care workers to practise basic infection, prevention and",,
control measures when interacting with patients.,,
Evidence from social science can help officials develop and implement policies in ways that are,,
"more likely to work because they are tailored to local needs. In the ‘Subject in Focus’ below, we",,
look at how WHO is implementing the COVID-19 Research Roadmap agenda to translate,,
evidence from the social sciences into action.,,
Situation in numbers (by WHO Region),,
Total (new cases in last 24 hours),,
Globally,4 789 205 cases (57 804),318 789 deaths (2 621)
Africa,65 956 cases (2 435),1 846 deaths (50)
Americas,2 105 670 cases (22 782),125 843 deaths (1 176)
Eastern Mediterranean,361 902 cases (5 153),10 303 deaths (154)
Europe,1 928 799 cases (19 207),169 033 deaths (1 035)
South-East Asia,156 211 cases (7 450),4 971 deaths (191)
Western Pacific,169 955 cases (777),6 780 deaths (15)

Subject in Focus: Infodemics Management - Social science
evidence in outbreak response
"To tackle the health, social and economic challenges of COVID-19, decision-makers need data and"
research from many different disciplines. At the Global Research and Innovation meeting held in Geneva
"on 11-12 February 2020, over 400 scientists, Member State representatives, public health professionals,"
donors and private sector representatives came together to agree on priorities to accelerate research for
the COVID-19 response. Social science was one of the nine research areas that featured on the
meeting’s agenda.
"Social science is a broad disciplinary field that includes anthropology, psychology, behavioural science,"
"political science, and social epidemiology. Evidence from social science can help officials develop and"
implement policies in ways that are more likely to work because they are tailored to local needs and to
"the realities of where and how people live, think and act, as individuals and as a group."
A technical working group of social scientists across the world’s regions was convened to guide and
support further development of the COVID-19 Research Roadmap agenda.1 The aim of this group is to
translate evidence from the social sciences into action that can inform response strategies by developing
"and sharing protocols, tools and technical expertise, for example on key considerations from social"
"science on public use of face masks, immunity passports, homecare, routine immunization programmes,"
and vaccine implementation. The group achieves its objectives through collaboration and by coordinating
"action with other initiatives, including with the research arm of the Global Outbreak Alert and Response"
Network (GOARN).
The COVID-19 Research Roadmap highlighted the need for social science research in three priority
areas:
"First, research about the impacts of COVID-19 and the public health response, including secondary"
"impacts, will help countries at different phases of the response to learn from others. This is key to"
"informing and tailoring local and national responses. For example, research on how public health lock-"
down measures have affected mental health and household incomes can help officials plan how best to
"support communities once these measures are lifted. Under the COVID-19 Research Roadmap, a"
research group in China is studying the lessons learned following the public health measures taken in
that country.
"Second, research on health systems and models of care in different regions will enable adaptation and"
efficiencies specific to the COVID-19 health care response. Research in this area can help officials plan
best approaches for managing patient flows and also provide the right support to those providing care in
formal and informal community settings. A review of different models of homecare is currently underway
to identify and share best methods for low resource settings. Working with infection prevention and
"control experts, a research protocol guidance document and data collection tools have also been"
developed to study the views of health workers on infection prevention and control procedures and on
their well-being. Research groups in different regions are implementing this study and are meeting
"regularly to share experiences, results and learning."
"Third, research on the flows of information, misinformation and disinformation, and on effective"
"approaches for addressing stigma, will help science-based information and recommendations reach"
intended audiences. Data-driven insights can help officials tackle the infodemic and implement strategies
1Please see the Social Science Working group Terms of Reference here

"to build trust. Across all these areas, there is an essential need to define and prioritize vulnerable"
populations so that evidence can inform policy development which accounts for and meets their needs.
The working group continues to collaborate with colleagues working on different technical areas and
"groups: immunization, ethics, gender, maternal and child health, sexual and reproductive health, to name"
a few; informing social science evidence in the work of WHO.
A toolbox on good participatory practice for COVID-19 clinical trials and on working with Community
Advisory Boards for COVID-19 related clinical studies is also now available.

Surveillance
"Figure 1. Number of confirmed COVID-19 cases reported in the last seven days by country, territory or area, 14 May to 20 May**"
"**See Annex 1 for data, table and figure notes."

"Figure 2. Number of confirmed COVID-19 cases, by date of report and WHO region, 30 December 2019 through 20 May 2020**"
"**See Annex 1 for data, table and figure notes."

"Table 1. Countries, territories or areas with reported laboratory-confirmed COVID-19 cases and deaths, by WHO region. Data as of 10 AM",,,,,,
"CEST, 20 May 2020**",,,,,,
Reporting Country/ Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
,cases,new cases,,,classificationi,reported case
Africa,,,,,,
South Africa,17 200,767,312,26,Community transmission,0
Algeria,7 377,176,561,6,Community transmission,0
Nigeria,6 401,226,192,1,Community transmission,0
Ghana,6 096,361,31,2,Community transmission,0
Cameroon,3 529,0,140,0,Community transmission,1
Guinea,2 863,67,18,2,Community transmission,0
Senegal,2 617,73,30,4,Community transmission,0
Côte d’Ivoire,2 153,34,28,0,Community transmission,0
Democratic Republic of the Congo,1 730,193,60,0,Community transmission,0
Gabon,1 502,70,12,1,Community transmission,0
Guinea-Bissau,1 038,0,6,0,Community transmission,1
Kenya,963,51,50,0,Community transmission,0
Niger,914,5,55,0,Community transmission,0
Mali,901,27,53,1,Community transmission,0
Equatorial Guinea,890,65,7,0,Community transmission,0
Burkina Faso,806,10,52,1,Community transmission,0
Zambia,772,11,7,0,Community transmission,0
Chad,545,26,56,2,Community transmission,0
Sierra Leone,534,15,33,0,Clusters of cases,0
United Republic of Tanzania,509,0,21,0,Community transmission,12

Reporting Country/ Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
,cases,new cases,,,classificationi,reported case
Congo,420,6,15,0,Community transmission,0
Central African Republic,411,75,0,0,Sporadic cases,0
Ethiopia,365,13,5,0,Clusters of cases,0
Togo,338,8,12,0,Community transmission,0
Cabo Verde,335,7,3,0,Clusters of cases,0
Mauritius,332,0,10,0,Clusters of cases,23
Madagascar,326,4,2,1,Clusters of cases,0
Rwanda,308,11,0,0,Sporadic cases,0
South Sudan,282,0,4,0,Clusters of cases,2
Uganda,260,0,0,0,Sporadic cases,1
Liberia,233,4,23,1,Community transmission,0
Eswatini,208,3,2,0,Clusters of cases,0
São Tomé and Príncipe,165,0,7,0,Clusters of cases,1
Mozambique,146,1,0,0,Clusters of cases,0
Mauritania,131,50,4,0,Sporadic cases,0
Benin,130,1,2,0,Community transmission,0
Malawi,71,1,3,0,Clusters of cases,0
Angola,52,2,3,1,Clusters of cases,0
Zimbabwe,46,0,4,0,Sporadic cases,1
Burundi,42,0,1,0,Clusters of cases,2
Eritrea,39,0,0,0,Sporadic cases,31
Comoros,34,23,1,0,Community transmission,0

Reporting Country/ Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
,cases,new cases,,,classificationi,reported case
Botswana,25,0,1,0,Clusters of cases,3
Gambia,24,0,1,0,Sporadic cases,2
Namibia,16,0,0,0,Sporadic cases,44
Seychelles,11,0,0,0,Clusters of cases,43
Lesotho,1,0,0,0,Pending,6
Territoriesii,,,,,,
Mayotte,1419,49,19,1,Clusters of cases,0
Réunion,446,0,0,0,Clusters of cases,1
Americas,,,,,,
United States of America,1 477 459,0,89 271,0,Community transmission,1
Brazil,2 54 220,1 3140,16 792,674,Community transmission,0
Peru,94 933,2 660,2 789,141,Community transmission,0
Canada,78 499,1 193,5 857,52,Community transmission,0
Mexico,51 633,2 414,5 332,155,Community transmission,0
Chile,46 059,0,478,0,Community transmission,1
Ecuador,34 151,969,2 839,103,Community transmission,0
Colombia,16 295,721,592,18,Community transmission,0
Dominican Republic,13 223,498,441,7,Community transmission,0
Panama,9 726,120,279,4,Community transmission,0
Argentina,8 371,303,382,9,Community transmission,0
Bolivia (Plurinational State of),4 263,175,174,5,Clusters of cases,0
Honduras,2 798,152,146,4,Community transmission,0
Guatemala,2 001,89,38,3,Clusters of cases,0

Reporting Country/ Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
,cases,new cases,,,classificationi,reported case
Cuba,1 887,6,79,0,Clusters of cases,0
El Salvador,1 498,85,30,0,Clusters of cases,0
Costa Rica,882,19,10,0,Clusters of cases,0
Paraguay,829,41,11,0,Community transmission,0
Uruguay,737,3,20,0,Clusters of cases,0
Venezuela (Bolivarian Republic of),618,0,10,0,Clusters of cases,1
Haiti,533,77,21,1,Clusters of cases,0
Jamaica,520,0,9,0,Clusters of cases,1
Guyana,124,7,10,0,Clusters of cases,0
Trinidad and Tobago,116,0,8,0,Sporadic cases,22
Bahamas,96,0,11,0,Clusters of cases,4
Barbados,88,0,7,0,Clusters of cases,1
Antigua and Barbuda,25,0,3,0,Clusters of cases,16
Nicaragua,25,0,8,0,Clusters of cases,6
Grenada,22,0,0,0,Clusters of cases,4
Belize,18,0,2,0,Sporadic cases,35
Saint Lucia,18,0,0,0,Sporadic cases,15
Saint Vincent and the Grenadines,17,0,0,0,Sporadic cases,15
Dominica,16,0,0,0,Clusters of cases,39
Saint Kitts and Nevis,15,0,0,0,Sporadic cases,29
Suriname,11,0,1,0,Sporadic cases,1
Territoriesii,,,,,,
