Coronavirus disease (COVID-19),,
Situation Report – 122,,
"Data as received by WHO from national authorities by 10:00 CEST, 21 May 2020",,
Highlights,,
The WHO World Health Assembly has ended with a global commitment to the COVID-19 response.,,
Delegates adopted a landmark resolution to bring the world together to fight the COVID-19 pandemic.,,
WHO has been supporting Somalia since the beginning of this outbreak to enhance its infection control,,
"measures, testing capacities, and case management. In particular, training has been provided for the",,
"healthcare workers of the De-Martino hospital and 13 other isolation centres across the country, which",,
"have also received medical supplies and budget support for salaries. However, so far, only 26% of WHO’s",,
urgent appeal of US$ 21.95 million for emergency response to COVID-19 in Somalia has been funded.,,
"The World Day for Cultural Diversity for Dialogue and Development, celebrated every year on 21 May, is an",,
"opportunity to celebrate not only the richness of the world’s cultures, but also the importance of cultural",,
competency and intercultural dialogue within healthcare systems. It also reminds us that public health,,
efforts against the COVID-19 pandemic require a whole-of-society approach and must include vulnerable,,
populations such as refugees and migrants in national plans and strategies.,,
Situation in numbers (by WHO Region),,
Total (new cases in last 24 hours),,
Globally,4 893 186 cases (103 981),323 256 deaths (4 467)
Africa,68 347 cases (2 391),1 910 deaths (64)
Americas,2 166 003 cases (60 333),128 649 deaths (2 806)
Eastern Mediterranean,376 379 cases (14 477),10 468 deaths (165)
Europe,1 946 610 cases (17 811),170 283 deaths (1 250)
South-East Asia,164 225 cases (8 014),5 140 deaths (169)
Western Pacific,170 910 cases (955),6 793 deaths (13)

Surveillance
"Figure 1. Number of confirmed COVID-19 cases reported in the last seven days by country, territory or area, 15 May to 21 May**"
"**See Annex 1 for data, table and figure notes."

"Figure 2. Number of confirmed COVID-19 cases, by date of report and WHO region, 30 December 2019 through 21 May 2020**"
"**See Annex 1 for data, table and figure notes."

"Table 1. Countries, territories or areas with reported laboratory-confirmed COVID-19 cases and deaths, by WHO region. Data as of 10 AM CEST, 21 May 2020**",,,,,,
Reporting Country/ Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
,cases,new cases,,,classificationi,reported case
Africa,,,,,,
South Africa,18 003,803,339,27,Community transmission,0
Algeria,7 542,165,568,7,Community transmission,0
Nigeria,6 677,276,200,8,Community transmission,0
Ghana,6 096,0,31,0,Community transmission,1
Cameroon,3 733,204,146,6,Community transmission,0
Guinea,2 927,64,19,1,Community transmission,0
Senegal,2 714,97,30,0,Community transmission,0
Côte d’Ivoire,2 231,78,29,1,Community transmission,0
Democratic Republic of the Congo,1 834,104,60,0,Community transmission,0
Gabon,1 567,65,12,0,Community transmission,0
Guinea-Bissau,1 089,51,6,0,Community transmission,0
Kenya,1 029,66,50,0,Community transmission,0
Mali,931,30,55,2,Community transmission,0
Niger,920,6,58,3,Community transmission,0
Equatorial Guinea,903,13,10,3,Community transmission,0
Zambia,832,60,7,0,Community transmission,0
Burkina Faso,809,3,52,0,Community transmission,0
Sierra Leone,570,36,34,1,Clusters of cases,0
Chad,565,20,57,1,Community transmission,0
United Republic of Tanzania,509,0,21,0,Community transmission,13

Reporting Country/ Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
,cases,new cases,,,classificationi,reported case
Congo,420,0,15,0,Community transmission,1
Central African Republic,411,0,0,0,Sporadic cases,1
Ethiopia,389,24,5,0,Clusters of cases,0
Madagascar,371,45,2,0,Clusters of cases,0
Cabo Verde,349,14,3,0,Clusters of cases,0
South Sudan,339,57,6,2,Clusters of cases,0
Togo,338,0,12,0,Community transmission,1
Mauritius,332,0,10,0,Clusters of cases,24
Rwanda,314,6,0,0,Sporadic cases,0
Uganda,264,4,0,0,Sporadic cases,0
Liberia,238,5,23,0,Community transmission,0
Eswatini,217,9,2,0,Clusters of cases,0
São Tomé and Príncipe,165,0,8,1,Clusters of cases,2
Mozambique,156,10,0,0,Clusters of cases,0
Mauritania,141,10,4,0,Sporadic cases,0
Benin,130,0,2,0,Community transmission,1
Malawi,72,1,3,0,Clusters of cases,0
