Coronavirus disease,,
(COVID-19),,
Situation Report – 123,,
"Data as received by WHO from national authorities by 10:00 CEST, 22 May 2020",,
Highlights,,
WHO and United Nations High Commissioner for Refugees (UNHCR) joined forces to improve,,
"health services for refugees, displaced and stateless people. WHO and UNHCR signed a new",,
agreement to strengthen and advance public health services for the millions of displaced people,,
around the world. A key aim this year will be to support ongoing efforts to protect some 70 million,,
displaced people due to COVID-19.,,
WHO has supported the Smithsonian Science Education Center and InterAcademy Partnership to,,
"launch a new COVID-19 rapid-response guide for young people aged 8–17 years, titled “COVID-",,
"19! How can I protect myself and others?”. The guide, which is based on the 2030 Sustainable",,
"Development Goals, aims to help young people understand the science and social science of",,
"COVID-19 as well as help them take action to keep themselves, their families and communities",,
safe.,,
WHO has launched a new search feature for questions on COVID-19. WHO’s COVID-19 webpage,,
"now features an enhanced natural language processing search bar, which understands questions",,
posed in everyday language and more accurately delivers answers to those queries.,,
WHO and partners have produced guidance on laboratory biosafety related to the testing of clinical,,
"specimens and guidance on the repatriation of COVID-19 human remains by air, both of which are",,
explored in today’s ‘Subject in Focus’ below.,,
Situation in numbers (by WHO Region),,
Total (new cases in last 24 hours),,
Globally,4 993 470 cases (100 284),327 738 deaths (4 482)
Africa,71 752 cases (3 405),1 981 deaths (71)
Americas,2 220 267 cases (54 264),131 605 deaths (2 956)
Eastern Mediterranean,389 588 cases (13 209),10 648 deaths (180)
Europe,1 966 244 cases (19 634),171 327 deaths (1 044)
South-East Asia,173 159 cases (8 934),5 347 deaths (207)
Western Pacific,171 748 cases (838),6 817 deaths (24)

Subject in Focus: Interdisciplinary and interagency collaboration,,
for the transportation of clinical samples and human remains,,
"It is important that the transportation of dangerous goods, in particular infectious substances, is",,
"conducted safely and in compliance with regulations. To encourage this, WHO has been in close",,
collaboration with UN specialised agencies such as the International Civil Aviation Organization (ICAO),,
and other agencies in official relations with WHO under the Framework of Engagement with non-State,,
"actors, including the International Air Transport Association (IATA).",,
Such collaboration has been indispensable from the beginning of the COVID-19 pandemic to ensure,,
and timely shipment of clinical samples. Both ICAO and IATA not only agreed to WHO’s classification,,
"of COVID-19 clinical samples and cultures, but also ensured the compliance of IATA member air",,
operators. WHO has also published guidance on laboratory biosafety related to the testing of clinical,,
specimens of patients that meet the case definition of COVID-19.,,
"Building on these partnerships with ICAO and IATA, a collaborative document providing guidance on",,
the repatriation of COVID-19 human remains by air1 has also been issued. This was prepared in,,
"collaboration with US CDC, a WHO Collaborating Centre for Biosafety and Biosecurity, to which WHO",,
"provided technical expertise in relevant subject matters, including biological safety, points-of-entry, risk",,
"assessment, and infection prevention and control.",,
Repatriation in this context is defined as the transportation of human remains of COVID-19 infected,,
"cases from one country to another for burial purposes, at the request of the next-of-kin. The process is",,
complex and requires careful arrangements and proper coordination. At present there is no universally,,
applicable standard or treaty but the Strasbourg Agreement on the Transfer of Corpses of the Council,,
"of Europe, which was agreed by some 20 states, provides a good reference point.",,
Key issues that need to be considered when managing COVID-19 related repatriation of human,,
remains includes:,,
,1),"Specific guidance on PPE for mortuary workers, religious leaders or others who may have"
,,direct contact with the deceased;
,2),Respecting the dignity of the dead and their families according to cultural and religious
,,traditions;
,3),Encouraging practices that balance the rights of the family with funerary practices and risks of
,,exposure to infection on a cases-by-case basis; and
,4),"Various and sometimes competing regulations and requirements of countries of origin, transit"
,,and destination as well as aircraft operators.
1,Also see https://www.icao.int/Security/COVID-19/EBandSL/eb027e.pdf,

Surveillance
"Figure 1. Number of confirmed COVID-19 cases reported in the last seven days by country, territory or area, 16 May to 22 May**"
"**See Annex 1 for data, table and figure notes."

"Figure 2. Number of confirmed COVID-19 cases, by date of report and WHO region, 30 December 2019 through 22 May 2020**"
"**See Annex 1 for data, table and figure notes."

"Table 1. Countries, territories or areas with reported laboratory-confirmed COVID-19 cases and deaths, by WHO region. Data as of 10 AM",,,,,,
"CEST, 22 May 2020**",,,,,,
Reporting Country/ Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
,cases,new cases,,,classificationi,reported case
Africa,,,,,,
South Africa,19 137,1 134,369,30,Community transmission,0
Algeria,7 728,186,575,7,Community transmission,0
Nigeria,7 016,339,211,11,Community transmission,0
Ghana,6 269,173,31,0,Community transmission,0
Cameroon,4 288,555,156,10,Community transmission,0
Guinea,3 067,140,19,0,Community transmission,0
Senegal,2 815,101,33,3,Community transmission,0
Côte d’Ivoire,2 301,70,29,0,Community transmission,0
Democratic Republic of the Congo,1 944,110,62,2,Community transmission,0
Gabon,1 567,0,12,0,Community transmission,1
Guinea-Bissau,1 109,20,6,0,Community transmission,0
Kenya,1 109,80,50,0,Community transmission,0
Equatorial Guinea,960,57,11,1,Community transmission,0
Mali,931,0,55,0,Community transmission,1
Niger,924,4,60,2,Community transmission,0
Zambia,866,34,7,0,Community transmission,0
Burkina Faso,812,3,52,0,Community transmission,0
Chad,588,23,58,1,Community transmission,0
Sierra Leone,585,15,35,1,Clusters of cases,0
United Republic of Tanzania,509,0,21,0,Community transmission,14

Reporting Country/ Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
,cases,new cases,,,classificationi,reported case
South Sudan,473,134,6,0,Clusters of cases,0
Congo,469,49,16,1,Community transmission,0
Central African Republic,436,25,0,0,Sporadic cases,0
Madagascar,405,34,2,0,Clusters of cases,0
Ethiopia,399,10,5,0,Clusters of cases,0
Cabo Verde,356,7,3,0,Clusters of cases,0
Togo,354,16,12,0,Community transmission,0
Mauritius,332,0,10,0,Clusters of cases,25
Rwanda,320,6,0,0,Sporadic cases,0
Uganda,264,0,0,0,Sporadic cases,1
Liberia,240,2,23,0,Community transmission,0
Eswatini,220,3,2,0,Clusters of cases,0
Mauritania,173,32,5,1,Sporadic cases,0
São Tomé and Príncipe,165,0,8,0,Clusters of cases,3
Mozambique,162,6,0,0,Clusters of cases,0
Benin,135,5,3,1,Community transmission,0
Malawi,72,0,3,0,Clusters of cases,1
Angola,60,2,3,0,Clusters of cases,0
Zimbabwe,51,3,4,0,Sporadic cases,0
Burundi,42,0,1,0,Clusters of cases,4
Eritrea,39,0,0,0,Sporadic cases,33
Comoros,34,0,1,0,Community transmission,2

Reporting Country/ Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
,cases,new cases,,,classificationi,reported case
Botswana,29,4,1,0,Clusters of cases,0
Gambia,24,0,1,0,Sporadic cases,4
Namibia,18,2,0,0,Sporadic cases,0
Seychelles,11,0,0,0,Clusters of cases,45
Lesotho,1,0,0,0,Pending,8
Territoriesii,,,,,,
Mayotte,1 494,19,19,0,Clusters of cases,0
Réunion,449,2,1,0,Clusters of cases,0
Americas,,,,,,
United States of America,1 525 186,23 310,91 527,1 324,Community transmission,0
Brazil,291 579,19 951,18 859,888,Community transmission,0
Peru,104 020,4 537,3 024,110,Community transmission,0
Canada,80 555,1 053,6 062,107,Community transmission,0
Mexico,56 594,2 248,6 090,424,Community transmission,0
Chile,53 617,0,544,0,Community transmission,1
Ecuador,34 854,703,2 888,49,Community transmission,0
Colombia,17 687,752,630,17,Community transmission,0
Dominican Republic,13 657,180,448,2,Community transmission,0
Panama,9 977,110,287,6,Community transmission,0
Argentina,9 283,474,403,10,Community transmission,0
Bolivia (Plurinational State of),4 919,438,199,10,Clusters of cases,0
Honduras,3 100,145,151,4,Community transmission,0
Guatemala,2 265,132,45,2,Clusters of cases,0

Reporting Country/ Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
,cases,new cases,,,classificationi,reported case
Cuba,1 908,8,80,1,Clusters of cases,0
El Salvador,1 640,69,32,1,Community transmission,0
Costa Rica,882,0,10,0,Clusters of cases,2
Paraguay,836,3,11,0,Community transmission,0
Venezuela (Bolivarian Republic of),824,0,10,0,Clusters of cases,1
Uruguay,746,8,20,0,Clusters of cases,0
Haiti,663,67,22,0,Clusters of cases,0
Jamaica,529,9,9,0,Clusters of cases,0
Nicaragua,279,0,17,0,Clusters of cases,1
