Coronavirus disease (COVID-19),,
Situation Report – 124,,
"Data as received by WHO from national authorities by 10:00 CEST, 23 May 2020",,
Highlights,,
WHO has published a COVID-19 Monitoring and Evaluation Framework listing the key public health,,
"and essential health services and systems indicators to monitor preparedness, response, and situations",,
during the COVID-19 pandemic.,,
WHO has updated a document on Operational Planning Guidelines to Support Country,,
Preparedness and Response. The document provides a practical guide that can be used by national,,
authorities to develop and update their COVID-19 national plans across the major pillars of COVID-19,,
preparedness and response.,,
WHO published an interim guidance on Framework for decision-making: implementation of mass,,
vaccination campaigns in the context of COVID-19. The document describes the principles to consider,,
when deliberating the implementation of mass vaccination campaigns for prevention of vaccine-,,
"preventable diseases and high impact diseases (VPD/HID), and when assessing risks and benefits of",,
conducting outbreak-response vaccination campaigns to respond to VPD/HID outbreaks.,,
WHO has published an interim guidance on Controlling the spread of COVID-19 at ground crossings,,
"advising countries to reduce the spread of COVID-19 resulting from travel, transportation, and trade on",,
and around ground crossings,,
Situation in numbers (by WHO Region),,
Total (new cases in last 24 hours),,
Globally,5 103 006 cases (109 536),333 401 deaths (5 663)
Africa,74 256 cases (2 504),2 040 deaths (59)
Americas,2 282 488 cases (62 221),135 184 deaths (3 579)
Eastern Mediterranean,402 919 cases (13 331),10 806 deaths (158)
Europe,1 987 657 cases (21 413),172 958 deaths (1 631)
South-East Asia,182 278 cases (9 119),5 556 deaths (209)
Western Pacific,172 696 cases (948),6 844 deaths (27)

Surveillance
"Figure 1. Number of confirmed COVID-19 cases reported in the last seven days by country, territory or area, 17 May to 23 May**"
"**See Annex 1 for data, table and figure notes."

"Figure 2. Number of confirmed COVID-19 cases, by date of report and WHO region, 30 December 2019 through 23 May 2020**"
"**See Annex 1 for data, table and figure notes."

"Table 1. Countries, territories or areas with reported laboratory-confirmed COVID-19 cases and deaths, by WHO region. Data as of 10 AM CEST, 23 May 2020**",,,,,,
Reporting Country/ Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
,cases,new cases,,,classificationi,reported case
Africa,,,,,,
South Africa,20 125,988,397,28,Community transmission,0
Algeria,7 918,190,582,7,Community transmission,0
Nigeria,7 261,245,221,10,Community transmission,0
Ghana,6 486,217,31,0,Community transmission,0
Cameroon,4 400,112,159,3,Community transmission,0
Guinea,3 114,47,19,0,Community transmission,0
Senegal,2 909,94,33,0,Community transmission,0
Côte d’Ivoire,2 341,40,29,0,Community transmission,0
Democratic Republic of the Congo,1 944,0,62,0,Community transmission,1
Gabon,1 728,161,12,0,Community transmission,0
Kenya,1 161,52,50,0,Community transmission,0
Guinea-Bissau,1 114,5,6,0,Community transmission,0
Mali,969,38,62,7,Community transmission,0
Equatorial Guinea,960,0,11,0,Community transmission,1
Niger,937,13,60,0,Community transmission,0
Zambia,920,54,7,0,Community transmission,0
Burkina Faso,814,2,52,0,Community transmission,0
Chad,611,23,59,1,Community transmission,0
Sierra Leone,606,21,38,3,Clusters of cases,0
United Republic of Tanzania,509,0,21,0,Community transmission,15

Reporting Country/ Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
,cases,new cases,,,classificationi,reported case
Central African Republic,479,43,0,0,Sporadic cases,0
South Sudan,473,0,5,- 1,Clusters of cases,1
Congo,469,0,16,0,Community transmission,1
Madagascar,448,43,2,0,Clusters of cases,0
Ethiopia,433,34,5,0,Clusters of cases,0
Togo,363,9,12,0,Community transmission,0
Cabo Verde,362,6,3,0,Clusters of cases,0
Mauritius,332,0,10,0,Clusters of cases,26
Rwanda,321,1,0,0,Sporadic cases,0
Uganda,274,10,0,0,Sporadic cases,0
Liberia,249,9,24,1,Community transmission,0
Eswatini,225,5,2,0,Clusters of cases,0
Mauritania,173,0,5,0,Sporadic cases,1
São Tomé and Príncipe,165,0,8,0,Clusters of cases,4
Mozambique,164,2,0,0,Clusters of cases,0
Benin,135,0,3,0,Community transmission,1
Malawi,82,10,3,0,Clusters of cases,0
Angola,60,0,3,0,Clusters of cases,1
