Coronavirus disease (COVID-19),,
Situation Report – 125,,
"Data as received by WHO from national authorities by 10:00 CEST, 24 May 2020",,
Highlights,,
"At least 80 million children under one at risk of diseases such as diphtheria, measles and polio as",,
"COVID-19 disrupts routine vaccination efforts, warn GAVI, WHO and UNICEF. Agencies call for joint",,
effort to safely deliver routine immunization and proceed with vaccination campaigns against,,
deadly vaccine-preventable diseases.,,
"WHO Director-General Dr Tedros, in his regular media briefing on 22 May, thanked all those who",,
"contributed to the COVID-19 Solidarity Response Fund. The Fund, launched with the United",,
"Nations Foundation and the Swiss Philanthropy Foundation, has so far raised more than U$214",,
"million from more than 375,000 individuals, corporations and foundations.",,
The WHO Regional Office for the Americas organized media sensitization sessions on reporting on,,
COVID-19 to increase journalists’ understanding of the underlying issues relating to the pandemic,,
and thus allow for more sensitive reporting.,,
Situation in numbers (by WHO Region),,
Total (new cases in last 24 hours),,
Globally,5 204 508 cases (101 502),337 687 deaths (4 286)
Africa,77 295 cases (3 039),2 073 deaths (33)
Americas,2 338 124 cases (55 636),138 116 deaths (2 932)
Eastern Mediterranean,415 806 cases (12 887),10 988 deaths (182)
Europe,2 006 984 cases (19 327),173 886 deaths (928)
South-East Asia,191 966 cases (9 688),5 748 deaths (192)
Western Pacific,173 621 cases (925),6 863 deaths (19)

Surveillance
"Figure 1. Number of confirmed COVID-19 cases reported in the last seven days by country, territory or area, 18 May to 24 May**"
"**See Annex 1 for data, table and figure notes."

"Figure 2. Number of confirmed COVID-19 cases, by date of report and WHO region, 30 December 2019 through 24 May 2020**"
"**See Annex 1 for data, table and figure notes."

"Table 1. Countries, territories or areas with reported laboratory-confirmed COVID-19 cases and deaths, by WHO region. Data as of 10 AM CEST, 24 May 2020**",,,,,,
Reporting Country/ Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
,cases,new cases,,,classificationi,reported case
Africa,,,,,,
South Africa,21 343,1 218,407,10,Community transmission,0
Algeria,8 113,195,592,10,Community transmission,0
Nigeria,7 526,265,221,0,Community transmission,0
Ghana,6 617,131,31,0,Community transmission,0
Cameroon,4 400,0,159,0,Community transmission,1
Guinea,3 176,62,20,1,Community transmission,0
Senegal,2 976,67,34,1,Community transmission,0
Côte d’Ivoire,2 366,25,30,1,Community transmission,0
Democratic Republic of the Congo,2 140,196,62,0,Community transmission,0
Gabon,1 934,206,12,0,Community transmission,0
Kenya,1 192,31,50,0,Community transmission,0
Guinea-Bissau,1 114,0,6,0,Community transmission,1
Equatorial Guinea,1 043,83,12,1,Community transmission,0
Mali,1 015,46,62,0,Community transmission,0
Niger,943,6,61,1,Community transmission,0
Zambia,920,0,7,0,Community transmission,1
Burkina Faso,831,17,52,0,Community transmission,0
Chad,648,37,60,1,Community transmission,0
Sierra Leone,621,15,39,1,Clusters of cases,0
South Sudan,563,90,6,1,Clusters of cases,0

Reporting Country/ Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
,cases,new cases,,,classificationi,reported case
Central African Republic,552,73,1,1,Sporadic cases,0
United Republic of Tanzania,509,0,21,0,Community transmission,16
Ethiopia,494,61,5,0,Clusters of cases,0
Madagascar,488,40,2,0,Clusters of cases,0
Congo,487,18,16,0,Community transmission,0
Togo,373,10,12,0,Community transmission,0
Cabo Verde,371,9,3,0,Clusters of cases,0
Mauritius,332,0,10,0,Clusters of cases,27
Rwanda,325,4,0,0,Sporadic cases,0
Uganda,312,38,0,0,Sporadic cases,0
Liberia,255,6,26,2,Community transmission,0
Eswatini,238,13,2,0,Clusters of cases,0
Mauritania,227,54,6,1,Sporadic cases,0
São Tomé and Príncipe,174,9,8,0,Clusters of cases,0
