Coronavirus disease,,
(COVID-19),,
Situation Report – 126,,
"Data as received by WHO from national authorities by 10:00 CEST, 25 May 2020",,
Highlights,,
The WHO Regional Office for Africa has provided training for Tanzanian health workers to,,
equip them with skills for caring for critically ill COVID-19 patients. A total of 160 health,,
workers in Tanzania attended a three-day virtual training session organized by the Ministry,,
of Health and the World Health Organization.,,
The United Kingdom will contribute $3.8m for the COVID-19 response in the Caribbean.,,
The financial contribution to the WHO Regional Office for the Americas will help Antigua,,
"and Barbuda, Belize, Dominica, Grenada, Guyana, Jamaica, Saint Lucia, and Saint",,
Vincent and the Grenadines contain the spread of the disease and mitigate its impact.,,
WHO has partnered with Vital Strategies and other global partners to launch a new technical,,
package: Revealing the Toll of COVID-19: A Technical Package for Rapid Mortality Surveillance,,
and Epidemic Response. This is a technical package for rapid mortality surveillance and,,
epidemic response to support national governments with surveillance and response planning,,
surrounding COVID-19.,,
Situation in numbers (by WHO Region),,
Total (new cases in last 24 hours),,
Globally,5 304 772 cases (100 264),342 029 deaths (4 342)
Africa,80 002 cases (2 707),2 120 deaths (47)
Americas,2 395 295 cases (57 171),141 472 deaths (3 356)
Eastern Mediterranean,427 832 cases (12 026),11 164 deaths (176)
Europe,2 025 176 cases (18 192),174 429 deaths (543)
South-East Asia,201 207 cases (9 241),5 952 deaths (204)
Western Pacific,174 548 cases (927),6 879 deaths (16)

Surveillance
"Figure 1. Number of confirmed COVID-19 cases reported in the last seven days by country, territory or area, 19 May to 25 May**"
"**See Annex 1 for data, table and figure notes."

"Figure 2. Number of confirmed COVID-19 cases, by date of report and WHO region, 30 December 2019 through 25 May 2020**"
"**See Annex 1 for data, table and figure notes."

"Table 1. Countries, territories or areas with reported laboratory-confirmed COVID-19 cases and deaths, by WHO region. Data as of 10 AM",,,,,,
"CEST, 25 May 2020**",,,,,,
Reporting Country/ Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
,cases,new cases,,,classificationi,reported case
Africa,,,,,,
South Africa,22 583,1 240,429,22,Community transmission,0
Algeria,8 306,193,600,8,Community transmission,0
Nigeria,7 839,313,226,5,Community transmission,0
Ghana,6 683,66,32,1,Community transmission,0
Cameroon,4 400,0,159,0,Community transmission,2
Guinea,3 275,99,20,0,Community transmission,0
Senegal,3 047,71,35,1,Community transmission,0
Côte d’Ivoire,2 376,10,30,0,Community transmission,0
Democratic Republic of the Congo,2 140,0,62,0,Community transmission,1
Gabon,1 934,0,12,0,Community transmission,1
Kenya,1 214,22,51,1,Community transmission,0
Guinea-Bissau,1 173,59,6,0,Community transmission,0
Equatorial Guinea,1 043,0,12,0,Community transmission,1
Mali,1 030,15,65,3,Community transmission,0
Niger,945,2,61,0,Community transmission,0
Zambia,920,0,7,0,Community transmission,2
Burkina Faso,832,1,52,0,Community transmission,0
Sierra Leone,721,100,40,1,Community transmission,0
Chad,675,27,60,0,Community transmission,0
South Sudan,655,92,8,2,Clusters of cases,0

Reporting Country/ Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
,cases,new cases,,,classificationi,reported case
Central African Republic,604,52,1,0,Clusters of cases,0
Ethiopia,582,88,5,0,Clusters of cases,0
Madagascar,527,39,2,0,Clusters of cases,0
United Republic of Tanzania,509,0,21,0,Community transmission,17
Congo,487,0,16,0,Community transmission,1
Togo,381,8,12,0,Community transmission,0
Cabo Verde,380,9,3,0,Clusters of cases,0
Mauritius,334,2,10,0,Clusters of cases,0
Rwanda,327,2,0,0,Sporadic cases,0
Uganda,304,-8,0,0,Sporadic cases,0
Liberia,265,10,26,0,Community transmission,0
Eswatini,250,12,2,0,Clusters of cases,0
Mauritania,237,10,6,0,Clusters of cases,0
Mozambique,194,26,0,0,Clusters of cases,0
Benin,191,56,3,0,Community transmission,0
São Tomé and Príncipe,174,0,9,1,Clusters of cases,1
