Coronavirus disease,,
(COVID-19),,
Situation Report – 127,,
"Data as received by WHO from national authorities by 10:00 CEST, 26 May 2020",,
Highlights,,
"WHO Director-General Dr Tedros, in his regular media briefing, mentioned that “over 400",,
hospitals in 35 countries are actively recruiting patients and nearly 3500 patients have been,,
enrolled from 17 countries” as part of the Solidarity Trial which was established to evaluate the,,
safety and efficacy of four drugs and drug combinations against COVID-19.,,
The WHO Regional Office for Europe along with the European Centre for Disease Prevention,,
"and Control (ECDC), said that they will continue to repurpose their influenza surveillance",,
systems to also detect the COVID-19 virus.,,
"Facing an unprecedented global demand for essential COVID-19 medical supplies, WHO is",,
working with partners to help secure supplies to assist the most vulnerable countries. This is,,
"explored in today’s ‘Subject in Focus’, below.",,
Situation in numbers (by WHO Region),,
Total (new cases in last 24 hours),,
Globally,5 404 512 cases (99 780),343 514 deaths (1 486)
Africa,83 044 cases (3 042),2 214 deaths (94)
Americas,2 454 452 cases (59 157),143 739 deaths (2 267)
Eastern Mediterranean,438 900 cases (11 068),11 293 deaths (129)
Europe,2 041 705 cases (16 569),173 213 deaths (-1 215**)
South-East Asia,210 273 cases (9 066),6 140 deaths (188)
Western Pacific,175 397 cases (878),6 902 deaths (23)
"** Details for this negative number can be found in Annex 1 under ‘Country, territory, or area-specific updates",,
and errata’.,,

Subject in Focus: COVID-19 Supply Chain Systems,
Progress Updates,
"Unprecedented global demand for personal protective equipment (PPE), diagnostic tests and",
biomedical equipment required for the COVID-19 response has created acute market shortages,
of these essential supplies. WHO’s Operations Support and Logistics (OSL) team is working,
"with WFP, UNICEF and other UN agencies, donor partners and NGOs to approach the market",
with the collective voice of the UN to negotiate with manufacturers to help secure life-saving,
supplies to assist the most vulnerable countries.,
"In recent weeks, OSL with the support of purchasing consortia has procured large volumes of",
"PPE, testing supplies and clinical care equipment for allocation and delivery to low- and middle-",
income countries facing the greatest difficulties accessing these critical supplies.,
The diagnostics consortium has procured 4 million manual polymerase chain reaction (PCR),
tests and 3 million sample collection kits for allocation to 135 countries.,
"The biomedical consortium has procured and allocated to 41 countries 4,000 oxygen",
"concentrators, along with additional quantities of accessories and consumables (including",
"oxygen cannulas, venturi masks, filters and other items). First deliveries are expected in the",
coming two weeks. WHO is also preparing to purchase additional biomedical equipment for,
"allocation to countries in June, including concentrators, ventilators, pulse oximeters and patient",
monitors.,
"With support from the PPE consortium, WHO is preparing to ship more than 70 million medical",
"masks, 3 million gowns, 28 million gloves, 15 million N95 Respirators, 1 million goggles and 9",
million face shields to 126 countries.,
COVID-19 Supply Portal,
WHO encourages Member States to submit requests for supplies through the COVID-19 Supply,
"Portal, a tool to enable national authorities and all implementing partners supporting COVID-19",
national plans to request critical supplies. The Portal may be accessed through the COVID-19,
"Partners Platform, which provides guidance and instructions on the use of the Portal.",
"An updated version of the Supply Portal was launched last week, with new features that:",
▪,enable supplying agencies to list supplies.
▪,add a comments feature
▪,provide a ‘Country viewer’ of all requests submitted within one country; designed for country
,teams and government.
▪,"and, provide a ‘Global viewer’ of all requests submitted globally; designed for regional offices"
,and HQ.
"To date, the Portal has received 117 requests from 47 countries.",

Surveillance
"Figure 1. Number of confirmed COVID-19 cases reported in the last seven days by country, territory or area, 20 May to 26 May**"
"**See Annex 1 for data, table and figure notes."

"Figure 2. Number of confirmed COVID-19 cases, by date of report and WHO region, 30 December 2019 through 26 May 2020**"
"**See Annex 1 for data, table and figure notes."

"Table 1. Countries, territories or areas with reported laboratory-confirmed COVID-19 cases and deaths, by WHO region. Data as of 10 AM",,,,,,
"CEST, 26 May 2020**",,,,,,
Reporting Country/ Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
,cases,new cases,,,classificationi,reported case
Africa,,,,,,
South Africa,23 615,1 032,481,52,Community transmission,0
Algeria,8 503,197,609,9,Community transmission,0
Nigeria,8 068,229,233,7,Community transmission,0
Ghana,6 808,125,32,0,Community transmission,0
Cameroon,4 890,490,165,6,Community transmission,0
Guinea,3 322,47,20,0,Community transmission,0
Senegal,3 130,83,35,0,Community transmission,0
Côte d’Ivoire,2 423,47,30,0,Community transmission,0
Democratic Republic of the Congo,2 304,164,66,4,Community transmission,0
Gabon,2 135,201,14,2,Community transmission,0
Kenya,1 286,72,52,1,Community transmission,0
Guinea-Bissau,1 173,0,6,0,Community transmission,1
Mali,1 059,29,67,2,Community transmission,0
Equatorial Guinea,1 043,0,12,0,Community transmission,2
Niger,951,6,62,1,Community transmission,0
Zambia,920,0,7,0,Community transmission,3
Burkina Faso,841,9,52,0,Community transmission,0
Sierra Leone,735,14,42,2,Community transmission,0
Chad,687,12,61,1,Community transmission,0
Ethiopia,655,73,5,0,Clusters of cases,0
South Sudan,655,0,8,0,Clusters of cases,1

Reporting Country/ Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
,cases,new cases,,,classificationi,reported case
Central African Republic,652,48,1,0,Clusters of cases,0
Madagascar,542,15,2,0,Clusters of cases,0
Congo,531,44,17,1,Community transmission,0
United Republic of Tanzania,509,0,21,0,Community transmission,18
Cabo Verde,390,10,3,0,Clusters of cases,0
Togo,386,5,13,1,Community transmission,0
Rwanda,336,9,0,0,Sporadic cases,0
Mauritius,334,0,10,0,Clusters of cases,1
Uganda,304,0,0,0,Sporadic cases,1
Liberia,265,0,26,0,Community transmission,1
Mauritania,262,25,9,3,Clusters of cases,0
Eswatini,256,6,2,0,Clusters of cases,0
Mozambique,209,15,1,1,Clusters of cases,0
Benin,191,0,3,0,Community transmission,1
São Tomé and Príncipe,165,- 9,10,1,Clusters of cases,0
Malawi,101,18,4,0,Clusters of cases,0
Angola,69,0,4,0,Clusters of cases,1
Zimbabwe,56,0,4,0,Sporadic cases,2
Comoros,43,0,1,0,Community transmission,1
Burundi,42,0,1,0,Clusters of cases,8
Eritrea,39,0,0,0,Sporadic cases,37
Botswana,35,0,1,0,Clusters of cases,1
Gambia,25,0,1,0,Sporadic cases,3

Reporting Country/ Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
,cases,new cases,,,classificationi,reported case
Namibia 21 0 0 0 Sporadic cases 1,,,,,,
Seychelles 11 0 0 0 Clusters of cases 49,,,,,,
Lesotho,2,0,0,0,Sporadic cases,3
Territoriesii,,,,,,
Mayotte,1 609,22,20,0,Clusters of cases,0
Réunion,456,4,1,0,Clusters of cases,0
Americas,,,,,,
United States of America,1 618 757,26 158,96 909,1 046,Community transmission,0
Brazil,363 211,15 813,22 666,653,Community transmission,0
Peru,119 959,4 205,3 456,83,Community transmission,0
Canada,85 103,1 022,6 453,73,Community transmission,0
Chile,73 997,4 895,761,43,Community transmission,0
Mexico,68 620,2 764,7 394,215,Community transmission,0
Ecuador,37 355,599,3 203,95,Community transmission,0
Colombia,21 175,998,727,22,Community transmission,0
Dominican Republic,15 073,272,460,2,Community transmission,0
Argentina,12 076,723,452,7,Community transmission,0
Panama,10 926,349,306,7,Community transmission,0
Bolivia (Plurinational State of),6 263,348,250,10,Community transmission,0
Honduras,3 950,207,180,6,Community transmission,0
Guatemala,3 424,370,58,1,Community transmission,0
El Salvador,1 983,68,35,0,Community transmission,0
Cuba,1 947,6,82,0,Clusters of cases,0
Venezuela (Bolivarian Republic of),1 121,111,10,0,Community transmission,0

