Coronavirus disease,,
(COVID-19),,
Situation Report – 128,,
"Data as received by WHO from national authorities by 10:00 CEST, 27 May 2020",,
Highlights,,
WHO has published a case-control protocol for the assessment of risk factors for coronavirus,,
disease 2019 (COVID-19) in health workers. The primary objective of this study is to characterize,,
and assess the risk factors for SARS-CoV-2 infection in health workers exposed to COVID-19,,
patients.,,
A scientific brief has been published by WHO investigating any association between smoking and,,
"an increased risk for COVID-19. At the time of this review, the available evidence suggests that in",,
"hospitalized COVID-19 patients, smoking is associated with increased severity of disease and",,
death.,,
WHO has published a population-based age-stratified seroepidemiological investigation protocol,,
"for COVID-19 virus infection. This protocol was designed to investigate the extent of infection,",,
"as determined by positive blood tests in the general population, in any country in which COVID-",,
19 virus infection has been reported.,,
Elements of the COVID-19 Strategic Response and Preparedness Plan (SPRP) have been,,
updated and are reviewed on a regular basis by WHO in consultation of all six regional offices.,,
These elements are laid out in the COVID-19 WHO Appeal.,,
"In today’s ‘Subject in Focus’ below, the WHO Infodemics management pillar explores how WHO is",,
listening to social media to get ahead of the infodemic.,,
Situation in numbers (by WHO Region),,
Total (new cases in last 24 hours),,
Globally,5 488 825 cases (84 314),349 095 deaths (5 581)
Africa,85 815 cases (2 771),2 308 deaths (94)
Americas,2 495 924 cases (41 472),145 810 deaths (2 071)
Eastern Mediterranean,449 590 cases (10 690),11 452 deaths (159)
Europe,2 061 828 cases (20 124),176 226 deaths (3 013)
South-East Asia,218 523 cases (8 250),6 359 deaths (219)
Western Pacific,176 404 cases (1 007),6 927 deaths (25)

Subject in Focus: Using social media listening to get ahead of the
infodemic
"The COVID-19 pandemic is now a ubiquitous topic in global online conversations and ""covid"" ranks"
as the second most used word in all public English-language social media posts published in the past
"30 days. The term received 55 million public mentions and was only surpassed by the word ""people"","
with 57 million mentions.
The task of reaching global audiences with trustworthy and timely information is challenging in this
tsunami of information – but more important than ever. The COVID-19 information ecosystem is
"sensitive to new ""conversation inputs"", such as news stories, influential statements, or new research"
findings. These inputs have a measurable impact on online conversations and can affect people’s
behaviour and emotions.
The WHO Infodemics management pillar has been monitoring global English- language
conversations on COVID-19 to detect early signals of growing interest and public engagement with
constantly emerging narratives around COVID-19. Regardless of whether these signals stem from
trusted or unreliable sources they can be used to anticipate and intervene: what questions need
answering or what myths need busting.
"In early April, the weekly monitoring detected a 98% rise in the number of global posts that engaged"
with the conversation on COVID-19 immunity.
Figure 1. Overview of the English-language social media conversation on immunity from
23 March 2020 to 10 May 2020 and relative WHO communication intervention
"Source: Tim Zecchin, Paolo Vacca and Amy Wright, Media Measurement"
The publication of research data on South Korean patients who had tested positive for COVID-19
"following post-recovery tests generated an increase in the volume of mentions, questions, and"
"speculation over a possible ""reactivation"" of the virus. The linguistic analysis that complements the"
"weekly study unpacked the emotional response expressed by English-speaking users, revealing a"
137% jump in social media posts using language that is representative of fear.

The analysis of 233 300 social media posts that mentioned immunity-related keywords in the context
of COVID-19 between 23 March and 10 May 2020 suggested that the conversation had been rising
"by a daily average of 12% between 7 April to 17 April (Figure 1, highlighted in yellow). On 18 April,"
"news media reported that WHO was ""not sure whether the presence of antibodies in blood gives full"
"protection against reinfection."" On this day, 31% of the public social media conversation on immunity"
on was driven by the World Health Organization's own communication.
"Following this statement, public concern over the possibility of COVID-19 re-infection – as inferred"
from the online conversation – decreased by 16% on average for the following six days. A second
"surge in conversation was then driven by WHO's follow up statement on the clear ""lack of evidence"""
"of earned immunity after infection on 25 April. On this day this statement was issued, 74% of the"
social media conversation on immunity was driven by the WHO's communication.
"The data suggest that the introduction of a new input into the COVID-19 information ecosystem, on"
"the topic of ‘re-infection / immunity’ has been influenced by proactive WHO infodemic intervention,"
filling the potential information gap.
After an average weekly rise of 51% of social media mentions of immunity over the two weeks that
"preceded WHO's communication, the intervention helped to reverse the trend during the two weeks"
"that followed (-30%). And even when immunity-related content did not specifically mention WHO, a"
decline in conversation could be detected: from +44% before the statement to -4% after the statement.
Figure 2. Breakdown of topic rise and decline before and after WHO's own communication
interventions
Source: Media Measurement.
WHO's timely communication in response to a topic of growing concern has helped to de-escalate
speculation around immunity and reinfection on social media - even before the release of information
that eventually claimed that the cases of re-infection detected in South Korea were false positives.
EPI-WIN has applied this social media listening methodology to public health and has detected
"invaluable insights, inspiring new ways of thinking and communicating risk during health emergencies."
The general approach to analysis was presented in the recent COVID-19 Situation Report number
100: https://www.who.int/docs/default-source/coronaviruse/situation-reports/20200429-sitrep-100-
covid-19.pdf?sfvrsn=bbfbf3d1_6
WHO Information network for Epidemics: www.who.int/epi-win

Surveillance
"Figure 3. Number of confirmed COVID-19 cases reported in the last seven days by country, territory or area, 21 May to 27 May**"
"**See Annex 1 for data, table and figure notes."

"Figure 4. Number of confirmed COVID-19 cases, by date of report and WHO region, 30 December 2019 through 27 May 2020**"
"**See Annex 1 for data, table and figure notes."

"Table 1. Countries, territories or areas with reported laboratory-confirmed COVID-19 cases and deaths, by WHO region. Data as of 10 AM",,,,,,
"CEST, 27 May 2020**",,,,,,
Reporting Country/ Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
,cases,new cases,,,classificationi,reported case
Africa,,,,,,
South Africa,24 264,649,524,43,Community transmission,0
Algeria,8 697,194,617,8,Community transmission,0
Nigeria,8 344,276,249,16,Community transmission,0
Ghana,6 964,156,32,0,Community transmission,0
Cameroon,5 436,546,177,12,Community transmission,0
Guinea,3 358,36,20,0,Community transmission,0
Senegal,3 161,31,37,2,Community transmission,0
Côte d’Ivoire,2 477,54,30,0,Community transmission,0
Democratic Republic of the Congo,2 402,98,67,1,Community transmission,0
Gabon,2 238,103,14,0,Community transmission,0
Kenya,1 348,62,52,0,Community transmission,0
Guinea-Bissau,1 173,0,6,0,Community transmission,2
Mali,1 077,18,70,3,Community transmission,0
Equatorial Guinea,1 043,0,12,0,Community transmission,3
Niger,952,1,63,1,Community transmission,0
Zambia,920,0,7,0,Community transmission,4
Burkina Faso,845,4,53,1,Community transmission,0
South Sudan,806,151,8,0,Clusters of cases,0
Sierra Leone,754,19,44,2,Community transmission,0
Ethiopia,701,46,6,1,Clusters of cases,0
Chad,700,13,62,1,Community transmission,0

Reporting Country/ Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
,cases,new cases,,,classificationi,reported case
Central African Republic,652,0,1,0,Clusters of cases,1
Madagascar,586,44,2,0,Clusters of cases,0
Congo,569,38,19,2,Community transmission,0
United Republic of Tanzania,509,0,21,0,Community transmission,19
Togo,391,5,13,0,Community transmission,0
Cabo Verde,390,0,4,1,Clusters of cases,1
Uganda,341,37,0,0,Sporadic cases,0
Rwanda,339,3,0,0,Sporadic cases,0
Mauritius,334,0,10,0,Clusters of cases,2
São Tomé and Príncipe,295,130,10,0,Clusters of cases,0
Liberia,266,1,26,0,Community transmission,0
Mauritania,262,0,9,0,Clusters of cases,1
Eswatini,261,5,2,0,Clusters of cases,0
Mozambique,213,4,1,0,Clusters of cases,0
Benin,208,17,3,0,Community transmission,0
Malawi,101,0,4,0,Clusters of cases,1
Angola,71,2,4,0,Clusters of cases,0
Zimbabwe,56,0,4,0,Sporadic cases,3
Comoros,43,0,1,0,Community transmission,2
Burundi,42,0,1,0,Clusters of cases,9
Eritrea,39,0,0,0,Sporadic cases,38
Botswana,35,0,1,0,Clusters of cases,2
Gambia,25,0,1,0,Sporadic cases,4

Reporting Country/ Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
,cases,new cases,,,classificationi,reported case
Namibia 21 0 0 0 Sporadic cases 2,,,,,,
Seychelles 11 0 0 0 Clusters of cases 50,,,,,,
Lesotho,2,0,0,0,Sporadic cases,4
Territoriesii,,,,,,
Mayotte,1634,25,20,0,Clusters of cases,0
Réunion,459,3,1,0,Clusters of cases,0
Americas,,,,,,
United States of America,1 634 010,15 253,97 529,620,Community transmission,0
Brazil,374 898,11 687,23 473,807,Community transmission,0
Peru,123 979,4 020,3 629,173,Community transmission,0
Canada,85 998,895,6 566,113,Community transmission,0
Chile,77 961,3 964,806,45,Community transmission,0
Mexico,71 105,2 485,7 633,239,Community transmission,0
Ecuador,37 355,0,3 203,0,Community transmission,1
Colombia,21 981,806,750,23,Community transmission,0
Dominican Republic,15 264,191,468,8,Community transmission,0
Argentina,12 628,552,471,19,Community transmission,0
Panama,11 183,257,310,4,Community transmission,0
Bolivia (Plurinational State of),6 660,397,261,11,Community transmission,0
Honduras,4 189,239,182,2,Community transmission,0
Guatemala,3 760,336,59,1,Community transmission,0
El Salvador,2 042,59,36,1,Community transmission,0
Cuba,1 963,16,82,0,Clusters of cases,0
Venezuela (Bolivarian Republic of),1 177,56,10,0,Community transmission,0

Reporting Country/ Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
,cases,new cases,,,classificationi,reported case
Haiti,1 063,105,31,4,Community transmission,0
Costa Rica,951,21,10,0,Clusters of cases,0
Paraguay,877,12,11,0,Community transmission,0
Uruguay,787,18,22,0,Clusters of cases,0
Jamaica,556,4,9,0,Clusters of cases,0
Nicaragua,279,0,17,0,Community transmission,6
Guyana,137,2,11,1,Clusters of cases,0
Trinidad and Tobago,116,0,8,0,Sporadic cases,29
Bahamas,100,0,11,0,Clusters of cases,2
Barbados,92,0,7,0,Clusters of cases,2
Antigua and Barbuda,25,0,3,0,Clusters of cases,23
Grenada,23,1,0,0,Clusters of cases,0
Belize,18,0,2,0,Sporadic cases,42
Saint Lucia,18,0,0,0,Sporadic cases,22
Saint Vincent and the Grenadines,18,0,0,0,Sporadic cases,6
Dominica,16,0,0,0,Clusters of cases,46
Saint Kitts and Nevis,15,0,0,0,Sporadic cases,36
Suriname,11,0,1,0,Sporadic cases,8
Territoriesii,,,,,,
Puerto Rico,3 324,64,129,0,Community transmission,0
French Guiana,353,25,1,0,Clusters of cases,0
Martinique,197,0,14,0,Clusters of cases,4
Guadeloupe,161,0,14,0,Clusters of cases,1
Cayman Islands,134,5,1,0,Clusters of cases,0

Reporting Country/ Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
,cases,new cases,,,classificationi,reported case
Bermuda,133,0,9,0,Clusters of cases,2
