Coronavirus disease,,
(COVID-19),,
Situation Report – 129,,
"Data as received by WHO from national authorities by 10:00 CEST, 28 May 2020",,
Highlights,,
WHO has published an interim guidance on the clinical management of COVID-19. This guidance,,
document is intended for clinicians caring for COVID-19 patients during all phases of their disease.,,
WHO has published an interim guidance on ethical considerations to guide the use of digital,,
proximity tracking technologies for COVID-19 contact tracing. This document provides guidance to,,
policy-makers and other stakeholders about the ethical and appropriate use of digital proximity,,
tracking technologies for COVID-19.,,
"WHO Regional Director for the Americas, Dr Carissa F. Etienne said the response to the COVID-19",,
"pandemic in the Region of the Americas must include chronic disease care, as 1 in 4 people are",,
at increased risk of poor outcomes from COVID-19 due to underlying noncommunicable diseases.,,
"In today’s ‘Subject in Focus’ below, key changes in the Clinical Management Guidance for COVID-",,
19 are explored.,,
Situation in numbers (by WHO Region),,
Total (new cases in last 24 hours),,
Globally,5 593 631 cases (104 505),353 334 deaths (4 221)
Africa,89 592 cases (3 777),2 370 deaths (62)
Americas,2 556 479 cases (60 254),148 412 deaths (2 584)
Eastern Mediterranean,461 824 cases (12 234),11 621 deaths (169)
Europe,2 079 924 cases (18 096),177 331 deaths (1 105)
South-East Asia,227 611 cases (9 088),6 630 deaths (271)
Western Pacific,177 460 cases (1 056),6 957 deaths (30)

Subject in Focus: Clinical case management,,
The updated Clinical Management Guidance for COVID-19 was published on 27 May 2020.This,,
guidance has been significantly expanded to ensure quality care and meet the needs of front-,,
line clinicians caring for patients with COVID-19.,,
"The guidance was updated with the following new sections: the COVID-19 care pathway,",,
"treatment of acute and chronic infections, management of neurological and mental",,
"manifestations, noncommunicable diseases, rehabilitation, palliative care, ethical principles, and",,
reporting of death. The remaining sections have been substantially expanded.,,
•,One of the key changes in the guidance is the recommendation to discontinue,
,transmission-based precautions (including isolation) and release from the COVID-19 care,
,"pathway for symptomatic patients 10 days after symptom onset, plus an additional three",
,"days without symptoms (without fever and respiratory symptoms). In addition, it is",
,"important to note that, limited, published and pre-published information provides",
,estimates on viral shedding of up to nine days for mild patients and up to approximately,
,three weeks in hospitalized patients. There are also reports that patients can remain,
,"consistently polymerase chain reaction (PCR) positive for many weeks, or even test PCR",
,"positive days/weeks after a negative test, though preliminary evidence suggests that this",
,is not infectious virus.,
•,Treatment of acute co-infections:,
,o,"For suspected or confirmed mild COVID-19 cases, the use of antibiotic"
,,therapy or prophylaxis should not be used.
,o,"For suspected or confirmed moderate COVID-19 cases, antibiotics should"
,,not be prescribed unless there is clinical suspicion of a bacterial infection.
•,Prevention of complications:,
,o,"In patients (adults and adolescents) hospitalized with COVID-19,"
,,"pharmacological prophylaxis should be used, such as low molecular weight"
,,"heparin (e.g. enoxaparin), according to local and international standards, to"
,,"prevent venous thromboembolism, when not contraindicated. For those with"
,,"contraindications, use mechanical prophylaxis (intermittent pneumatic"
,,compression devices).
"Importantly, key previous recommendations that remain are:",,
"WHO recommends that the listed drugs including antivirals, immunomodulators and other",,
"adjunctive therapies should not be administered as treatment or prophylaxis for COVID-19,",,
outside the context of clinical trials.,,
WHO recommends against the routine use of systemic corticosteroids for treatment of,,
viral pneumonia.,,

Surveillance
"Figure 3. Number of confirmed COVID-19 cases reported in the last seven days by country, territory or area, 22 May to 28 May**"
"**See Annex 1 for data, table and figure notes."

"Figure 4. Number of confirmed COVID-19 cases, by date of report and WHO region, 30 December 2019 through 28 May 2020**"
"**See Annex 1 for data, table and figure notes."

"Table 1. Countries, territories or areas with reported laboratory-confirmed COVID-19 cases and deaths, by WHO region. Data as of 10 AM",,,,,,
"CEST, 28 May 2020**",,,,,,
Reporting Country/ Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
,cases,new cases,,,classificationi,reported case
Africa,,,,,,
South Africa,25 937,1 673,552,28,Community transmission,0
Algeria,8 857,160,623,6,Community transmission,0
Nigeria,8 733,389,254,5,Community transmission,0
Ghana,7 303,339,34,2,Community transmission,0
Cameroon,5 436,0,177,0,Community transmission,1
Guinea,3 446,88,21,1,Community transmission,0
Senegal,3 253,92,39,2,Community transmission,0
Democratic Republic of the Congo,2 659,257,68,1,Community transmission,0
Côte d’Ivoire,2 556,79,31,1,Community transmission,0
Gabon,2 319,81,14,0,Community transmission,0
Kenya,1 471,123,55,3,Community transmission,0
Guinea-Bissau,1 173,0,6,0,Community transmission,3
Mali,1 116,39,70,0,Community transmission,0
Zambia,1 057,137,7,0,Community transmission,0
Equatorial Guinea,1 043,0,12,0,Community transmission,4
Niger,955,3,64,1,Community transmission,0
Burkina Faso,845,0,53,0,Community transmission,1
South Sudan,806,0,8,0,Clusters of cases,1
Sierra Leone,782,28,45,1,Community transmission,0
Ethiopia,731,30,6,0,Clusters of cases,0
Chad,715,15,64,2,Community transmission,0

Reporting Country/ Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
,cases,new cases,,,classificationi,reported case
Central African Republic,701,49,1,0,Clusters of cases,0
Madagascar,612,26,2,0,Clusters of cases,0
Congo,571,2,19,0,Community transmission,0
United Republic of Tanzania,509,0,21,0,Community transmission,20
Togo,395,4,13,0,Community transmission,0
Cabo Verde,390,0,4,0,Clusters of cases,2
Uganda,351,10,0,0,Sporadic cases,0
Rwanda,346,7,0,0,Sporadic cases,0
Mauritius,334,0,10,0,Clusters of cases,3
São Tomé and Príncipe,295,0,10,0,Clusters of cases,1
Mauritania,292,30,16,7,Clusters of cases,0
Eswatini,272,11,2,0,Clusters of cases,0
Liberia,266,0,27,1,Community transmission,1
Mozambique,227,14,1,0,Clusters of cases,0
Benin,210,2,3,0,Community transmission,0
Zimbabwe,132,76,4,0,Sporadic cases,0
Malawi,101,0,4,0,Clusters of cases,2
Angola,71,0,4,0,Clusters of cases,1
Comoros,43,0,2,1,Community transmission,3
Burundi,42,0,1,0,Clusters of cases,10
Eritrea,39,0,0,0,Sporadic cases,39
Botswana,35,0,1,0,Clusters of cases,3
Gambia,25,0,1,0,Sporadic cases,5

Reporting Country/ Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
,cases,new cases,,,classificationi,reported case
Namibia 22 1 0 0 Sporadic cases 0,,,,,,
Seychelles 11 0 0 0 Clusters of cases 51,,,,,,
Lesotho,2,0,0,0,Sporadic cases,5
Territoriesii,,,,,,
Mayotte,1 645,11,20,0,Clusters of cases,0
Réunion,460,1,1,0,Clusters of cases,0
Americas,,,,,,
United States of America,1 658 896,24 886,98 119,590,Community transmission,0
Brazil,391 222,16 324,24 512,1 039,Community transmission,0
Peru,129 751,5 772,3 788,159,Community transmission,0
Canada,86 939,941,6 671,105,Community transmission,0
Chile,82 289,4 328,841,35,Community transmission,0
Mexico,74 560,3 455,8 134,501,Community transmission,0
Ecuador,38 103,447,3 275,54,Community transmission,0
Colombia,23 003,1 022,776,26,Community transmission,0
Dominican Republic,15 723,459,474,6,Community transmission,0
Argentina,13 228,600,492,21,Community transmission,0
Panama,11 447,264,313,3,Community transmission,0
Bolivia (Plurinational State of),7 136,476,274,13,Community transmission,0
Honduras,4 401,212,188,6,Community transmission,0
Guatemala,3 954,194,63,4,Community transmission,0
El Salvador,2 109,67,37,1,Community transmission,0
Cuba,1 974,11,82,0,Clusters of cases,0
Venezuela (Bolivarian Republic of),1 245,68,11,1,Community transmission,0

