Coronavirus disease,,
(COVID-19),,
Situation Report – 130,,
"Data as received by WHO from national authorities by 10:00 CEST, 29 May 2020",,
Highlights,,
WHO has published a surveillance protocol for SARS-CoV-2 infection among health workers.,,
This is a technical tool that countries can use to better understand the characteristics and,,
exposure risks of health workers infected with COVID-19.,,
"WHO Director-General Dr Tedros, in his regular media briefing, stated the Solidarity Response",,
"Fund will continue to receive donations to support WHO’s activities related to COVID-19, while",,
the WHO Foundation will help to fund all elements of WHO’s work and be fully aligned with the,,
Organization’s priorities.,,
Members of the Polio Eradication Initiative at WHO Regional Office for the Eastern,,
Mediterranean are supporting the training of health workers to respond to COVID-19 in Sudan.,,
"WHO is using the experience of health professionals, police staff and prisoners in Italy to inform",,
"guidance on preparedness, prevention and control of COVID-19 in prisons and other places of",,
detention.,,
Community pharmacists are key players in the COVID-19 response and should be aware of,,
what steps to take if they suspect or see signs of COVID-19. The WHO Regional Office for,,
Europe has published technical guidelines on practical ways in which health systems can better,,
respond to COVID-19.,,
Situation in numbers (by WHO Region),,
Total (new cases in last 24 hours),,
Globally,5 701 337 cases (107 740),357 688 deaths (4 354)
Africa,92 929 cases (3 337),2 427 deaths (57)
Americas,2 613 092 cases (56 647),151 212 deaths (2 800)
Eastern Mediterranean,475 419 cases (13 595),11 833 deaths (212)
Europe,2 102 574 cases (22 650),178 378 deaths (1 047)
South-East Asia,238 080 cases (10 469),6 844 deaths (214)
Western Pacific,178 502 cases (1 042),6 981 deaths (24)

Subject in Focus: Controlling the spread of COVID-19 at ground
crossings
WHO has recently published a document on controlling the spread of COVID-19 at ground
crossings.
"Unlike airports and maritime ports, ground crossings often constitute informal passages"
"between two countries without a physical structure, barriers, or borders. Moreover, ground"
crossings may contribute to the international spread of disease. Travellers and people living and
working on and around borders are particularly vulnerable to this threat.
"Some countries systematically inspect travellers, conveyances and cargo passing formal ground"
"crossings, while others allow the relatively free movement across borders, as regulated by"
bilateral or regional agreements. The communities living on and around ground crossings vary
"according to size and density. For many people living in these communities, cross-border"
"movement represents a daily necessity for work, trade, family visits, schooling, healthcare"
"services, religious activities, and other reasons. However, in places where national authorities"
"are unable to fully monitor formal and informal ground crossings, health measures to control"
public health risks may be difficult to implement.
The objectives of this guidance are to advise countries on how to reduce the spread of COVID-
"19 resulting from travel, transportation, and trade on and around ground crossings by: 1)"
Identifying priority ground crossings and communities; and 2) Scaling up preparedness and
control measures at these locations.
This guidance has been developed in line with WHO’s Handbook for public health capacity
"building at ground crossings and cross-border collaborations, and WHO’s global strategy to"
respond to COVID-19. The target audience of this guidance includes: 1) the International Health
Regulations (IHR 2005) National Focal Points (IHR NFP); 2) authorities responsible for
implementing the IHR at ground crossings; 3) representatives of government and
nongovernmental organizations and their partners at ground crossings; and 4) public health
"professionals involved in disease surveillance, communication, emergency preparedness and"
"response, animal health and environmental health at ground crossings and in nearby"
communities.
"This guidance is divided into the following sections: identification of priority ground crossings,"
and key preparedness activities for those crossings and nearby communities. It also covers
"legal enforcement and planning, surveillance, interviewing and managing sick travellers with"
"suspected COVID-19, acute emergency response during mass movement across the border,"
"supplies of infection and control equipment and material, risk communication, cross border"
"collaboration, and risk monitoring and adapting health measures as trends change."

Surveillance
"Figure 3. Number of confirmed COVID-19 cases reported in the last seven days by country, territory or area, 23 May to 29 May**"
"**See Annex 1 for data, table and figure notes."

"Figure 4. Number of confirmed COVID-19 cases, by date of report and WHO region, 30 December 2019 through 29 May 2020**"
"**See Annex 1 for data, table and figure notes."

"Table 1. Countries, territories or areas with reported laboratory-confirmed COVID-19 cases and deaths, by WHO region. Data as of 10 AM",,,,,,
"CEST, 29 May 2020**",,,,,,
Reporting Country/ Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
,cases,new cases,,,classificationi,reported case
Africa,,,,,,
South Africa,27 403,1 466,577,25,Community transmission,0
Algeria,8 997,140,630,7,Community transmission,0
Nigeria,8 915,182,259,5,Community transmission,0
Ghana,7 303,0,34,0,Community transmission,1
Cameroon,5 436,0,177,0,Community transmission,2
Guinea,3 553,107,22,1,Community transmission,0
Senegal,3 348,95,41,2,Community transmission,0
Democratic Republic of the Congo,2 832,173,68,0,Community transmission,0
Côte d’Ivoire,2 641,85,32,1,Community transmission,0
Gabon,2 431,112,14,0,Community transmission,0
Kenya,1 618,147,58,3,Community transmission,0
Guinea-Bissau,1 195,22,8,2,Community transmission,0
Mali,1 194,78,72,2,Community transmission,0
Zambia,1 057,0,7,0,Community transmission,1
Equatorial Guinea,1 043,0,12,0,Community transmission,5
South Sudan,994,188,10,2,Clusters of cases,0
Niger,955,0,64,0,Community transmission,1
Burkina Faso,847,2,53,0,Community transmission,0
Ethiopia,831,100,7,1,Clusters of cases,0
Sierra Leone,812,30,45,0,Community transmission,0
Central African Republic,755,54,1,0,Clusters of cases,0

Reporting Country/ Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
,cases,new cases,,,classificationi,reported case
Chad,726,11,65,1,Community transmission,0
Madagascar,656,44,2,0,Clusters of cases,0
Congo,571,0,19,0,Community transmission,1
United Republic of Tanzania,509,0,21,0,Community transmission,21
Togo,422,27,13,0,Community transmission,0
Uganda,410,59,0,0,Sporadic cases,0
Cabo Verde,390,0,4,0,Clusters of cases,3
Rwanda,349,3,0,0,Sporadic cases,0
Mauritania,346,54,19,3,Clusters of cases,0
Mauritius,334,0,10,0,Clusters of cases,4
São Tomé and Príncipe,295,0,10,0,Clusters of cases,2
Eswatini,279,7,2,0,Clusters of cases,0
Liberia,269,3,27,0,Community transmission,0
Mozambique,233,6,2,1,Clusters of cases,0
Benin,218,8,3,0,Community transmission,0
Malawi,203,102,4,0,Clusters of cases,0
Zimbabwe,132,0,4,0,Sporadic cases,1
Angola,73,2,4,0,Clusters of cases,0
Comoros,43,0,2,0,Community transmission,4
Burundi,42,0,1,0,Clusters of cases,11
Eritrea,39,0,0,0,Sporadic cases,40
Botswana,35,0,1,0,Clusters of cases,4
Gambia,25,0,1,0,Sporadic cases,6

Reporting Country/ Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
,cases,new cases,,,classificationi,reported case
Namibia 22 0 0 0 Sporadic cases 1,,,,,,
Seychelles 11 0 0 0 Clusters of cases 52,,,,,,
Lesotho,2,0,0,0,Sporadic cases,6
Territoriesii,,,,,,
Mayotte,1 670,25,21,1,Clusters of cases,0
Réunion,465,5,1,0,Clusters of cases,0
Americas,,,,,,
United States of America,1 675 258,16 362,98 889,770,Community transmission,0
Brazil,411 821,20 599,25 598,1 086,Community transmission,0
Peru,135 905,6 154,3 983,195,Community transmission,0
Canada,87 902,963,6 799,128,Community transmission,0
Chile,86 943,4 654,890,49,Community transmission,0
Mexico,78 023,3 463,8 597,463,Community transmission,0
Ecuador,38 471,368,3 313,38,Community transmission,0
Colombia,24 104,1101,803,27,Community transmission,0
Dominican Republic,16 068,345,485,11,Community transmission,0
Argentina,13 933,705,501,9,Community transmission,0
Panama,11 728,281,315,2,Community transmission,0
Bolivia (Plurinational State of),7 768,632,280,6,Community transmission,0
Honduras,4 640,239,194,6,Community transmission,0
Guatemala,4 145,191,68,5,Community transmission,0
El Salvador,2 194,85,39,2,Community transmission,0
Cuba,1 983,9,82,0,Clusters of cases,0
Haiti,1 320,146,34,1,Community transmission,0

Reporting Country/ Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
,cases,new cases,,,classificationi,reported case
