Coronavirus disease,,
(COVID-19),,
Situation Report – 131,,
"Data as received by WHO from national authorities by 10:00 CEST, 30 May 2020",,
Highlights,,
WHO has published key planning recommendations for mass gatherings in the context,,
of the current COVID-19 outbreak. The document provides guidance on containing risks,,
of COVID-19 transmission associated with mass gathering events.,,
The UN and WHO have urged governments around the world to take the mental,,
"health consequences of the pandemic seriously, and ensure widespread availability of",,
mental health support. WHO discusses this in a recently released article and has,,
published guidelines for communities and a children’s book.,,
An article released by WHO Regional Office for Europe introduces recently published,,
technical guidance on preventing and managing the COVID-19 pandemic across long-,,
term care services.,,
WHO has released a framework for decision-making that proposes a step-wise,,
approach to the assessment of the relative risks and benefits of conductin g mass,,
vaccination campaigns in the context of COVID-19 (see ‘Subject in Focus’ below).,,
Situation in numbers (by WHO Region),,
Total (new cases in last 24 hours),,
Globally,5 817 385 cases (116 048),362 705 deaths (5 017)
Africa,96 902 cases (3 973),2 482 deaths (55)
Americas,2 677 500 cases (64 408),154 608 deaths (3 396)
Eastern Mediterranean 489 921 cases (14 502),,12 078 deaths (245)
Europe,2 122 350 cases (19 776),179 353 deaths (975)
South-East Asia,249 525 cases (11 445),7 157 deaths (313)
Western Pacific,180 446 cases (1 944),7 014 deaths (33)

Subject in Focus: Framework for decision-making:,
implementation of mass vaccination campaigns in the context of,
COVID-19,
For countries affected by vaccine-preventable diseases and high impact diseases,
"(VPD/HID) and COVID-19 outbreaks, determining the best course of action may be",
challenging. Countries must weigh the benefits of a safe and effective intervention to,
"reduce mortality and morbidity, against the risks of increasing transmission of a new",
disease that may burden essential health services. The starting point for such,
considerations is a risk-benefit analysis that reviews the epidemiological evidence and,
balances the short- and medium-term public health consequences of implementing or,
"postponing mass vaccination campaigns, against a potential increase in COVID-19",
transmission.,
"In order to support this process, WHO has developed a document that:",
i.,outlines a common framework for decision-making for the conduct of
,preventive and outbreak response campaigns;
ii.,offers principles to consider when deliberating the implementation of mass
,vaccination campaigns for prevention of increased risk of VPD/HID among
,susceptible populations; and
iii.,and details the risks and benefits of conducting vaccination campaigns to
,respond to VPD/HID outbreaks.
"The framework proposes a five steps approach, each accompanied by a set of",
principles and criteria to consider during the decision-making process:,
Step 1:,Assess the potential impact of the VPD/HID outbreak using key
,epidemiological criteria.
Step 2:,Assess the potential benefits of a mass vaccination campaign and the
,country capacity to implement it safely and effectively.
Step 3:,Consider the potential risk of increased COVID-19 transmission
,associated with the mass vaccination campaign.
Step 4:,Determine the most appropriate actions considering the COVID-19
,epidemiological situation.
Step 5:,"If a decision is made to proceed with a mass vaccination campaign,"
,implement best practice.
The document also provides recommendations on how to safely organize a mass,
"vaccination campaign, including the organization of vaccination sites and specific",
recommendations for vaccinators.,

Surveillance
"Figure 1. Number of confirmed COVID-19 cases reported in the last seven days by country, territory or area, 24 May to 30 May**"
"**See Annex 1 for data, table and figure notes."

"Figure 2. Number of confirmed COVID-19 cases, by date of report and WHO region, 30 December 2019 through 30 May 2020**"
"**See Annex 1 for data, table and figure notes."

"Table 1. Countries, territories or areas with reported laboratory-confirmed COVID-19 cases and deaths, by WHO region. Data as of",,,,,,
"10 AM CEST, 30 May 2020**",,,,,,
Reporting Country/ Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
,cases,new cases,,,classificationi,reported case
Africa,,,,,,
South Africa,29 240,1 837,611,34,Community transmission,0
Nigeria,9 302,387,261,2,Community transmission,0
Algeria,9 134,137,638,8,Community transmission,0
Ghana,7 616,313,34,0,Community transmission,0
Cameroon,5 436,0,177,0,Community transmission,3
Guinea,3 656,103,22,0,Community transmission,0
Senegal,3 429,81,41,0,Community transmission,0
Democratic Republic of the Congo,2 832,0,68,0,Community transmission,1
Côte d’Ivoire,2 750,109,32,0,Community transmission,0
Gabon,2 613,182,15,1,Community transmission,0
Kenya,1 745,127,62,4,Community transmission,0
Guinea-Bissau,1 256,61,8,0,Community transmission,0
Mali,1 226,32,73,1,Community transmission,0
Zambia,1 057,0,7,0,Community transmission,2
Equatorial Guinea,1 043,0,12,0,Community transmission,6
South Sudan,994,0,10,0,Clusters of cases,1
Ethiopia,968,137,8,1,Clusters of cases,0
Niger,955,0,64,0,Community transmission,2
Central African Republic,874,119,1,0,Clusters of cases,0
Burkina Faso,847,0,53,0,Community transmission,1
Sierra Leone,829,17,45,0,Community transmission,0

Reporting Country/ Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
,cases,new cases,,,classificationi,reported case
Chad,759,33,65,0,Community transmission,0
Madagascar,698,42,5,3,Clusters of cases,0
Congo,587,16,19,0,Community transmission,0
United Republic of Tanzania,509,0,21,0,Community transmission,22
Togo,428,6,13,0,Community transmission,0
Mauritania,423,77,20,1,Clusters of cases,0
Uganda,410,0,0,0,Sporadic cases,1
Cabo Verde,405,15,4,0,Clusters of cases,0
Rwanda,355,6,0,0,Sporadic cases,0
Mauritius,335,1,10,0,Clusters of cases,0
São Tomé and Príncipe,295,0,10,0,Clusters of cases,3
Eswatini,279,0,2,0,Clusters of cases,1
Liberia,273,4,27,0,Community transmission,0
Malawi,273,70,4,0,Clusters of cases,0
Mozambique,234,1,2,0,Clusters of cases,0
Benin,218,0,3,0,Community transmission,1
Zimbabwe,149,17,4,0,Sporadic cases,0
Angola,81,8,4,0,Clusters of cases,0
Comoros,43,0,2,0,Community transmission,5
Burundi,42,0,1,0,Clusters of cases,12
Eritrea,39,0,0,0,Sporadic cases,41
Botswana,35,0,1,0,Clusters of cases,5
Gambia,25,0,1,0,Sporadic cases,7

Reporting Country/ Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
,cases,new cases,,,classificationi,reported case
Namibia 23 1 0 0 Sporadic cases 0,,,,,,
Seychelles 11 0 0 0 Clusters of cases 53,,,,,,
Lesotho,2,0,0,0,Sporadic cases,7
Territoriesii,,,,,,
Mayotte,1 699,29,21,0,Clusters of cases,0
Réunion,470,5,1,0,Clusters of cases,0
Americas,,,,,,
United States of America,1 694 864,19 606,100 304,1 415,Community transmission,0
Brazil,438 238,26 417,26 754,1 156,Community transmission,0
Peru,141 779,5 874,4 099,116,Community transmission,0
Chile,90 638,3 695,944,54,Community transmission,0
Canada,88 856,954,6 918,119,Community transmission,0
Mexico,81 400,3 377,9 044,447,Community transmission,0
Ecuador,38 571,100,3 334,21,Community transmission,0
Colombia,25 366,1 262,822,19,Community transmission,0
Dominican Republic,16 531,463,488,3,Community transmission,0
Argentina,14 702,769,510,9,Community transmission,0
