Coronavirus disease,,
(COVID-19),,
Situation Report – 132,,
"Data as received by WHO from national authorities by 10:00 CEST, 31 May 2020",,
Highlights,,
Today we celebrate World No Tobacco Day. Smoking kills 8 million people worldwide each year,,
and is associated with increased severity of disease and death in hospitalized COVID-19 patients.,,
People living with noncommunicable diseases (NCDs) are more vulnerable to becoming,,
severely ill or dying from COVID-19. The pandemic has also caused NCD service disruption,,
"according to preliminary results of a rapid assessment, and WHO encourages governments to",,
‘build back better’.,,
The President of Costa Rica and,WHO Director-General Dr Tedros launched the COVID-19,
"Technology Access Pool, a policy","initiative aimed at making vaccines, tests, treatments and",
other health technologies to fight COVID-19 accessible to all. The initiative has five priority,,
areas.,,
"Dr Hans Henri P. Kluge, WHO Regional Director for Europe, has released a statement",,
analysing the COVID-19 pandemic in Europe and emphasizing that recovery must lead to a,,
"different economy, an economy of well-being.",,
The WHO Regional Office for Africa has urged caution as countries ease lockdowns. WHO,,
"Regional Director Dr Moeti stressed that “Ending a lockdown is not an event, but a process...”",,
Situation in numbers (by WHO Region),,
Total (new cases in last 24 hours),,
Globally,5 934 936 cases (117 551),367 166 deaths (4 461)
Africa,100 610 cases (3 708),2 554 deaths (72)
Americas,2 743 793 cases (66 293),157 702 deaths (3 094)
Eastern Mediterranean 505 001 cases (15 080),,12 353 deaths (275)
Europe,2 142 547 cases (20 197),180 085 deaths (732)
South-East Asia,260 579 cases (11 054),7 431 deaths (274)
Western Pacific,181 665 cases (1 219),7 028 deaths (14)

Surveillance
"Figure 1. Number of confirmed COVID-19 cases reported in the last seven days by country, territory or area, 25 May to 31 May**"
"**See Annex 1 for data, table and figure notes."

"Figure 2. Number of confirmed COVID-19 cases, by date of report and WHO region, 30 December 2019 through 31 May 2020**"
"**See Annex 1 for data, table and figure notes."

"Table 1. Countries, territories or areas with reported laboratory-confirmed COVID-19 cases and deaths, by WHO region. Data as of",,,,,,
"10 AM CEST, 31 May 2020**",,,,,,
Reporting Country/ Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
,cases,new cases,,,classificationi,reported case
Africa,,,,,,
South Africa,30 967,1 727,643,32,Community transmission,0
Nigeria,9 855,553,273,12,Community transmission,0
Algeria,9 267,133,646,8,Community transmission,0
Ghana,7 768,152,35,1,Community transmission,0
Cameroon,5 659,223,185,8,Community transmission,0
Guinea,3 706,50,23,1,Community transmission,0
Senegal,3 535,106,42,1,Community transmission,0
Democratic Republic of the Congo,2 965,133,68,0,Community transmission,0
Côte d’Ivoire,2 799,49,33,1,Community transmission,0
Gabon,2 613,0,15,0,Community transmission,1
Kenya,1 888,143,63,1,Community transmission,0
Guinea-Bissau,1 256,0,8,0,Community transmission,1
Mali,1 250,24,76,3,Community transmission,0
Ethiopia,1 063,95,8,0,Clusters of cases,0
Zambia,1 057,0,7,0,Community transmission,3
Equatorial Guinea,1 043,0,12,0,Community transmission,7
South Sudan,994,0,10,0,Clusters of cases,2
Niger,956,1,64,0,Community transmission,0
Central African Republic,874,0,1,0,Clusters of cases,1
Burkina Faso,853,6,53,0,Community transmission,0
Sierra Leone,852,23,46,1,Community transmission,0

Reporting Country/ Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
,cases,new cases,,,classificationi,reported case
Chad,759,0,65,0,Community transmission,1
Madagascar,758,60,6,1,Clusters of cases,0
Congo,587,0,19,0,Community transmission,1
United Republic of Tanzania,509,0,21,0,Community transmission,23
Mauritania,483,60,21,1,Clusters of cases,0
Uganda,446,36,0,0,Sporadic cases,0
Togo,428,0,13,0,Community transmission,1
Cabo Verde,421,16,4,0,Clusters of cases,0
Rwanda,359,4,1,1,Sporadic cases,0
Mauritius,335,0,10,0,Clusters of cases,1
São Tomé and Príncipe,295,0,10,0,Clusters of cases,4
Eswatini,283,4,2,0,Clusters of cases,0
Liberia,280,7,27,0,Community transmission,0
Malawi,279,6,4,0,Clusters of cases,0
Mozambique,244,10,2,0,Clusters of cases,0
Benin,232,14,3,0,Community transmission,0
Zimbabwe,174,25,4,0,Sporadic cases,0
