Coronavirus disease,,
(COVID-19),,
Situation Report – 133,,
"Data as received by WHO from national authorities by 10:00 CEST, 01 June 2020",,
Highlights,,
WHO has published a case report form for suspected cases of multisystem inflammatory,,
syndrome (MIS) in children and adolescents temporally related to COVID-19,,
"During the last two weeks, WHO has delivered over 55 tons of health supplies by road to",,
northeast Syria. These shipments contained equipment and medical supplies to treat,,
"many diseases, including COVID-19.",,
“Clean hands save lives” and “Applaud healthcare workers” campaigns celebrated in,,
"North Macedonia. Midwives and nurses were honored with applause, as over 500",,
healthcare professionals were awarded the “Clean hands” certificate of recognition by,,
WHO.,,
"Since the start of the pandemic, there has been an urgent need to accelerate the research",,
and development of COVID-19 candidate vaccines. WHO has been supporting this effort.,,
Currently over 120 candidate vaccines have been mapped and sites in 40 countries have,,
"expressed an interest to join the Vaccine Solidarity Trial. For more on this, see the ‘Subject",,
in Focus’ below.,,
Situation in numbers (by WHO Region),,
Total (new cases in last 24 hours),,
Globally,6 057 853 cases (122 917),371 166 deaths (4 000)
Africa,104 242 cases (3 632),2 638 deaths (84)
Americas,2 817 232 cases (73 439),160 514 deaths (2 812)
Eastern Mediterranean,520 137 cases (15 136),12 627 deaths (274)
Europe,2 159 791 cases (17 244),180 594 deaths (509)
South-East Asia,272 512 cases (11 933),7 743 deaths (312)
Western Pacific,183 198 cases (1 533),7 037 deaths (9)

Subject in Focus: Accelerating Research for the development of a,
Vaccine against COVID-19,
"Since the start of the pandemic, there has been an urgent need to accelerate the research and",
development of COVID-19 candidate vaccines. Under the umbrella of the Global Research,
"Roadmap, the WHO Working Group for Vaccine Prioritization was constituted under the",
leadership of the R&D Blueprint team. This working group provides guidance to vaccine,
developers from a public health perspective and prioritizes vaccine development options,
vaccine platform approaches and/or candidates to be considered for further development and,
potentially considered for late-stage evaluation in the context of the global COVID-19 pandemic.,
"In the past three months, since its creation following the Global Research and Innovation forum",
"hosted by WHO on 11-12 February, important progress has been achieved including:",
•,Continuously landscaping and mapping candidate vaccines and their progress across the
,"world. Currently, over 120 candidate vaccines have been mapped, raising the question of"
,how to prioritize the ones that will go from early to later development (from phase I to
,phase 2b/3 clinical trials).
•,"Developing specific criteria that vaccine scientists, product developers, manufacturers,"
,regulators and funding agencies can use for prioritization.
•,"Outlining the desired characteristics for safe and effective vaccines, published in the WHO"
,Target Product Profiles (TPP) for COVID-19 vaccines. The TPP outlines the preferred and
,minimally acceptable profiles for a human COVID-19 vaccine for long-term protection of
,"persons at high ongoing risk of COVID-19, such as healthcare workers, and for reactive use"
,in outbreak settings with rapid onset of immunity to guide vaccine development.
•,Developing a core protocol for a globally coordinated randomized controlled clinical trial for
,vaccines. Recognizing the critical importance to world health of the rapid availability and
,"deployment of effective vaccines against COVID-19, on 9 April WHO published the core"
,"protocol for an international, multi-site, individually randomized controlled clinical trial that"
,will enable the concurrent evaluation of benefits and risks of each promising candidate
,vaccine within 3–6 months of it being made available for the trial.
•,Launching a call for expressions of interest from vaccine trial sites around the world using
,"the core protocol, which will include several candidate COVID-19 vaccines that meet WHO"
,prioritization criteria. This will prepare for the launch of a Solidarity Trial for Vaccines that
,will build on the platform launched for the Therapeutics Solidarity Trial (see Situation Report
,"119) and lessons learned. Currently, over 150 sites in more than 40 countries have expressed"
,an interest in joining a Vaccine Solidarity Trial.
•,Launching a call for interest in engaging on animal studies for vaccine evaluations with 17
,laboratories in 8 countries with animal laboratory facilities.

•,"Establishing an Expert Group focusing on COVID-19 viruses, reagents and immune assays."
,The goal of the group is to advance the development of COVID-19 medical countermeasures
,(vaccines and immunotherapeutic). This is being achieved by providing a platform to discuss
,"availability of viruses and key reagents, to share data on immune assays and the potential"
,for cross reactivity of SARS-CoV-2 with other coronaviruses.
•,Establishing an Expert Group focusing on COVID-19 disease modelling and animal models
,that would replicate human COVID-19 with the goal of accelerating testing of vaccines and
,therapeutics. WHO provides a pre-clinical model forum to share information and prevent
,unnecessary repetition of effort.
•,"Coordinating the Human Challenge Studies Working Group, tasked with consider the"
,"feasibility, utility, realistic timelines and approximate costs for establishing a closely"
,monitored experimental challenge model of infection with SARS-CoV-2 (fully virulent or
,attenuated) in healthy adult volunteers. The Expert Group will also discuss the procedures
,to be codified and logistical obstacles to be overcome to perform such challenge studies
,and to propose practical solutions to overcome identified hurdles.
Further information on WHO’s work relating to vaccine research can be found on this,
webpage.,

Surveillance
"Figure 1. Number of confirmed COVID-19 cases reported in the last seven days by country, territory or area, 26 May to 01 June**"
"**See Annex 1 for data, table and figure notes."

"Figure 2. Number of confirmed COVID-19 cases, by date of report and WHO region, 30 December 2019 through 01 June 2020**"
"**See Annex 1 for data, table and figure notes."

"Table 1. Countries, territories or areas with reported laboratory-confirmed COVID-19 cases and deaths, by WHO region. Data as of 10 AM CEST,",,,,,,
01 June 2020**,,,,,,
Reporting Country/ Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
,cases,new cases,,,classificationi,reported case
Africa,,,,,,
South Africa,32 683,1 716,683,40,Community transmission,0
Nigeria,10 162,307,287,14,Community transmission,0
Algeria,9 394,127,653,7,Community transmission,0
Ghana,7 881,113,36,1,Community transmission,0
Cameroon,5 904,245,191,6,Community transmission,0
Guinea,3 771,65,23,0,Community transmission,0
Senegal,3 645,110,42,0,Community transmission,0
Democratic Republic of the Congo,3 048,83,71,3,Community transmission,0
Côte d’Ivoire,2 833,34,33,0,Community transmission,0
Gabon,2 655,42,17,2,Community transmission,0
Kenya,1 962,74,64,1,Community transmission,0
Guinea-Bissau,1 322,66,8,0,Community transmission,0
Mali,1 265,15,77,1,Community transmission,0
Ethiopia,1 172,109,11,3,Clusters of cases,0
Zambia,1 057,0,7,0,Community transmission,4
Equatorial Guinea,1 043,0,12,0,Community transmission,8
Central African Republic,1 011,137,2,1,Clusters of cases,0
South Sudan,994,0,10,0,Clusters of cases,3
Niger,958,2,64,0,Community transmission,0
Burkina Faso,881,28,53,0,Community transmission,0
Sierra Leone,861,9,46,0,Community transmission,0

Reporting Country/ Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
,cases,new cases,,,classificationi,reported case
Chad,778,19,65,0,Community transmission,0
Madagascar,771,13,6,0,Clusters of cases,0
Congo,604,17,20,1,Community transmission,0
Mauritania,530,47,23,2,Clusters of cases,0
United Republic of Tanzania,509,0,21,0,Community transmission,24
Uganda,458,12,0,0,Sporadic cases,0
Togo,442,14,13,0,Community transmission,0
Cabo Verde,435,14,4,0,Clusters of cases,0
Rwanda,370,11,1,0,Sporadic cases,0
Mauritius,335,0,10,0,Clusters of cases,2
São Tomé and Príncipe,295,0,10,0,Clusters of cases,5
Liberia,288,8,27,0,Community transmission,0
Eswatini,285,2,2,0,Clusters of cases,0
Malawi,284,5,4,0,Clusters of cases,0
Mozambique,254,10,2,0,Clusters of cases,0
Benin,232,0,3,0,Community transmission,1
Zimbabwe,178,4,4,0,Sporadic cases,0
Angola,86,2,4,0,Clusters of cases,0
Burundi,63,21,1,0,Clusters of cases,0
Comoros,62,19,2,0,Community transmission,0
Eritrea,39,0,0,0,Sporadic cases,43
Botswana,38,3,1,0,Clusters of cases,0
Gambia,25,0,1,0,Sporadic cases,9

Reporting Country/ Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
,cases,new cases,,,classificationi,reported case
Namibia 24 1 0 0 Sporadic cases 0,,,,,,
Seychelles 11 0 0 0 Clusters of cases 55,,,,,,
Lesotho,2,0,0,0,Sporadic cases,9
Territoriesii,,,,,,
Mayotte,1 871,128,23,2,Clusters of cases,0
Réunion,471,0,1,0,Clusters of cases,1
Americas,,,,,,
United States of America,1 734 040,17 962,102 640,1 073,Community transmission,0
Brazil,498 440,33 274,28 834,956,Community transmission,0
Peru,155 671,7 386,4 371,141,Community transmission,0
Chile,99 688,4 830,1 054,57,Community transmission,0
Canada,90 516,775,7 092,96,Community transmission,0
Mexico,87 512,2 885,9 779,364,Community transmission,0
Ecuador,39 098,527,3 358,24,Community transmission,0
Colombia,28 236,1 548,890,37,Community transmission,0
Dominican Republic,17 285,377,502,4,Community transmission,0
Argentina,16 214,1 512,530,20,Community transmission,0
Panama,13 018,487,330,4,Community transmission,0
Bolivia (Plurinational State of),9 592,861,310,10,Community transmission,0
Honduras,5 094,208,201,2,Community transmission,0
Guatemala,4 739,132,102,12,Community transmission,0
El Salvador,2 517,122,46,2,Community transmission,0
Cuba,2 045,20,83,0,Clusters of cases,0
Haiti,1 865,281,41,6,Community transmission,0

Reporting Country/ Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
,cases,new cases,,,classificationi,reported case
Venezuela (Bolivarian Republic of),1 459,89,14,0,Community transmission,0
Costa Rica,1 047,25,10,0,Clusters of cases,0
Paraguay,986,22,11,0,Community transmission,0
Nicaragua,885,0,35,0,Community transmission,3
Uruguay,821,5,22,0,Clusters of cases,0
Jamaica,581,6,9,0,Clusters of cases,0
Guyana,152,2,12,1,Clusters of cases,0
Trinidad and Tobago,117,1,8,0,Sporadic cases,0
Bahamas,101,0,11,0,Clusters of cases,2
Barbados,92,0,7,0,Clusters of cases,7
Saint Vincent and the Grenadines,26,1,0,0,Sporadic cases,0
Antigua and Barbuda,25,0,3,0,Clusters of cases,28
Grenada,23,0,0,0,Clusters of cases,5
Belize,18,0,2,0,Sporadic cases,47
Saint Lucia,18,0,0,0,Sporadic cases,27
Dominica,16,0,0,0,Clusters of cases,51
Saint Kitts and Nevis,15,0,0,0,Sporadic cases,41
Suriname,14,2,1,0,Sporadic cases,0
Territoriesii,,,,,,
Puerto Rico,3 776,58,136,3,Community transmission,0
French Guiana,477,41,1,0,Clusters of cases,0
Martinique,200,0,14,0,Clusters of cases,1
Guadeloupe,162,0,14,0,Clusters of cases,2
