Coronavirus disease,,
(COVID-19),,
Situation Report – 135,,
"Data as received by WHO from national authorities by 10:00 CEST, 03 June 2020",,
Highlights,,
Basic psychosocial support skills are at the core of any mental health and psychosocial support intervention.,,
"To assist all those involved in the COVID-19 response, WHO has published guidance on basic psychosocial",,
skills.,,
"At the Yemen High-level Pledging Conference, Dr Mike Ryan, Executive Director, WHO Health Emergencies",,
"Programme emphasized that COVID-19 was placing a major burden on the health system, already on the",,
"verge of collapse , and that despite the considerable efforts of WHO and partners in Yemen, ‘we need a",,
massive scale-up of our COVID and non-COVID health operations to assist some of the most vulnerable,,
populations in the world’.,,
"On 29 May 2020, WHO and the International Labour Organization (ILO) hosted a webinar on returning to work",,
in the context of COVID-19. For more information see the ‘Subject in Focus’ below.,,
A record number of countries have contributed data revealing disturbing rates of antimicrobial resistance.,,
WHO is concerned that the trend will further be fueled by the inappropriate use of antibiotics during the,,
COVID-19 pandemic.,,
Situation in numbers (by WHO Region),,
Total (new cases in last 24 hours),,
Globally,6 287 771 cases (93 246),379 941 deaths (3 621)
Africa,111 486 cases (3 365),2 789 deaths (89)
Americas,2 949 455 cases (44 023),165 311 deaths (2 063)
Eastern Mediterranean,552 497 cases (16 349),13 181 deaths (282)
Europe,2 191 614 cases (15 681),183 313 deaths (897)
South-East Asia,296 620 cases (12 775),8 277 deaths (277)
Western Pacific,185 358 cases (1 053),7 057 deaths (13)

Subject in Focus: Returning to work in the context of COVID-19
"On 29 May 2020, WHO and the International Labour Organization (ILO) hosted a webinar on “returning to"
work” in the context of COVID-19 The webinar focused on how businesses and societies can adapt to ensure
"the safety of workers, their families and communities, and the sustainability of business operations as"
national restrictions are eased. It was attended remotely by over 1000 participants from across all six WHO
Regions.
"As businesses are restarted, workers and employees must confront a range of occupational safety and health"
"hazards not limited to the risk of COVID-19 transmission, including psychosocial risks related to fear, stigma"
"and job insecurity. Safety measures to reduce transmission of COVID-19 will be necessary, ranging from"
"enhanced hygiene and physical distancing, to mandatory use of personal protective equipment (PPE) in"
higher-risk settings where measures based on prevention of exposure cannot sufficiently reduce risk. Risk
"mitigation measures must reflect the features of, and risks related to, each specific job. To ensure they can"
"be properly implemented and are working as intended, individual businesses must develop prevention and"
mitigation action plans in consultation with workers and their representative s based on assessment of
occupational health risks and epidemiological situation; return to work should take place in a phased and
controlled manner; sufficient resources must be put in place; and policies should be revisited and adapted as
the situation changes.
Existing labour standards provide a normative framework for countries and employers to develop policies
and guidance. Many of the issues raised by COVID-19 are already covered in a general manner by ILO
conventions and recommendations such as the Occupational Safety and Health Recommendation 164 and
Occupational Safety and Health Convention C155 which provide an overall framework for managing hazards
"in the workplace, in addition to sector-specific labour standards."
"During the COVID-19 pandemic, WHO and the ILO have been working to meet the demand from"
stakeholders for reliable information to inform safe back-to-work strategies. The ILO has also launched a
"portal which brings together the latest news and recommendations related to COVID-19, including specific"
guidance for different sectors. The ILO’s recently-released guidance note on safe and healthy return to work
"aims to assist governments, as well as employers’ and workers’ organizations, in developing national policy"
"guidance for a phased and safe return to work, and provide guidelines for workplace -level risk assessments"
and implementation of preventive and protective measures—which are summarized in the ILO’s ten action
points tool. WHO has produced a scientific brief on modes of transmission of COVID-19.
The Department of Health from South Africa shared current policy perspectives on easing restrictions and
restarting the economy; touching upon many of the issues raised by the other speakers. Despite the
"continuing risk of COVID-19 transmission, the South African government recognised that the current policy of"
lockdowns and closure of businesses is not viable in the long term. To balance the two priorities of
preventing a new wave of COVID-19 cases that could overwhelm the health system and safeguarding
"livelihoods, the government has adopted a phased approach to reopening with five alert levels, tailored to"
"different provinces of the country, with different public health measures and restrictions on activities based"
"on the current risk of COVID-19 transmission. Different sectors, including mining and the public sector, have"
"been given guidelines for return to work at each alert level, along with restrictions that should remain after"
"the lockdown, regardless of the alert level. Activity will be resumed in each sector using a phased approach,"
"with no more than one third of workers returning to work at once. At the same time, safety measures will"
"account for risks to workers as they commute, work, and interact with clients, consumers and the wider"
community. These efforts must be supported by the timely availability of high-quality data to identify
"potential cases, and inspections of workplaces to ensure measures are being implemented."

Social partners on the webinar emphasized that every worker is essential and must be protected from
"COVID-19, and that safe and healthy work conditions are a fundamental right. In the context of the COVID-19"
"pandemic, enhancing workplace safety is not just a concern for individual workers, but is vital to overall"
"public health. The risks faced by workers do not just depend on their job role, but also on the type of"
relationship between workers and their employers. Policy-makers and businesses are called on to pay
"particular attention to protecting contract workers, migrant workers, and those in the informal economy."
"Return to work must also be accompanied by ‘social protection’ measures, particularly paid sick leave and"
"protection against discrimination and harassment, to ensure no group of workers is unfairly disadvantaged."
"As the world economy restarts and begins its recovery, the opportunity to take stock of lessons presented by"
"the pandemic on the relationship between work, human health and environmental sustainability should not"
"be lost. For its part, WHO has developed a manifesto for a healthy and green recovery from COVID-19, with"
"six prescriptions including protecting nature, investing in essential services, ensuring a quick healthy energy"
"transition, promoting healthy and sustainable food systems, building healthy, liveable cities, and ending"
taxpayer subsidies for polluting activities.

Surveillance
"Figure 1. Number of confirmed COVID-19 cases reported in the last seven days by country, territory or area, 28 May to 03 June**"
"**See Annex 1 for data, table and figure notes."

"Figure 2. Number of confirmed COVID-19 cases, by date of report and WHO region, 30 December 2019 through 03 June 2020**"
"**See Annex 1 for data, table and figure notes."

"Table 1. Countries, territories or areas with reported laboratory-confirmed COVID-19 cases and deaths, by WHO region. Data as of 10 AM CEST, 03 June 2020**",,,,,,
Reporting Country/ Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
,cases,new cases,,,classificationi,reported case
Africa,,,,,,
South Africa,35 812,1 455,755,50,Community transmission,0
Nigeria,10 819,241,314,15,Community transmission,0
Algeria,9 626,113,667,6,Community transmission,0
Ghana,8 297,227,38,2,Community transmission,0
Cameroon,6 585,188,200,1,Community transmission,0
Guinea,3 886,42,23,0,Community transmission,0
Senegal,3 836,97,43,1,Community transmission,0
Democratic Republic of the Congo,3 325,131,71,0,Community transmission,0
Côte d’Ivoire,3 024,73,33,0,Community transmission,0
Gabon,2 803,148,20,3,Community transmission,0
Kenya,2 093,72,71,2,Community transmission,0
Mali,1 351,36,78,0,Community transmission,0
Ethiopia,1 344,87,14,2,Clusters of cases,0
Guinea-Bissau,1 339,0,8,0,Community transmission,1
Zambia,1 089,0,7,0,Community transmission,1
Central African Republic,1 069,0,4,0,Clusters of cases,1
Equatorial Guinea,1 043,0,12,0,Community transmission,10
South Sudan,994,0,10,0,Clusters of cases,5
Niger,960,2,65,1,Community transmission,0
Sierra Leone,896,31,46,0,Community transmission,0
Burkina Faso,884,1,53,0,Community transmission,0

Reporting Country/ Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
,cases,new cases,,,classificationi,reported case
Madagascar,845,19,6,0,Clusters of cases,0
Chad,803,13,66,0,Community transmission,0
Congo,618,7,20,0,Community transmission,0
Mauritania,588,58,26,3,Clusters of cases,0
Uganda,586,128,0,0,Sporadic cases,0
United Republic of Tanzania,509,0,21,0,Community transmission,26
Cabo Verde,466,8,5,1,Clusters of cases,0
Togo,445,2,13,0,Community transmission,0
Rwanda,384,7,2,1,Sporadic cases,0
Malawi,358,22,4,0,Clusters of cases,0
Mauritius,335,0,10,0,Clusters of cases,4
Liberia,311,15,28,1,Community transmission,0
Mozambique,307,53,2,0,Clusters of cases,0
São Tomé and Príncipe,295,0,10,0,Clusters of cases,7
Eswatini,294,1,3,0,Clusters of cases,0
Benin,244,1,3,0,Community transmission,0
Zimbabwe,206,28,4,0,Sporadic cases,0
Angola,86,0,4,0,Clusters of cases,2
Burundi,63,0,1,0,Clusters of cases,2
Comoros,62,0,2,0,Community transmission,2
Botswana,40,2,1,0,Clusters of cases,0
Eritrea,39,0,0,0,Sporadic cases,45
Gambia,26,1,1,0,Sporadic cases,0

Reporting Country/ Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
,cases,new cases,,,classificationi,reported case
Namibia 25 0 0 0 Sporadic cases 1,,,,,,
Seychelles 11 0 0 0 Clusters of cases 57,,,,,,
Lesotho,2,0,0,0,Sporadic cases,11
Territoriesii,,,,,,
Mayotte,1 986,52,24,0,Clusters of cases,0
Réunion,477,4,1,0,Clusters of cases,0
Americas,,,,,,
United States of America,1 798 330,14 692,105 008,761,Community transmission,0
Brazil,526 447,11 598,29 937,623,Community transmission,0
Peru,170 039,5 563,4 634,128,Community transmission,0
Chile,108 686,3 527,1 188,75,Community transmission,0
Mexico,93 435,2 771,10 167,237,Community transmission,0
Canada,92 151,800,7 344,39,Community transmission,0
Ecuador,40 414,1 316,3 438,80,Community transmission,0
Colombia,30 493,1 110,969,30,Community transmission,0
Dominican Republic,17 752,180,515,13,Community transmission,0
Argentina,17 415,564,560,19,Community transmission,0
Panama,13 837,374,344,8,Community transmission,0
Bolivia (Plurinational State of),10 531,549,343,30,Community transmission,0
Honduras,5 362,160,217,5,Community transmission,0
Guatemala,5 336,249,116,8,Community transmission,0
El Salvador,2 653,71,46,0,Community transmission,0
Haiti,2 226,102,45,1,Community transmission,0
Cuba,2 092,9,83,0,Clusters of cases,0

Reporting Country/ Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
,cases,new cases,,,classificationi,reported case
Venezuela (Bolivarian Republic of),1 662,152,17,3,Community transmission,0
Costa Rica,1 084,28,10,0,Clusters of cases,0
Paraguay,1 013,18,11,0,Community transmission,0
Nicaragua,950,65,35,0,Community transmission,0
Uruguay,825,2,23,1,Clusters of cases,0
Jamaica,588,7,9,0,Clusters of cases,0
Guyana,153,0,12,0,Clusters of cases,1
Trinidad and Tobago,117,0,8,0,Sporadic cases,2
Bahamas,102,0,11,0,Clusters of cases,1
Barbados,92,0,7,0,Clusters of cases,9
Suriname,53,26,1,0,Sporadic cases,0
Saint Vincent and the Grenadines,26,0,0,0,Sporadic cases,2
Antigua and Barbuda,25,0,3,0,Clusters of cases,30
Grenada,23,0,0,0,Clusters of cases,7
Belize,18,0,2,0,Sporadic cases,49
Saint Lucia,18,0,0,0,Sporadic cases,29
Dominica,16,0,0,0,Clusters of cases,53
Saint Kitts and Nevis,15,0,0,0,Sporadic cases,43
Territoriesii,,,,,,
Puerto Rico,3 935,62,138,2,Community transmission,0
French Guiana,517,18,1,0,Clusters of cases,0
Martinique,200,0,14,0,Clusters of cases,3
Guadeloupe,162,0,14,0,Clusters of cases,4
Cayman Islands,150,9,1,0,Clusters of cases,0

Reporting Country/ Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
,cases,new cases,,,classificationi,reported case
Bermuda,141,1,9,0,Clusters of cases,0
Aruba,101,0,3,0,No cases,28
Sint Maarten,78,0,15,0,Sporadic cases,20
United States Virgin Islands,70,0,6,0,Clusters of cases,1
Saint Martin,41,0,3,0,Sporadic cases,3
Curaçao,20,0,1,0,Sporadic cases,5
Falkland Islands (Malvinas),13,0,0,0,Clusters of cases,38
Turks and Caicos Islands,12,0,1,0,Sporadic cases,36
