Coronavirus disease,,
(COVID-19),,
Situation Report – 136,,
"Data as received by WHO from national authorities by 10:00 CEST, 04 June 2020",,
Highlights,,
WHO is supporting the response to a new Ebola outbreak in northwest Democratic Republic of the,,
Congo. The new outbreak comes as the country continues to respond to the complex Ebola outbreak in,,
"the eastern part of the country, the COVID-19 pandemic, the world’s largest measles outbreak, and a",,
complex and long-standing humanitarian crisis.,,
The WHO Representative in Mauritius met the President of Mauritius to discuss COVID-19. They also spoke,,
"about the overall health system in Mauritius, and what needs to be strengthened.",,
"The WHO Regional Director for the Americas Dr Carissa F. Etienne said the Americas, “a region of",,
"massive inequalities,” are facing simultaneous health, economic and social emergencies from the",,
"pandemic. Maintaining social distancing measures, improving surveillance, and strengthening health",,
systems are key to controlling the COVID-19 pandemic in the region.,,
Situation in numbers (by WHO Region),,
Total (new cases in last 24 hours),,
Globally,6 416 828 cases (129 281),382 867 deaths (4 842)
Africa,115 639 cases (4 153),2 858 deaths (69)
Americas,3 022 824 cases (73 369),168 553 deaths (3 242)
Eastern Mediterranean,570 026 cases (17 529),13 458 deaths (277)
Europe,2 211 148 cases (19 758),182 308 deaths (911)
South-East Asia,309 597 cases (12 977),8 610 deaths (333)
Western Pacific,186 853 cases (1 495),7 067 deaths (10)

Surveillance
"Figure 1. Number of confirmed COVID-19 cases reported in the last seven days by country, territory or area, 29 May to 04 June**"
"**See Annex 1 for data, table and figure notes."

"Figure 2. Number of confirmed COVID-19 cases, by date of report and WHO region, 30 December 2019 through 04 June 2020**"
"**See Annex 1 for data, table and figure notes."

"Table 1. Countries, territories or areas with reported laboratory-confirmed COVID-19 cases and deaths, by WHO region. Data as of 10 AM CEST, 04 June 2020**",,,,,,
Reporting Country/ Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
,cases,new cases,,,classificationi,reported case
Africa,,,,,,
South Africa,37 525,1 713,792,37,Community transmission,0
Nigeria,11 166,347,315,1,Community transmission,0
Algeria,9 733,107,673,6,Community transmission,0
Ghana,8 548,251,38,0,Community transmission,0
Cameroon,6 752,167,200,0,Community transmission,0
Guinea,3 933,47,23,0,Community transmission,0
Senegal,3 932,96,45,2,Community transmission,0
Democratic Republic of the Congo,3 494,169,74,3,Community transmission,0
Côte d’Ivoire,3 110,86,35,2,Community transmission,0
Gabon,2 902,99,20,0,Community transmission,0
Kenya,2 216,123,74,3,Community transmission,0
Ethiopia,1 486,142,17,3,Clusters of cases,0
Mali,1 386,35,79,1,Community transmission,0
Guinea-Bissau,1 346,7,9,1,Community transmission,0
South Sudan,1 317,323,14,4,Clusters of cases,0
Central African Republic,1 189,120,4,0,Clusters of cases,0
Zambia,1 089,0,7,0,Community transmission,2
Equatorial Guinea,1 043,0,12,0,Community transmission,11
Niger,961,1,65,0,Community transmission,0
Sierra Leone,909,13,47,1,Community transmission,0
Madagascar,908,63,6,0,Clusters of cases,0

Reporting Country/ Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
,cases,new cases,,,classificationi,reported case
Burkina Faso,884,0,53,0,Community transmission,1
Chad,820,17,66,0,Community transmission,0
Mauritania,668,80,31,5,Clusters of cases,0
Uganda,636,50,0,0,Sporadic cases,0
Congo,632,14,20,0,Community transmission,0
United Republic of Tanzania,509,0,21,0,Community transmission,27
Cabo Verde,477,11,5,0,Clusters of cases,0
Togo,452,7,13,0,Community transmission,0
Rwanda,397,13,2,0,Sporadic cases,0
Malawi,369,11,4,0,Clusters of cases,0
Mauritius,335,0,10,0,Clusters of cases,5
Liberia,316,5,28,0,Community transmission,0
