Coronavirus disease,,
(COVID-19),,
Situation Report – 137,,
"Data as received by WHO from national authorities by 10:00 CEST, 05 June 2020",,
Highlights,,
"At the media briefing on COVID-19 today, WHO Director-General Dr Tedros announced updated guidance on",,
"the use of masks for the control of COVID-19. This guidance is based on evolving evidence, and provides",,
"updated advice on who should wear a mask, when it should be worn and of what it should be made. There is",,
further guidance for the public available here.,,
Digital tools offer opportunities to strengthen contact tracing for COVID-19. WHO has published interim,,
"guidance on considerations, opportunities and challenges of integrating digital tools into contact tracing",,
methods.,,
WHO has published interim guidance for the poliomyelitis (polio) surveillance network in the context of,,
COVID-19. One of its aims is to highlight the decision-making framework to guide the level of polio surveillance,,
activities at country level in the context of the ongoing pandemic.,,
"A nurse who was infected with, and recovered from, COVID-19 in Austria shares his experience and how he",,
"uses this experience to lift the spirits of his patients, colleagues, and friends who have been affected by COVID-",,
19.,,
"Since the beginning of the COVID-19 pandemic, air passenger and cargo services have been severely disrupted.",,
"To address the impact of the pandemic, the International Civil Aviation Organization has published ‘Take-off:",,
"Guidance for Air Travel through the COVID-19 Public Health Crisis’. For more information, see ‘Subject in",,
Focus’ below.,,
Situation in numbers (by WHO Region),,
Total (new cases in last 24 hours),,
Globally,6 535 354 cases (118 526),387 155 deaths (4 288)
Africa,121 104 cases (5 465),2 958 deaths (100)
Americas,3 084 517 cases (61 693),172 276 deaths (3 723)
Eastern Mediterranean,587 030 cases (17 004),13 720 deaths (262)
Europe,2 230 706 cases (19 558),182 165 deaths (-143)
South-East Asia,322 863 cases (13 266),8 942 deaths (332)
Western Pacific,188 393 cases (1 540),7 081 deaths (14)

Subject in Focus: Take-off: Guidance for Air Travel through the COVID-19 Public
Health Crisis
The COVID-19 pandemic has had a significant impact on global air transport. The International Civil Aviation
"Organization (ICAO) estimates that global passenger traffic at airports will decrease by 50 per cent in 2020,"
compared to 2019 figures - with up to 71 per cent reduced seat capacity and up to 1.5 billion fewer
"passengers globally. According to ICAO, airlines and airports face a potential loss of revenue of up to US$ 314"
"billion and US$ 100 billion respectively, for 2020."
ICAO’s Council Aviation Recovery Task Force (CART) was established on 9 March 2020 to address the
"challenges of COVID-19 and to provide global guidance for a safe, secure and sustainable restart and"
recovery of the aviation sector. This task force is composed of representatives from Member States and
"international, regional and industry organizations, including WHO and the World Tourism Organization"
(UNWTO).
The task force has recently published ‘Take-off: Guidance for Air Travel through the COVID-19 Public Health
"Crisis’, a document that lays out a set of measures aimed at reducing health risks to air travellers, aviation"
"workers, and the general public."
The document provides a framework for addressing the impact of the COVID-19 pandemic on the global
aviation transportation system and is divided in two sections.
"The first section contains risk mitigation measures that apply generally to air passenger and cargo transport,"
"such as: public education, physical distancing, face covering and masks, routine sanitation, health screening,"
"contact tracing, health declarations and testing."
"The second section describes, in four operational modules, the risk mitigation measures applicable to airport,"
"aircraft, crew and cargo."
"When implementing these measures, care should be taken to follow all applicable laws, regulations,"
"requirements, standards, and guidance issued by relevant sub-national, national and international"
authorities. Nothing in these guidelines is intended to supersede or contradict such requirements.
ICAO endorses a phased approach to make possible the safe return to high-volume domestic and
international air travel for passengers and cargo. Risk-based stages for mitigation measures will also
"contribute to the efficient, safe, secure, and sustainable transport by air of an increasing number of"
passengers and cargo.

Surveillance
"Figure 1. Number of confirmed COVID-19 cases reported in the last seven days by country, territory or area, 30 May to 05 June**"
"**See Annex 1 for data, table and figure notes."

"Figure 2. Number of confirmed COVID-19 cases, by date of report and WHO region, 30 December 2019 through 05 June 2020**"
"**See Annex 1 for data, table and figure notes."

"Table 1. Countries, territories or areas with reported laboratory-confirmed COVID-19 cases and deaths, by WHO region. Data as of 10 AM CEST, 05 June 2020**",,,,,,
Reporting Country/ Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
,cases,new cases,,,classificationi,reported case
Africa,,,,,,
South Africa,40 792,3 267,848,56,Community transmission,0
Nigeria,11 516,350,323,8,Community transmission,0
Algeria,9 831,98,681,8,Community transmission,0
Ghana,8 885,337,38,0,Community transmission,0
Cameroon,6 789,37,203,3,Community transmission,0
Senegal,4 021,89,45,0,Community transmission,0
Guinea,3 991,58,23,0,Community transmission,0
Democratic Republic of the Congo,3 643,149,77,3,Community transmission,0
Côte d’Ivoire,3 262,152,35,0,Community transmission,0
Gabon,2 955,53,21,1,Community transmission,0
Kenya,2 340,124,78,4,Community transmission,0
Ethiopia,1 636,150,18,1,Clusters of cases,0
Mali,1 461,75,85,6,Community transmission,0
Guinea-Bissau,1 346,0,9,0,Community transmission,1
South Sudan,1 317,0,14,0,Clusters of cases,1
Central African Republic,1 288,99,4,0,Clusters of cases,0
Zambia,1 111,22,7,0,Community transmission,0
Equatorial Guinea,1 043,0,12,0,Community transmission,12
Niger,963,2,65,0,Community transmission,0
Madagascar,957,49,7,1,Clusters of cases,0
Sierra Leone,914,5,47,0,Community transmission,0

Reporting Country/ Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
,cases,new cases,,,classificationi,reported case
Burkina Faso,885,1,53,0,Community transmission,0
Chad,828,8,66,0,Community transmission,0
Mauritania,784,116,39,8,Clusters of cases,0
Uganda,651,15,0,0,Sporadic cases,0
Congo,635,3,20,0,Community transmission,0
United Republic of Tanzania,509,0,21,0,Community transmission,28
Cabo Verde,502,25,5,0,Clusters of cases,0
Togo,465,13,13,0,Community transmission,0
Rwanda,410,13,2,0,Sporadic cases,0
Malawi,393,24,4,0,Clusters of cases,0
Mozambique,352,36,2,0,Clusters of cases,0
Mauritius,335,0,10,0,Clusters of cases,6
Liberia,321,5,28,0,Community transmission,0
Eswatini,300,5,3,0,Clusters of cases,0
São Tomé and Príncipe,295,0,10,0,Clusters of cases,9
Benin,261,17,3,0,Community transmission,0
Zimbabwe,222,0,4,0,Sporadic cases,1
Angola,86,0,4,0,Clusters of cases,4
Burundi,63,0,1,0,Clusters of cases,4
Comoros,62,0,2,0,Community transmission,4
Eritrea,41,2,0,0,Sporadic cases,0
Botswana,40,0,1,0,Clusters of cases,2
Gambia,26,0,1,0,Sporadic cases,2

Reporting Country/ Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
,cases,new cases,,,classificationi,reported case
Namibia 25 0 0 0 Sporadic cases 3,,,,,,
Seychelles 11 0 0 0 Clusters of cases 59,,,,,,
Lesotho,4,0,0,0,Sporadic cases,1
Territoriesii,,,,,,
Mayotte,2 058,65,25,1,Clusters of cases,0
Réunion,479,1,1,0,Clusters of cases,0
Americas,,,,,,
United States of America,1 837 803,14 583,106 876,825,Community transmission,0
Brazil,584 016,28 633,32 548,1 349,Community transmission,0
Peru,178 914,4 030,4 894,127,Community transmission,0
Chile,118 292,4 664,1 356,81,Community transmission,0
Mexico,101 238,3 912,11 728,1 091,Community transmission,0
Canada,93 441,693,7 543,129,Community transmission,0
Ecuador,40 966,0,3 486,0,Community transmission,1
Colombia,33 354,1 521,1 045,36,Community transmission,0
Argentina,19 268,949,588,18,Community transmission,0
Dominican Republic,18 319,279,520,4,Community transmission,0
Panama,14 609,514,357,5,Community transmission,0
Bolivia (Plurinational State of),11 638,647,400,24,Community transmission,0
Guatemala,5 760,174,143,20,Community transmission,0
Honduras,5 690,163,234,9,Community transmission,0
El Salvador,2 781,76,52,1,Community transmission,0
Haiti,2 604,97,50,2,Community transmission,0
Cuba,2 119,12,83,0,Clusters of cases,0

Reporting Country/ Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
,cases,new cases,,,classificationi,reported case
