Coronavirus disease,,
(COVID-19),,
Situation Report – 138,,
"Data as received by WHO from national authorities by 10:00 CEST, 06 June 2020",,
Highlights,,
"Community health mobilizers are on the frontlines of Angola’s COVID-19 response, increasing",,
awareness of COVID-19 among the general population by conducting home visits and social,,
mobilization campaigns in local markets and other busy communal areas.,,
"This year on World Environment Day on 5 June, people around the world celebrated biodiversity and",,
"called for the preservation of nature, as human impact on the environment has increased the risk of",,
emerging infectious diseases in humans: over 60% of emerging infectious diseases originate from,,
"animals, mainly from wildlife. The need to lessen our impact on the environment is being",,
"emphasised in the context of post-COVID-19 recovery, in order to reduce at source the risk of future",,
epidemics.,,
WHO has published an updated interim guidance on Key planning recommendations for mass,,
"gatherings in the context of COVID-19, which reflects the evolution of the pandemic and the most",,
"recent WHO recommendations on COVID-19, summarized in the ‘Subject in Focus’ below. The",,
"guidance provides advice to host governments, health authorities and event organizers on containing",,
"COVID-19 risks associated with a mass gathering, and on mitigating the likelihood of strain on health",,
services.,,
Situation in numbers (by WHO Region),,
Total (new cases in last 24 hours),,
Globally,6 663 304 cases (127 950),392 802 deaths (5 647)
Africa,126 561 cases (5 457),3 062 deaths (104)
Americas,3 155 370 cases (70 853),176 167 deaths (3 891)
Eastern Mediterranean,605 026 cases (17 996),14 024 deaths (304)
Europe,2 249 999 cases (19 293),183 128 deaths (963)
South-East Asia,336 577 cases (13 714),9 316 deaths (374)
Western Pacific,189 030 cases (637),7 092 deaths (11)

Subject in Focus: Key planning recommendations for mass,
gatherings in the context of COVID-19,
WHO has published an updated interim guidance on Key planning recommendations for mass,
gatherings in the context of COVID-19 on 29 May 2020. This general guidance is an updated,
version of the guidance first published on 14 February and revised on 19 March 2020. The current,
version reflects the evolution of the pandemic and the most recent WHO recommendations on,
COVID-19.,
"The guidance provides advice to host governments, health authorities and event organizers on",
"containing COVID-19 risks associated with a mass gathering, and on mitigating the resulting",
likelihood of strain on health services.,
Mass gatherings include a wide range of events characterized by the concentration of people in,
"space and time. They are not merely recreational events; rather, they may also have major political,",
"cultural, social and economic implications. WHO recommends that any decision to restrict, modify,",
"postpone, cancel or proceed with a mass gathering should be based on a rigorous risk assessment,",
based on three main considerations:,
1.,Normative and epidemiological context in which the event takes place: the application of
,"restrictive public health and social measures to control the spread of COVID-19, may not"
,"allow mass gatherings to take place. However, in countries where measures are eased in"
,"response to an evolving transmission scenario, the decision to proceed with an event and"
,"how to proceed, becomes relevant. The context continuously evolves, which entails an"
,"evolution of risk and of the action required to mitigate it, and therefore calls for a review of the"
,risk assessment at regular intervals.
2.,Risk factors associated with the event: this evaluation examines factors which determine the
,"risk profile for an event, including the characteristics of the venue, the number and key"
,"features of the participants (and their expected interactions), the duration of the event, and"
,"the capacity of the health system to detect and manage COVID-19 cases, among others."
3.,"Prevention and control measures: this area focuses on the capacity that host governments,"
,health authorities and event organizers have to apply actions that mitigate the risk identified
,"in step 2, above. Measures may modify the characteristics of the event (venue, attendees,"
,"facilities, etc.) or focus on strengthening the preparedness and response. Prevention and"
,"control measures can be applied throughout the event’s timeline – in the planning phase,"
,"operational phase, and post-event phase."
WHO has developed tools that facilitate the evaluation of the risks associated with a mass gathering,
and guide the selection of tailored prevention and control measures. A set of three tools is currently,
"available: a generic tool, one tailored to sports events, and one tailored to religious events. At the",
"same time, many organisers have adapted and tailored WHO tools to specific purposes, especially",
"for sport-related events, such as football, rugby and rowing competitions – with the aim of guiding",
the decision-making process on closing down or reopening them.,
A mass gathering indicator has been included in the COVID-19 Strategic Preparedness and,
Response Plan (SPRP) Monitoring and Evaluation Framework. This will help monitor how health,
systems prepare and respond to the COVID-19 pandemic as well as how they tackle risks,
associated with mass gatherings.,

Surveillance
"Figure 1. Number of confirmed COVID-19 cases reported in the last seven days by country, territory or area, 31 May to 06 June**"
"**See Annex 1 for data, table and figure notes."

"Figure 2. Number of confirmed COVID-19 cases, by date of report and WHO region, 30 December 2019 through 06 June 2020**"
"**See Annex 1 for data, table and figure notes."

"Table 1. Countries, territories or areas with reported laboratory-confirmed COVID-19 cases and deaths, by WHO region. Data as of 10 AM",,,,,,
"CEST, 06 June 2020**",,,,,,
Reporting Country/ Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
,cases,new cases,,,classificationi,reported case
Africa,,,,,,
South Africa,43 434,2 642,908,60,Community transmission,0
Nigeria,11 844,328,333,10,Community transmission,0
Algeria,9 935,104,690,9,Community transmission,0
Ghana,9 168,283,42,4,Community transmission,0
Cameroon,7 392,603,205,2,Community transmission,0
Senegal,4 155,134,45,0,Community transmission,0
Guinea,4 060,69,23,0,Community transmission,0
Democratic Republic of the Congo,3 763,120,80,3,Community transmission,0
Côte d’Ivoire,3 431,169,36,1,Community transmission,0
Gabon,3 101,146,21,0,Community transmission,0
Kenya,2 474,134,79,1,Community transmission,0
Ethiopia,1 805,169,19,1,Clusters of cases,0
Mali,1 485,24,87,2,Community transmission,0
Central African Republic,1 451,163,4,0,Clusters of cases,0
Guinea-Bissau,1 368,22,12,3,Community transmission,0
South Sudan,1 317,0,14,0,Clusters of cases,2
Zambia,1 111,0,7,0,Community transmission,1
Equatorial Guinea,1 043,0,12,0,Community transmission,13
Madagascar,975,18,7,0,Clusters of cases,0
Niger,966,3,65,0,Community transmission,0
Sierra Leone,929,15,47,0,Community transmission,0

Reporting Country/ Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
,cases,new cases,,,classificationi,reported case
Burkina Faso,885,0,53,0,Community transmission,1
Mauritania,883,99,43,4,Clusters of cases,0
Chad,836,8,68,2,Community transmission,0
Uganda,686,35,0,0,Sporadic cases,0
Congo,639,4,20,0,Community transmission,0
Cabo Verde,536,34,5,0,Clusters of cases,0
United Republic of Tanzania,509,0,21,0,Community transmission,29
Togo,485,20,13,0,Community transmission,0
Rwanda,420,10,2,0,Sporadic cases,0
Malawi,409,16,4,0,Clusters of cases,0
Mozambique,352,0,2,0,Clusters of cases,1
Mauritius,337,2,10,0,Clusters of cases,0
Liberia,334,13,30,2,Community transmission,0
Eswatini,305,5,3,0,Clusters of cases,0
São Tomé and Príncipe,295,0,10,0,Clusters of cases,10
Zimbabwe,265,43,4,0,Sporadic cases,0
Benin,261,0,3,0,Community transmission,1
Angola,86,0,4,0,Clusters of cases,5
Burundi,63,0,1,0,Clusters of cases,5
Comoros,62,0,2,0,Community transmission,5
Eritrea,41,0,0,0,Sporadic cases,1
Botswana,40,0,1,0,Clusters of cases,3
Gambia,26,0,1,0,Sporadic cases,3

Reporting Country/ Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
,cases,new cases,,,classificationi,reported case
Namibia 25 0 0 0 Sporadic cases 4,,,,,,
Seychelles 11 0 0 0 Clusters of cases 60,,,,,,
Lesotho,4,0,0,0,Sporadic cases,2
Territoriesii,,,,,,
Mayotte,2 079,21,25,0,Clusters of cases,0
Réunion,480,1,1,0,Clusters of cases,0
Americas,,,,,,
United States of America,1 857 872,20 069,107 911,1 035,Community transmission,0
Brazil,614 941,30 925,34 021,1 473,Community transmission,0
Peru,183 198,4 284,5 031,137,Community transmission,0
Chile,122 499,4 207,1 448,92,Community transmission,0
Mexico,105 680,4 442,12 545,817,Community transmission,0
Canada,94 070,629,7 652,109,Community transmission,0
Ecuador,42 106,1 140,3 592,106,Community transmission,0
Colombia,35 120,1 766,1 087,42,Community transmission,0
Argentina,20 197,929,615,27,Community transmission,0
Dominican Republic,18 708,389,525,5,Community transmission,0
Panama,15 044,435,363,6,Community transmission,0
Bolivia (Plurinational State of),12 245,607,415,15,Community transmission,0
Guatemala,6 154,394,158,15,Community transmission,0
Honduras,5 880,190,243,9,Community transmission,0
El Salvador,2 849,68,53,1,Community transmission,0
Haiti,2 640,36,50,0,Community transmission,0
Cuba,2 133,14,83,0,Clusters of cases,0

Reporting Country/ Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
,cases,new cases,,,classificationi,reported case
Venezuela (Bolivarian Republic of),2 087,135,20,0,Community transmission,0
Nicaragua,1 309,0,46,0,Community transmission,2
Costa Rica,1 194,37,10,0,Clusters of cases,0
Paraguay,1 087,1,11,0,Community transmission,0
Uruguay,832,4,23,0,Clusters of cases,0
Jamaica,591,1,10,1,Clusters of cases,0
Guyana,153,0,12,0,Clusters of cases,4
Trinidad and Tobago,117,0,8,0,Sporadic cases,5
Bahamas,102,0,11,0,Clusters of cases,4
