Coronavirus disease,,
(COVID-19),,
Situation Report – 139,,
"Data as received by WHO from national authorities by 10:00 CEST, 07 June 2020",,
Highlights,,
A joint task force has been established by the WHO Regional Office for Europe and the Central,,
European Initiative to strengthen regional coordination for the COVID-19 response and mitigate the,,
"impact of the pandemic. The task force will serve as a strategic platform for updating member states,",,
"exchanging information, and sharing experiences, best practices and training.",,
"This year on World Food Safety Day on 7 June, the WHO Regional Office for Europe has reminded",,
"everyone of the Five Keys to Safer Food, which are basic principles that each individual should know",,
"to prevent foodborne diseases, some of which (such as handwashing) also offer protection from",,
"COVID-19. The WHO Regional Office for the Americas stated that traditional markets, particularly",,
"those which sell live animals, may represent a risk of transmission of diseases between animals and",,
"humans (zoonotic diseases), and that appropriate regulations and inspections for the production and",,
sale of live animals are needed to prevent the spread of emerging diseases.,,
Situation in numbers (by WHO Region),,
Total (new cases in last 24 hours),,
Globally,6 799 713 cases (136 409),397 388 deaths (4 586)
Africa,131 324 cases (4 763),3 148 deaths (86)
Americas,3 234 875 cases (79 505),179 394 deaths (3 227)
Eastern Mediterranean,623 684 cases (18 658),14 326 deaths (302)
Europe,2 268 311 cases (18 312),183 732 deaths (604)
South-East Asia,350 542 cases (13 965),9 672 deaths (356)
Western Pacific,190 236 cases (1 206),7 103 deaths (11)

Surveillance
"Figure 1. Number of confirmed COVID-19 cases reported in the last seven days by country, territory or area, 01 June to 07 June**"
"**See Annex 1 for data, table and figure notes."

"Figure 2. Number of confirmed COVID-19 cases, by date of report and WHO region, 30 December 2019 through 07 June 2020**"
"**See Annex 1 for data, table and figure notes."

"Table 1. Countries, territories or areas with reported laboratory-confirmed COVID-19 cases and deaths, by WHO region. Data as of 10 AM",,,,,,
"CEST, 07 June 2020**",,,,,,
Reporting Country/ Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
,cases,new cases,,,classificationi,reported case
Africa,,,,,,
South Africa,45 973,2 539,952,44,Community transmission,0
Nigeria,12 233,389,342,9,Community transmission,0
Algeria,10 050,115,698,8,Community transmission,0
Ghana,9 462,294,44,2,Community transmission,0
Cameroon,7 599,207,212,7,Community transmission,0
Senegal,4 249,94,47,2,Community transmission,0
Guinea,4 117,57,23,0,Community transmission,0
Democratic Republic of the Congo,3 877,114,81,1,Community transmission,0
Côte d’Ivoire,3 557,126,36,0,Community transmission,0
Gabon,3 101,0,21,0,Community transmission,1
Kenya,2 600,126,83,4,Community transmission,0
Ethiopia,1 934,129,20,1,Clusters of cases,0
Central African Republic,1 570,119,5,1,Clusters of cases,0
Mali,1 523,38,90,3,Community transmission,0
Guinea-Bissau,1 368,0,12,0,Community transmission,1
South Sudan,1 317,0,14,0,Clusters of cases,3
Zambia,1 154,43,7,0,Community transmission,0
Equatorial Guinea,1 043,0,12,0,Community transmission,14
Madagascar,1 026,51,8,1,Clusters of cases,0
Niger,970,4,65,0,Community transmission,0
Mauritania,947,64,43,0,Clusters of cases,0

Reporting Country/ Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
,cases,new cases,,,classificationi,reported case
Sierra Leone,946,17,48,1,Community transmission,0
Burkina Faso,888,3,53,0,Community transmission,0
Chad,836,0,69,1,Community transmission,1
Uganda,722,36,0,0,Sporadic cases,0
Congo,653,14,20,0,Community transmission,0
Cabo Verde,542,6,5,0,Clusters of cases,0
United Republic of Tanzania,509,0,21,0,Community transmission,30
Togo,487,2,13,0,Community transmission,0
Rwanda,431,11,2,0,Sporadic cases,0
Malawi,409,0,4,0,Clusters of cases,1
Mozambique,409,57,2,0,Clusters of cases,0
Liberia,345,11,30,0,Community transmission,0
Mauritius,337,0,10,0,Clusters of cases,1
