Coronavirus disease,,
(COVID-19),,
Situation Report – 141,,
"Data as received by WHO from national authorities by 10:00 CEST, 09 June 2020",,
Highlights,,
More than 7 million cases of COVID-19 and over 400 000 deaths have now been reported to WHO. Although,,
"the situation in Europe is improving, globally it is worsening. On Sunday, more than 136 000 cases were",,
"reported, the most in a single day so far. In countries seeing positive signs, the WHO Director-General warned",,
in his media briefing yesterday ‘the biggest threat now is complacency’.,,
The WHO Regional Office for the Americas has published a guide with recommendations on measures to,,
"reduce COVID-19 transmission among indigenous populations, Afro-descendants, and other ethnic groups. The",,
"recommendations focus on promoting hygiene, social distancing, and improving access to basic health services",,
in these communities.,,
WHO fully supports equality and the global movement against racism. We encourage all those protesting,,
"around the world to do so safely: as much as possible, keep at least 1 metre from others, clean your hands,",,
cover your cough and wear a mask if you attend a protest.,,
WHO has published 14 new community and risk engagement posters on parenting during the pandemic. Some,,
"of the topics that these posters cover include: learning through play, keeping calm and managing stress,",,
"keeping children safe online, family budgeting in times of financial stress, and talking about COVID-19.",,
Situation in numbers (by WHO Region),,
Total (new cases in last 24 hours),,
Globally,7 039 918 cases (108 918),404 396 deaths (3 539)
Africa,140 498 cases (5 086),3 352 deaths (116)
Americas,3 366 251 cases (54 864),183 950 deaths (2 146)
Eastern Mediterranean,658 614 cases (17 185),14 913 deaths (311)
Europe,2 303 361 cases (16 801),184 671 deaths (551)
South-East Asia,378 118 cases (13 922),10 376 deaths (406)
Western Pacific,192 335 cases (1 060),7 121 deaths (9)

Surveillance
"Figure 1. Number of confirmed COVID-19 cases, by date of report and WHO region, 30 December through 09 June**"
"**See Annex 1 for data, table and figure notes."

"Table 1. Countries, territories or areas with reported laboratory-confirmed COVID-19 cases and deaths, by WHO region. Data as of 10 AM CEST, 09 June 2020**",,,,,,
Reporting Country/ Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
,cases,new cases,,,classificationi,reported case
Africa,,,,,,
South Africa,50 879,2 594,1 080,82,Community transmission,0
Nigeria,12 801,315,361,7,Community transmission,0
Algeria,10 265,111,715,8,Community transmission,0
Ghana,9 910,272,48,4,Community transmission,0
Cameroon,8 060,200,215,0,Community transmission,0
Senegal,4 430,102,49,0,Community transmission,0
Guinea,4 216,51,23,0,Community transmission,0
Democratic Republic of the Congo,4 105,90,87,3,Community transmission,0
Côte d’Ivoire,3 881,142,38,2,Community transmission,0
Gabon,3 101,0,21,0,Community transmission,3
Kenya,2 862,95,85,1,Community transmission,0
Ethiopia,2 156,136,27,0,Clusters of cases,0
Central African Republic,1 850,216,5,0,Clusters of cases,0
South Sudan,1 604,287,19,5,Clusters of cases,0
Mali,1 547,14,92,0,Community transmission,0
Guinea-Bissau,1 389,21,12,0,Community transmission,0
Zambia,1 200,46,10,3,Community transmission,0
Madagascar,1 094,42,9,0,Clusters of cases,0
Mauritania,1 049,102,43,0,Clusters of cases,0
Equatorial Guinea,1 043,0,12,0,Community transmission,16
Sierra Leone,1 001,32,49,1,Community transmission,0

Reporting Country/ Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
,cases,new cases,,,classificationi,reported case
Niger,973,0,65,0,Community transmission,1
Burkina Faso,890,2,53,0,Community transmission,0
Chad,839,2,70,1,Community transmission,0
Uganda,775,30,0,0,Sporadic cases,0
Congo,683,0,20,-2,Community transmission,1
Cabo Verde,567,13,5,0,Clusters of cases,0
United Republic of Tanzania,509,0,21,0,Community transmission,32
Togo,497,2,13,0,Community transmission,0
Rwanda,451,12,2,0,Sporadic cases,0
Malawi,443,5,4,0,Clusters of cases,0
Mozambique,433,9,2,0,Clusters of cases,0
Liberia,370,11,30,0,Community transmission,0
Eswatini,340,7,3,0,Clusters of cases,0
Mauritius,337,0,10,0,Clusters of cases,3
