Coronavirus disease,,
(COVID-19),,
Situation Report – 142,,
"Data as received by WHO from national authorities by 10:00 CEST, 10 June 2020",,
Highlights,,
The WHO Regional Office for the Americas will support the Ministry of Health and the Advisory Team of the,,
Venezuelan National Assembly to seek funds for COVID-19 Response. “COVID-19 has been a problem for most,,
"countries, but this pandemic also provides a good opportunity to pursue health as a bridge to peace"", said Dr",,
"Carissa F. Etienne, the Regional Director for the Americas.",,
"Dr Carissa F. Etienne has also noted, “In South America, our response to the pandemic will be impacted by the",,
"arrival of winter, while hurricane season will complicate our efforts in North and Central America, and",,
especially in the Caribbean”. The region needs to prepare to combat the effects of winter and hurricanes on,,
COVID-19 response.,,
"The WHO Regional Office for Europe is coordinating a large-scale COVID-19 response operation in Tajikistan,",,
"involving emergency medical teams (EMTs) and mobile laboratories. As part of the operation, WHO will",,
"mobilize medical and laboratory specialists from Germany, the Russian Federation and the United Kingdom,",,
"who will be deployed to Tajikistan during the coming weeks, upon request from the government.",,
"In today’s ‘Subject in Focus’ below, we provide an update on operations support and logistics supplies.",,
Situation in numbers (by WHO Region),,
Total (new cases in last 24 hours),,
Globally,7 145 539 cases (105 621),408 025 deaths (3 629)
Africa,145 287 cases (4 789),3 493 deaths (141)
Americas,3 415 174 cases (48 923),185 863 deaths (1 913)
Eastern Mediterranean,677 338 cases (18 724),15 246 deaths (333)
Europe,2 321 147 cases (17 786),185 537 deaths (866)
South-East Asia,392 674 cases (14 556),10 741 deaths (365)
Western Pacific,193 178 cases (843),7 132 deaths (11)

Subject in Focus: WHO Operations Support and Logistics update on supplies for
COVID-19 support
Personal protective equipment supplies
"To date, WHO has shipped more than 5 million items of personal protective equipment (PPE) to 112 countries."
"Through the PPE purchasing consortium, WHO has secured large volumes of PPE and is currently in the process"
"of shipping more than 149 million additional items to 138 countries, including a donation of 100 million medical"
masks and one million N95 respirators from the Jack Ma Foundation.
"With South America and the Caribbean emerging as new centres of the COVID-19 pandemic, WHO is"
prioritizing shipping a massive volume of PPE (6 000 m3) to its Regional Office for the Americas for distribution
to countries in the region. About 24.7 million PPE items procured by WHO are being allocated for shipment to
"the Region, along with 26 million medical masks and over 420 000 N95 respirators donated by the Jack Ma"
Foundation.
"For the Eastern Mediterranean Region, 16.7 million PPE items are being prepared for shipping to countries in"
the Region.
"In the European Region, 6.8 million PPE items are being shipped urgently to the priority countries of Ukraine"
and Belarus.
Diagnostics
"Through the diagnostics purchasing consortium, WHO has received commitments from suppliers for 16 million"
manual PCR tests.
"To date, WHO has placed orders for 4 million manual PCR tests and 5.3 million sample collection kits. These are"
"currently being produced and prepared for shipment. Shipments have begun last week, with the remaining"
quantities to be dispatched over the coming weeks.
"Through the same consortium, suppliers have made available 3.8 million automated tests for UNICEF to"
"procure. To date, UNICEF has placed orders for more than one million tests and delivered 216 000 tests to 34"
countries. Another 226 000 tests are en route to 30 countries.
Biomedical Equipment
"Through the BioMed consortium, WHO has placed orders for 14 000 oxygen concentrators and 9 700 pulse"
"oximeters, which are being prepared for shipment."
"Also, through the consortium, UNICEF has placed orders for 10 000 oxygen concentrators, with 6 000 being"
prepared for shipment.
"The World Food Programme, which is leading the distribution and shipment of supplies for the United Nations"
"COVID-19 Supply Chain, has to date shipped 11 478 m3 of supplies to support the COVID-19 response for 27"
organizations in 121 countries.

Surveillance
"Figure 1. Number of confirmed COVID-19 cases, by date of report and WHO region, 30 December through 10 June**"
"**See Annex 1 for data, table and figure notes."

"Table 1. Countries, territories or areas with reported laboratory-confirmed COVID-19 cases and deaths, by WHO region. Data as of 10 AM CEST, 10 June 2020**",,,,,,
Reporting Country/ Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
,cases,new cases,,,classificationi,reported case
Africa,,,,,,
South Africa,52 991,2 112,1 162,82,Community transmission,0
Nigeria,13 464,663,365,4,Community transmission,0
Algeria,10 382,117,724,9,Community transmission,0
Ghana,10 201,291,48,0,Community transmission,0
Cameroon,8 312,252,215,0,Community transmission,0
Senegal,4 516,86,52,3,Community transmission,0
Democratic Republic of the Congo,4 258,153,90,3,Community transmission,0
Guinea,4 258,42,23,0,Community transmission,0
Côte d’Ivoire,3 995,114,38,0,Community transmission,0
Gabon,3 294,193,21,0,Community transmission,0
Kenya,2 989,127,88,3,Community transmission,0
Ethiopia,2 336,180,32,5,Clusters of cases,0
Central African Republic,1 850,0,5,0,Clusters of cases,1
South Sudan,1 606,2,20,1,Clusters of cases,0
Mali,1 586,39,94,2,Community transmission,0
Guinea-Bissau,1 389,0,12,0,Community transmission,1
Zambia,1 200,0,10,0,Community transmission,1
Mauritania,1 162,113,63,20,Clusters of cases,0
Madagascar,1 138,44,9,0,Clusters of cases,0
Equatorial Guinea,1 043,0,12,0,Community transmission,17
Sierra Leone,1 025,24,50,1,Community transmission,0

Reporting Country/ Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
,cases,new cases,,,classificationi,reported case
Niger,974,1,65,0,Community transmission,0
Burkina Faso,891,1,53,0,Community transmission,0
Chad,844,5,71,1,Community transmission,0
Uganda,775,0,0,0,Sporadic cases,1
Congo,718,35,24,4,Community transmission,0
Cabo Verde,585,18,5,0,Clusters of cases,0
United Republic of Tanzania,509,0,21,0,Community transmission,33
Togo,497,0,13,0,Community transmission,1
Rwanda,463,12,2,0,Sporadic cases,0
Malawi,455,12,4,0,Clusters of cases,0
Mozambique,453,20,2,0,Clusters of cases,0
Liberia,383,13,31,1,Community transmission,0
Eswatini,371,31,3,0,Clusters of cases,0
Benin,339,34,4,0,Community transmission,0
Mauritius,337,0,10,0,Clusters of cases,4
Zimbabwe,314,27,4,0,Sporadic cases,0
São Tomé and Príncipe,295,0,10,0,Clusters of cases,14
Comoros,97,0,2,0,Community transmission,3
Angola,96,4,4,0,Clusters of cases,0
Burundi,83,0,1,0,Clusters of cases,3
Botswana,42,0,1,0,Clusters of cases,1
Eritrea,41,0,0,0,Sporadic cases,5
Namibia,31,0,0,0,Sporadic cases,1

Reporting Country/ Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
,cases,new cases,,,classificationi,reported case
Gambia 28 0 1 0 Sporadic cases 1,,,,,,
Seychelles 11 0 0 0 Clusters of cases 64,,,,,,
Lesotho,4,0,0,0,Sporadic cases,6
Territoriesii,,,,,,
Mayotte,2 175,24,28,2,Clusters of cases,0
Réunion,481,0,1,0,Clusters of cases,1
Americas,,,,,,
United States of America,1 951 096,17 536,110 770,550,Community transmission,0
Brazil,707 412,15 654,37 134,679,Community transmission,0
Peru,199 696,3 181,5 571,106,Community transmission,0
Chile,142 759,3 913,2 283,19,Community transmission,0
Mexico,120 102,2 999,14 053,354,Community transmission,0
Canada,96 244,545,7 835,35,Community transmission,0
Ecuador,43 917,539,3 690,48,Community transmission,0
Colombia,40 719,1 483,1 308,49,Community transmission,0
Argentina,23 620,826,698,28,Community transmission,0
Dominican Republic,20 415,289,544,5,Community transmission,0
Panama,16 854,429,398,5,Community transmission,0
Bolivia (Plurinational State of),13 949,306,475,10,Community transmission,0
Guatemala,7 502,447,267,15,Community transmission,0
Honduras,6 450,123,262,4,Community transmission,0
Haiti,3 538,204,54,3,Community transmission,0
El Salvador,3 191,87,58,3,Community transmission,0
Venezuela (Bolivarian Republic of),2 473,96,22,0,Community transmission,0

