Coronavirus disease,,
(COVID-19),,
Situation Report – 143,,
"Data as received by WHO from national authorities by 10:00 CEST, 11 June 2020",,
Highlights,,
"The WHO Regional Director for the Eastern Mediterranean, Dr Ahmed Al-Mandhari, has",,
released a statement on the status of the pandemic in the Region. He warns that cases in the,,
region have increased during the past three weeks and there is the risk cases will continue to,,
increase as many countries ease restrictions. He reiterated that every country’s best defense,,
"against COVID-19 is to find, isolate, test and care for every case and to trace and quarantine",,
every contact.,,
"Somalia is expanding its Early Warning, Alert and Response Network (EWARN) across the",,
country to facilitate early detection of suspected cases of COVID-19. WHO will be supporting the,,
roll out of the EWARN system to an additional 230 health centres beyond the current 533,,
"reporting sites, with COVID-19 now being a reportable health condition in Somalia.",,
"In today’s ‘Subject in Focus’ below, we present interim guidance on the use of masks in the",,
context of COVID-19.,,
Situation in numbers (by WHO Region),,
Total (new cases in last 24 hours),,
Globally,7 273 958 cases (128 419),413 372 deaths (5 347)
Africa,150 102 cases (4 815),3 593 deaths (100)
Americas,3 485 245 cases (70 071),189 544 deaths (3 681)
Eastern Mediterranean,696 841 cases (19 503),15 581 deaths (335)
Europe,2 339 145 cases (17 998),186 326 deaths (789)
South-East Asia,407 414 cases (14 740),11 171 deaths (430)
Western Pacific,194 470 cases (1 292),7 144 deaths (12)

Subject in Focus: Advice on the use of masks in the context of COVID-
19 Interim guidance published 05 June 2020
WHO published updated guidance on the use of masks in the context of COVID-19 on 5 June
"2020, replacing the previous guidance originally published on 6 April 2020."
WHO continues to advise that masks be used as part of a comprehensive package of prevention
and control measures to limit the spread of COVID-19. WHO reiterates that the use of a mask
"alone is insufficient to protect the user or others, and other community and personal protection"
measures should also be adopted to suppress spread of COVID-19.
"Within the updated guidance, WHO provides practical advice to decision-makers as to who"
"needs to wear a mask, which type of mask should be used and when it should be worn. It also"
incorporates new research findings since the previous version. The updated guidance
"reinforces the use of a risk-based approach to understand the situation for each country, and"
how masks can be used as part of a comprehensive package of measures to limit the spread of
the virus.
Here is a snapshot of what’s included in the updated guidance:
Advice for use of masks in health settings (including long-term care and residential facilities)
"In care settings where health workers provide direct care to COVID-19 patients, WHO continues"
to recommend the use of a medical mask in addition to other personal protective equipment
"(PPE) that are part of droplet/contact precautions (gown, gloves, eye protection), in the absence"
of aerosol generating procedures (AGP’s). In care settings for COVID-19 patients where AGPs
"are performed, health workers should wear a fit-tested respirator, as part of airborne"
precautions.
"For areas with community transmission of COVID-19, WHO provides new guidance for the"
"targeted continuous use of medical masks for health workers, including caregivers, working in"
clinical areas. This means that health workers should wear a medical mask during their routine
"activities throughout the entire shift, apart from when eating and drinking and changing their"
medical mask after caring for a patient who requires droplet/contact precautions for other
reasons.
The use of non-medical masks (fabric masks) is not considered appropriate protection for
"health workers. In the context of a severe medical mask shortage, face shields may be"
considered as an alternative. Community health workers should wear a medical mask when
providing routine services in areas of community transmission in addition to adhering to
"standard precautions, including physical distancing measures and hand hygiene."

Advice for the general public
"WHO continues to recommend that a person with symptoms suggestive of COVID-19, even if"
"symptoms are mild, should wear a medical mask (and seek medical attention). In areas where"
"COVID-19 is widespread, WHO advises governments to encourage the use of medical masks"
"among vulnerable populations: people aged 60 years and older, and those with underlying"
comorbidities.
While many countries are recommending the use of non-medical masks (fabric masks) for the
"general public, this is not yet supported by high quality or direct scientific evidence and there"
are potential benefits and harms to consider. WHO has taken into consideration the available
"studies evaluating the potential for pre-symptomatic and asymptomatic transmission,"
"individual values and preferences, as well as the difficulty in implementing many public health"
"and social measures, including maintaining physical distancing of at least 1 metre in many"
"contexts, and has updated our guidance. WHO advises governments to encourage the use of"
fabric masks for the general public in areas of widespread transmission in settings where 1m
"physical distance cannot be maintained, and as part of a comprehensive approach to reduce"
transmission. WHO continues to support and advise decision makers on how to apply a risk-
based approach when considering the use of masks for the general public.
The criteria and examples of recommended mask usage in various contexts are provided in the
guidance.
"Finally, the guidance includes new research findings on features to consider when making a"
"fabric mask, including the materials, number of layers, combination of materials, and shape."
"Proper usage, maintenance and management of masks is explained and is essential to ensure"
safety of the wearer. This is the result of research that WHO requested to better understand
how non-medical masks could be used in the context of COVID-19. All scientific references are
included in the guidance document.
"For more advice for the public on the use of masks, please visit:"
https://www.who.int/emergencies/diseases/novel-coronavirus-2019/advice-for-public/when-
and-how-to-use-masks.
"This site also includes FAQs on mask usage, downloadable posters on do’s and don’ts for both"
"medical and non-medical masks, and two videos with a technical expert: one on how to put on"
"and maintain a medical mask, and the other on how to do the same with a fabric mask (using"
the 3-layer composition identified by the research).

Surveillance
"Figure 1. Number of confirmed COVID-19 cases reported in the last seven days by country, territory or area, 05 June to 11 June**"
"**See Annex 1 for data, table and figure notes."

"Figure 2. Number of confirmed COVID-19 cases, by date of report and WHO region, 30 December through 11 June**"
"**See Annex 1 for data, table and figure notes."

"Table 1. Countries, territories or areas with reported laboratory-confirmed COVID-19 cases and deaths, by WHO region. Data as of 10 AM CEST,",,,,,,
11 June 2020**,,,,,,
Reporting Country/ Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
,cases,new cases,,,classificationi,reported case
Africa,,,,,,
South Africa,55 421,2 430,1 210,48,Community transmission,0
Nigeria,13 873,409,382,17,Community transmission,0
Algeria,10 484,102,732,8,Community transmission,0
Ghana,10 201,0,48,0,Community transmission,1
Cameroon,8 681,369,215,0,Community transmission,0
Senegal,4 640,124,54,2,Community transmission,0
Democratic Republic of the Congo,4 389,131,96,6,Community transmission,0
Guinea,4 291,33,23,0,Community transmission,0
Côte d’Ivoire,4 181,186,41,3,Community transmission,0
Gabon,3 294,0,21,0,Community transmission,1
Kenya,3 094,105,89,1,Community transmission,0
Ethiopia,2 506,170,35,3,Clusters of cases,0
Central African Republic,1 888,38,5,0,Clusters of cases,0
Mali,1 667,81,96,2,Community transmission,0
South Sudan,1 606,0,20,0,Clusters of cases,1
Guinea-Bissau,1 389,0,12,0,Community transmission,2
Mauritania,1 283,121,71,8,Clusters of cases,0
Zambia,1 252,52,10,0,Community transmission,0
Madagascar,1 162,24,10,1,Clusters of cases,0
Sierra Leone,1 062,37,50,0,Community transmission,0
Equatorial Guinea,1 043,0,12,0,Community transmission,18

Reporting Country/ Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
,cases,new cases,,,classificationi,reported case
Niger,974,0,65,0,Community transmission,1
Burkina Faso,891,0,53,0,Community transmission,1
Chad,846,2,72,1,Community transmission,0
Uganda,794,19,0,0,Sporadic cases,0
Congo,728,10,24,0,Community transmission,0
Cabo Verde,616,31,5,0,Clusters of cases,0
Togo,522,25,13,0,Community transmission,0
United Republic of Tanzania,509,0,21,0,Community transmission,34
Rwanda,476,13,2,0,Sporadic cases,0
Mozambique,472,19,2,0,Clusters of cases,0
Malawi,455,0,4,0,Clusters of cases,1
Eswatini,398,27,3,0,Clusters of cases,0
Liberia,397,14,31,0,Community transmission,0
São Tomé and Príncipe,388,93,10,0,Clusters of cases,0
Benin,339,0,4,0,Community transmission,1
Mauritius,337,0,10,0,Clusters of cases,5
Zimbabwe,320,6,4,0,Sporadic cases,0
Comoros,162,65,2,0,Community transmission,0
Angola,113,17,4,0,Clusters of cases,0
Burundi,83,0,1,0,Clusters of cases,4
Botswana,48,6,1,0,Clusters of cases,0
Eritrea,41,0,0,0,Sporadic cases,6
Namibia,31,0,0,0,Sporadic cases,2

Reporting Country/ Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
,cases,new cases,,,classificationi,reported case
Gambia 28 0 1 0 Sporadic cases 2,,,,,,
Seychelles 11 0 0 0 Clusters of cases 65,,,,,,
Lesotho,4,0,0,0,Sporadic cases,7
Territoriesii,,,,,,
Mayotte,2 226,51,28,0,Clusters of cases,0
Réunion,486,5,1,0,Clusters of cases,0
Americas,,,,,,
United States of America,1 968 331,17 235,111 978,1 208,Community transmission,0
Brazil,739 503,32 091,38 406,1 272,Community transmission,0
Peru,203 736,4 040,5 738,167,Community transmission,0
Chile,148 496,5 737,2 475,192,Community transmission,0
Mexico,124 301,4 199,14 649,596,Community transmission,0
Canada,96 653,409,7 897,62,Community transmission,0
Ecuador,44 440,523,3 720,30,Community transmission,0
Colombia,42 078,1 359,1 372,64,Community transmission,0
Argentina,24 761,1 141,717,19,Community transmission,0
Dominican Republic,20 808,393,550,6,Community transmission,0
Panama,17 233,379,403,5,Community transmission,0
Bolivia (Plurinational State of),14 644,695,487,12,Community transmission,0
Guatemala,7 866,364,289,22,Community transmission,0
Honduras,6 935,485,271,9,Community transmission,0
Haiti,3 662,124,56,2,Community transmission,0
El Salvador,3 274,83,60,2,Community transmission,0
Venezuela (Bolivarian Republic of),2 632,159,23,1,Community transmission,0

Reporting Country/ Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
,cases,new cases,,,classificationi,reported case
Cuba,2 211,6,83,0,Clusters of cases,0
Nicaragua,1 655,346,55,9,Community transmission,0
Costa Rica,1 375,33,12,2,Clusters of cases,0
Paraguay,1 202,15,11,0,Community transmission,0
Uruguay,846,1,23,0,Clusters of cases,0
Jamaica,598,0,10,0,Clusters of cases,2
Guyana,156,2,12,0,Clusters of cases,0
Suriname,137,4,2,0,Clusters of cases,0
Trinidad and Tobago,117,0,8,0,Sporadic cases,10
Bahamas,103,0,11,0,Clusters of cases,4
Barbados,96,4,7,0,Clusters of cases,0
Saint Vincent and the Grenadines,27,0,0,0,Sporadic cases,2
Antigua and Barbuda,25,0,3,0,Clusters of cases,38
Grenada,23,0,0,0,Clusters of cases,15
Belize,20,1,2,0,Sporadic cases,0
Saint Lucia,19,0,0,0,Sporadic cases,5
Dominica,16,0,0,0,Clusters of cases,61
Saint Kitts and Nevis,15,0,0,0,Sporadic cases,51
Territoriesii,,,,,,
Puerto Rico,5 329,144,143,1,Community transmission,0
French Guiana,865,92,2,0,Clusters of cases,0
Martinique,202,0,14,0,Clusters of cases,4
Cayman Islands,176,5,1,0,Clusters of cases,0
Guadeloupe,164,0,14,0,Clusters of cases,5

