Coronavirus disease,,
(COVID-19),,
Situation Report – 144,,
"Data as received by WHO from national authorities by 10:00 CEST, 12 June 2020",,
Highlights,,
WHO has published a rapid advice guidance on the Use of chest imaging in COVID-19. The,,
"guide examines available evidence and makes recommendations for the use of radiography,",,
"computed tomography and ultrasound for acute care of adult patients with suspected,",,
probable or confirmed COVID-19 at different levels of disease severity.,,
The private sector plays a critical role in the preparedness and response activities for COVID-19,,
"locally, nationally and globally. WHO has published ‘Asks’ to the private sector in the response",,
"to COVID-19, such as protecting stakeholders and businesses, making essential supplies",,
"available, and providing financial support.",,
The Government of Canada has agreed to contribute over US $5 million to the WHO Regional,,
"Office for the Americas to support COVID-19 response activities, including increasing access to",,
personal protective equipment and other critical supplies. The contribution will focus on,,
supporting marginalized and vulnerable communities in 23 countries in the Americas.,,
Doctors and nurses on the frontlines of the COVID-19 response in the Republic of the Congo,,
"have shared stories about their daily lives, personal sacrifices and inspirations.",,
Situation in numbers (by WHO Region),,
Total (new cases in last 24 hours),,
Globally,7 410 510 cases (136 572),418 294 deaths (4 925)
Africa,155 762 cases (5 680),3 700 deaths (107)
Americas,3 560 591 cases (75 346),192 944 deaths (3 401)
Eastern Mediterranean,716 151 cases (19 310),15 947 deaths (366)
Europe,2 358 953 cases (19 808),186 889 deaths (565)
South-East Asia,422 825 cases (15 411),11 645 deaths (474)
Western Pacific,195 487 cases (1 017),7 156 deaths (12)

Surveillance
"Figure 1. Number of confirmed COVID-19 cases reported in the last seven days by country, territory or area, 06 June to 12 June**"
"**See Annex 1 for data, table and figure notes."

"Figure 2. Number of confirmed COVID-19 cases, by date of report and WHO region, 30 December through 12 June**"
"**See Annex 1 for data, table and figure notes."

"Table 1. Countries, territories or areas with reported laboratory-confirmed COVID-19 cases and deaths, by WHO region. Data as of 10 AM CEST,",,,,,,
12 June 2020**,,,,,,
Reporting Country/ Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
,cases,new cases,,,classificationi,reported case
Africa,,,,,,
South Africa,58 568,3 147,1 284,74,Community transmission,0
Nigeria,14 554,681,387,5,Community transmission,0
Algeria,10 589,105,741,9,Community transmission,0
Ghana,10 358,157,48,0,Community transmission,0
Cameroon,8 681,0,215,0,Community transmission,1
Senegal,4 759,119,55,1,Community transmission,0
Democratic Republic of the Congo,4 514,125,97,1,Community transmission,0
Côte d’Ivoire,4 404,223,41,0,Community transmission,0
Guinea,4 372,81,23,0,Community transmission,0
Gabon,3 463,169,23,2,Community transmission,0
Kenya,3 215,121,92,3,Community transmission,0
Ethiopia,2 670,164,40,5,Clusters of cases,0
Central African Republic,2 044,156,5,0,Clusters of cases,0
Mali,1 722,55,97,1,Community transmission,0
South Sudan,1 606,0,22,2,Clusters of cases,2
Guinea-Bissau,1 389,0,12,0,Community transmission,3
Mauritania,1 283,0,71,0,Clusters of cases,1
Zambia,1 252,0,10,0,Community transmission,1
Madagascar,1 203,41,10,0,Clusters of cases,0
Sierra Leone,1 085,23,50,0,Community transmission,0
Equatorial Guinea,1 043,0,12,0,Community transmission,19

Reporting Country/ Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
,cases,new cases,,,classificationi,reported case
Niger,974,0,65,0,Community transmission,2
Burkina Faso,891,0,53,0,Community transmission,2
Chad,848,2,72,0,Community transmission,0
Uganda,808,14,0,0,Sporadic cases,0
Congo,745,17,25,1,Community transmission,0
Cabo Verde,657,41,6,1,Clusters of cases,0
Togo,522,0,13,0,Community transmission,1
United Republic of Tanzania,509,0,21,0,Community transmission,35
Rwanda,494,18,2,0,Sporadic cases,0
Mozambique,489,17,2,0,Clusters of cases,0
Malawi,481,26,4,0,Clusters of cases,0
Eswatini,449,51,3,0,Clusters of cases,0
Liberia,410,13,31,0,Community transmission,0
Benin,390,51,5,1,Community transmission,0
São Tomé and Príncipe,388,0,10,0,Clusters of cases,1
