Coronavirus disease,,
(COVID-19),,
Situation Report – 145,,
"Data as received by WHO from national authorities by 10:00 CEST, 13 June 2020",,
Highlights,,
"As of 13 June 10am (CEST), Chinese authorities reported to WHO 12 new confirmed cases,",,
"among them 6 in Beijing. After 10am (CEST), Chinese authorities reported additional",,
information about an ongoing investigation of further cases in Beijing. Information about the,,
investigation in Beijing will be made available separately and additional cases reported in,,
subsequent Situation Reports.,,
Blood donations are vital during the current COVID-19 pandemic. The WHO Regional Director,,
"for the Americas, Dr Carissa F. Etienne said “The safest blood comes through voluntary unpaid",,
"donation from people like you and me. Donation is an act of solidarity and altruism, which the",,
world needs now more than ever in the context of the COVID-19 pandemic”.,,
"A COVID-19 survivor, a Stress Counsellor and a WHO Mental Health officer in Nigeria share their",,
experiences with stigma associated with COVID-19 and approaches to curb stigma associated,,
with the disease.,,
Situation in numbers (by WHO Region),,
Total (new cases in last 24 hours),,
Globally,7 553 182 cases (142 672),423 349 deaths (5 055)
Africa,161 254 cases (5 492),3 867 deaths (167)
Americas,3 638 525 cases (77 934),196 440 deaths (3 496)
Eastern Mediterranean,737 641 cases (21 490),16 260 deaths (313)
Europe,2 378 958 cases (20 005),187 468 deaths (579)
South-East Asia,439 348 cases (16 523),12 126 deaths (481)
Western Pacific,196 715 cases (1 228),7 175 deaths (19)

Surveillance
"Figure 1. Number of confirmed COVID-19 cases reported in the last seven days by country, territory or area, 07 June to 13 June**"
"**See Annex 1 for data, table and figure notes."

"Figure 2. Number of confirmed COVID-19 cases, by date of report and WHO region, 30 December through 13 June**"
"**See Annex 1 for data, table and figure notes."

"Table 1. Countries, territories or areas with reported laboratory-confirmed COVID-19 cases and deaths, by WHO region. Data as of 10 AM CEST,",,,,,,
13 June 2020**,,,,,,
Reporting Country/ Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
,cases,new cases,,,classificationi,reported case
Africa,,,,,,
South Africa,61 927,3 359,1 354,70,Community transmission,0
Nigeria,14 554,0,387,0,Community transmission,1
Ghana,10 856,498,48,0,Community transmission,0
Algeria,10 698,109,751,10,Community transmission,0
Cameroon,8 743,62,270,55,Community transmission,0
Senegal,4 851,92,56,1,Community transmission,0
Côte d’Ivoire,4 684,280,45,4,Community transmission,0
Democratic Republic of the Congo,4 636,122,100,3,Community transmission,0
Guinea,4 426,54,24,1,Community transmission,0
Gabon,3 463,0,23,0,Community transmission,1
Kenya,3 305,90,96,4,Community transmission,0
Ethiopia,2 915,245,47,7,Clusters of cases,0
Central African Republic,2 057,13,7,2,Clusters of cases,0
Mali,1 752,30,101,4,Community transmission,0
South Sudan,1 670,64,22,0,Clusters of cases,0
Mauritania,1 439,156,74,3,Clusters of cases,0
Guinea-Bissau,1 389,0,12,0,Community transmission,4
Zambia,1 321,69,10,0,Community transmission,0
Madagascar,1 230,27,10,0,Clusters of cases,0
Sierra Leone,1 103,18,51,1,Community transmission,0
Equatorial Guinea,1 043,0,12,0,Community transmission,20

Reporting Country/ Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
,cases,new cases,,,classificationi,reported case
Niger,978,4,65,0,Community transmission,0
Burkina Faso,892,1,53,0,Community transmission,0
Chad,848,0,72,0,Community transmission,1
Uganda,808,0,0,0,Sporadic cases,1
Congo,745,0,25,0,Community transmission,1
Cabo Verde,697,40,6,0,Clusters of cases,0
Togo,524,2,13,0,Community transmission,0
Rwanda,510,16,2,0,Sporadic cases,0
Mozambique,509,20,2,0,Clusters of cases,0
United Republic of Tanzania,509,0,21,0,Community transmission,36
Malawi,481,0,4,0,Clusters of cases,1
Eswatini,472,23,3,0,Clusters of cases,0
Liberia,421,11,32,1,Community transmission,0
