Coronavirus disease,,
(COVID-19),,
Situation Report – 146,,
"Data as received by WHO from national authorities by 10:00 CEST, 14 June 2020",,
Highlights,,
The investigation of a cluster of COVID-19 in Beijing associated with a wholesale market,,
"continues. As of 14 June, 16:00 (CEST+6), Chinese authorities reported a total of 77 cases",,
"since 11 June, including 2 linked cases in Liaoning Province. See below for more information",,
and press statement issued on 13 June.,,
World Elder Abuse Awareness Day takes place every year on 15 June as designated by the,,
United Nations General Assembly. It is believed that abuse towards older people has risen,,
significantly during the COVID-19 pandemic. This makes a compelling case for World Elder,,
Abuse Awareness Day’s call for decision-makers to develop universally applicable normative,,
standards for the protection of older people.,,
Situation in numbers (by WHO Region),,
Total (new cases in last 24 hours),,
Globally,7 690 708 cases (137 526),427 630 deaths (4 281)
Africa,167 566 cases (6 312),3 998 deaths (131)
Americas,3 711 768 cases (73 243),199 252 deaths (2 812)
Eastern Mediterranean,758 551 cases (20 910),16 640 deaths (380)
Europe,2 398 779 cases (19 821),188 001 deaths (533)
South-East Asia,455 439 cases (16 091),12 526 deaths (400)
Western Pacific,197 864 cases (1 149),7 200 deaths (25)

Surveillance,,
"Update on a cluster of COVID-19 in Beijing, People’s Republic of China",,
After 56 days of no reported confirmed COVID-19 cases or asymptomatic,,"infections in Beijing,"
"People’s Republic of China, a local case of COVID-19 with no known travel history or contact with a",,
case was reported on 11 June.,,
WHO published a press release summarizing the event as of 13 June.,,
"From 11-14 June (as of 18:00 CEST+6 14 June), 77 symptomatic laboratory-confirmed cases have",,
"been identified related to this cluster in Beijing, including two cases who travelled to Liaoning Province.",,
"An additional 46 laboratory confirmed cases, reported without symptoms, have been identified",,
through active screening in the area. The initial symptomatic cases were identified from presentation,,
at six fever clinics and most of the initial cases were linked to the Xinfadi Market in Beijing.,,
"Preliminary investigations continue and as of 14 June, WHO is aware of 40 environmental samples",,
"from the Xinfadi market, which have tested positive for SARS-CoV-2 using molecular tests (RT-PCR).",,
Genetic sequencing from humans and environmental samples is ongoing and WHO encourages the,,
release of these sequences as soon as possible. WHO understands that genetic sequences will be,,
released as soon as possible once further laboratory analyses are completed.,,
Chinese officials have informed WHO of ongoing investigations into the source of the cluster as well,,
as the extent of the current infection among contacts and others who have visited markets in recent,,
weeks.,,
WHO recommends that thorough investigations continue to better understand the source of the,,
cluster (exploring multiple hypotheses) and the extent of infection.,,
"All identified cases are currently isolated and receiving care, depending on clinical presentation, and",,
"contacts of all cases, including those without symptoms, are being followed up and tested.",,
The public health response by Chinese officials includes:,,
•,Tracing and monitoring of close contacts of all laboratory confirmed cases (regardless of the,
,development of symptoms).,
•,Six wholesale food markets in Beijing have fully or partially closed operations.,
•,"Those working in Xinfadi Market, those living in the surrounding residential compounds, and",
,those who have visited the Xinfadi Market in the preceding weeks are being traced and will,
,undergo testing.,
•,"Under the Emergency Response framework, some of the local measures that were relaxed",
,had been re-implemented in Beijing.,
•,Enhanced screening measures implemented at points of entry.,
WHO is closely monitoring the situation and is in close contact with national authorities in China.,,

Surveillance
"Figure 1. Number of confirmed COVID-19 cases reported in the last seven days by country, territory or area, 08 June to 14 June**"
"**See Annex 1 for data, table and figure notes."

"Figure 2. Number of confirmed COVID-19 cases, by date of report and WHO region, 30 December through 14 June**"
"**See Annex 1 for data, table and figure notes."

"Table 1. Countries, territories or areas with reported laboratory-confirmed COVID-19 cases and deaths, by WHO region. Data as of 10 AM",,,,,,
"CEST, 14 June 2020**",,,,,,
Reporting Country/ Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
,cases,new cases,,,classificationi,reported case
Africa,,,,,,
South Africa,65 736,3 809,1 423,69,Community transmission,0
Nigeria,15 181,627,399,12,Community transmission,0
Ghana,11 118,262,48,0,Community transmission,0
Algeria,10 810,112,760,9,Community transmission,0
Cameroon,8 743,0,270,0,Community transmission,1
Senegal,4 996,145,60,4,Community transmission,0
Côte d’Ivoire,4 848,164,45,0,Community transmission,0
Democratic Republic of the Congo,4 723,87,105,5,Community transmission,0
Guinea,4 484,58,25,1,Community transmission,0
Gabon,3 463,0,23,0,Community transmission,2
Kenya,3 457,152,100,4,Community transmission,0
Ethiopia,3 166,251,55,8,Clusters of cases,0
Central African Republic,2 057,0,7,0,Clusters of cases,1
Mali,1 776,24,104,3,Community transmission,0
South Sudan,1 684,14,25,3,Clusters of cases,0
Mauritania,1 573,134,81,7,Clusters of cases,0
Guinea-Bissau,1 460,71,15,3,Community transmission,0
Zambia,1 357,36,10,0,Community transmission,0
Madagascar,1 252,22,10,0,Clusters of cases,0
Sierra Leone,1 132,29,51,0,Community transmission,0
Equatorial Guinea,1 043,0,12,0,Community transmission,21

Reporting Country/ Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
,cases,new cases,,,classificationi,reported case
Niger,978,0,65,0,Community transmission,1
Burkina Faso,892,0,53,0,Community transmission,1
Chad,848,0,72,0,Community transmission,2
Uganda,823,15,0,0,Sporadic cases,0
Congo,779,34,25,0,Community transmission,0
Cabo Verde,726,29,6,0,Clusters of cases,0
Mozambique,553,44,2,0,Clusters of cases,0
Rwanda,541,31,2,0,Sporadic cases,0
Malawi,529,48,5,1,Clusters of cases,0
Togo,525,1,13,0,Community transmission,0
United Republic of Tanzania,509,0,21,0,Community transmission,37
Eswatini,486,14,3,0,Clusters of cases,0
Liberia,446,25,32,0,Community transmission,0
Benin,412,0,6,0,Community transmission,1
São Tomé and Príncipe,388,0,10,0,Clusters of cases,3
Zimbabwe,356,13,4,0,Sporadic cases,0
Mauritius,337,0,10,0,Clusters of cases,8
Comoros,176,13,2,0,Community transmission,0
Angola,138,8,6,1,Clusters of cases,0
Burundi,94,0,1,0,Clusters of cases,2
Eritrea,65,24,0,0,Sporadic cases,0
Botswana,60,0,1,0,Clusters of cases,1
Namibia,32,1,0,0,Sporadic cases,0

Reporting Country/ Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
,cases,new cases,,,classificationi,reported case
Gambia 28 0 1 0 Sporadic cases 5,,,,,,
Seychelles 11 0 0 0 Clusters of cases 68,,,,,,
Lesotho,4,0,0,0,Sporadic cases,10
Territoriesii,,,,,,
Mayotte,2 282,14,29,1,Clusters of cases,0
Réunion,489,1,1,0,Clusters of cases,0
Americas,,,,,,
United States of America,2 032 524,22 133,114 466,709,Community transmission,0
Brazil,828 810,25 982,41 828,909,Community transmission,0
Peru,220 749,5 961,6 308,199,Community transmission,0
Chile,167 355,6 509,3 101,231,Community transmission,0
Mexico,139 196,5 222,16 448,504,Community transmission,0
Canada,97 943,413,8 049,55,Community transmission,0
Colombia,46 858,1 646,1 545,57,Community transmission,0
Ecuador,46 356,578,3 874,46,Community transmission,0
Argentina,28 764,1 391,802,30,Community transmission,0
Dominican Republic,22 572,564,577,9,Community transmission,0
Panama,19 211,625,421,3,Community transmission,0
Bolivia (Plurinational State of),16 929,764,559,26,Community transmission,0
Guatemala,8 982,421,351,17,Community transmission,0
Honduras,8 132,463,306,12,Community transmission,0
Haiti,3 941,0,64,0,Community transmission,1
