Coronavirus disease,,
(COVID-19),,
Situation Report – 147,,
"Data as received by WHO from national authorities by 10:00 CEST, 15 June 2020",,
Highlights,,
"As the pandemic accelerates in low- and middle-income countries, WHO is especially concerned about",,
"its impact on people who already struggle to access health services – often women, children and",,
adolescents. WHO has developed guidance on maintaining essential services.,,
WHO has also carefully investigated the risks of women transmitting COVID-19 to their babies during,,
"breastfeeding. Based on the available evidence, WHO’s advice is that the benefits of breastfeeding",,
outweigh any potential risks of transmission of COVID-19. A Q and A on breastfeeding and COVID-19 is,,
also available.,,
WHO has recently released a photo story outlining ten actions you can take to protect and improve your,,
"sexual and reproductive health during the COVID-19 pandemic. At present, there is no evidence of",,
"sexual transmission of the virus responsible for COVID-19. The virus can be passed however, through",,
"direct contact with saliva, for instance, kissing.",,
"There are also many things people can do to take care of their own health, like staying active, eating a",,
nutritious diet and limiting their alcohol intake.,,
"In today’s Subject in Focus, we look at the Solidarity Trials, which are being used to accelerate research",,
on a COVID-19 Vaccine.,,
Situation in numbers (by WHO Region),,
Total (new cases in last 24 hours),,
Globally,7 823 289 cases (132 581),431 541 deaths (3 911)
Africa,175 503 cases (7 937),4 111 deaths (113)
Americas,3 781 538 cases (69 770),201 848 deaths (2 596)
Eastern Mediterranean,778 200 cases (19 649),17 077 deaths (437)
Europe,2 416 920 cases (18 141),188 350 deaths (349)
South-East Asia,471 392 cases (15 953),12 927 deaths (401)
Western Pacific,198 995 cases (1 131),7 215 deaths (15)

Subject in Focus: Accelerating research on a COVID-19 Vaccine,,
"Since the start of the pandemic, there has been an urgent need to accelerate the research and development",,
of a safe and effective vaccine.,,
"To facilitate research and vaccine development, WHO’s R&D Blueprint team convened:",,
1.,"A process to develop a core clinical trial study protocol for a global, and globally coordinated , clinical trial",
,"for vaccines. The idea is to accelerate research on COVID-19 vaccines through a large, international,",
,"randomized controlled clinical trial using a standardized study protocol that enables the agile,",
,simultaneous evaluation of the benefits and risks of multiple candidate vaccines in sites with sufficient,
,COVID-19 attack rates.,
,"To date, more than 120 different candidate vaccines are under development and could be available or",
,"suitable to enter the trial at different times. The aim of the Solidarity Trial, is to quickly enrol and",
,individually randomize very large numbers of adult participants in many different populations and settings,
,across the world. By using a shared placebo/control group and a common core study protocol to evaluate,
,"multiple candidate vaccines in the trial, resources allocated to the evaluation of each candidate vaccine",
,can be saved while ensuring a high standard of scientific rigor and efficiency.,
,"Following an in-depth review by experts and various consultations, a revi sed version of the WHO core",
,"protocol was recently published. In addition, WHO has also launched a call for expressions of interest from",
,vaccine trial sites around the world to identify those that would participate in a vaccine Solidarity Trial,
,using this core protocol.,
2.,"A multi-disciplinary group of experts from across the world to discuss, from different perspectives, to",
,develop the concept of Human Challenge Studies. The WHO Advisory Group for “Human Challenges” was,
,"tasked with considering the feasibility, potential value and limitations of establishing a closely monitored",
,human challenge model of experimental COVID-19 infection and illness in healthy young adult volunteers.,
,This Advisory Group included experts with experience in:,
,•,"design and performance of many types of volunteer challenge studies,"
,•,"SARS-CoV-2 virology,"
,•,"measurement of human immune responses to SARS-CoV-2 and to other microbial pathogens,"
,•,"clinical management of COVID-19 clinical disease in different geographic settings,"
,•,regulatory considerations associated with testing and emergency pre-licensure use of vaccines and
,,"with larger-scale post-licensure deployment,"
,•,and GMP manufacture of virulent viruses under BSL-3 containment.
"The Working Group was sub-divided into four subgroups to address: Clinical Trials Issues, Challenge Virus Strain",,
"Issues, Measurement of Immune Responses Pre- and Post-Challenge, and Detection of SARS-CoV-2 in Clinical",,
Specimens Post-challenge.,,

"Since its constitution, the Advisory Group has convened several times to deliberate on this question and to"
make recommendations. A full report of this Advisory Group will be available shortly on the R&D Blueprint and
COVID-19 webpage. This complements the 6 May 2020 document outlining the key criteria for the ethical
acceptability of Covid-19 human challenge studies.
Further information on WHO’s work relating to vaccine research can be found on the R&D Blueprint and
COVID-19 webpage.

Surveillance
"Figure 1. Number of confirmed COVID-19 cases reported in the last seven days by country, territory or area, 09 June to 15 June**"
"**See Annex 1 for data, table and figure notes."

"Figure 2. Number of confirmed COVID-19 cases, by date of report and WHO region, 30 December through 15 June**"
"**See Annex 1 for data, table and figure notes."

"Table 1. Countries, territories or areas with reported laboratory-confirmed COVID-19 cases and deaths, by WHO region. Data as of 10 AM CEST, 15 June 2020**",,,,,,
Reporting Country/ Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
,cases,new cases,,,classificationi,reported case
Africa,,,,,,
South Africa,70 038,4 302,1 480,57,Community transmission,0
Nigeria,16 085,904,420,21,Community transmission,0
Ghana,11 422,304,51,3,Community transmission,0
Algeria,10 919,109,767,7,Community transmission,0
Cameroon,9 572,829,275,5,Community transmission,0
Senegal,5 090,94,60,0,Community transmission,0
Côte d’Ivoire,5 084,236,45,0,Community transmission,0
Democratic Republic of the Congo,4 777,54,106,1,Community transmission,0
Guinea,4 534,50,25,0,Community transmission,0
Kenya,3 594,137,103,3,Community transmission,0
Gabon,3 463,0,23,0,Community transmission,3
Ethiopia,3 345,179,57,2,Community transmission,0
Central African Republic,2 222,165,7,0,Community transmission,0
Mali,1 809,33,104,0,Community transmission,0
Mauritania,1 783,210,87,6,Clusters of cases,0
South Sudan,1 693,9,27,2,Clusters of cases,0
Guinea-Bissau,1 460,0,15,0,Community transmission,1
Zambia,1 358,1,11,1,Community transmission,0
Madagascar,1 272,20,10,0,Clusters of cases,0
Sierra Leone,1 169,37,51,0,Community transmission,0
Equatorial Guinea,1 043,0,12,0,Community transmission,22

Reporting Country/ Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
,cases,new cases,,,classificationi,reported case
Niger,980,2,66,1,Community transmission,0
Burkina Faso,894,2,53,0,Community transmission,0
Chad,850,2,73,1,Community transmission,0
Uganda,823,0,0,0,Sporadic cases,1
Congo,779,0,25,0,Community transmission,1
Cabo Verde,750,24,6,0,Clusters of cases,0
Mozambique,583,30,2,0,Clusters of cases,0
Rwanda,582,41,2,0,Sporadic cases,0
Malawi,547,18,6,1,Clusters of cases,0
Togo,530,5,13,0,Community transmission,0
United Republic of Tanzania,509,0,21,0,Community transmission,38
Eswatini,490,4,4,1,Clusters of cases,0
Benin,470,58,7,1,Community transmission,0
Liberia,458,12,32,0,Community transmission,0
Sao Tome and Principe,388,0,10,0,Clusters of cases,4
Zimbabwe,383,27,4,0,Sporadic cases,0
Mauritius,337,0,10,0,Clusters of cases,9
Comoros,176,0,2,0,Community transmission,1
Angola,140,2,6,0,Clusters of cases,0
Eritrea,96,31,0,0,Sporadic cases,0
Burundi,94,0,1,0,Clusters of cases,3
Botswana,60,0,1,0,Clusters of cases,2
Namibia,32,0,0,0,Sporadic cases,1

Reporting Country/ Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
,cases,new cases,,,classificationi,reported case
Gambia 28 0 1 0 Sporadic cases 6,,,,,,
Seychelles 11 0 0 0 Clusters of cases 69,,,,,,
Lesotho,4,0,0,0,Sporadic cases,11
Territoriesii,,,,,,
Mayotte,2 282,0,29,0,Clusters of cases,1
Réunion,495,6,1,0,Clusters of cases,0
Americas,,,,,,
United States of America,2 057 838,25 314,115 112,646,Community transmission,0
Brazil,850 514,21 704,42 720,892,Community transmission,0
Peru,225 132,4 383,6 498,190,Community transmission,0
Chile,174 293,6 938,3 323,222,Community transmission,0
Mexico,142 690,3 494,16 872,424,Community transmission,0
Canada,98 410,467,8 107,58,Community transmission,0
Colombia,48 746,1 888,1 592,47,Community transmission,0
Ecuador,46 751,395,3 896,22,Community transmission,0
Argentina,30 295,1 531,819,17,Community transmission,0
Dominican Republic,22 962,390,592,15,Community transmission,0
Panama,20 059,848,429,8,Community transmission,0
Bolivia (Plurinational State of),17 842,913,585,26,Community transmission,0
Guatemala,9 491,509,367,16,Community transmission,0
Honduras,8 455,323,310,4,Community transmission,0
Haiti,4 165,224,70,6,Community transmission,0
El Salvador,3 720,117,72,0,Community transmission,0
Venezuela (Bolivarian Republic of),2 904,25,24,1,Community transmission,0

Reporting Country/ Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
,cases,new cases,,,classificationi,reported case
Cuba,2 248,10,84,0,Clusters of cases,0
Costa Rica,1 662,50,12,0,Clusters of cases,0
Nicaragua,1 655,0,55,0,Community transmission,4
Paraguay,1 289,28,11,0,Community transmission,0
Uruguay,847,0,23,0,Clusters of cases,3
Jamaica,615,1,10,0,Clusters of cases,0
Suriname,187,0,3,0,Clusters of cases,1
Guyana,159,0,12,0,Clusters of cases,1
Trinidad and Tobago,117,0,8,0,Sporadic cases,14
Bahamas,103,0,11,0,Clusters of cases,8
Barbados,96,0,7,0,Clusters of cases,4
Saint Vincent and the Grenadines,27,0,0,0,Sporadic cases,6
