Coronavirus disease,,
(COVID-19),,
Situation Report – 148,,
"Data as received by WHO from national authorities by 10:00 CEST, 16 June 2020",,
Highlights,,
"WHO Director-General Dr Tedros, in his regular media briefing yesterday, stressed that",,
"“Despite the ongoing global response to the COVID-19 pandemic, we cannot lose sight of",,
"other significant public health issues, including influenza”. WHO urges countries to",,
address the sharp decline in influenza surveillance and testing during the COVID-19,,
"pandemic, especially as the southern hemisphere enters the flu season.",,
"Yemen is the world’s worst humanitarian crisis, and it is now facing another major threat",,
to health security — COVID-19. A health care worked asked Yemenis to be extremely vigilant,,
"and protect themselves, and urged them to stay at home as health care workers put their lives",,
at unprecedented risk to save lives.,,
"In today’s Subject in Focus, we look at the WHO Information Network for Epidemics (EPI-WIN),",,
which is tackling the spread of mis- and dis-information and rumours during the COVID-19,,
pandemic.,,
Situation in numbers (by WHO Region),,
Total (new cases in last 24 hours),,
Globally,7 941 791 cases (118 502),434 796 deaths (3 255)
Africa,181 903 cases (6 400),4 235 deaths (124)
Americas,3 841 609 cases (60 071),203 574 deaths (1 726)
Eastern Mediterranean,796 759 cases (18 559),17 558 deaths (481)
Europe,2 434 184 cases (17 264),188 779 deaths (429)
South-East Asia,486 673 cases (15 281),13 409 deaths (482)
Western Pacific,199 922 cases (927),7 228 deaths (13)

Subject in Focus: The WHO Information Network for epidemics –
listening to our stakeholders
"Since its declaration of a Public Health Emergency of International Concern (30 January 2020),"
"WHO has coordinated global response efforts, working with other United Nations agencies,"
national governments and a host of other partners. One of the primary objectives of WHO’s
Information Network for Epidemics (EPI-WIN) in the COVID-19 response is to manage
"“infodemics”, which can spread mis- and dis-information and rumours during a health"
"emergency, potentially hamper an effective response or be harmful to public health."
Infodemics management includes the use of trusted amplifiers in societies to give a wider
range of audiences the knowledge they need to take preventive measures EPI-WIN holds
technical webinars to engage with these amplifiers. Sixty webinars have been organised
"since January 2020 featuring over 270 subject matter experts and panellists. In total, the"
"webinars have reached over 12,000 participants from 121 countries."
Figure 1: Data gathered from a total of 261 respondents through surveys following both
webinars
EPI-WIN has also put in place a basic monitoring and evaluation plan to assess the webinars’
"effectiveness, identify areas for improvement, measure stakeholders’ satisfaction and track"
audience attitudes and behaviour during the COVID-19 response.

Results
"On 29 May and 2 June 2020, WHO hosted two webinars, entitled “returning to work” (1400"
participants) and “Vaccines—the science” (600 participants); questionnaires were sent to
"samples of participants, with 192 and 55 respondents completing the survey respectively. The"
surveys included 20 questions asking participants to indicate whether the webinar met their
"expectations on a five-point scale (1: fully met, to 5: not met), 65% gave a score of 1 or 2,"
"indicating that expectations had been met. Questions also covered demographics (i.e. age,"
"gender and country of residence), ‘amplification potential’ (i.e. participants’ social media"
"engagement, outreach potential for further information dissemination, and the sentiment of"
pandemic in their professional environment.
Fostering a culture of continuous learning
Eighty percent of the respondents were satisfied (their questions addressed during the
"webinars), nevertheless, one lesson captured from the surveys was that innovative ways to"
facilitate and encourage greater interaction between participants should be explored. One
"solution in the making is to develop a community of practice platform, to complement EPI-"
WIN webinars.
Further information on WHO’s work relating to vaccine research can be found on the R&D
Blueprint and COVID-19 webpage.

Surveillance
"Figure 2. Number of confirmed COVID-19 cases reported in the last seven days by country, territory or area, 10 June to 16 June**"
"**See Annex 1 for data, table and figure notes."

"Figure 3. Number of confirmed COVID-19 cases, by date of report and WHO region, 30 December through 16 June**"
"**See Annex 1 for data, table and figure notes."

"Table 1. Countries, territories or areas with reported laboratory-confirmed COVID-19 cases and deaths, by WHO region. Data as of 10 AM CEST,",,,,,,
16 June 2020**,,,,,,
Reporting Country/ Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
,cases,new cases,,,classificationi,reported case
Africa,,,,,,
South Africa,73 533,3 495,1 568,88,Community transmission,0
Nigeria,16 658,573,424,4,Community transmission,0
Ghana,11 964,542,54,3,Community transmission,0
Algeria,11 031,112,777,10,Community transmission,0
Cameroon,9 864,292,276,1,Community transmission,0
Senegal,5 090,0,60,0,Community transmission,1
Côte d’Ivoire,5 084,0,45,0,Community transmission,1
Democratic Republic of the Congo,4 777,0,106,0,Community transmission,1
Guinea,4 572,38,26,1,Community transmission,0
Gabon,4 033,570,27,4,Community transmission,0
Kenya,3 727,133,104,1,Community transmission,0
Ethiopia,3 521,176,60,3,Community transmission,0
Central African Republic,2 222,0,7,0,Community transmission,1
Mali,1 860,51,104,0,Community transmission,0
Mauritania,1 783,0,87,0,Clusters of cases,1
South Sudan,1 755,62,30,3,Clusters of cases,0
Guinea-Bissau,1 460,0,15,0,Community transmission,2
Zambia,1 382,24,11,0,Community transmission,0
Madagascar,1 290,18,10,0,Clusters of cases,0
Sierra Leone,1 176,7,51,0,Community transmission,0
Equatorial Guinea,1 043,0,12,0,Community transmission,23

Reporting Country/ Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
,cases,new cases,,,classificationi,reported case
Niger,980,0,66,0,Community transmission,1
Burkina Faso,894,0,53,0,Community transmission,1
Congo,883,104,27,2,Community transmission,0
Chad,850,0,73,0,Community transmission,1
Uganda,823,0,0,0,Sporadic cases,2
Cabo Verde,760,10,7,1,Clusters of cases,0
Rwanda,612,30,2,0,Sporadic cases,0
Mozambique,609,26,3,1,Clusters of cases,0
Malawi,556,9,6,0,Clusters of cases,0
Togo,531,1,13,0,Community transmission,0
United Republic of Tanzania,509,0,21,0,Community transmission,39
Eswatini,506,16,4,0,Clusters of cases,0
Liberia,498,40,33,1,Community transmission,0
Benin,483,13,9,2,Community transmission,0
Sao Tome and Principe,388,0,10,0,Clusters of cases,5
Zimbabwe,387,4,4,0,Sporadic cases,0
Mauritius,337,0,10,0,Clusters of cases,10
Comoros,176,0,2,0,Community transmission,2
Angola,142,2,6,0,Clusters of cases,0
Eritrea,109,13,0,0,Sporadic cases,0
Burundi,104,10,1,0,Clusters of cases,0
Botswana,60,0,1,0,Clusters of cases,3
Namibia,32,0,0,0,Sporadic cases,2

Reporting Country/ Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
,cases,new cases,,,classificationi,reported case
Gambia 28 0 1 0 Sporadic cases 7,,,,,,
Seychelles 11 0 0 0 Clusters of cases 70,,,,,,
Lesotho,4,0,0,0,Sporadic cases,12
Territoriesii,,,,,,
Mayotte,2 310,28,28,- 1,Clusters of cases,0
Réunion,496,1,1,0,Clusters of cases,0
Americas,,,,,,
United States of America,2 079 592,21 754,115 484,372,Community transmission,0
Brazil,867 624,17 110,43 332,612,Community transmission,0
Peru,229 736,4 604,6 688,190,Community transmission,0
Chile,179 436,5 143,3 362,39,Community transmission,0
Mexico,146 837,4 147,17 141,269,Community transmission,0
Canada,98 787,377,8 146,39,Community transmission,0
Colombia,50 939,2 193,1 667,75,Community transmission,0
Ecuador,47 322,571,3 929,33,Community transmission,0
Argentina,31 577,1 282,842,23,Community transmission,0
Dominican Republic,23 271,309,605,13,Community transmission,0
Panama,20 686,627,437,8,Community transmission,0
Bolivia (Plurinational State of),18 459,617,611,26,Community transmission,0
Guatemala,9 845,354,384,17,Community transmission,0
Honduras,8 858,403,312,2,Community transmission,0
Haiti,4 309,144,73,3,Community transmission,0
El Salvador,3 826,106,74,2,Community transmission,0
Venezuela (Bolivarian Republic of),2 978,74,25,1,Community transmission,0

