Coronavirus disease,,
(COVID-19),,
Situation Report – 149,,
"Data as received by WHO from national authorities by 10:00 CEST, 17 June 2020",,
Highlights,,
"WHO welcomes initial clinical trial results from the United Kingdom that show dexamethasone, a",,
"corticosteroid, can be lifesaving for patients who are critically ill with COVID-19. According to preliminary",,
"findings shared with WHO, for patients on ventilators, the treatment was shown to reduce mortality by",,
"about one third, and for patients who only require oxygen, mortality was cut by about one fifth.",,
Older people have been severely affected by the COVID-19 pandemic. Leaders from around the world have,,
"expressed their concern, and called for a response that addresses the needs and rights of older people.",,
"Dr. Carissa F. Etienne, Director of the WHO Regional Office for the Americas (PAHO), has called on countries",,
"to “work together to strengthen the health response within their territories and across frontiers,” in",,
order to contain the spread of COVID-19 among migrant and vulnerable populations in border areas.,,
"PAHO has extended its alliance with Twitter to provide factual, reliable information on the COVID-19",,
pandemic in the Americas. An agreement recently signed with the platform will enable it to continue training,,
public health social media managers and provide advertising credits to PAHO for the dissemination of,,
evidence-based information.,,
"In today’s ‘Subject in Focus’ below, we provide an update on operations support and logistics supplies.",,
Situation in numbers (by WHO Region),,
Total (new cases in last 24 hours),,
Globally,8 061 550 cases (119 759),440 290 deaths (5 494)
Africa,187 625 cases (5 722),4 346 deaths (111)
Americas,3 899 859 cases (58 250),205 555 deaths (1 981)
Eastern Mediterranean,817 458 cases (20 699),18 057 deaths (499)
Europe,2 452 247 cases (18 063),189 582 deaths (803)
South-East Asia,503 034 cases (16 361),15 498 deaths (2 089)
Western Pacific,200 586 cases (664),7 239 deaths (11)

Subject in Focus: WHO support to the COVID-19 response in Africa,
"Since the first COVID-19 case was reported in Africa in mid-February, the pace of the outbreak has",
"accelerated, taking 98 days to reach the first 100 000 cases and only 19 days to rise to 200 000 cases.",
"As of 11 June, more than 200 000 cases of COVID-19 and more than 5600 deaths have been reported from",
Africa – a nearly 30% increase in cases as compared to the previous week.,
"Many countries have put in place lockdowns and public health measures to promote physical distancing,",
good hand hygiene and isolating cases and testing and tracing of contacts of people with COVID-19. With the,
"support of WHO and other partners, governments also rapidly scaled up health workforce and laboratory",
"capacities, and set up points-of-entry screening at airports and border crossings.",
"Over the past week, WHO Regional Office for Africa has supported the rollout of a Partnership to Accelerate",
"Testing in Africa (PACT) to increase testing, tracing and treatment in the region. The initiative aims to train",
"100 000 health workers, test up to 15 million people per month for next six months and support provision of",
supportive care to patients.,
"Since the start of the COVID-19 outbreak, WHO has partnered with the Africa Centres for Disease Control",
and Prevention (CDC) to provide technical support and coordinate the distribution of medical supplies for the,
COVID-19 response across Africa.,
Africa CDC is also an active partner in the diagnostics purchasing consortium convened by WHO to approach,
markets through a pooled procurement process in order to access and secure testing supplies amidst,
unprecedented global demand in response to the COVID-19 pandemic.,
"Through the consortium, WHO Operations Support and Logistics (OSL) has secured from a number of",
manufacturers of manual polymerase chain reaction (PCR) tests and has begun shipping to Africa the,
following diagnostic supplies:,
•,227 752 polymerase chain reaction (PCR) tests
•,104 000 sample collection kits
An additional 857 100 PCR tests and 780 300 sample collection kits have been prepared and are awaiting,
shipment.,
"WHO, in collaboration with the World Food Programme (WFP), which is distributing personal protective",
"equipment (PPE) cargo for the global COVID-19 response, is in the process of shipping to countries across",
"Africa massive volumes of PPE, including:",
•,10.8 million medical masks
•,1.3 million N95 respirator masks
•,938 157 gowns
•,103 544 goggles
•,7.5 million examination gloves
•,741 334 face shields
"WHO’s pooled procurement process to secure biomedical equipment for clinical care, which has been",
"especially difficult to procure amidst a global shortage, has also yielded results in recent weeks. WHO has",
"procured 2,522 oxygen concentrators and 487 ventilators, for WFP to deliver across the region.",

"WHO’s OSL unit, with the voluntary support of a technical network of architects and engineers, is also"
supporting the design of COVID-19 treatment centres in a number of countries in Africa. Working with
"Ministry of Health and other UN partners, the OSL’s technical HelpDesk has supported the establishment"
"of COVID-19 treatment centres in Senegal, Tanzania, Burkina Faso, Sao Tome and Principe, Nigeria,"
"Republic of Congo, Ivory Coast, Tanzania, Mauritius and Ghana. Presently, OSL is working with to support"
"a 26-bed facility in Chad, a 30-bed facility in Burkina Faso, and a 500-bed facility in Equatorial Guinea."

Surveillance
"Figure 1. Number of confirmed COVID-19 cases reported in the last seven days by country, territory or area, 11 June to 17 June**"
"**See Annex 1 for data, table and figure notes."

"Figure 2. Number of confirmed COVID-19 cases, by date of report and WHO region, 30 December through 17 June**"
"**See Annex 1 for data, table and figure notes."

"Table 1. Countries, territories or areas with reported laboratory-confirmed COVID-19 cases and deaths, by WHO region. Data as of 10 AM CEST, 17 June 2020**",,,,,,
Reporting Country/ Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
,cases,new cases,,,classificationi,reported case
Africa,,,,,,
South Africa,76 334,2 801,1 625,57,Community transmission,0
Nigeria,17 148,490,424,0,Community transmission,0
Ghana,12 193,229,58,4,Community transmission,0
Algeria,11 147,116,788,11,Community transmission,0
Cameroon,9 864,0,276,0,Community transmission,1
Côte d’Ivoire,5 679,595,46,1,Community transmission,0
Senegal,5 247,157,70,10,Community transmission,0
Democratic Republic of the Congo,4 973,196,111,5,Community transmission,0
Guinea,4 639,67,26,0,Community transmission,0
Gabon,4 114,81,29,2,Community transmission,0
Kenya,3 860,133,105,1,Community transmission,0
Ethiopia,3 630,109,61,1,Community transmission,0
Central African Republic,2 410,188,14,7,Community transmission,0
Mauritania,1 887,104,91,4,Clusters of cases,0
Mali,1 885,25,106,2,Community transmission,0
South Sudan,1 776,21,30,0,Clusters of cases,0
Guinea-Bissau,1 492,32,15,0,Community transmission,0
Zambia,1 405,23,11,0,Community transmission,0
Madagascar,1 317,27,12,2,Clusters of cases,0
Sierra Leone,1 225,49,51,0,Community transmission,0
Equatorial Guinea,1 043,0,12,0,Community transmission,24

Reporting Country/ Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
,cases,new cases,,,classificationi,reported case
Niger,1 016,36,66,0,Community transmission,0
Burkina Faso,895,1,53,0,Community transmission,0
Congo,883,0,27,0,Community transmission,1
Chad,853,3,74,1,Community transmission,0
Uganda,823,0,0,0,Sporadic cases,3
Cabo Verde,781,21,7,0,Clusters of cases,0
Mozambique,638,29,4,1,Clusters of cases,0
Rwanda,636,24,2,0,Sporadic cases,0
Malawi,564,8,6,0,Clusters of cases,0
Togo,537,6,13,0,Community transmission,0
Benin,532,49,9,0,Community transmission,0
Eswatini,520,14,4,0,Clusters of cases,0
Liberia,509,11,33,0,Community transmission,0
United Republic of Tanzania,509,0,21,0,Community transmission,40
Sao Tome and Principe,398,10,10,0,Clusters of cases,0
Zimbabwe,391,4,4,0,Sporadic cases,0
Mauritius,337,0,10,0,Clusters of cases,11
Comoros,197,21,3,1,Community transmission,0
Angola,142,0,6,0,Clusters of cases,1
Eritrea,121,12,0,0,Sporadic cases,0
Burundi,104,0,1,0,Clusters of cases,1
Botswana,60,0,1,0,Clusters of cases,4
Gambia,34,6,1,0,Sporadic cases,0

Reporting Country/ Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
,cases,new cases,,,classificationi,reported case
Namibia 34 2 0 0 Sporadic cases 0,,,,,,
Seychelles 11 0 0 0 Clusters of cases 71,,,,,,
Lesotho,4,0,0,0,Sporadic cases,13
Territoriesii,,,,,,
Mayotte,2 333,23,29,1,Clusters of cases,0
Réunion,495,- 1,1,0,Clusters of cases,0
Americas,,,,,,
United States of America,2 098 106,18 514,115 980,496,Community transmission,0
Brazil,888 271,20 647,43 959,627,Community transmission,0
Peru,232 992,3 256,6 860,172,Community transmission,0
Chile,184 449,5 013,3 383,21,Community transmission,0
Mexico,150 264,3 427,17 580,439,Community transmission,0
Canada,99 147,360,8 175,29,Community transmission,0
Colombia,53 063,2 124,1 726,59,Community transmission,0
Ecuador,47 943,621,3 970,41,Community transmission,0
Argentina,32 785,1 208,862,20,Community transmission,0
Dominican Republic,23 686,415,615,10,Community transmission,0
Panama,21 422,736,448,11,Community transmission,0
Bolivia (Plurinational State of),19 073,614,632,21,Community transmission,0
Guatemala,10 272,427,399,15,Community transmission,0
Honduras,9 178,320,322,10,Community transmission,0
Haiti,4 441,132,76,3,Community transmission,0
El Salvador,3 941,115,76,2,Community transmission,0
Venezuela (Bolivarian Republic of),3 062,84,26,1,Community transmission,0

Reporting Country/ Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
,cases,new cases,,,classificationi,reported case
Cuba,2 273,11,84,0,Clusters of cases,0
Costa Rica,1 744,29,12,0,Clusters of cases,0
Nicaragua,1 655,0,55,0,Community transmission,6
Paraguay,1 303,7,12,0,Community transmission,0
Uruguay,848,0,23,0,Clusters of cases,1
Jamaica,621,4,10,0,Clusters of cases,0
Suriname,236,28,6,2,Clusters of cases,0
Guyana,159,0,12,0,Clusters of cases,3
Trinidad and Tobago,123,0,8,0,Sporadic cases,1
Bahamas,104,0,11,0,Clusters of cases,1
Barbados,97,0,7,0,Clusters of cases,1
Saint Vincent and the Grenadines,27,0,0,0,Sporadic cases,8
Antigua and Barbuda,26,0,3,0,Clusters of cases,3
Grenada,23,0,0,0,Clusters of cases,21
Belize,21,0,2,0,Sporadic cases,2
Saint Lucia,19,0,0,0,Sporadic cases,11
Dominica,18,0,0,0,Clusters of cases,4
