Coronavirus disease,,
(COVID-19),,
Situation Report – 151,,
"Data as received by WHO from national authorities by 10:00 CEST, 19 June 2020",,
Highlights,,
"The hydroxychloroquine arm of the Solidarity Trial, which seeks to find an effective COVID-",,
"19 treatment, is being stopped. The decision is based on evidence from the Solidarity Trial,",,
the UK's Recovery trial and a Cochrane review of other evidence,,
on hydroxychloroquine. Data shows that hydroxychloroquine does not result in the reduction of,,
"mortality of hospitalised COVID-19 patients, when compared with standard of care.",,
"Dr Tedros announced the roll out of the WHO Academy, a major new initiative as part of",,
"WHO’s transformation. With the WHO Academy, WHO aims to build one of the world’s",,
largest and most innovative digital learning platforms to enhance the competencies of health,,
"professionals. So far, courses on the OpenWHO.org have received almost 3.5 million",,
enrolments on 12 topics in 31 languages.,,
Several countries affected by COVID-19 have seen increases in levels of violence occurring,,
"in the home, including violence against children, intimate partner violence and violence",,
"against older people. A new brief, addressing violence against children, women and older people",,
"during the COVID-19 pandemic, outlines key actions that the health sector can undertake to",,
prevent or mitigate interpersonal violence.,,
Today’s ‘Subject in Focus’ provides a summary of virtual meetings held on COVID-19,,
preparedness and response at points of entry from the WHO Regional Office for Africa.,,
Situation in numbers (by WHO Region),,
Total (new cases in last 24 hours),,
Globally,8 385 440 cases (142 451),450 686deaths (5 151)
Africa,201 178 cases (6 639),4 595 deaths (113)
Americas,4 092 526 cases (77 140),212 517 deaths (3 526)
Eastern Mediterranean,856 650 cases (19 153),19 041 deaths (466)
Europe,2 490 815 cases (19 033),190 903 deaths (599)
South-East Asia,541 041 cases (19 459),16 360 deaths (439)
Western Pacific,202 489 cases (1 027),7 257 deaths (8)

Subject in Focus: Sharing experiences and lessons in COVID-19,
preparedness and response at points of entry in West African,
countries,
"Earlier this month, WHO Regional Office for Africa, Dakar Hub, in partnership with West African",
"Health Organization (WAHO), International Organization for Migration (IOM), International Civil",
"Aviation Organization (ICAO) and West African Economic and Monetary Union (WAEMU), Mano",
"River Union, organized a workshop to strengthen cross-border collaboration through sharing of",
experiences and lessons learned in preparing for and responding to the COVID-19 pandemic in,
West Africa.,
The objectives of the workshop were to:,
•,Update the countries participants on the recent development of COVID-19 response in
,Points of Entry (PoE);
•,Share countries experiences on the implementation of COVID-19 preparedness and
,response at PoE;
•,Identify gaps in IHR core capacities mainly in the PoE; and
•,Agree on next steps to strengthen Member State cross border collaboration.
The workshop was attended by 255 participants representing 17 West African countries including:,
"Algeria, Benin, Burkina Faso, Cabo-Verde, Côte d’Ivoire, Gambia, Ghana, Guinea, Guinea Bissau,",
"Liberia, Mali, Mauritania, Niger, Nigeria, Sierra Leone, Senegal, and Togo.",
Key issues discussed included the organization of and public health measures implemented at,
PoE; sharing of challenges and lessons in preparedness and response activities; planned activities,
for opening the borders; cross-border collaboration agreements or mechanisms; and utilization of,
the leverage of the regional polio cross border coordination and control mechanism.,
Among the lessons and outcomes of the workshop was:,
•,An enhanced understanding of COVID-19 preparedness and response at PoE.
•,"That all countries have implemented pandemic response measures, with systems to detect"
,"cases of COVID-19, at PoEs but with a stronger focus on aerial PoEs."
•,"Several good practices have been implemented, including the development of passenger"
,"self-reporting forms, and development of guidelines/protocols for reopening PoEs."
•,"Cross-border collaboration mechanisms and frameworks have been activated, and meetings"
,have been organized at the PoEs.
•,"The majority of the challenges identified are similar, and primarily related to organization,"
,"human resources, and equipment."
"As next steps, similar exercises will be undertaken with ten Central African countries, and a",
technical report and regional roadmap will be developed and disseminated.,

Surveillance
"Figure 1. Number of confirmed COVID-19 cases reported in the last seven days by country, territory or area, 13 June to 19 June**"
"**See Annex 1 for data, table and figure notes."

"Figure 2. Number of confirmed COVID-19 cases, by date of report and WHO region, 30 December through 19 June**"
"**See Annex 1 for data, table and figure notes."

"Table 1. Countries, territories or areas with reported laboratory-confirmed COVID-19 cases and deaths, by WHO region. Data as of",,,,,,
"10 AM CEST, 19 June 2020**",,,,,,
Reporting Country/ Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
,cases,new cases,,,classificationi,reported case
Africa,,,,,,
South Africa,83 890,3 478,1 737,63,Community transmission,0
Nigeria,18 480,745,475,6,Community transmission,0
Ghana,12 929,339,66,0,Community transmission,0
Algeria,11 385,117,811,12,Community transmission,0
Cameroon,9 864,0,276,0,Community transmission,3
Côte d’Ivoire,6 444,381,49,1,Community transmission,0
Senegal,5 475,106,76,3,Community transmission,0
Democratic Republic of the Congo,5 282,183,116,2,Community transmission,0
Guinea,4 841,173,26,0,Community transmission,0
Gabon,4 340,111,32,2,Community transmission,0
Kenya,4 257,213,117,10,Community transmission,0
Ethiopia,3 954,195,65,2,Community transmission,0
Central African Republic,2 605,41,19,1,Community transmission,0
Mauritania,2 223,166,95,2,Clusters of cases,0
Mali,1 906,16,107,0,Community transmission,0
South Sudan,1 813,6,31,0,Clusters of cases,0
Guinea-Bissau,1 512,20,16,1,Community transmission,0
Zambia,1 416,4,11,0,Community transmission,0
Madagascar,1 403,25,13,1,Clusters of cases,0
Sierra Leone,1 272,23,51,0,Community transmission,0
Equatorial Guinea,1 043,0,12,0,Community transmission,26

Reporting Country/ Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
,cases,new cases,,,classificationi,reported case
Niger,1 020,0,67,0,Community transmission,1
Burkina Faso,899,0,53,0,Community transmission,1
Congo,883,0,27,0,Community transmission,3
Chad,854,0,74,0,Community transmission,1
Cabo Verde,823,31,7,0,Clusters of cases,0
Uganda,823,0,0,0,Sporadic cases,5
Mozambique,662,11,4,0,Clusters of cases,0
Rwanda,646,7,2,0,Sporadic cases,0
Benin,597,25,11,2,Community transmission,0
Malawi,592,20,8,2,Clusters of cases,0
Eswatini,586,23,4,0,Clusters of cases,0
Togo,544,7,13,0,Community transmission,0
Liberia,542,26,33,0,Community transmission,0
United Republic of Tanzania,509,0,21,0,Community transmission,42
Zimbabwe,463,62,4,0,Sporadic cases,0
Sao Tome and Principe,388,0,10,0,Clusters of cases,1
Mauritius,337,0,10,0,Clusters of cases,13
Comoros,210,13,5,2,Community transmission,0
Angola,166,11,8,1,Clusters of cases,0
Eritrea,142,11,0,0,Sporadic cases,0
Burundi,104,0,1,0,Clusters of cases,3
Botswana,79,0,1,0,Clusters of cases,1
Namibia,39,5,0,0,Sporadic cases,0

Reporting Country/ Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
,cases,new cases,,,classificationi,reported case
Gambia 36 2 1 0 Sporadic cases 0,,,,,,
Seychelles 11 0 0 0 Clusters of cases 73,,,,,,
Lesotho,4,0,0,0,Sporadic cases,15
Territories ii,,,,,,
Mayotte,2 383,38,29,0,Clusters of cases,0
Réunion,502,5,1,0,Clusters of cases,0
Americas,,,,,,
United States of America,2 149 166,23 139,117 472,770,Community transmission,0
Brazil,955 377,32 188,46 510,1 269,Community transmission,0
Peru,240 908,3 752,7 257,201,Community transmission,0
Chile,225 103,4 475,3 841,226,Community transmission,0
Mexico,159 793,4 930,19 080,770,Community transmission,0
Canada,99 853,386,8 254,41,Community transmission,0
Colombia,57 046,2 115,1 864,63,Community transmission,0
Ecuador,49 097,607,4 087,80,Community transmission,0
Argentina,35 552,1 393,929,43,Community transmission,0
Dominican Republic,24 645,540,635,2,Community transmission,0
Panama,22 597,635,470,13,Community transmission,0
Bolivia (Plurinational State of),20 685,802,679,20,Community transmission,0
Guatemala,11 251,545,432,14,Community transmission,0
Honduras,10 299,643,336,6,Community transmission,0
Haiti,4 688,141,82,2,Community transmission,0
El Salvador,4 200,134,82,3,Community transmission,0
Venezuela (Bolivarian Republic of),3 386,236,28,1,Community transmission,0

Reporting Country/ Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
,cases,new cases,,,classificationi,reported case
Cuba,2 295,15,85,1,Clusters of cases,0
Nicaragua,2 014,0,64,0,Community transmission,1
Costa Rica,1 871,75,12,0,Clusters of cases,0
Paraguay,1 330,22,13,0,Community transmission,0
