Coronavirus disease,,
(COVID-19),,
Situation Report – 152,,
"Data as received by WHO from national authorities by 10:00 CEST, 20 June 2020",,
Highlights,,
"WHO Director-General Dr Tedros, in his regular media briefing yesterday, highlighted that today is World",,
Refugee Day and highlighted the risks of COVID-19 for some of the world’s most vulnerable people. He also,,
"stressed the shared duty to do everything we can to prevent, detect and respond to transmission of COVID-19",,
among refugee populations.,,
WHO has published ‘Criteria for releasing COVID-19 patients from isolation’ which provides an update to,,
previous guidance. The updated criteria reflect recent findings that patients whose symptoms have resolved,,
"may still test positive for the COVID-19 virus for many weeks. Despite this positive test result, these patients are",,
not likely to be infectious and therefore are unlikely to be able to transmit the virus to another person.,,
WHO has published an Emergency Global Supply Chain System (COVID-19) catalogue. This catalogue lists all,,
"medical devices, including personal protective equipment, medical equipment, medical consumables, single",,
"use devices, laboratory and test-related devices that may be requested through the COVID-19 Supply Portal.",,
Situation in numbers (by WHO Region),,
Total (new cases in last 24 hours),,
Globally,8 525 042 cases (138 980),456 973 deaths (6 271)
Africa,208 535 cases (7 357),4 750 deaths (155)
Americas,4 163 813 cases (71 287),215 903 deaths (3 386)
Eastern Mediterranean,878 428 cases (21 778),19 560 deaths (519)
Europe,2 509 750 cases (18 313),192 645 deaths (1 726)
South-East Asia,560 285 cases (19 244),16 814 deaths (454)
Western Pacific,203 490 cases (1 001),7 288 deaths (31)

Surveillance
"Figure 1. Number of confirmed COVID-19 cases reported in the last seven days by country, territory or area, 14 June to 20 June**"
"**See Annex 1 for data, table and figure notes."

"Figure 2. Number of confirmed COVID-19 cases, by date of report and WHO region, 30 December through 20 June**"
"**See Annex 1 for data, table and figure notes."

"Table 1. Countries, territories or areas with reported laboratory-confirmed COVID-19 cases and deaths, by WHO region. Data as of 10 AM CEST, 20 June 2020**",,,,,,
Reporting Country/ Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
,cases,new cases,,,classificationi,reported case
Africa,,,,,,
South Africa,87 715,3 825,1 831,94,Community transmission,0
Nigeria,19 147,667,487,12,Community transmission,0
Ghana,13 203,274,70,4,Community transmission,0
Algeria,11 504,119,825,14,Community transmission,0
Cameroon,10 638,774,282,6,Community transmission,0
Côte d’Ivoire,6 874,430,49,0,Community transmission,0
Senegal,5 639,164,79,3,Community transmission,0
Democratic Republic of the Congo,5 476,194,121,5,Community transmission,0
Guinea,4 904,63,27,1,Community transmission,0
Kenya,4 374,117,119,2,Community transmission,0
Gabon,4 340,0,32,0,Community transmission,1
Ethiopia,4 070,116,72,7,Community transmission,0
Central African Republic,2 605,0,19,0,Community transmission,1
Mauritania,2 424,201,97,2,Clusters of cases,0
Mali,1 923,17,108,1,Community transmission,0
South Sudan,1 830,17,32,1,Clusters of cases,0
Guinea-Bissau,1 512,0,16,0,Community transmission,1
Madagascar,1 443,40,13,0,Clusters of cases,0
Zambia,1 430,14,11,0,Community transmission,0
Sierra Leone,1 298,26,53,2,Community transmission,0
Equatorial Guinea,1 043,0,12,0,Community transmission,27

Reporting Country/ Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
,cases,new cases,,,classificationi,reported case
Niger,1 026,6,67,0,Community transmission,0
Burkina Faso,901,2,53,0,Community transmission,0
Congo,883,0,27,0,Community transmission,4
Chad,858,4,74,0,Community transmission,0
Cabo Verde,848,25,8,1,Clusters of cases,0
Uganda,823,0,0,0,Sporadic cases,6
Mozambique,668,6,4,0,Clusters of cases,0
Rwanda,661,15,2,0,Sporadic cases,0
Benin,650,53,11,0,Community transmission,0
Malawi,648,56,8,0,Clusters of cases,0
Eswatini,623,37,4,0,Clusters of cases,0
Liberia,581,39,33,0,Community transmission,0
Togo,555,11,13,0,Community transmission,0
United Republic of Tanzania,509,0,21,0,Community transmission,43
