Coronavirus disease,,
(COVID-19),,
Situation Report – 153,,
"Data as received by WHO from national authorities by 10:00 CEST, 21 June 2020",,
Highlights,,
"The WHO Regional Director for Europe, Dr Hans Henri P. Kluge, shared that the European",,
Region accounts for 31% of COVID-19 cases and 43% of COVID-19 deaths globally. Dr Kluge,,
highlighted that several countries continue to face increasing disease incidence and that,,
“Preparing for the autumn is a priority now at the WHO Regional Office for Europe”.,,
"The WHO Regional Director for the Eastern Mediterranean, Dr Ahmed Al-Mandhari, has",,
released a statement on COVID-19. He highlighted that while there is a wide body of research,,
"on COVID-19, many things are still unknown. He reiterated that as knowledge of the disease",,
"evolves, recommendations about how best to control the pandemic are also evolving.",,
A survey conducted by the WHO Regional Office for the Americas highlight that services for the,,
prevention and treatment of noncommunicable diseases (NCDs) have been critically affected,,
since the onset of the COVID-19 pandemic in the Region.,,
Oman has launched some of the most powerful technological solutions deployed to date in,,
the Middle East to track the movement and spread of COVID-19 and ensure patient,,
"compliance with isolation measures, in an effort to contain the disease in the country.",,
Situation in numbers (by WHO Region),,
Total (new cases in last 24 hours),,
Globally,8 708 008 cases (183 020),461 715 deaths (4 743)
Africa,216 999 cases (8 464),4 874 deaths (124)
Americas,4 279 854 cases (116 041),219 144 deaths (3 241)
Eastern Mediterranean,897 403 cases (18 975),20 075 deaths (515)
Europe,2 527 618 cases (17 922),193 086 deaths (442)
South-East Asia,580 533 cases (20 248),17 213 deaths (399)
Western Pacific,204 860 cases (1 370),7 310 deaths (22)

Surveillance
"Figure 1. Number of confirmed COVID-19 cases reported in the last seven days by country, territory or area, 15 June to 21 June**"
"**See Annex 1 for data, table and figure notes."

"Figure 2. Number of confirmed COVID-19 cases, by date of report and WHO region, 30 December through 21 June**"
"**See Annex 1 for data, table and figure notes."

"Table 1. Countries, territories or areas with reported laboratory-confirmed COVID-19 cases and deaths, by WHO region. Data as of 10 AM CEST,",,,,,,
21 June 2020**,,,,,,
Reporting Country/ Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
,cases,new cases,,,classificationi,reported case
Africa,,,,,,
South Africa,92 681,4 966,1 877,46,Community transmission,0
Nigeria,19 808,661,506,19,Community transmission,0
Ghana,13 717,514,85,15,Community transmission,0
Algeria,11 631,127,837,12,Community transmission,0
Cameroon,10 638,0,282,0,Community transmission,1
Côte d’Ivoire,7 276,402,52,3,Community transmission,0
Senegal,5 783,144,82,3,Community transmission,0
Democratic Republic of the Congo,5 671,195,124,3,Community transmission,0
Guinea,4 960,56,27,0,Community transmission,0
Kenya,4 478,104,121,2,Community transmission,0
Ethiopia,4 469,399,72,0,Community transmission,0
Gabon,4 428,88,34,2,Community transmission,0
Central African Republic,2 808,203,23,4,Community transmission,0
Mauritania,2 621,197,102,5,Clusters of cases,0
Mali,1 933,10,109,1,Community transmission,0
South Sudan,1 864,34,34,2,Clusters of cases,0
Guinea-Bissau,1 512,0,16,0,Community transmission,2
Madagascar,1 503,60,13,0,Clusters of cases,0
Zambia,1 430,0,11,0,Community transmission,1
Sierra Leone,1 309,11,53,0,Community transmission,0
Equatorial Guinea,1 043,0,12,0,Community transmission,28

Reporting Country/ Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
,cases,new cases,,,classificationi,reported case
Niger,1 035,9,67,0,Community transmission,0
Burkina Faso,901,0,53,0,Community transmission,1
Congo,883,0,27,0,Community transmission,5
Cabo Verde,863,15,8,0,Clusters of cases,0
Chad,858,0,74,0,Community transmission,1
Uganda,823,0,0,0,Sporadic cases,7
Malawi,730,82,11,3,Clusters of cases,0
Rwanda,702,41,2,0,Sporadic cases,0
Mozambique,688,20,4,0,Clusters of cases,0
Benin,650,0,11,0,Community transmission,1
Eswatini,627,4,5,1,Clusters of cases,0
Liberia,601,20,33,0,Community transmission,0
Togo,561,6,13,0,Community transmission,0
United Republic of Tanzania,509,0,21,0,Community transmission,44
Zimbabwe,479,0,4,0,Sporadic cases,1
Sao Tome and Principe,388,0,10,0,Clusters of cases,3
Mauritius,337,0,10,0,Clusters of cases,15
