Coronavirus disease,,
(COVID-19),,
Situation Report – 154,,
"Data as received by WHO from national authorities by 10:00 CEST, 22 June 2020",,
Highlights,,
"With influenza season starting in the southern hemisphere, WHO has alerted countries to maintain vigilance",,
for influenza and prepare for the upcoming influenza season during the COVID-19 pandemic. WHO,,
recommends that countries optimize the Global Influenza Surveillance and Response System (GISRS) for both,,
"influenza and COVID-19 sentinel surveillance. Countries are urged to (i) sustain influenza surveillance, (ii)",,
"report surveillance data to WHO FluNet and FluID or through regional platforms, (iii) send representative",,
"viruses to WHO Collaborating Centres of GISRS without delay, and (iv) maintain influenza vaccination programs",,
according to WHO guidance.,,
A team of public health experts has been deployed to Tajikistan through the Global Outbreak Alert and,,
Response Network (GOARN). The team will provide support to strengthen disease surveillance and laboratory,,
testing to complement ongoing work by the COVID-19 response team in Tajikistan.,,
WHO and collaborating agencies provided support to health authorities in Uzbekistan to assess their options,,
for COVID-19 testing and identify potential resources in-country to increase their laboratory capacity.,,
A nurse who is a refugee from Syria shared his experience as a COVID-19 responder in Turkey. His daily,,
activities as part of the contact tracing team are “actively preventing the spread of the disease within,,
"communities, thereby protecting the health of hundreds of people”.",,
Situation in numbers (by WHO Region),,
Total (new cases in last 24 hours),,
Globally,8 860 331 cases (152 323),465 740 deaths (4 025)
Africa,224 673 cases (7 674),4 996 deaths (122)
Americas,4 370 519 cases (90 665),221 771 deaths (2 627)
Eastern Mediterranean,914 518 cases (17 115),20 531 deaths (456)
Europe,2 543 778 cases (16 160),193 366 deaths (280)
South-East Asia,600 191 cases (19 658),17 734 deaths (521)
Western Pacific,205 911 cases (1 051),7 329 deaths (19)

Surveillance
"Figure 1. Number of confirmed COVID-19 cases reported in the last seven days by country, territory or area, 16 June to 22 June**"
"**See Annex 1 for data, table and figure notes."

"Figure 2. Number of confirmed COVID-19 cases, by date of report and WHO region, 30 December through 22 June**"
"**See Annex 1 for data, table and figure notes."

"Table 1. Countries, territories or areas with reported laboratory-confirmed COVID-19 cases and deaths, by WHO region. Data as of 10 AM CEST, 22 June 2020**",,,,,,
Reporting Country/ Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
,cases,new cases,,,classificationi,reported case
Africa,,,,,,
South Africa,97 302,4 621,1 930,53,Community transmission,0
Nigeria,20 244,436,518,12,Community transmission,0
Ghana,14 154,437,85,0,Community transmission,0
Algeria,11 771,140,845,8,Community transmission,0
Cameroon,11 281,643,300,18,Community transmission,0
Cote d’Ivoire,7 492,216,54,2,Community transmission,0
Senegal,5 888,105,84,2,Community transmission,0
Democratic Republic of the Congo,5 825,154,129,5,Community transmission,0
Guinea,4 998,38,27,0,Community transmission,0
Kenya,4 738,260,123,2,Community transmission,0
Ethiopia,4 532,63,74,2,Community transmission,0
Gabon,4 428,0,34,0,Community transmission,1
Mauritania,2 813,192,108,6,Clusters of cases,0
Central African Republic,2 808,0,23,0,Community transmission,1
Mali,1 961,28,111,2,Community transmission,0
South Sudan,1 882,18,34,0,Clusters of cases,0
Madagascar,1 596,93,14,1,Clusters of cases,0
Guinea-Bissau,1 512,0,16,0,Community transmission,3
Zambia,1 430,0,11,0,Community transmission,2
Sierra Leone,1 327,18,55,2,Community transmission,0
Equatorial Guinea,1 043,0,12,0,Community transmission,29

Reporting Country/ Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
,cases,new cases,,,classificationi,reported case
Niger,1 036,1,67,0,Community transmission,0
Burkina Faso,901,0,53,0,Community transmission,2
Cabo Verde,890,27,8,0,Clusters of cases,0
Congo,883,0,27,0,Community transmission,6
Chad,858,0,74,0,Community transmission,2
Benin,765,115,13,2,Community transmission,0
Uganda,755,- 68,0,0,Sporadic cases,0
Mozambique,733,45,5,1,Clusters of cases,0
Malawi,730,0,11,0,Clusters of cases,1
Rwanda,728,26,2,0,Sporadic cases,0
Eswatini,635,8,5,0,Clusters of cases,0
Liberia,626,25,34,1,Community transmission,0
Togo,569,8,13,0,Community transmission,0
United Republic of Tanzania,509,0,21,0,Community transmission,45
Zimbabwe,489,10,6,2,Sporadic cases,0
Sao Tome and Principe,388,0,10,0,Clusters of cases,4
Mauritius,337,0,10,0,Clusters of cases,16
Comoros,247,0,5,0,Community transmission,1
Angola,176,4,9,1,Clusters of cases,0
Burundi,144,0,1,0,Clusters of cases,1
