Coronavirus disease,,
(COVID-19),,
Situation Report – 155,,
"Data as received by WHO from national authorities by 10:00 CEST, 23 June 2020",,
Highlights,,
"On 27 June, WHO Director-General Dr Tedros will join other global leaders and artists in the",,
"Global Goal: Unite for Our Future campaign, concert and summit, being organised by Global",,
"Citizen in support of the global COVID-19 response. The event will provide governments,",,
corporate leaders and philanthropists with a platform to make their commitments towards the,,
fair distribution of tools and treatments for COVID-19. WHO’s Regional Office for the Americas,,
has been chosen as a regional implementing partner.,,
"WHO Director-General Dr Tedros, in his regular media briefing, urged countries to double",,
"down on the fundamental public health measures, while facing the delicate balance between",,
protecting their people and minimizing the social and economic damage caused by the,,
pandemic. “It’s not a choice between lives and livelihoods. Countries can do both.”,,
WHO updated its Q&A page to include information on dexamethasone and COVID-19.,,
"Today’s ‘Subject in Focus’ , provides a summary of a webinar on Sports events and COVID-19:",,
from lockdown to a new start.,,
Situation in numbers (by WHO Region),,
Total (new cases in last 24 hours),,
Globally,8 993 659 cases (133 326),469 587 deaths (3 847)
Africa,232 215 cases (7 542),5 117 deaths (121)
Americas,4 437 946 cases (67 425),224 207 deaths (2 436)
Eastern Mediterranean,933 052 cases (18 534),20 997 deaths (466)
Europe,2 562 642 cases (18 864),193 794 deaths (428)
South-East Asia,620 115 cases (19 924),18 119 deaths (385)
Western Pacific,206 948 cases (1 037),7 340 deaths (11)

Subject in Focus: Sports events and COVID-19: from lockdown to a
new start
"On 18 June 2020, WHO’s Information Network for Epidemics (EPI-WIN) hosted a webinar on"
“Sports events and COVID-19: from lockdown to a new start ”. It was attended by over 500
participants from across all six WHO Regions.
"Sport promotes physical activity, health and community engagement. It also plays a"
significant role in local and national economies and supports a range of livelihoods. Sport’s
"reach and appeal cannot be underestimated: for example, it is estimated that there are some"
four billion football fans around the world. Sports venues serve a wider economic and social
"function not limited to sports events, including through hosting music concerts and other"
functions.
"However, during the COVID-2019 pandemic, many countries have implemented public health"
"and social measures that restrict or prohibit mass gatherings, including the participation in"
"and attendance of sports events. As these measures are relaxed in several countries, how"
"should national governments, sports associations, teams and venues move towards a “new"
"start”, while ensuring the health and safety of all involved?"
The webinar featured speakers from WHO headquarters and regional offices; the
International Olympic Committee (IOC); the National Institute for Communicable Diseases of
South Africa; the Adelaide Oval sports ground in Australia; the Fédération Internationale de
Football Association (FIFA); Flinders University Australia; Griffith University Australia; and
World Rugby.
"Resuming sports events and reopening venues depends on a number of factors, ranging"
from the current epidemiological situation and existing public health measures
"recommended by authorities, to the expected size of crowds and venue capacity for individual"
events. Decisions on if and how events should go ahead must be based on a risk assessments
"including all these factors, and the decision-making process should be sufficiently flexible to"
account for the changing context.
"Although the various sports are very different in nature, the advice WHO has to offer is the"
same: the decision if an event can proceed or be cancelled should always rely on a risk-based
"approach. This includes three pillars: risk evaluation, risk control and mitigation, and"
"communication of risk and decisions to stakeholders. To support this process, the WHO has"
"published a set of risk assessment tools, which several partners further adapted for specific"
purposes.
Panellists discussed what measures can be implemented to eliminate or mitigate the risk of
"transmission. While some sports leagues have held matches without spectators, venues in"
"other countries have reopened with a range of measures in place, including: restricting the"
number of spectators per square meter to facilitate physical distancing; installing hand-
washing stations; limiting congregation in entrances and exits; and use of mobile electronic
"ticketing. At the Adelaide Oval, for example, the numbers of spectators are limited through an"
"online lottery, and messages are sent three hours before each event to remind them of their"
responsibility to not attend if they experience any symptoms of COVID-19. All these measures
must also take into consideration how spectators travel to and from the venue.
"Sporting federations such as the IOC, FIFA and World Rugby have a key role to play in"
"assessing risks and setting standards. For its part, World Rugby published its"
recommendations for a Safe Return to Rugby in the Context of the COVID-19 Pandemic on 27

"April 2020. Being a contact sport, rugby carries an inherent but limited risk of COVID-19"
"transmission between players, and World Rugby has taken the lead in assessing these risks"
"and developing guidelines for safe training and matches. Other federations, such as the IOC,"
are involved in multiple different sports each with their own considerations for risk mitigation
strategies.
Responses to past infectious disease outbreaks can inform approaches to confronting the
risks posed by COVID-19. The panellist from the National Institute for Communicable Diseases
of South Africa described the experience of South Africa ten years ago as it prepared to host
"the 2010 FIFA World Cup, which drew in around four million spectators and 350,000 foreign"
"visitors. At the time, the H1N1 (2009) influenza virus pandemic had been declared a Public"
"Health Emergency of International Concern, while the country was also experiencing a"
"measles outbreak with 17,000 cases. Risk reduction measures included a measles mass"
vaccination campaign which was completed in early 2010 and strengthening of the country’s
national infectious diseases surveillance programme.
Measures to bring about a “new start” for sport in the wake of the COVID-19 pandemic
"should be developed in consultation with legal, public health and occupational health experts,"
"and with specific consideration to the epidemiological context, the type of sports events in"
"question, and the characteristics of the venues where they will take place."

Surveillance
"Figure 1. Number of confirmed COVID-19 cases reported in the last seven days by country, territory or area, 17 June to 23 June**"
"**See Annex 1 for data, table and figure notes."

"Figure 2. Number of confirmed COVID-19 cases, by date of report and WHO region, 30 December through 23 June**"
"**See Annex 1 for data, table and figure notes."

"Table 1. Countries, territories or areas with reported laboratory-confirmed COVID-19 cases and deaths, by WHO region. Data as of 10 AM CEST,",,,,,,
23 June 2020**,,,,,,
Reporting Country/ Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
,cases,new cases,,,classificationi,reported case
Africa,,,,,,
South Africa,101 590,4 288,1 991,61,Community transmission,0
Nigeria,20 919,675,525,7,Community transmission,0
Ghana,14 154,0,85,0,Community transmission,1
Algeria,11 920,149,852,7,Community transmission,0
Cameroon,11 892,611,303,3,Community transmission,0
Côte d’Ivoire,7 677,185,56,2,Community transmission,0
Senegal,5 970,82,86,2,Community transmission,0
Democratic Republic of the Congo,5 924,99,134,5,Community transmission,0
Guinea,4 988,-10,27,0,Community transmission,0
Kenya,4 797,59,125,2,Community transmission,0
Gabon,4 739,311,39,5,Community transmission,0
Ethiopia,4 663,131,75,1,Community transmission,0
Mauritania,2 984,171,111,3,Clusters of cases,0
Central African Republic,2 963,155,30,7,Community transmission,0
Mali,1 961,0,111,0,Community transmission,1
South Sudan,1 892,10,34,0,Clusters of cases,0
Madagascar,1 640,44,15,1,Clusters of cases,0
Guinea-Bissau,1 556,44,19,3,Community transmission,0
Zambia,1 430,0,11,0,Community transmission,3
Sierra Leone,1 340,13,55,0,Community transmission,0
Congo,1 087,204,37,10,Community transmission,0

Reporting Country/ Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
,cases,new cases,,,classificationi,reported case
Niger,1 046,10,67,0,Community transmission,0
Equatorial Guinea,1 043,0,12,0,Community transmission,30
Cabo Verde,944,54,8,0,Clusters of cases,0
Burkina Faso,903,2,53,0,Community transmission,0
Chad,858,0,74,0,Community transmission,3
Benin,807,42,13,0,Community transmission,0
Rwanda,787,59,2,0,Sporadic cases,0
Uganda,774,19,0,0,Sporadic cases,0
Malawi,745,15,11,0,Clusters of cases,0
Mozambique,737,4,5,0,Clusters of cases,0
Liberia,650,24,34,0,Community transmission,0
Eswatini,643,8,6,1,Clusters of cases,0
Togo,569,0,13,0,Community transmission,1
Zimbabwe,512,23,6,0,Sporadic cases,0
United Republic of Tanzania,509,0,21,0,Community transmission,46
Sao Tome and Principe,388,0,10,0,Clusters of cases,5
Mauritius,340,3,10,0,Clusters of cases,0
Comoros,247,0,5,0,Community transmission,2
Angola,183,7,9,0,Clusters of cases,0
Burundi,144,0,1,0,Clusters of cases,2
Eritrea,143,0,0,0,Sporadic cases,1
Botswana,89,0,1,0,Clusters of cases,3
Namibia,63,8,0,0,Sporadic cases,0

Reporting Country/ Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
,cases,new cases,,,classificationi,reported case
Gambia 41 4 2 0 Sporadic cases 0,,,,,,
Lesotho 12 8 0 0 Sporadic cases 0,,,,,,
Seychelles,11,0,0,0,Clusters of cases,77
Territoriesii,,,,,,
Mayotte,2 434,30,32,1,Clusters of cases,0
Réunion,507,1,1,0,Clusters of cases,0
Americas,,,,,,
United States of America,2 268 753,27 575,119 761,308,Community transmission,0
Brazil,1 085 038,17 459,50 617,641,Community transmission,0
Peru,254 936,3 598,8 045,184,Community transmission,0
Chile,246 963,4 608,4 502,23,Community transmission,0
Mexico,180 545,5 343,21 825,1 044,Community transmission,0
Canada,101 337,318,8 430,20,Community transmission,0
Colombia,68 652,3019,2 237,111,Community transmission,0
Ecuador,50 640,0,4 223,0,Community transmission,1
Argentina,42 785,1 581,1 016,24,Community transmission,0
Dominican Republic,27 370,693,669,7,Community transmission,0
Panama,26 030,808,501,8,Community transmission,0
Bolivia (Plurinational State of),24 388,876,773,33,Community transmission,0
Guatemala,13 145,390,531,17,Community transmission,0
Honduras,12 825,519,363,5,Community transmission,0
Haiti,5 211,134,88,0,Community transmission,0
El Salvador,4 808,182,107,9,Community transmission,0
Venezuela (Bolivarian Republic of),3 918,128,33,0,Community transmission,0

Reporting Country/ Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
,cases,new cases,,,classificationi,reported case
Cuba,2 315,3,85,0,Clusters of cases,0
Costa Rica,2 213,86,12,0,Clusters of cases,0
Nicaragua,2 014,0,64,0,Community transmission,5
Paraguay,1 392,13,13,0,Community transmission,0
Uruguay,876,17,25,0,Clusters of cases,0
Jamaica,659,2,10,0,Clusters of cases,0
Suriname,318,16,8,0,Clusters of cases,0
Guyana,184,1,12,0,Clusters of cases,0
Trinidad and Tobago,123,0,8,0,Sporadic cases,7
Bahamas,104,0,11,0,Clusters of cases,7
Barbados,97,0,7,0,Clusters of cases,7
Saint Vincent and the Grenadines,29,0,0,0,Sporadic cases,5
Antigua and Barbuda,26,0,3,0,Clusters of cases,9
Grenada,23,0,0,0,Clusters of cases,27
Belize,22,0,2,0,Sporadic cases,5
Saint Lucia,19,0,0,0,Sporadic cases,17
Dominica,18,0,0,0,Clusters of cases,10
Saint Kitts and Nevis,15,0,0,0,No cases,63
Territoriesii,,,,,,
Puerto Rico,6 564,39,149,0,Community transmission,0
French Guiana,2 458,17,8,2,Community transmission,0
Martinique,236,0,14,0,Clusters of cases,2
Cayman Islands,195,0,1,0,Clusters of cases,2
Guadeloupe,174,0,14,0,Clusters of cases,3

Reporting Country/ Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
,cases,new cases,,,classificationi,reported case
