Coronavirus disease,,
(COVID-19),,
Situation Report – 156,,
"Data as received by WHO from national authorities by 10:00 CEST, 24 June 2020",,
Highlights,,
Mr Bean has joined the war against COVID-19! A cartoon has been developed by WHO in,,
"partnership with Project Everyone and Tiger Aspect Productions, to remind the public to",,
continue to take precautions to prevent COVID-19 infection and spread.,,
"23 June marked Olympic Day. This year, the International Olympic Committee and WHO,",,
"together with the United Nations, launched a partnership to encourage individuals and",,
communities around the world to be #HEALTHYTogether.,,
WHO has released a scientific brief on Breastfeeding and COVID-19 examining the evidence of,,
the risks of transmission of COVID-19 from an infected mother to her baby through,,
"breastfeeding, as well as evidence on the risks to child health from not breastfeeding. WHO",,
recommends that mothers with suspected or confirmed COVID-19 should be encouraged to,,
initiate or continue to breastfeed.,,
Today’s ‘Subject in Focus’ provides an update on WHO’s work at securing and shipping COVID-,,
"19 supplies, including personal protective equipment, diagnostics kits, and biomedical",,
equipment.,,
Situation in numbers (by WHO Region),,
Total (new cases in last 24 hours),,
Globally,9 129 146 cases (135 212),473 797 deaths (4 187)
Africa,239 548 cases (7 333),5 290 deaths (173)
Americas,4 507 006 cases (68 785),226 504 deaths (2 274)
Eastern Mediterranean,950 730 cases (17 678),21 439 deaths (442)
Europe,2 581 602 cases (18 960),194 530 deaths (736)
South-East Asia,641 148 cases (21 033),18 663 deaths (544)
Western Pacific,208 371 cases (1 423),7 358 deaths (18)

Subject in Focus: COVID-19 Supply Chain System – Progress Update
Personal Protective Equipment (PPE)
"Through the PPE purchasing consortium, WHO has secured large volumes of equipment that"
are being shipped to 135 countries in the coming weeks. A total of more than 239 million items
– comprising 141 million PPE procured by WHO and a donation by the Jack Ma Foundation of
100 million medical masks and 1 million N95 respirator masks – have been allocated to all
WHO regions and are being shipped in the coming weeks
Recent discussions with 54 private sector organizations addressed issues related to quality
"assurance of PPE, which continues to be of major concern to manufacturers, buyers and"
governments. They urge WHO to advocate at the highest levels to ensure that counterfeit and
low-quality products are not sold in the market. WHO and purchasing consortia partners
continue to engage with suppliers to ensure that all goods procured by WHO and consortia
partners meet quality assurance standards.
Diagnostics
WHO has procured 4.5 million polymerase chain reaction (PCR) tests through the diagnostics
purchasing consortium. Tests are being produced and packed by suppliers for shipment in
"the coming weeks. As of 15 June, 585 830 tests have been shipped to 10 countries."
"WHO has also procured 4.8 million sample collection kits, of which 1.04 million kits are ready"
"to ship. As of 15 June, 114 000 sample kits have been sent to 29 countries."
"The United Nations Children's Fund (UNICEF) has procured 298 000 tests, of which 123 000"
have been shipped to 18 countries.
Biomedical Equipment
"Following an initial procurement of 4000 oxygen concentrators, WHO has purchased an"
"additional 10 000 oxygen concentrators, 9800 pulse oximeters and consumables"
"(estimated total value: USD 10 million), which will be distributed to more than 120"
"countries. To date, 2000 oxygen concentrators have been shipped, and 2000 are in transit."
COVID-19 Supply Portal
"So far, 48 countries have submitted requests for supplies valued at more than USD 92 million"
"through the COVID-19 Supply Portal, an online platform WHO launched in May through which"
countries that need supplies for the COVID-19 response can enter requests.

Surveillance
"Figure 1. Number of confirmed COVID-19 cases reported in the last seven days by country, territory or area, 18 June to 24 June**"
"**See Annex 1 for data, table and figure notes."

"Figure 2. Number of confirmed COVID-19 cases, by date of report and WHO region, 30 December through 24 June**"
"**See Annex 1 for data, table and figure notes."

"Table 1. Countries, territories or areas with reported laboratory-confirmed COVID-19 cases and deaths, by WHO region. Data as of 10 AM CEST,",,,,,,
24 June 2020**,,,,,,
Reporting Country/ Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
,cases,new cases,,,classificationi,reported case
Africa,,,,,,
South Africa,106 108,4 518,2 102,111,Community transmission,0
Nigeria,21 371,452,533,8,Community transmission,0
Ghana,14 568,414,95,10,Community transmission,0
Algeria,12 076,156,861,9,Community transmission,0
Cameroon,12 041,149,308,5,Community transmission,0
Côte d’Ivoire,7 904,227,58,2,Community transmission,0
Senegal,6 034,64,89,3,Community transmission,0
Democratic Republic of the Congo,6 026,102,134,0,Community transmission,0
Guinea,5 104,116,29,2,Community transmission,0
Kenya,4 952,155,128,3,Community transmission,0
Gabon,4 849,110,39,0,Community transmission,0
Ethiopia,4 848,185,75,0,Community transmission,0
Mauritania,3 121,137,112,1,Clusters of cases,0
Central African Republic,3 051,88,37,7,Community transmission,0
Mali,1 978,17,111,0,Community transmission,0
South Sudan,1 916,24,35,1,Clusters of cases,0
Madagascar,1 640,0,15,0,Clusters of cases,1
Guinea-Bissau,1 556,0,19,0,Community transmission,1
Zambia,1 477,47,18,7,Community transmission,0
Sierra Leone,1 347,7,55,0,Community transmission,0
Congo,1 141,54,37,0,Community transmission,0

Reporting Country/ Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
,cases,new cases,,,classificationi,reported case
Niger,1 051,5,67,0,Community transmission,0
Equatorial Guinea,1 043,0,12,0,Community transmission,31
Cabo Verde,983,39,8,0,Clusters of cases,0
Burkina Faso,903,0,53,0,Community transmission,1
Chad,860,2,74,0,Community transmission,0
Benin,850,43,13,0,Community transmission,0
Malawi,803,58,11,0,Clusters of cases,0
Rwanda,798,11,2,0,Sporadic cases,0
Uganda,797,23,0,0,Sporadic cases,0
Mozambique,757,20,5,0,Clusters of cases,0
Eswatini,674,31,7,1,Clusters of cases,0
Liberia,652,2,34,0,Community transmission,0
Togo,576,7,13,0,Community transmission,0
Zimbabwe,525,13,6,0,Sporadic cases,0
United Republic of Tanzania,509,0,21,0,Community transmission,47
Sao Tome and Principe,388,0,10,0,Clusters of cases,6
Mauritius,340,0,10,0,Clusters of cases,1
Comoros,265,18,7,2,Community transmission,0
Angola,189,6,10,1,Clusters of cases,0
Burundi,144,0,1,0,Clusters of cases,3
Eritrea,143,0,0,0,Sporadic cases,2
Botswana,89,0,1,0,Clusters of cases,4
Namibia,72,9,0,0,Sporadic cases,0

Reporting Country/ Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
,cases,new cases,,,classificationi,reported case
Gambia 42 1 2 0 Sporadic cases 0,,,,,,
Lesotho 17 5 0 0 Sporadic cases 0,,,,,,
Seychelles,11,0,0,0,Clusters of cases,78
Territoriesii,,,,,,
Mayotte,2 452,18,32,0,Clusters of cases,0
Réunion,507,0,1,0,Clusters of cases,1
Americas,,,,,,
United States of America,2 295 272,26 519,120 171,410,Community transmission,0
Brazil,1 106 470,21 432,51 271,654,Community transmission,0
Peru,257 447,2 511,8 223,178,Community transmission,0
Chile,250 767,3 804,4 505,3,Community transmission,0
Mexico,185 122,4 577,22 584,759,Community transmission,0
Canada,101 637,300,8 436,6,Community transmission,0
Colombia,71 183,2 531,2 310,73,Community transmission,0
Ecuador,51 643,728,4 274,28,Community transmission,0
Argentina,44 931,2 146,1 049,33,Community transmission,0
Dominican Republic,27 936,566,675,6,Community transmission,0
Panama,26 752,722,521,20,Community transmission,0
Bolivia (Plurinational State of),25 493,1 105,820,47,Community transmission,0
Guatemala,13 769,624,547,16,Community transmission,0
Honduras,13 356,531,395,32,Community transmission,0
Haiti,5 216,5,88,0,Community transmission,0
