Coronavirus disease,,
(COVID-19),,
Situation Report – 157,,
"Data as received by WHO from national authorities by 10:00 CEST, 25 June 2020",,
Highlights,,
"Speaking at the 24 June media briefing on COVID-19, the Director-General highlighted work by",,
"WHO and UN partners to ensure global supplies of oxygen for treating patients, and discussed",,
the difficult choices all countries must make in holding gatherings of large numbers of people.,,
The government of the Democratic Republic of the Congo today declared the end of the,,
country’s 10th outbreak of Ebola virus disease. Many of the public health measures that have,,
been successful in stopping Ebola remaining essential for suppressing COVID-19. Healthcare,,
"workers trained in clinical management, and infection prevention and control, as part of the",,
Ebola response are redeploying to fight COVID-19.,,
"As cases of COVID-19 in the Americas remain high, WHO’s Regional Director for the Americas,",,
Dr Carissa F. Etienne cautioned that “We must be realistic about the future: all of us must adjust,,
to a new way of life and redefine our sense of normal.” She reiterated “though we rejoice when,,
"one country successfully flattens its COVID-19 epidemic curve, the risk of re-emergence will",,
always remain unless we flatten the curve regionally and globally.”,,
Today’s ‘Subject in Focus’ discusses an update on the interim guidance on Critical,,
"preparedness, readiness and response actions for COVID-19.",,
Situation in numbers (by WHO Region),,
Total (new cases in last 24 hours),,
Globally,9 296 202 cases (167 056),479 133 deaths (5 336)
Africa,248 558 cases (9 010),5 441 deaths (151)
Americas,4 604 134 cases (97 128),230 165 deaths (3 661)
Eastern Mediterranean,969 656 cases (18 926),22 003 deaths (564)
Europe,2 600 590 cases (18 988),194 972 deaths (442)
South-East Asia,663 308 cases (22 160),19 156 deaths (493)
Western Pacific,209 215 cases (844),7 383 deaths (25)

Subject in Focus: Update to the Interim guidance on Critical,,
"preparedness, readiness and response actions for COVID-19",,
"As the pandemic evolves, so do the actions required by each country as they face different",,
"transmission scenarios. On 24 June, WHO updated the interim guidance on the critical",,
"preparedness, readiness and response actions for COVID-19. This replaces the previous",,
"version, published on 22 March.",,
WHO has defined four transmission scenarios for COVID 19:,,
1.,No cases: Countries/ territories/ areas with no cases;,
2.,"Sporadic cases: Countries/ territories/ areas with one or more cases, imported or",
,locally detected;,
3.,"Clusters of cases: Countries/ territories/ areas experiencing cases, clustered in time,",
,"geographic location, and/or by common exposure;",
4.,Community transmission: Countries/ territories/areas experiencing larger outbreaks of,
,"local transmission, defined through an assessment of factors including, but not limited",
,to:,
,•,Large numbers of cases which cannot be linked to transmission chains
,•,Large numbers of cases from sentinel lab surveillance or increasing positive
,,tests through sentinel samples (routine systematic testing of respiratory
,,samples from established laboratories)
,•,Multiple unrelated clusters in several areas of the country/territory/area.
Several countries have demonstrated that COVID-19 transmission from one person to,,
another can be controlled. The “No cases” transmission scenario now covers both countries,,
"that have never had any COVID-19 cases and countries that previously had COVID-19 cases,",,
but currently have no active cases.,,
The updated guidance document provides an overview of the key actions and links to WHO,,
interim guidance documents according to each transmission scenario. This covers emergency,,
"response mechanisms, risk communication and community engagement, epidemiological",,
"surveillance, contact tracing, public health measures, infection prevention and control,",,
"laboratory testing, case management strategies, maintaining essential health services and",,
societal responses.,,

Surveillance
"Figure 1. Number of confirmed COVID-19 cases reported in the last seven days by country, territory or area, 19 June to 25 June**"
"**See Annex 1 for data, table and figure notes."

"Figure 2. Number of confirmed COVID-19 cases, by date of report and WHO region, 30 December through 25 June**"
"**See Annex 1 for data, table and figure notes."

"Table 1. Countries, territories or areas with reported laboratory-confirmed COVID-19 cases and deaths, by WHO region. Data as of 10 AM CEST,",,,,,,
25 June 2020**,,,,,,
Reporting Country/ Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
,cases,new cases,,,classificationi,reported case
Africa,,,,,,
South Africa,111 796,5 688,2 205,103,Community transmission,0
Nigeria,22 020,649,542,9,Community transmission,0
Ghana,15 013,445,95,0,Community transmission,0
Cameroon,12 270,229,313,5,Community transmission,0
Algeria,12 248,172,869,8,Community transmission,0
Côte d’Ivoire,8 164,260,58,0,Community transmission,0
Democratic Republic of the Congo,6 212,186,141,7,Community transmission,0
Senegal,6 129,95,93,4,Community transmission,0
Kenya,5 206,254,130,2,Community transmission,0
Guinea,5 174,70,29,0,Community transmission,0
Ethiopia,5 034,186,78,3,Community transmission,0
Gabon,4 956,107,39,0,Community transmission,0
Mauritania,3 292,171,114,2,Clusters of cases,0
Central African Republic,3 051,0,37,0,Community transmission,1
Mali,2 005,27,113,2,Community transmission,0
South Sudan,1 930,14,36,1,Clusters of cases,0
Madagascar,1 787,147,16,1,Clusters of cases,0
Guinea-Bissau,1 556,0,19,0,Community transmission,2
Zambia,1 489,12,18,0,Community transmission,0
Sierra Leone,1 354,7,56,1,Community transmission,0
Congo,1 141,0,37,0,Community transmission,1

Reporting Country/ Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
,cases,new cases,,,classificationi,reported case
Niger,1 056,5,67,0,Community transmission,0
Equatorial Guinea,1 043,0,12,0,Community transmission,32
Cabo Verde,999,16,8,0,Clusters of cases,0
Burkina Faso,934,31,53,0,Community transmission,0
Benin,902,52,13,0,Community transmission,0
Chad,860,0,74,0,Community transmission,1
Malawi,848,45,11,0,Clusters of cases,0
Rwanda,830,32,2,0,Sporadic cases,0
Uganda,805,8,0,0,Sporadic cases,0
Mozambique,762,5,5,0,Clusters of cases,0
Eswatini,690,16,7,0,Clusters of cases,0
Liberia,662,10,34,0,Community transmission,0
Togo,576,0,13,0,Community transmission,1
Zimbabwe,530,5,6,0,Sporadic cases,0
United Republic of Tanzania,509,0,21,0,Community transmission,48
Sao Tome and Principe,388,0,10,0,Clusters of cases,7
Mauritius,341,1,10,0,Clusters of cases,0
Comoros,265,0,7,0,Community transmission,1
Angola,197,8,10,0,Clusters of cases,0
Burundi,144,0,1,0,Clusters of cases,4
Eritrea,144,1,0,0,Sporadic cases,0
Botswana,125,36,1,0,Clusters of cases,0
Namibia,76,4,0,0,Sporadic cases,0

Reporting Country/ Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
,cases,new cases,,,classificationi,reported case
Gambia 42 0 2 0 Sporadic cases 1,,,,,,
Lesotho 17 0 0 0 Sporadic cases 1,,,,,,
Seychelles,11,0,0,0,Clusters of cases,79
Territoriesii,,,,,,
Mayotte,2 467,15,34,2,Clusters of cases,0
Réunion,508,1,2,1,Clusters of cases,0
Americas,,,,,,
United States of America,2 329 463,34 191,120 955,784,Community transmission,0
Brazil,1 145 906,39 436,52 645,1 374,Community transmission,0
Peru,260 810,3 363,8 404,181,Community transmission,0
Chile,254 416,3 649,4 731,226,Community transmission,0
Mexico,191 410,6 288,23 377,793,Community transmission,0
Canada,101 963,326,8 454,18,Community transmission,0
Colombia,73 572,2 389,2 404,94,Community transmission,0
Ecuador,52 334,691,4 309,35,Community transmission,0
Argentina,47 216,2 285,1 085,36,Community transmission,0
Dominican Republic,28 631,695,691,16,Community transmission,0
Panama,27 314,562,536,15,Community transmission,0
Bolivia (Plurinational State of),26 389,896,846,26,Community transmission,0
Guatemala,14 540,771,582,35,Community transmission,0
Honduras,13 943,587,405,10,Community transmission,0
