Coronavirus disease,,
(COVID-19),,
Situation Report – 160,,
"Data as received by WHO from national authorities by 10:00 CEST, 28 June 2020",,
"Today we report a record number of new cases in the last 24 hours globally (189 077 cases), with several",,
countries reporting their highest number of new cases in a 24-hour period. As Dr Tedros remarked in his media,,
"briefing on 24 June, ‘(E)ven as we continue research into vaccines and therapeutics we have an urgent",,
responsibility to do everything we can with the tools we have now to suppress transmission and save lives.’,,
WHO has recently updated guidance on critical actions countries can take.,,
"Planes carrying more than 4.7 million items of personal protective equipment, procured by WHO/Europe with",,
"funding from the European Union, have landed in Azerbaijan, Belarus and Ukraine over the last two days. The",,
essential protective equipment will help health-care workers in the three countries respond effectively and,,
safely to the COVID-19 pandemic.,,
The phenomenon of an ‘infodemic’ has escalated to a level that requires a coordinated response. An infodemic,,
is an overabundance of information–some accurate and some not–occurring during an epidemic. WHO is,,
"holding its first Infodemiology Conference, with a public conference on 29 June followed by a scientific",,
conference from 30 June through 16 July.,,
Situation in numbers (by WHO Region),,
Total (new cases in last 24 hours),,
Globally,9 843 073 cases (189 077),495 760 deaths (4 612)
Africa,278 815 cases (10 713),5 785 deaths (112)
Americas,4 933 972 cases (117 178),241 931 deaths (3 169)
Eastern Mediterranean,1 024 222 cases (17 943),23 449 deaths (485)
Europe,2 656 437 cases (16 586),196 541 deaths (352)
South-East Asia,735 854 cases (25 399),20 621 deaths (482)
Western Pacific,213 032 cases (1 258),7 420 deaths (12)

Surveillance
"Figure 1. Number of confirmed COVID-19 cases reported in the last seven days by country, territory or area, 22 June to 28 June**"
"**See Annex 1 for data, table and figure notes."

"Figure 2. Number of confirmed COVID-19 cases, by date of report and WHO region, 30 December through 28 June**"
"**See Annex 1 for data, table and figure notes."

"Table 1. Countries, territories or areas with reported laboratory-confirmed COVID-19 cases and deaths, by WHO region. Data as of 10 AM CEST, 28 June 2020**",,,,,,
Reporting Country/ Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
,cases,new cases,,,classificationi,reported case
Africa,,,,,,
South Africa,131 800,7 210,2 413,73,Community transmission,0
Nigeria,24 077,779,558,4,Community transmission,0
Ghana,16 431,597,103,0,Community transmission,0
Algeria,12 968,283,892,7,Community transmission,0
Cameroon,12 592,0,313,0,Community transmission,2
Côte d’Ivoire,8 944,205,66,2,Community transmission,0
Democratic Republic of the Congo,6 689,138,152,4,Community transmission,0
Senegal,6 459,105,102,4,Community transmission,0
Kenya,5 811,278,141,4,Community transmission,0
Ethiopia,5 570,145,94,5,Community transmission,0
Guinea,5 291,31,30,1,Community transmission,0
Gabon,5 209,0,40,0,Community transmission,1
Mauritania,3 907,168,120,1,Clusters of cases,0
Central African Republic,3 340,0,40,0,Community transmission,1
Mali,2 060,0,113,0,Community transmission,1
Madagascar,2 005,176,16,0,Clusters of cases,0
South Sudan,1 958,6,36,0,Clusters of cases,0
Guinea-Bissau,1 614,58,21,2,Community transmission,0
Zambia,1 531,0,21,0,Community transmission,1
Sierra Leone,1 410,16,59,0,Community transmission,0
Congo,1 245,41,40,2,Community transmission,0

Reporting Country/ Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
,cases,new cases,,,classificationi,reported case
Benin,1 124,71,14,0,Community transmission,0
Cabo Verde,1 091,64,12,2,Clusters of cases,0
Niger,1 059,0,67,0,Community transmission,2
Equatorial Guinea,1 043,0,12,0,Community transmission,35
Malawi,1 038,33,13,0,Clusters of cases,0
Burkina Faso,954,20,53,0,Community transmission,0
Rwanda,878,20,2,0,Sporadic cases,0
Chad,865,0,74,0,Community transmission,1
Mozambique,839,51,5,0,Clusters of cases,0
Uganda,833,0,0,0,Sporadic cases,1
Eswatini,745,14,8,0,Clusters of cases,0
Liberia,684,0,34,0,Community transmission,1
Togo,615,24,14,0,Community transmission,0
Zimbabwe,567,6,7,0,Sporadic cases,0
United Republic of Tanzania,509,0,21,0,Community transmission,51
