Coronavirus disease,,
(COVID-19),,
Situation Report – 161,,
"Data as received by WHO from national authorities by 10:00 CEST, 29 June 2020",,
Today we document a somber landmark: 10 million cases and nearly 500 000 deaths of COVID-19 have now,,
"been reported globally. This comes amidst recent record numbers of new cases, with several countries",,
reporting their highest number of new cases in a 24-hour period. As some countries start to reopen their,,
"societies and economies, WHO strongly encourages individuals, communities, and nations to take measures to",,
"reduce transmission, extend testing and contact tracing, and provide optimal care for every case. WHO has",,
"published advice for the public and an extensive range of guidance documents, and is working across the globe",,
to support countries in the response to the pandemic.,,
WHO has released a timeline of the response to the COVID-19 pandemic listing some milestones and events,,
since the start of the outbreak 6 months ago.,,
Situation in numbers (by WHO Region),,
Total (new cases in last 24 hours),,
Globally,10 021 401 cases (178 328),499 913 deaths (4 153)
Africa,288 347 cases (9 532),5 879 deaths (94)
Americas,5 042 486 cases (108 514),244 791 deaths (2 860)
Eastern Mediterranean,1 041 774 cases (17 552),23 888 deaths (439)
Europe,2 673 131 cases (16 694),196 835 deaths (294)
South-East Asia,760 816 cases (24 962),21 078 deaths (457)
Western Pacific,214 106 cases (1 074),7 429 deaths (9)

Surveillance
"Figure 1. Number of confirmed COVID-19 cases reported in the last seven days by country, territory or area, 23 June to 29 June**"
"**See Annex 1 for data, table and figure notes."

"Figure 2. Number of confirmed COVID-19 cases, by date of report and WHO region, 30 December through 29 June**"
"**See Annex 1 for data, table and figure notes."

"Table 1. Countries, territories or areas with reported laboratory-confirmed COVID-19 cases and deaths, by WHO region. Data as of 10 AM CEST, 29 June 2020**",,,,,,
Reporting Country/ Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
,cases,new cases,,,classificationi,reported case
Africa,,,,,,
South Africa,138 134,6 334,2 456,43,Community transmission,0
Nigeria,24 567,490,565,7,Community transmission,0
Ghana,17 351,920,112,9,Community transmission,0
Algeria,13 273,305,897,5,Community transmission,0
Cameroon,12 592,0,313,0,Community transmission,3
Côte d’Ivoire,8 944,0,66,0,Community transmission,1
Democratic Republic of the Congo,6 826,137,157,5,Community transmission,0
Senegal,6 586,127,105,3,Community transmission,0
Kenya,6 070,259,144,3,Community transmission,0
Ethiopia,5 689,119,98,4,Community transmission,0
Guinea,5 342,51,31,1,Community transmission,0
Gabon,5 209,0,40,0,Community transmission,2
Mauritania,3 907,0,120,0,Clusters of cases,1
Central African Republic,3 429,89,45,5,Community transmission,0
Mali,2 147,87,114,1,Community transmission,0
Madagascar,2 078,73,18,2,Clusters of cases,0
South Sudan,1 966,8,36,0,Clusters of cases,0
Guinea-Bissau,1 614,0,21,0,Community transmission,1
Zambia,1 531,0,21,0,Community transmission,2
Sierra Leone,1 427,17,60,1,Community transmission,0
Congo,1 245,0,40,0,Community transmission,1

Reporting Country/ Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
,cases,new cases,,,classificationi,reported case
Cabo Verde,1 155,64,12,0,Clusters of cases,0
Malawi,1 152,114,13,0,Clusters of cases,0
Benin,1 149,25,16,2,Community transmission,0
Niger,1 074,15,67,0,Community transmission,0
Equatorial Guinea,1 043,0,12,0,Community transmission,36
Burkina Faso,959,5,53,0,Community transmission,0
Rwanda,900,22,2,0,Sporadic cases,0
Chad,866,1,74,0,Community transmission,0
Mozambique,859,20,5,0,Clusters of cases,0
