Coronavirus disease,,
(COVID-19),,
Situation Report – 162,,
"Data as received by WHO from national authorities by 10:00 CEST, 30 June 2020",,
Highlights,,
Yemen is the world’s worst humanitarian emergency and the already vulnerable people of,,
Yemen are facing the added threat of COVID-19. This new burden on medical facilities could,,
result in a catastrophic death toll. WHO and the King Salman Humanitarian Aid and Relief,,
Centre have joined forces to ensure access to healthcare for the vulnerable in remote areas,,
through the provision of a minimum service package.,,
UNICEF and WHO have supported a national immunization campaign in Syria amid the COVID-,,
19 pandemic. There has been about a 5% reduction in vaccination coverage in the first half of,,
"2020, mainly as a result of challenges caused by the COVID-19 pandemic. During the 5-day",,
"immunization campaign, implemented by the Syrian Ministry of Health, health workers checked",,
the vaccination status of more than 900 000 children and vaccinated more than 210 100,,
children.,,
"To promote community empowerment and trust, a ‘Global Risk Communication and",,
"Community Engagement Collective Service’ has been launched by WHO, UNICEF and IFRC with",,
support from the Global Outbreak and Response Network and the Bill and Melinda Gates,,
Foundation. See ‘Subject in Focus’ below for more information.,,
Situation in numbers (by WHO Region),,
Total (new cases in last 24 hours),,
Globally,10 185 374 cases (163 865),503 862 deaths (3 946)
Africa,297 290 cases (8 943),6 010 deaths (131)
Americas,5 136 705 cases (94 219),247 129 deaths (2 338)
Eastern Mediterranean,1 058 055 cases (16 281),24 423 deaths (535)
Europe,2 692 086 cases (18 847),197 254 deaths (416)
South-East Asia,784 931 cases (24 115),21 593 deaths (515)
Western Pacific,215 566 cases (1 460),7 440 deaths (11)

Subject in Focus: A partnership for a global risk communication and,
community engagement collective service to beat COVID-19,
Effective risk communication and community engagement (RCCE) is critical for the successful,
implementation of almost any emergency programming – its importance is even more,
"significant during public health emergencies, such as the COVID-19 pandemic.",
"COVID-19 is now a global health crisis, an information crisis and increasingly a wider socio-",
"economic crisis. As such, the unprecedented impacts on society require the broadest range of",
humanitarian and public health partners working together.,
"Given the breadth and range of societal impacts the virus is now causing, consistent and open",
engagement with the broadest range of communities is also paramount for maintaining,
"trust, public solidarity and promoting local action.",
"As learned from experience, for example, during the West Africa Ebola outbreak (2013-2016),",
when community empowerment and partnership is not placed at the centre of an epidemic,
"response, the resulting loss of trust in these efforts can have devastating public health and",
broader impacts.,
To promote community empowerment and trust through the entire course of the COVID-19,
"response and further strengthen RCCE coordination at all levels, a Global Risk Communication",
"and Community Engagement Collective Service has been launched by WHO, UNICEF and the",
"International Federation of Red Cross and Red Crescent (IFRC), with support from the Global",
Outbreak Alert and Response Network (GOARN) and the Bill and Melinda Gates Foundation.,
"As part of a phased approach, two service hubs will be established in the African region with",
dedicated human resources first deployed in Senegal and Kenya. To promote better global,
"coordination, a team will also be established in Geneva.",
The service will not replace any established coordination mechanisms but is designed to,
"reinforce ongoing global, regional and national efforts and ensure more predictable,",
systematic and consistent RCCE support is available to regions and countries as they tackle,
the pandemic.,
"Specifically, the Global Collective Service, on behalf of the three lead agencies supported by",
"GOARN, will improve greater collaboration among key stakeholders at all levels, supporting",
"the coordinated delivery of the RCCE strategy produced by WHO, UNICEF, and IFRC, as well as",
the COVID-19 Strategic Preparedness and Response Plan and the COVID-19 Global,
Humanitarian Response Plan.,
The collective service will work across four strategic areas to:,
1.,"Strengthen coordinated approaches in order to maximize the sharing of resources,"
,"information and expertise at global, regional and country levels;"
2.,Improve quality and shift the focus towards community engagement approaches
,"grounded on social data, perceptions and community insights which regularly inform"
,"public health measures, inter-agency standards and monitoring frameworks;"
3.,"Amplify the views and perspectives of communities, enabling them to influence"
,decision-making within the response; and
4.,"Strengthen local capacity and existing coordination mechanisms, through RCCE"
,mentoring support and resource sharing with local actors working in the public
,"health, humanitarian and development sectors."

Surveillance
"Figure 1. Number of confirmed COVID-19 cases reported in the last seven days by country, territory or area, 24 June to 30 June**"
"**See Annex 1 for data, table and figure notes."

"Figure 2. Number of confirmed COVID-19 cases, by date of report and WHO region, 30 December through 30 June**"
"**See Annex 1 for data, table and figure notes."

"Table 1. Countries, territories or areas with reported laboratory-confirmed COVID-19 cases and deaths, by WHO region. Data as of 10 AM CEST,",,,,,,
30 June 2020**,,,,,,
Reporting Country/ Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
,cases,new cases,,,classificationi,reported case
Africa,,,,,,
South Africa,144 264,6 130,2 529,73,Community transmission,0
Nigeria,25 133,566,573,8,Community transmission,0
Ghana,17 351,0,112,0,Community transmission,1
Algeria,13 571,298,905,8,Community transmission,0
Cameroon,12 592,0,313,0,Community transmission,4
Côte d’Ivoire,9 101,157,66,0,Community transmission,0
Democratic Republic of the Congo,6 938,112,166,9,Community transmission,0
Senegal,6 698,112,108,3,Community transmission,0
Kenya,6 190,120,144,0,Community transmission,0
Ethiopia,5 846,157,103,5,Community transmission,0
Gabon,5 394,185,42,2,Community transmission,0
Guinea,5 351,9,31,0,Community transmission,0
Mauritania,4 149,242,126,6,Clusters of cases,0
Central African Republic,3 613,184,47,2,Community transmission,0
Mali,2 173,26,115,1,Community transmission,0
Madagascar,2 138,60,20,2,Clusters of cases,0
South Sudan,2 006,40,37,1,Clusters of cases,0
Guinea-Bissau,1 654,40,24,3,Community transmission,0
Zambia,1 568,37,22,1,Community transmission,0
Sierra Leone,1 450,23,60,0,Community transmission,0
Congo,1 245,0,40,0,Community transmission,2

Reporting Country/ Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
,cases,new cases,,,classificationi,reported case
Malawi,1 224,72,14,1,Clusters of cases,0
Benin,1 187,38,19,3,Community transmission,0
Cabo Verde,1 165,10,12,0,Clusters of cases,0
Niger,1 075,1,67,0,Community transmission,0
Equatorial Guinea,1 043,0,12,0,Community transmission,37
Rwanda,1 001,101,2,0,Sporadic cases,0
Burkina Faso,959,0,53,0,Community transmission,1
Mozambique,883,24,5,0,Clusters of cases,0
Uganda,870,37,0,0,Sporadic cases,0
Chad,866,0,74,0,Community transmission,1
Eswatini,795,14,11,0,Clusters of cases,0
Liberia,770,2,36,2,Community transmission,0
Togo,642,27,14,0,Community transmission,0
Zimbabwe,574,7,7,1,Sporadic cases,0
United Republic of Tanzania,509,0,21,0,Community transmission,53
Sao Tome and Principe,393,0,11,0,Clusters of cases,2
Mauritius,341,0,10,0,Clusters of cases,5
Comoros,293,0,7,0,Community transmission,1
Angola,276,9,11,0,Clusters of cases,0
Eritrea,191,0,0,0,Sporadic cases,2
Namibia,183,33,0,0,Sporadic cases,0
Botswana,175,0,1,0,Clusters of cases,1
Burundi,170,0,1,0,Clusters of cases,1

Reporting Country/ Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
,cases,new cases,,,classificationi,reported case
Seychelles 81 4 0 0 Clusters of cases 0,,,,,,
Gambia 47 2 2 0 Sporadic cases 0,,,,,,
Lesotho,27,0,0,0,Sporadic cases,1
Territoriesii,,,,,,
Mayotte,2 603,63,35,0,Clusters of cases,0
Réunion,522,1,2,0,Clusters of cases,0
Americas,,,,,,
United States of America,2 537 636,41 008,126 203,885,Community transmission,0
Brazil,1 344 143,30 476,57 622,552,Community transmission,0
Peru,279 419,3 430,9 317,182,Community transmission,0
Chile,275 999,4 017,5 575,66,Community transmission,0
Mexico,216 852,4 050,26 648,267,Community transmission,0
Canada,103 250,218,8 522,6,Community transmission,0
Colombia,91 769,3 178,3 106,167,Community transmission,0
Argentina,59 933,2 189,1 245,28,Community transmission,0
Ecuador,55 665,410,4 502,73,Community transmission,0
Dominican Republic,31 816,443,733,7,Community transmission,0
Panama,31 686,1 028,604,12,Community transmission,0
Bolivia (Plurinational State of),31 524,848,1 014,44,Community transmission,0
Honduras,18 082,1 075,479,0,Community transmission,0
Guatemala,16 930,533,727,21,Community transmission,0
El Salvador,6 173,239,164,12,Community transmission,0
Haiti,5 847,125,104,6,Community transmission,0
Venezuela (Bolivarian Republic of),5 297,167,44,2,Community transmission,0

Reporting Country/ Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
,cases,new cases,,,classificationi,reported case
Costa Rica,3 130,151,15,2,Clusters of cases,0
Cuba,2 340,8,86,0,Clusters of cases,0
Paraguay,2 127,185,15,0,Community transmission,0
Nicaragua,2 014,0,74,0,Community transmission,12
Uruguay,929,5,27,1,Clusters of cases,0
Jamaica,696,10,10,0,Clusters of cases,0
Suriname,492,25,13,2,Clusters of cases,0
