Coronavirus disease,,
(COVID-19),,
Situation Report – 164,,
"Data as received by WHO from national authorities by 10:00 CEST, 2 July 2020",,
Highlights,,
WHO Director-General Dr Tedros has emphasized the importance of taking a comprehensive approach to,,
responding to the pandemic -- “Not testing alone. Not physical distancing alone. Not contact tracing alone. Not,,
"masks alone. Do it all”, he said during yesterday’s regular media briefing.",,
"In Turkey, a WHO-backed helpline has been created to provide psychosocial health support to persons affected",,
"by mental health issues in the wake of COVID-19. The helpline reaches all of Turkey’s 81 provinces, and has",,
provided over 80 000 consultations since March 2020.,,
"While countries have had to de-prioritise non-urgent care to make way for COVID-19 patients, maternal and",,
"child health is one area that cannot be put on hold. In the WHO European region, examples from Italy,",,
"Germany and Israel show that swift recalibration of healthcare has helped maintain essential services, thereby",,
protecting the well-being of pregnant women and their babies.,,
"The WHO Regional Director for the Americas, Dr Carissa F. Etienne, said countries planning to relax public",,
health measures must take a phased approach based on local conditions and be prepared to impose,,
preventive measures again if the epidemiological situation changes.,,
"The WHO representative, Dr Akjemal Magtymova, shared her professional and personal experience of taking",,
"up her new duty station in Syria amid the restrictions brought about by COVID-19, as well as challenges in",,
responding to the pandemic in a conflict area.,,
WHO has published new guidance on infection prevention and control during healthcare when COVID-19 is,,
"suspected or confirmed. Details are explored further in today’s Subject in Focus, below.",,
Situation in numbers (by WHO Region),,
Total (new cases in last 24 hours),,
Globally,10 533 779 cases (176 102),512 842 deaths (4 787)
Africa,318 432 cases (11 638),6 340 deaths (148)
Americas,5 317 792 cases (99 202),252 340 deaths (3 022)
Eastern Mediterranean,1 096 565 cases (19 139),25 517 deaths (547)
Europe,2 747 810 cases (19 736),198 405 deaths (531)
South-East Asia,833 735 cases (24 829),22 769 deaths (534)
Western Pacific,218 704 cases (1 558),7 458 deaths (5)

Subject in Focus: Updated guidance on Infection Prevention and Control (IPC),
WHO has updated the interim guidance on infection prevention and control during healthcare when,
coronavirus disease (COVID-19) is suspected or confirmed.,
"This is the third edition of the guidance and expands the scope and structure of earlier guidance, bringing",
together other interim recommendations as well as considerations and advice from subject matter experts.,
The main differences and additions compared to the previous versions include the following:,
•,expansion of all sub-sections to include clarifications and further recommendations;
•,addition of new guidance and practical advice for the management of visitors especially in areas with
,COVID-19 community transmission;
•,inclusion of a sub-section on ventilation in the section “Environmental and engineering controls”;
•,new guidance on IPC considerations for surgical procedures for patients with suspected or confirmed
,"COVID-19, as well as those patients whose COVID-19 status is unknown;"
•,updated considerations for dead body management in healthcare facilities; and
•,practical advice and tools to assess healthcare facility IPC readiness and to monitor and evaluate IPC
,measures for COVID-19.
"This guidance is intended for health workers, including healthcare managers and IPC teams at the facility",
"level, but it is also relevant for the national and district/provincial levels.",

Surveillance
"Figure 1. Number of confirmed COVID-19 cases reported in the last seven days by country, territory or area, 26 June to 2 July **"
"**See Annex 1 for data, table and figure notes."

"Figure 2. Number of confirmed COVID-19 cases, by date of report and WHO region, 30 December through 2 July**"
"**See Annex 1 for data, table and figure notes."

"Table 1. Countries, territories or areas with reported laboratory-confirmed COVID-19 cases and deaths, by WHO region. Data as of 10 AM CEST, 2 July 2020**",,,,,,
Reporting Country/ Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
,cases,new cases,,,classificationi,reported case
Africa,,,,,,
South Africa,159 333,8 124,2 749,92,Community transmission,0
Nigeria,26 484,790,603,13,Community transmission,0
Ghana,18 134,393,117,5,Community transmission,0
Algeria,14 272,365,920,8,Community transmission,0
Cameroon,12 592,0,313,0,Community transmission,6
Côte d’Ivoire,9 499,285,68,2,Community transmission,0
Democratic Republic of the Congo,7 121,83,174,5,Community transmission,0
Senegal,6 925,132,116,4,Community transmission,0
Kenya,6 673,307,149,1,Community transmission,0
Ethiopia,6 048,202,107,4,Community transmission,0
Guinea,5 404,13,33,0,Community transmission,0
Gabon,5 394,0,42,0,Community transmission,2
Mauritania,4 472,235,129,1,Clusters of cases,0
Central African Republic,3 745,0,47,0,Community transmission,1
Madagascar,2 303,89,22,2,Clusters of cases,0
Mali,2 181,0,116,0,Community transmission,1
South Sudan,2 007,0,38,0,Clusters of cases,1
Guinea-Bissau,1 710,56,24,0,Community transmission,0
Zambia,1 632,38,30,6,Community transmission,0
Sierra Leone,1 498,36,60,0,Community transmission,0
Congo,1 443,114,42,1,Community transmission,0

Reporting Country/ Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
,cases,new cases,,,classificationi,reported case
Malawi,1 342,77,16,0,Clusters of cases,0
Cabo Verde,1 267,40,15,0,Clusters of cases,0
Benin,1 199,0,21,0,Community transmission,1
Niger,1 075,0,67,0,Community transmission,2
Equatorial Guinea,1 043,0,12,0,Community transmission,39
Rwanda,1 042,17,3,1,Sporadic cases,0
Burkina Faso,962,0,53,0,Community transmission,1
Mozambique,903,14,6,0,Clusters of cases,0
Uganda,893,4,0,0,Sporadic cases,0
Chad,866,0,74,0,Community transmission,3
Eswatini,840,28,11,0,Clusters of cases,0
Liberia,804,24,37,1,Community transmission,0
Togo,661,18,14,0,Community transmission,0
Zimbabwe,605,14,7,0,Sporadic cases,0
United Republic of Tanzania,509,0,21,0,Community transmission,55
São Tomé and Príncipe,395,1,11,0,Clusters of cases,0
Mauritius,341,0,10,0,Clusters of cases,7
Comoros,303,0,7,0,Community transmission,1
Angola,291,7,15,2,Clusters of cases,0
Namibia,285,82,0,0,Sporadic cases,0
Botswana,227,0,1,0,Clusters of cases,1
Eritrea,203,0,0,0,Sporadic cases,1
Burundi,170,0,1,0,Clusters of cases,3

Reporting Country/ Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
,cases,new cases,,,classificationi,reported case
Seychelles 81 0 0 0 Clusters of cases 2,,,,,,
Gambia 49 0 2 0 Sporadic cases 1,,,,,,
Lesotho,35,8,0,0,Sporadic cases,0
Territoriesii,,,,,,
Mayotte,2 643,40,35,0,Clusters of cases,0
Réunion,528,2,2,0,Clusters of cases,0
Americas,,,,,,
United States of America,2 616 949,43 556,127 133,560,Community transmission,0
Brazil,1 402 041,33 846,59 594,1 280,Community transmission,0
Peru,285 213,2 848,9 677,173,Community transmission,0
Chile,282 043,2 650,5 753,65,Community transmission,0
Mexico,226 089,5 432,27 769,648,Community transmission,0
Canada,104 204,286,8 591,25,Community transmission,0
Colombia,97 846,2 803,3 334,111,Community transmission,0
Argentina,64 530,2 262,1 310,27,Community transmission,0
