Coronavirus disease,,
(COVID-19),,
Situation Report – 166,,
"Data as received by WHO from national authorities by 10:00 CEST, 4 July 2020",,
Highlights,,
WHO is providing support to bridge a shortfall in oxygen supplies in Iraq. To counter severe,,
"shortages, WHO has airlifted 300 oxygen concentrators from WHO's warehouses in the United",,
Arab Emirates.,,
"As African countries begin to reopen borders and air spaces, it is crucial that governments take",,
effective measures to mitigate the risk of a surge in infections.,,
"The UN Secretary-General, Mr António Guterres in his remarks to the Security Council on the",,
Maintenance of International Peace and Security warned that the COVID-19 pandemic has been,,
affecting peace and security around the world. He stated that “Collective security and our,,
shared well-being are under assault on many fronts led by a relentless disease and abetted by,,
global fragilities.”,,
"In Yemen, healthcare workers face a double battle – COVID-19 in a conflict zone. WHO",,
"chronicles the work of Dr Sami Al Hajj, a young doctor working at the Science and Technology",,
Hospital in Sana.,,
Situation in numbers (by WHO Region),,
Total (new cases in last 24 hours),,
Globally,10 922 324 cases (212 326),523 011 deaths (5 134)
Africa,342 415 cases (12 619),6 628 deaths (142)
Americas,5 575 482 cases (129 772),259 094 deaths (3 392)
Eastern Mediterranean,1 135 604 cases (20 043),26 521 deaths (493)
Europe,2 757 556 cases (19 694),199 510 deaths (565)
South-East Asia,888 732 cases (27 947),23 774 deaths (534)
Western Pacific,221 794 cases (2 251),7 471 deaths (8)

Surveillance
"Figure 1. Number of confirmed COVID-19 cases reported in the last seven days by country, territory or area, 28 June to 4 July **"
"**See Annex 1 for data, table and figure notes."

"Figure 2. Number of confirmed COVID-19 cases, by date of report and WHO region, 30 December through 4 July**"
"**See Annex 1 for data, table and figure notes."

"Table 1. Countries, territories or areas with reported laboratory-confirmed COVID-19 cases and deaths, by WHO region. Data as of 10",,,,,,
"AM CEST, 4 July 2020**",,,,,,
Reporting Country/ Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
,cases,new cases,,,classificationi,reported case
Africa,,,,,,
South Africa,177 124,9 063,2 952,108,Community transmission,0
Nigeria,27 564,454,628,12,Community transmission,0
Ghana,18 892,758,117,0,Community transmission,0
Algeria,15 070,413,937,9,Community transmission,0
Cameroon,12 592,0,313,0,Community transmission,8
Côte d’Ivoire,9 992,290,68,0,Community transmission,0
Democratic Republic of the Congo,7 310,122,178,3,Community transmission,0
Kenya,7 188,247,154,2,Community transmission,0
Senegal,7 164,110,125,4,Community transmission,0
Ethiopia,6 217,54,114,5,Community transmission,0
Guinea,5 521,71,33,- 13,Community transmission,0
Gabon,5 513,0,42,0,Community transmission,1
Mauritania,4 705,99,129,0,Clusters of cases,0
Central African Republic,3 918,130,48,1,Community transmission,0
Madagascar,2 512,109,26,2,Clusters of cases,0
Mali,2 285,25,117,0,Community transmission,0
South Sudan,2 036,0,38,0,Clusters of cases,1
Guinea-Bissau,1 765,55,25,1,Community transmission,0
Zambia,1 632,0,30,0,Community transmission,2
Congo,1 557,114,44,2,Community transmission,0
Sierra Leone,1 524,6,62,2,Community transmission,0

Reporting Country/ Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
,cases,new cases,,,classificationi,reported case
Malawi,1 498,96,16,0,Clusters of cases,0
Cabo Verde,1 382,81,15,0,Clusters of cases,0
Benin,1 199,0,21,0,Community transmission,3
Niger,1 082,1,68,0,Community transmission,0
Rwanda,1 081,18,3,0,Sporadic cases,0
Equatorial Guinea,1 043,0,12,0,Community transmission,41
Burkina Faso,980,13,53,0,Community transmission,0
Mozambique,939,21,6,0,Clusters of cases,0
Uganda,911,9,0,0,Sporadic cases,0
Eswatini,909,36,13,2,Clusters of cases,0
Chad,871,3,74,0,Community transmission,0
Liberia,833,14,37,0,Community transmission,0
Togo,671,4,14,0,Community transmission,0
