Coronavirus disease,,
(COVID-19),,
Situation Report – 167,,
"Data as received by WHO from national authorities by 10:00 CEST, 5 July 2020",,
Highlights,,
WHO has accepted the recommendation from the Solidarity Trial’s International Steering,,
Committee to discontinue the trial’s hydroxychloroquine and lopinavir/ritonavir treatment,,
arms for COVID-19.,,
"WHO Regional Director for the Western Pacific, Dr Takeshi Kasai spoke of a ‘new normal’, one",,
that improves both health and livelihoods during a virtual press conference with the World,,
Economic Forum on COVID-19. He added “This ‘new future’ is the dividend of COVID-19 which,,
WHO hopes for.”,,
The Regional Office for the Americas/PAHO has launched a new site for donations to its,,
COVID-19 Response Fund. The resources will help PAHO support countries and territories,,
throughout the Americas. More details available here.,,
The Regional Office for Europe is launching a new podcast service entitled: Health in,,
"Europe. WHO works with thousands of inspiring individuals and groups, and this podcast series",,
highlights their stories and how they might impact your day-to-day life.,,
Situation in numbers (by WHO Region),,
Total (new cases in last 24 hours),,
Globally,11 125 245 cases (203 836),528 204 deaths (5 195)
Africa,356 666 cases (14 251),6 746 deaths (118)
Americas,5 697 954 cases (122 472),262 538 deaths (3 444)
Eastern Mediterranean,1 153 157 cases (18 468),27 074 deaths (555)
Europe,2 774 221 cases (16 665),199 879 deaths (369)
South-East Asia,918 591 cases (29 859),24 473 deaths (699)
Western Pacific,223 915 cases (2 121),7 481 deaths (10)

Surveillance
"Figure 1. Number of confirmed COVID-19 cases reported in the last seven days by country, territory or area, 29 June to 5 July **"
"**See Annex 1 for data, table and figure notes."

"Figure 2. Number of confirmed COVID-19 cases, by date of report and WHO region, 30 December through 5 July**"
"**See Annex 1 for data, table and figure notes."

"Table 1. Countries, territories or areas with reported laboratory-confirmed COVID-19 cases and deaths, by WHO region. Data as of 10",,,,,,
"AM CEST, 5 July 2020**",,,,,,
Reporting Country/ Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
,cases,new cases,,,classificationi,reported case
Africa,,,,,,
South Africa,187 977,10 853,3 026,74,Community transmission,0
Nigeria,28 167,603,634,6,Community transmission,0
Ghana,19 388,496,117,0,Community transmission,0
Algeria,15 500,430,946,9,Community transmission,0
Cameroon,12 592,0,313,0,Community transmission,9
Côte d’Ivoire,10 244,252,70,2,Community transmission,0
Kenya,7 577,389,159,5,Community transmission,0
Democratic Republic of the Congo,7 378,68,181,3,Community transmission,0
Senegal,7 272,108,129,4,Community transmission,0
Ethiopia,6 386,169,116,2,Community transmission,0
Gabon,5 620,107,44,2,Community transmission,0
Guinea,5 570,49,34,1,Community transmission,0
Mauritania,4 705,0,129,0,Clusters of cases,1
Central African Republic,3 969,51,48,0,Community transmission,0
Madagascar,2 728,216,29,3,Clusters of cases,0
Mali,2 303,18,118,1,Community transmission,0
South Sudan,2 058,22,38,0,Clusters of cases,0
Guinea-Bissau,1 765,0,25,0,Community transmission,1
Zambia,1 632,0,30,0,Community transmission,3
Malawi,1 613,115,17,1,Clusters of cases,0
Congo,1 557,0,44,0,Community transmission,1

Reporting Country/ Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
,cases,new cases,,,classificationi,reported case
Sierra Leone,1 533,9,62,0,Community transmission,0
Cabo Verde,1 420,38,16,1,Clusters of cases,0
Benin,1 199,0,21,0,Community transmission,4
Rwanda,1 092,11,3,0,Sporadic cases,0
Niger,1 082,0,68,0,Community transmission,1
Equatorial Guinea,1 043,0,12,0,Community transmission,42
Burkina Faso,987,7,53,0,Community transmission,0
Mozambique,969,30,7,1,Clusters of cases,0
Eswatini,954,45,13,0,Clusters of cases,0
Uganda,927,16,0,0,Sporadic cases,0
Chad,871,0,74,0,Community transmission,1
Liberia,833,0,37,0,Community transmission,1
Zimbabwe,698,73,8,1,Sporadic cases,0
