Coronavirus disease,,
(COVID-19),,
Situation Report – 169,,
"Data as received by WHO from national authorities by 10:00 CEST, 7 July 2020",,
Highlights,,
WHO encourages Member States to invest in and build longer-term health emergency preparedness during the,,
"COVID-19 pandemic. To support this goal, WHO has published guidance that maps COVID-19 preparedness and",,
response actions; locates relevant supporting WHO resources; and advocates for the conscious and effective,,
allocation of COVID-19 funds to also meet countries’ longer-term needs.,,
A WHO survey has found that access to HIV medicines has been severely impacted by COVID-19. Seventy-three,,
countries have warned that they are at risk of stock-outs of antiretroviral (ARV) medicines as a result of the,,
"COVID-19 pandemic, according to the survey conducted ahead of the International AIDS Society’s biannual",,
conference.,,
The WHO Regional Office for America urges countries to continue the fight against malaria during the COVID-,,
"19 pandemic, especially among vulnerable communities. In the Americas, 138 million people live in areas at risk",,
"of malaria, and some 765 000 cases and around 340 deaths were reported in 2018.",,
In today’s ‘Subject in Focus’ below we present an update from the WHO Information Network for Epidemics,,
(EPI-WIN) who have been holding a conference on exploring new interventions to tackle the infodemic.,,
Situation in numbers (by WHO Region),,
Total (new cases in last 24 hours),,
Globally,11 500 302 cases (172 512),535 759 deaths (3 419)
Africa,382 563 cases (12 635),7 139 deaths (165)
Americas,5 915 551 cases (94 711),266 736 deaths (1 712)
Eastern Mediterranean,1 187 620 cases (16 900),28 102 deaths (536)
Europe,2 809 848 cases (18 688),200 651 deaths (413)
South-East Asia,974 389 cases (26 870),25 619 deaths (583)
Western Pacific,229 590 cases (2 708),7 499 deaths (10)

"Subject in Focus: Developing trans-disciplinary science: infodemiology, the"
science behind infodemic management
“We’re not just fighting an epidemic; we’re fighting an infodemic.”
"WHO Director-General Tedros Adhanom Ghebreyesus at the Munich Security conference, 15 February 2020"
"Addressing the infodemic, that is, an over-abundance of"
information on COVID-19 is a crucially important part of
"responding to the pandemic. On 7-8 April, the WHO"
Information Network for Epidemics (EPI-WIN) held a two-
"day, online global consultation to crowdsource ideas on"
infodemic management from an interdisciplinary group
of experts and over 1 300 participants. The meeting
produced a WHO framework for managing the COVID19
"infodemic and 50 action points, and committed to a"
follow-up consultation to explore science and evidence
"for new infodemic interventions, gathering insights and"
approaches from as wide a range of relevant disciplines
as possible.
This second scientific consultation opened with a public
"meeting on 29 June, followed by an invitation-only"
scientific conference and a series of remote consultations
"and parallel discussions between expert teams that will run throughout July, ending with a public webinar on"
21 July at which the findings of these discussions will be presented (register for the public webinar here).
The public meeting generated record-breaking attendance: there were 7 862 total connections to the video
"conferencing platform on which it was held, with a further 3 300 views of the parallel livestream of the event"
"— over 11 000 connections in total. 11 of the talks are available online, along with the programme and"
graphic summaries of talks.
"David Nabarro, WHO COVID-19 Special Envoy, set the tone, emphasizing the importance of empathy during"
"health emergencies and stressing the need to understand individual and community perspectives, and to"
"centre the outbreak and infodemic response on their needs. Saad Omer of Yale University, USA, then"
highlighted the cognitive aspects of misinformation and what social science research tells us about the best
"approaches in a “fact-resistant world.” Rustam Haydarov, UNICEF Communication for Development Polio"
"Lead, painted a picture of that resistance in real life, with the sobering example of a real-world infodemic"
"catalysed by a fake video that devastated parents’ vaccine confidence in oral polio vaccine in Peshawar,"
"Pakistan. Harry Sufehmi, founder of Mafindo, a hoax-busting civil society organization in Indonesia, gave an"
oral history of Mafindo’s 80 000-strong crowd-sourced efforts to fact check and push back against
"misinformatio. Claire Wardle of First Draft, an organization working to empower people with resilience"
"against misinformation, provided practical tips on how to talk with family members and friends who spread"
"misinformation: “don’t mute your uncles.” In the final session, Catherine Gicheru reflected on Kenya’s"
"COVID-19 infodemic, and how misinformation is only part of the problem: too much information of any kind,"
"if not properly contextualized, can trigger frustration and confusion in the general public. Public trust is built"
"on transparent communication and a media landscape that amplifies accurate information. Finally, Camille"
"Francois discussed the development of an online “cartography” of the infodemic, attempting to understand"
"the channels through which misinformation is spread, and how different social networks offer important"
clues for infodemic response planning.

People joined the meeting from all around the world: in the online polls and Q&A sessions held in parallel
"with the talks, there were participants from every WHO region and 158 different countries and territories."
"There was broad professional representation as well, with respondents spread across a wide range of sectors"
"—such participation was encouraging, given how many of the speakers emphasised the crucial importance of"
a multidisciplinary approach to infodemic response.
"At the end of the pre-conference, poll results suggested that the consultation had increased listeners’"
knowledge of infodemic management.

Surveillance
"Figure 1. Number of confirmed COVID-19 cases reported in the last seven days by country, territory or area, 1 July to 7 July **"
"**See Annex 1 for data, table and figure notes."

"Figure 2. Number of confirmed COVID-19 cases, by date of report and WHO region, 30 December through 7 July**"
"**See Annex 1 for data, table and figure notes."

"Table 1. Countries, territories or areas with reported laboratory-confirmed COVID-19 cases and deaths, by WHO region. Data as of 10 AM CEST, 7 July 2020**",,,,,,
Reporting Country/ Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
,cases,new cases,,,classificationi,reported case
Africa,,,,,,
South Africa,205 721,8 971,3 310,111,Community transmission,0
Nigeria,29 286,575,654,9,Community transmission,0
Ghana,20 085,0,122,0,Community transmission,1
Algeria,16 404,463,959,7,Community transmission,0
Cameroon,14 524,487,342,12,Community transmission,0
Côte d’Ivoire,10 966,722,75,5,Community transmission,0
Kenya,8 067,181,164,4,Community transmission,0
Senegal,7 478,78,136,3,Community transmission,0
Democratic Republic of the Congo,7 431,21,181,0,Community transmission,0
Ethiopia,6 666,280,119,3,Community transmission,0
Gabon,5 743,123,46,2,Community transmission,0
Guinea,5 610,0,34,0,Community transmission,1
Mauritania,4 879,0,130,0,Clusters of cases,1
Central African Republic,4 033,64,52,4,Community transmission,0
Madagascar,3 250,309,33,1,Clusters of cases,0
Mali,2 331,1,119,0,Community transmission,0
South Sudan,2 098,5,40,0,Clusters of cases,0
Malawi,1 818,76,19,0,Clusters of cases,0
Guinea-Bissau,1 790,25,25,0,Community transmission,0
Zambia,1 632,0,30,0,Community transmission,5
Congo,1 557,0,44,0,Community transmission,3

Reporting Country/ Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
,cases,new cases,,,classificationi,reported case
Sierra Leone,1 547,5,62,0,Community transmission,0
Cabo Verde,1 463,12,17,0,Clusters of cases,0
Benin,1 199,0,21,0,Community transmission,6
Rwanda,1 113,8,3,0,Sporadic cases,0
Niger,1 093,0,68,0,Community transmission,1
Equatorial Guinea,1 043,0,12,0,Community transmission,44
Mozambique,1 012,25,8,0,Clusters of cases,0
Eswatini,1 011,23,13,0,Clusters of cases,0
Burkina Faso,1 000,0,53,0,Community transmission,1
Uganda,953,14,0,0,Sporadic cases,0
Liberia,891,17,39,2,Community transmission,0
Chad,872,0,74,0,Community transmission,1
Zimbabwe,734,18,9,1,Sporadic cases,0
Togo,680,0,15,0,Community transmission,1
United Republic of Tanzania,509,0,21,0,Community transmission,60
Namibia,485,73,0,0,Sporadic cases,0
Sao Tome and Principe,401,1,11,0,Clusters of cases,0
Angola,353,0,19,0,Clusters of cases,1
Mauritius,342,1,10,0,Clusters of cases,0
Botswana,314,39,1,0,Clusters of cases,0
Comoros,311,0,7,0,Community transmission,1
Eritrea,215,0,0,0,Sporadic cases,4
Burundi,191,0,1,0,Clusters of cases,3

Reporting Country/ Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
,cases,new cases,,,classificationi,reported case
Lesotho 91 0 0 0 Sporadic cases 1,,,,,,
Seychelles 81 0 0 0 Clusters of cases 7,,,,,,
Gambia,61,4,3,1,Sporadic cases,0
Territoriesii,,,,,,
Mayotte,2 679,11,36,0,Clusters of cases,0
Réunion,550,3,2,0,Clusters of cases,0
Americas,,,,,,
United States of America,2 877 238,43 686,129 643,235,Community transmission,0
Brazil,1 603 055,26 051,64 867,602,Community transmission,0
Peru,302 718,3 638,10 589,177,Community transmission,0
Chile,298 557,3 025,6 384,76,Community transmission,0
Mexico,256 848,4 683,30 639,273,Community transmission,0
Colombia,117 110,3 721,4 064,122,Community transmission,0
Canada,105 536,219,8 684,10,Community transmission,0
Argentina,77 815,2 439,1 523,33,Community transmission,0
Ecuador,62 380,422,4 821,40,Community transmission,0
Bolivia (Plurinational State of),39 297,1 226,1 434,56,Community transmission,0
Panama,38 149,1 166,747,27,Community transmission,0
Dominican Republic,38 128,703,804,10,Community transmission,0
Honduras,23 943,1 022,639,10,Community transmission,0
Guatemala,23 248,747,947,27,Community transmission,0
El Salvador,8 027,250,223,6,Community transmission,0
Venezuela (Bolivarian Republic of),7 169,419,64,2,Community transmission,0
Haiti,6 333,39,113,0,Community transmission,0

Reporting Country/ Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
,cases,new cases,,,classificationi,reported case
Costa Rica,4 996,375,19,1,Clusters of cases,0
Paraguay,2 456,29,20,0,Community transmission,0
Cuba,2 380,8,86,0,Clusters of cases,0
Nicaragua,2 182,0,83,0,Community transmission,5
Uruguay,956,1,28,0,Clusters of cases,0
Jamaica,732,4,10,0,Clusters of cases,0
Suriname,604,21,14,0,Clusters of cases,0
Guyana,273,1,15,1,Clusters of cases,0
Trinidad and Tobago,133,2,8,0,Sporadic cases,0
Bahamas,104,0,11,0,Clusters of cases,21
Barbados,98,1,7,0,Clusters of cases,0
Antigua and Barbuda,68,0,3,0,Clusters of cases,4
Belize,30,0,2,0,Sporadic cases,2
Saint Vincent and the Grenadines,29,0,0,0,Sporadic cases,19
Grenada,23,0,0,0,Clusters of cases,41
Saint Lucia,22,0,0,0,Sporadic cases,3
Dominica,18,0,0,0,Clusters of cases,24
Saint Kitts and Nevis,16,0,0,0,No cases,1
Territoriesii,,,,,,
