Coronavirus disease,,
(COVID-19),,
Situation Report – 170,,
"Data as received by WHO from national authorities by 10:00 CEST, 8 July 2020",,
Highlights,,
WHO experts will travel to China to work together with their Chinese counterparts to prepare,,
scientific plans for identifying the zoonotic source of the SARS-COV-2 virus. The experts will,,
develop the scope and terms of reference for a WHO-led international mission.,,
WHO has delivered $1.6 million worth of essential COVID-19 medical supplies and equipment to,,
"Afghanistan, a country with a health system facing severe challenges. The shipment,",,
"amounting to a total of 9.5 tons, includes personal protective equipment, PCR machines,",,
"oxygen concentrator machines, and stretchers, as well as other equipment. It will bolster efforts",,
to keep frontline medical staff safe and improve testing capacity in the country.,,
Burkina Faso has resumed polio vaccination campaigns under strict COVID-19 prevention,,
"measures. ""We cannot wait for the COVID-19 pandemic to be contained to resume",,
"immunization activities."" said Dr Matshidiso Moeti, WHO Regional Director for Africa.",,
"As the region of the Americas reports 100,000 cases of COVID-19 a day, the Director of the WHO",,
"Regional Office of the Americas, Dr Carissa F. Etienne, has called for strong coordination across",,
"countries, evidence to guide leaders’ actions and for people to protect themselves and others.",,
Situation in numbers (by WHO Region),,
Total (new cases in last 24 hours),,
Globally,11 669 259 cases (168 957),539 906 deaths (4 147)
Africa,397 942 cases (15 379),7 415 deaths (276)
Americas,6 004 685 cases (89 134),268 828 deaths (2 092)
Eastern Mediterranean,1 204 698 cases (17 078),28 664 deaths (562)
Europe,2 827 789 cases (17 941),201 255 deaths (604)
South-East Asia,1 001 655 cases (27 266),26 224 deaths (605)
Western Pacific,231 749 cases (2 159),7 507 deaths (8)

Surveillance
"Figure 1. Number of confirmed COVID-19 cases reported in the last seven days by country, territory or area, 2 July to 8 July **"
"**See Annex 1 for data, table and figure notes."

"Figure 2. Number of confirmed COVID-19 cases, by date of report and WHO region, 30 December through 8 July**"
"**See Annex 1 for data, table and figure notes."

"Table 1. Countries, territories or areas with reported laboratory-confirmed COVID-19 cases and deaths, by WHO region. Data as of 10 AM CEST,",,,,,,
8 July 2020**,,,,,,
Reporting Country/ Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
,cases,new cases,,,classificationi,reported case
Africa,,,,,,
South Africa,215 855,10 134,3 502,192,Community transmission,0
Nigeria,29 789,503,669,15,Community transmission,0
Ghana,21 968,1 883,129,7,Community transmission,0
Algeria,16 879,475,968,9,Community transmission,0
Cameroon,14 916,392,359,17,Community transmission,0
Côte d’Ivoire,10 966,0,75,0,Community transmission,1
Kenya,8 250,183,167,3,Community transmission,0
Democratic Republic of the Congo,7 659,228,182,1,Community transmission,0
Senegal,7 547,69,137,1,Community transmission,0
Ethiopia,6 774,108,120,1,Community transmission,0
Gabon,5 743,0,46,0,Community transmission,1
Guinea,5 636,26,34,0,Community transmission,0
Mauritania,4 948,69,133,3,Clusters of cases,0
Central African Republic,4 071,38,52,0,Community transmission,0
Madagascar,3 472,222,33,0,Clusters of cases,0
Mali,2 348,17,119,0,Community transmission,0
South Sudan,2 106,8,40,0,Clusters of cases,0
Zambia,1 895,263,42,12,Community transmission,0
Malawi,1 877,59,24,5,Clusters of cases,0
Guinea-Bissau,1 790,0,25,0,Community transmission,1
Congo,1 757,200,44,0,Community transmission,0

Reporting Country/ Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
,cases,new cases,,,classificationi,reported case
Sierra Leone,1 572,25,63,1,Community transmission,0
Cabo Verde,1 499,36,18,1,Clusters of cases,0
Benin,1 285,86,23,2,Community transmission,0
Rwanda,1 172,59,3,0,Sporadic cases,0
Niger,1 094,1,68,0,Community transmission,0
Eswatini,1 056,45,14,1,Clusters of cases,0
Equatorial Guinea,1 043,0,12,0,Community transmission,45
Mozambique,1 040,28,8,0,Clusters of cases,0
Burkina Faso,1 003,3,53,0,Community transmission,0
Uganda,971,18,0,0,Sporadic cases,0
Liberia,917,26,41,2,Community transmission,0
Chad,873,1,74,0,Community transmission,0
Zimbabwe,787,53,9,0,Sporadic cases,0
Togo,689,9,15,0,Community transmission,0
Namibia,539,54,0,0,Sporadic cases,0
United Republic of Tanzania,509,0,21,0,Community transmission,61
Sao Tome and Principe,404,3,11,0,Clusters of cases,0
