Coronavirus disease,,
(COVID-19),,
Situation Report – 171,,
"Data as received by WHO from national authorities by 10:00 CEST, 9 July 2020",,
Highlights,,
WHO has partnered with Facebook and Praekelt.org to provide COVID-19 information in Free,,
"Basics and Discover, in a mobile-friendly format. This will enable some of the most vulnerable",,
"people to access health information without any data charges, in more than 50 countries.",,
"A WHO mission arrived yesterday in Ashgabat, Turkmenistan, to assess the risks and develop",,
the response mechanisms required to tackle COVID-19. “This mission reflects the commitment,,
"of WHO to a strong partnership with the central Asian countries.” said Dr Catherine Smallwood,",,
Senior Emergency Officer in WHO’s Europe region and mission lead.,,
The Regional Office for the Americas has been holding webinars on a range of issues in relation,,
"to COVID-19. Tomorrow, they will hold a webinar focusing on‘Caring for the Carers: Managing",,
your Mental Health While Caring for Others’ .,,
"OpenWHO.org, WHO’s health emergencies online learning platform, has published courses on",,
"thirteen COVID-19 topics with more than 3.7 million enrollments. In the meantime, the WHO",,
"Academy, which aims to build one of the world’s largest and most innovative digital learning",,
"platforms, is holding a survey from 8 to 29 July.",,
"In today’s ‘Subject in Focus’ below, we provide an update on WHO’s COVID-19 support to",,
Africa.,,
Situation in numbers (by WHO Region),,
Total (new cases in last 24 hours),,
Globally,11 874 226 cases (204 967),545 481 deaths (5 575)
Africa,410 744 cases (12 802),7 559 deaths (144)
Americas,6 125 802 cases (121 117),272 606 deaths (3 778)
Eastern Mediterranean,1 222 070 cases (17 372),29 127 deaths (463)
Europe,2 847 887 cases (20 098),201 853 deaths (598)
South-East Asia,1 032 167 cases (30 512),26 808 deaths (584)
Western Pacific,234 815 cases (3 066),7 515 deaths (8)

Subject in Focus: WHO COVID-19 support to Africa
"As of 7 July, there have been 493 131 cases of COVID-19 and 11 643 deaths reported from the"
African continent – a 25% increase in cases and 18% increase in deaths over the past week.
WHO is working closely with Ministries of Health and other partners in the African region to
support the strengthening of essential health services in managing the COVID-19 pandemic.
WHO continues to advise and support countries to strengthen both emergency and routine
health services and to maintain influenza surveillance and other disease control strategies.
"As countries begin to reopen borders and resume air travel, including commercial flights,"
"WHO urges governments to take effective measures, including entry and exit screenings and"
"the practising of hand hygiene, cough etiquette and physical distancing measures, to mitigate"
the risk of a surge in COVID-19 transmission due to the resumption of commercial flights and
airport operations.
"After initial delays in delivering medical supplies for the COVID-19 response, tthe reopening of"
air spaces and increased availability of commercial flights in recent weeks have been a critical
"factor in facilitating shipments and the delivery of personal protective equipment, diagnostic"
tests and biomedical equipment.
"Over the coming weeks, WHO Operations Support and Logistics (OSL) is preparing to ship"
"nearly 47 million items of personal protective equipment, including medical masks,"
"examination gloves, gowns, face shields and goggles to countries across Africa."
WHO is also seeing progress in the procurement of diagnostic tests through a purchasing
"consortium comprising WHO, UNICEF and the Global Fund. In recent weeks, the consortium"
has begun deliveries of polymerase chain reaction (PCR) tests to approximately 130 countries.
"More than 420 000 PCR tests have been delivered to Angola, Benin, Burkina Faso, Cameroon,"
"Central African Republic, Comoros, Congo, the Democratic Republic of the Congo, Ethiopia,"
"Gabon, Kenya, Lesotho, Mali, Nigeria, Senegal, South Africa, Uganda, Zambiaand Zimbabwe."
"An additional 626 000 tests are presently in transit to 25 countries, and 910 582 tests are"
awaiting shipment to 42 countries.
"More than 195 000 sample collection kits also have been delivered to 25 countries, and an"
additional 866 700 kits are in transit to 37 countries.
"To date, 2522 oxygen concentrators have been shipped to 26 countries and an additional 700"
are being prepared for shipment to 30 countries.
"WHO continues to provide operational and technical design support, upon the request of"
"governments and UN partner agencies, to establish Severe Acute Respiratory Infection (SARI)"
treatment facilities in Africa and other regions. In collaboration with a network of architects
"and engineers, WHO has assisted 15 countries in setting up SARI treatment centres to"
support the COVID-19 response. The OSL HealthTech unit continues to accept requests for
technical assistance via the HealthTech Help Desk (reachable by email at

"oslhealthtech@who.int). Current projects in Africa include facilities in Mozambique, Burkina"
"Faso, Gambia and Chad."

Surveillance
"Figure 1. Number of confirmed COVID-19 cases reported in the last seven days by country, territory or area, 3 July to 9 July **"
"**See Annex 1 for data, table and figure notes."

"Figure 2. Number of confirmed COVID-19 cases, by date of report and WHO region, 30 December through 9 July**"
"**See Annex 1 for data, table and figure notes."

"Table 1. Countries, territories or areas with reported laboratory-confirmed COVID-19 cases and deaths, by WHO region. Data as of 10 AM CEST,",,,,,,
9 July 2020**,,,,,,
Reporting Country/ Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
,cases,new cases,,,classificationi,reported case
Africa,,,,,,
South Africa,224 665,8 810,3 602,100,Community transmission,0
Nigeria,30 249,460,684,15,Community transmission,0
Ghana,22 822,854,129,0,Community transmission,0
Algeria,17 348,469,978,10,Community transmission,0
Cameroon,14 916,0,359,0,Community transmission,1
Côte d’Ivoire,11 504,538,78,3,Community transmission,0
Kenya,8 528,278,169,2,Community transmission,0
Democratic Republic of the Congo,7 736,77,183,1,Community transmission,0
Senegal,7 657,110,141,4,Community transmission,0
Ethiopia,6 973,199,120,0,Community transmission,0
Gabon,5 871,128,46,0,Community transmission,0
Guinea,5 697,61,34,0,Community transmission,0
Mauritania,5 024,76,135,2,Clusters of cases,0
Central African Republic,4 109,38,52,0,Community transmission,0
Madagascar,3 573,101,33,0,Clusters of cases,0
Mali,2 358,10,120,1,Community transmission,0
South Sudan,2 106,0,40,0,Clusters of cases,1
Malawi,1 942,65,25,1,Clusters of cases,0
Zambia,1 895,0,42,0,Community transmission,1
Congo,1 821,64,47,3,Community transmission,0
Guinea-Bissau,1 790,0,25,0,Community transmission,2

Reporting Country/ Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
,cases,new cases,,,classificationi,reported case
Sierra Leone,1 584,12,63,0,Community transmission,0
Cabo Verde,1 542,43,18,0,Clusters of cases,0
Benin,1 285,0,23,0,Community transmission,1
Rwanda,1 194,22,3,0,Sporadic cases,0
Eswatini,1 138,82,14,0,Clusters of cases,0
Niger,1 097,3,68,0,Community transmission,0
Mozambique,1 071,31,8,0,Clusters of cases,0
Equatorial Guinea,1 043,0,12,0,Community transmission,46
Burkina Faso,1 003,0,53,0,Community transmission,1
Uganda,977,6,0,0,Sporadic cases,0
Liberia,926,9,41,0,Community transmission,0
Zimbabwe,885,98,9,0,Sporadic cases,0
Chad,873,0,74,0,Community transmission,1
Togo,695,6,15,0,Community transmission,0
Namibia,593,54,0,0,Sporadic cases,0
United Republic of Tanzania,509,0,21,0,Community transmission,62
Sao Tome and Principe,404,0,11,0,Clusters of cases,1
Angola,396,10,22,1,Clusters of cases,0
Mauritius,342,0,10,0,Clusters of cases,2
Botswana,314,0,1,0,Clusters of cases,2
Comoros,313,0,7,0,Community transmission,1
Burundi,219,28,1,0,Clusters of cases,0
Eritrea,215,0,0,0,Sporadic cases,6

Reporting Country/ Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
,cases,new cases,,,classificationi,reported case
Lesotho 134 43 1 1 Sporadic cases 0,,,,,,
Seychelles 94 3 0 0 Clusters of cases 0,,,,,,
Gambia,63,2,3,0,Sporadic cases,0
Territoriesii,,,,,,
Mayotte,2 688,0,36,0,Clusters of cases,1
Réunion,563,12,3,0,Clusters of cases,0
Americas,,,,,,
United States of America,2 973 695,50 263,130 893,930,Community transmission,0
Brazil,1 668 589,45 305,66 741,1 254,Community transmission,0
Peru,309 278,3 575,10 952,180,Community transmission,0
Chile,303 083,2 064,6 573,139,Community transmission,0
Mexico,268 008,6 258,32 014,895,Community transmission,0
Colombia,124 494,4 213,4 359,149,Community transmission,0
Canada,106 167,232,8 711,18,Community transmission,0
Argentina,83 426,2 979,1 654,52,Community transmission,0
Ecuador,63 245,0,4 873,0,Community transmission,1
Bolivia (Plurinational State of),41 545,1 036,1 530,54,Community transmission,0
Panama,40 291,957,799,29,Community transmission,0
Dominican Republic,39 588,1 158,829,8,Community transmission,0
Honduras,25 428,763,677,21,Community transmission,0
Guatemala,24 787,815,1 004,23,Community transmission,0
El Salvador,8 566,259,235,6,Community transmission,0
Venezuela (Bolivarian Republic of),7 693,282,71,3,Community transmission,0
Haiti,6 432,61,117,4,Community transmission,0

Reporting Country/ Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
,cases,new cases,,,classificationi,reported case
Costa Rica,5 486,245,23,0,Community transmission,0
Paraguay,2 554,52,20,0,Community transmission,0
Nicaragua,2 411,229,91,8,Community transmission,0
Cuba,2 399,4,86,0,Clusters of cases,0
Uruguay,965,5,29,0,Clusters of cases,0
Jamaica,745,8,10,0,Clusters of cases,0
Suriname,635,21,17,2,Clusters of cases,0
Guyana,284,6,16,0,Clusters of cases,0
Trinidad and Tobago,133,0,8,0,Sporadic cases,2
Bahamas,104,0,11,0,Clusters of cases,23
Barbados,98,0,7,0,Clusters of cases,2
