Coronavirus disease,,
(COVID-19),,
Situation Report – 173,,
"Data as received by WHO from national authorities by 10:00 CEST, 11 July 2020",,
Highlights,,
"Yesterday, WHO launched the Access Initiative for Quitting Tobacco, which aims to help the world's 1.3 billion",,
tobacco users quit during the pandemic. Smoking kills eight million people a year and smokers are more,,
vulnerable to developing a severe case of COVID-19. WHO received its first-ever donation of nicotine,,
replacement therapies for the project from Johnson & Johnson Consumer Health. The Initiative also enlists the,,
"help of WHO's - and the world’s - first ever virtual health worker, Florence. You can speak with Florence, to",,
"dispel myths around COVID-19 and smoking, and to help develop a personalized plan to quit tobacco. WHO is",,
in the final stages of adding more partners and encourages pharmaceutical and technology companies to join,,
this initiative.,,
WHO has published guidance on maintaining a safe and adequate blood supply during the coronavirus disease,,
pandemic.,,
Last Thursday WHO Director-General Dr Tedros announced the establishment of the Independent panel for,,
Pandemic Preparedness and Response (IPPR) to evaluate the world’s response to the COVID-19 pandemic.,,
"“This is a time for self-reflection, to look at the world we live in and to find ways to strengthen our collaboration",,
as we work together to save lives and bring this pandemic under control” said Dr Tedros.,,
Situation in numbers (by WHO Region),,
Total (new cases in last 24 hours),,
Globally,12 322 395 cases (219 983),556 335 deaths (5 286)
Africa,443 412 cases (15 361),7 930 deaths (197)
Americas,6 397 230 cases (132 520),279 857 deaths (3 487)
Eastern Mediterranean,1 255 977 cases (17 198),30 145 deaths (455)
Europe,2 888 850 cases (20 770),202 837 deaths (497)
South-East Asia,1 097 074 cases (31 981),27 990 deaths (608)
Western Pacific,239 111 cases (2 153),7 563 deaths (42)

Surveillance
"Figure 1. Number of confirmed COVID-19 cases reported in the last seven days by country, territory or area, 5 July to 11 July **"
"**See Annex 1 for data, table and figure notes."

"Figure 2. Number of confirmed COVID-19 cases, by date of report and WHO region, 30 December through 11 July**"
"**See Annex 1 for data, table and figure notes."

"Table 1. Countries, territories or areas with reported laboratory-confirmed COVID-19 cases and deaths, by WHO region. Data as of 10 AM CEST, 11 July 2020**",,,,,,
Reporting Country/ Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
,cases,new cases,,,classificationi,reported case
Africa,,,,,,
South Africa,250 687,12 348,3 860,140,Community transmission,0
Nigeria,31 323,575,709,20,Community transmission,0
Ghana,23 463,0,129,0,Community transmission,1
Algeria,18 242,434,996,8,Community transmission,0
Cameroon,14 916,0,359,0,Community transmission,3
Côte d’Ivoire,11 504,0,78,0,Community transmission,2
Kenya,9 448,473,181,8,Community transmission,0
Democratic Republic of the Congo,7 904,59,188,0,Community transmission,0
Senegal,7 882,98,145,2,Community transmission,0
Ethiopia,7 402,282,124,0,Community transmission,0
Guinea,5 969,88,37,1,Community transmission,0
Gabon,5 942,71,46,0,Community transmission,0
Mauritania,5 126,39,144,5,Clusters of cases,0
Central African Republic,4 200,0,52,0,Community transmission,1
Madagascar,4 143,361,34,1,Clusters of cases,0
Mali,2 404,34,121,1,Community transmission,0
South Sudan,2 129,0,41,0,Clusters of cases,1
Malawi,2 069,83,31,2,Clusters of cases,0
Congo,2 028,0,47,0,Community transmission,1
Zambia,1 895,0,42,0,Community transmission,3
Guinea-Bissau,1 842,52,25,0,Community transmission,0

Reporting Country/ Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
,cases,new cases,,,classificationi,reported case
Sierra Leone,1 613,15,63,0,Community transmission,0
Cabo Verde,1 591,38,19,0,Clusters of cases,0
Benin,1 285,0,23,0,Community transmission,3
Eswatini,1 257,44,18,1,Clusters of cases,0
Rwanda,1 252,42,3,0,Sporadic cases,0
Mozambique,1 111,19,9,0,Clusters of cases,0
Niger,1 099,2,68,0,Community transmission,0
Equatorial Guinea,1 043,0,12,0,Community transmission,48
Burkina Faso,1 020,15,54,1,Community transmission,0
Uganda,1 006,6,0,0,Sporadic cases,0
Liberia,963,6,47,5,Community transmission,0
Zimbabwe,942,16,13,1,Sporadic cases,0
Chad,874,1,74,0,Community transmission,0
Togo,710,6,15,0,Community transmission,0
Namibia,668,53,1,1,Sporadic cases,0
United Republic of Tanzania,509,0,21,0,Community transmission,64
Angola,462,4,23,0,Clusters of cases,0
